Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,37.47,37.48,36.67,36.85,673200,0.0,0
2008-01-03,36.9,37.05,36.38,36.5,817500,0.0,0
2008-01-04,36.31,36.38,35.8,35.98,772100,0.0,0
2008-01-07,36.07,36.3,35.57,36.25,978500,0.0,0
2008-01-08,36.33,36.62,35.44,35.44,684000,0.0,0
2008-01-09,35.41,35.57,34.79,35.55,766400,0.0,0
2008-01-10,35.33,35.89,35.12,35.65,914500,0.0,0
2008-01-11,35.58,35.97,35.32,35.69,776400,0.0,0
2008-01-14,36.04,36.04,35.56,35.87,565700,0.0,0
2008-01-15,35.67,35.84,34.84,34.84,874800,0.0,0
2008-01-16,34.66,35.08,34.45,34.6,906500,0.0,0
2008-01-17,34.74,34.78,33.63,33.66,1042000,0.0,0
2008-01-18,33.77,34.27,33.16,33.42,1165400,0.0,0
2008-01-22,32.02,33.93,32.02,33.55,975800,0.0,0
2008-01-23,32.71,34.59,32.49,34.53,1346500,0.0,0
2008-01-24,34.4,34.62,33.33,33.59,1480400,0.0,0
2008-01-25,33.68,33.93,33.37,33.55,1202200,0.0,0
2008-01-28,33.52,33.95,33.23,33.91,1114900,0.0,0
2008-01-29,34.14,34.32,33.72,33.96,1076700,0.0,0
2008-01-30,33.75,33.75,30.55,30.82,3346300,0.0,0
2008-01-31,30.41,33.62,30.35,33.22,3735400,0.0,0
2008-02-01,32.94,33.52,32.76,33.32,1467000,0.0,0
2008-02-04,33.29,33.45,33.14,33.23,833400,0.0,0
2008-02-05,32.93,33.33,32.77,32.77,1115300,0.0,0
2008-02-06,32.91,33.41,32.66,33.08,1209300,0.0,0
2008-02-07,33.14,33.4,32.78,33.16,982300,0.0,0
2008-02-08,33.03,33.41,32.76,32.98,700200,0.0,0
2008-02-11,32.9,33.3,32.7,33.13,650600,0.0,0
2008-02-12,33.27,33.67,33.02,33.53,887300,0.0,0
2008-02-13,32.87,33.94,32.87,33.68,675900,0.0,0
2008-02-14,33.64,33.91,33.27,33.37,611900,0.0,0
2008-02-15,33.37,33.47,32.81,33.45,485500,0.0,0
2008-02-19,33.75,33.94,33.15,33.41,710600,0.0,0
2008-02-20,33.4,33.77,32.79,33.73,789600,0.0,0
2008-02-21,33.99,33.99,33.28,33.38,669500,0.0,0
2008-02-22,33.57,33.59,32.81,33.47,596700,0.0,0
2008-02-25,33.62,33.86,33.03,33.86,569600,0.0,0
2008-02-26,33.76,34.23,33.49,34.02,661600,0.0,0
2008-02-27,33.89,35.08,33.89,34.85,939100,0.0,0
2008-02-28,34.5,34.8,34.27,34.64,829300,0.0,0
2008-02-29,34.19,34.54,33.52,33.67,1138100,0.0,0
2008-03-03,33.55,34.02,33.3,33.73,632900,0.0,0
2008-03-04,33.49,33.58,32.63,32.92,1013600,0.0,0
2008-03-05,33.04,33.67,33.02,33.56,819600,0.0,0
2008-03-06,33.46,33.47,32.84,32.9,767500,0.0,0
2008-03-07,32.7,33.05,32.23,32.39,745400,0.0,0
2008-03-10,32.25,32.28,31.6,31.74,859800,0.0,0
2008-03-11,32.59,33.06,32.16,33.06,733100,0.0,0
2008-03-12,33.01,33.42,32.84,32.96,467300,0.0,0
2008-03-13,32.88,33.45,32.47,33.22,614400,0.0,0
2008-03-14,33.59,33.62,32.32,32.85,892600,0.0,0
2008-03-17,32.56,33.14,32.17,32.69,871700,0.0,0
2008-03-18,33.04,34.7,32.08,33.88,848400,0.23,0
2008-03-19,34.26,34.6,33.07,33.07,820500,0.0,0
2008-03-20,33.23,33.44,32.61,33.32,882500,0.0,0
2008-03-24,33.42,34.24,33.33,33.8,535800,0.0,0
2008-03-25,34.12,34.12,33.59,33.96,566700,0.0,0
2008-03-26,33.81,34.07,33.6,33.76,446600,0.0,0
2008-03-27,33.91,34.33,33.36,33.83,627600,0.0,0
2008-03-28,34.19,34.64,34.05,34.26,676300,0.0,0
2008-03-31,34.44,34.59,34.1,34.58,716900,0.0,0
2008-04-01,35.04,35.22,34.41,35.2,740500,0.0,0
2008-04-02,35.38,35.77,35.26,35.45,649900,0.0,0
2008-04-03,35.33,35.77,35.17,35.55,593200,0.0,0
2008-04-04,35.59,35.92,35.37,35.72,470700,0.0,0
2008-04-07,35.81,35.96,35.23,35.33,662700,0.0,0
2008-04-08,35.2,35.62,34.96,35.52,810300,0.0,0
2008-04-09,35.62,35.91,35.23,35.44,424500,0.0,0
2008-04-10,35.31,35.48,35.04,35.35,557200,0.0,0
2008-04-11,34.94,35.29,34.64,34.73,625200,0.0,0
2008-04-14,34.75,35.18,34.72,34.89,370200,0.0,0
2008-04-15,34.96,35.23,34.67,34.93,344600,0.0,0
2008-04-16,35.29,36.21,35.12,36.19,523900,0.0,0
2008-04-17,35.22,35.52,34.49,35.05,1063000,0.0,0
2008-04-18,35.37,36.06,34.46,35.91,788000,0.0,0
2008-04-21,35.93,36.12,35.67,35.93,458600,0.0,0
2008-04-22,35.91,35.91,35.34,35.62,546400,0.0,0
2008-04-23,35.62,36.01,35.49,35.69,531100,0.0,0
2008-04-24,35.84,35.95,35.16,35.66,532200,0.0,0
2008-04-25,35.78,36.44,35.72,36.4,479200,0.0,0
2008-04-28,36.55,36.63,36.28,36.46,708900,0.0,0
2008-04-29,36.41,36.46,35.86,36.14,546200,0.0,0
2008-04-30,36.29,36.46,35.77,35.8,682300,0.0,0
2008-05-01,35.56,35.64,32.84,33.08,2567000,0.0,0
2008-05-02,33.39,33.65,32.92,33.54,1033000,0.0,0
2008-05-05,33.32,33.5,32.89,33.22,822600,0.0,0
2008-05-06,32.97,33.2,32.71,33.12,743300,0.0,0
2008-05-07,33.25,33.69,33.07,33.17,923700,0.0,0
2008-05-08,33.04,33.48,33.04,33.39,731100,0.0,0
2008-05-09,33.0,33.28,32.64,33.17,1019900,0.0,0
2008-05-12,33.29,33.54,32.92,33.36,916400,0.0,0
2008-05-13,33.47,33.47,32.68,32.94,676700,0.0,0
2008-05-14,33.17,33.72,32.94,33.25,750700,0.0,0
2008-05-15,33.14,33.38,32.77,33.13,887300,0.0,0
2008-05-16,33.03,33.11,32.76,33.05,787600,0.0,0
2008-05-19,32.88,33.23,32.85,32.94,749300,0.0,0
2008-05-20,32.87,33.07,32.63,33.07,521500,0.0,0
2008-05-21,33.07,33.18,32.26,32.37,528300,0.0,0
2008-05-22,32.24,32.48,32.07,32.19,810400,0.0,0
2008-05-23,32.19,32.19,31.59,31.77,455900,0.0,0
2008-05-27,31.81,32.11,31.74,32.01,495300,0.0,0
2008-05-28,32.12,32.51,31.96,32.44,435100,0.0,0
2008-05-29,32.44,32.8,32.12,32.59,473900,0.0,0
2008-05-30,32.6,33.06,32.58,32.94,879800,0.0,0
2008-06-02,32.87,32.98,32.54,32.7,605400,0.0,0
2008-06-03,32.77,33.06,32.4,32.69,549400,0.0,0
2008-06-04,32.61,33.32,32.61,33.0,455400,0.0,0
2008-06-05,33.21,33.73,33.16,33.67,624500,0.0,0
2008-06-06,33.21,33.58,32.76,32.76,633100,0.0,0
2008-06-09,32.87,33.05,32.59,32.75,541800,0.0,0
2008-06-10,32.48,32.68,32.04,32.51,502600,0.0,0
2008-06-11,32.36,32.75,31.97,31.97,435900,0.0,0
2008-06-12,32.18,32.5,32.01,32.23,318600,0.0,0
2008-06-13,32.53,32.85,32.29,32.33,588900,0.0,0
2008-06-16,32.06,32.55,31.17,32.3,373100,0.0,0
2008-06-17,32.79,32.79,32.18,32.23,425900,0.23,0
2008-06-18,32.04,32.3,31.73,31.87,366800,0.0,0
2008-06-19,32.12,32.34,31.73,31.99,633300,0.0,0
2008-06-20,31.89,32.05,31.61,31.74,571700,0.0,0
2008-06-23,31.77,32.29,31.63,32.17,467800,0.0,0
2008-06-24,31.92,32.08,31.17,31.41,1009200,0.0,0
2008-06-25,31.44,32.42,31.42,32.18,1281900,0.0,0
2008-06-26,32.01,32.05,31.54,31.68,811100,0.0,0
2008-06-27,31.74,31.91,31.17,31.35,840700,0.0,0
2008-06-30,31.36,31.48,30.76,30.84,1008000,0.0,0
2008-07-01,30.53,31.09,30.36,31.01,855400,0.0,0
2008-07-02,30.87,31.14,30.21,30.21,729700,0.0,0
2008-07-03,30.21,31.3,30.13,31.29,583500,0.0,0
2008-07-07,31.2,31.4,30.75,31.05,1054400,0.0,0
2008-07-08,31.05,31.48,30.87,31.4,884900,0.0,0
2008-07-09,31.48,31.76,30.98,30.98,763800,0.0,0
2008-07-10,30.9,31.51,30.86,31.25,677100,0.0,0
2008-07-11,31.0,31.62,30.69,31.36,579100,0.0,0
2008-07-14,31.44,31.77,31.17,31.44,651400,0.0,0
2008-07-15,31.42,32.0,30.74,31.59,766600,0.0,0
2008-07-16,31.69,32.27,31.29,32.24,786300,0.0,0
2008-07-17,32.45,32.79,32.07,32.68,773600,0.0,0
2008-07-18,32.75,33.07,32.37,32.61,594800,0.0,0
2008-07-21,32.79,32.88,32.38,32.81,484600,0.0,0
2008-07-22,31.86,32.54,31.66,32.46,1237000,0.0,0
2008-07-23,32.33,32.41,31.69,31.73,845600,0.0,0
2008-07-24,31.79,31.81,31.13,31.13,806500,0.0,0
2008-07-25,31.28,31.61,31.05,31.36,635800,0.0,0
2008-07-28,31.37,31.63,30.39,31.05,580700,0.0,0
2008-07-29,31.1,31.67,31.03,31.55,486300,0.0,0
2008-07-30,31.47,32.7,31.43,32.31,802000,0.0,0
2008-07-31,32.2,32.39,30.0,31.75,1327400,0.0,0
2008-08-01,31.7,31.7,31.18,31.34,710600,0.0,0
2008-08-04,31.1,31.34,30.48,30.59,637400,0.0,0
2008-08-05,30.48,30.98,30.48,30.84,858600,0.0,0
2008-08-06,30.69,31.28,30.56,31.14,632200,0.0,0
2008-08-07,30.91,31.0,30.52,30.53,545800,0.0,0
2008-08-08,30.51,31.52,30.39,31.48,618200,0.0,0
2008-08-11,31.5,32.17,31.16,32.07,681200,0.0,0
2008-08-12,32.07,33.12,32.07,32.82,787500,0.0,0
2008-08-13,32.81,33.13,32.38,32.86,587100,0.0,0
2008-08-14,32.86,33.05,32.43,32.96,545500,0.0,0
2008-08-15,33.04,33.42,32.97,33.21,443300,0.0,0
2008-08-18,33.24,33.76,32.87,32.97,598100,0.0,0
2008-08-19,33.05,33.05,32.33,32.41,447800,0.0,0
2008-08-20,32.33,32.45,32.01,32.34,438300,0.0,0
2008-08-21,32.02,32.45,32.02,32.29,305100,0.0,0
2008-08-22,32.56,32.79,32.26,32.55,281500,0.0,0
2008-08-25,32.53,32.53,31.69,32.09,407100,0.0,0
2008-08-26,32.15,32.31,31.92,32.26,315800,0.0,0
2008-08-27,32.06,32.3,31.67,32.0,745900,0.0,0
2008-08-28,32.22,32.39,32.0,32.37,880300,0.0,0
2008-08-29,32.1,32.32,31.57,31.74,1060200,0.0,0
2008-09-02,31.87,32.47,31.44,31.55,880100,0.0,0
2008-09-03,31.85,32.49,31.58,32.42,815300,0.0,0
2008-09-04,32.28,32.28,31.41,31.48,676500,0.0,0
2008-09-05,31.14,31.85,30.99,31.75,610300,0.0,0
2008-09-08,32.27,32.82,32.27,32.71,714700,0.0,0
2008-09-09,32.46,33.29,32.46,32.58,1187400,0.0,0
2008-09-10,32.76,33.16,32.34,32.52,1056500,0.0,0
2008-09-11,32.12,33.0,32.12,32.96,618300,0.0,0
2008-09-12,32.86,33.3,32.6,33.22,654300,0.0,0
2008-09-15,32.61,33.58,32.37,32.63,737500,0.0,0
2008-09-16,32.44,33.31,31.92,33.21,978700,0.25,0
2008-09-17,32.71,33.29,32.32,32.42,897700,0.0,0
2008-09-18,32.84,34.47,31.79,34.18,1049600,0.0,0
2008-09-19,35.37,35.91,32.87,35.32,1063000,0.0,0
2008-09-22,35.22,35.38,33.99,34.06,672900,0.0,0
2008-09-23,34.15,34.7,33.5,33.69,653700,0.0,0
2008-09-24,33.7,33.95,33.29,33.45,544100,0.0,0
2008-09-25,33.69,34.01,33.6,33.81,610100,0.0,0
2008-09-26,33.72,33.76,32.98,33.35,624500,0.0,0
