Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,15.01,15.09,14.8,14.84,106800,0.0,0.0
2008-01-03,14.58,14.96,14.58,14.84,37200,0.0,0.0
2008-01-04,14.29,14.29,14.04,14.05,59200,0.0,0.0
2008-01-07,13.45,13.46,13.16,13.23,160000,0.0,0.0
2008-01-08,13.46,13.61,13.16,13.16,122500,0.0,0.0
2008-01-09,12.78,12.78,12.34,12.55,156100,0.0,0.0
2008-01-10,12.3,12.42,12.19,12.39,134000,0.0,0.0
2008-01-11,12.55,12.89,12.55,12.76,84500,0.0,0.0
2008-01-14,12.66,12.76,12.58,12.69,47500,0.0,0.0
2008-01-15,12.46,12.47,12.09,12.09,78100,0.0,0.0
2008-01-16,12.18,12.25,11.92,11.93,76200,0.0,0.0
2008-01-17,11.97,12.15,11.68,11.74,53300,0.0,0.0
2008-01-18,11.76,12.1,11.6,11.66,73800,0.0,0.0
2008-01-22,11.47,12.12,11.44,12.03,222300,0.0,0.0
2008-01-23,12.03,12.71,11.95,12.69,158200,0.0,0.0
2008-01-24,12.97,13.14,12.83,13.13,70900,0.0,0.0
2008-01-25,13.45,13.45,13.04,13.11,164800,0.0,0.0
2008-01-28,13.41,13.58,13.25,13.56,120200,0.0,0.0
2008-01-29,13.77,13.92,13.63,13.9,51500,0.0,0.0
2008-01-30,13.7,13.86,13.46,13.53,69100,0.0,0.0
2008-01-31,12.98,13.71,12.91,13.6,128100,0.0,0.0
2008-02-01,13.8,13.8,13.34,13.63,99200,0.0,0.0
2008-02-04,13.72,13.72,13.5,13.5,60600,0.0,0.0
2008-02-05,13.1,13.1,12.69,12.75,91200,0.0,0.0
2008-02-06,13.03,13.08,12.77,12.9,103400,0.0,0.0
2008-02-07,12.75,12.82,12.58,12.76,155200,0.0,0.0
2008-02-08,12.61,12.69,12.47,12.55,136900,0.0,0.0
2008-02-11,12.55,12.55,12.29,12.52,82000,0.0,0.0
2008-02-12,12.69,12.98,12.67,12.89,45400,0.0,0.0
2008-02-13,13.24,13.4,13.16,13.38,46900,0.0,0.0
2008-02-14,13.27,13.42,13.18,13.21,80400,0.0,0.0
2008-02-15,12.98,13.19,12.74,13.19,42000,0.0,0.0
2008-02-19,14.22,14.35,14.01,14.09,123000,0.0,0.0
2008-02-20,13.97,14.31,13.9,14.21,95400,0.0,0.0
2008-02-21,14.29,14.36,13.97,13.97,78900,0.0,0.0
2008-02-22,14.15,14.21,13.92,14.17,71900,0.0,0.0
2008-02-25,14.32,14.59,14.2,14.59,41900,0.0,0.0
2008-02-26,14.5,14.83,14.42,14.79,32100,0.0,0.0
2008-02-27,14.64,14.82,14.59,14.68,68500,0.0,0.0
2008-02-28,14.52,14.52,14.02,14.1,30500,0.0,0.0
2008-02-29,13.71,13.76,13.33,13.35,70600,0.0,0.0
2008-03-03,13.34,13.42,13.21,13.32,39900,0.0,0.0
2008-03-04,13.22,13.49,13.21,13.47,104300,0.0,0.0
2008-03-05,13.68,14.0,13.68,13.88,72200,0.0,0.0
2008-03-06,13.88,13.88,13.58,13.61,113900,0.0,0.0
2008-03-07,13.93,14.2,13.78,13.86,145100,0.0,0.0
2008-03-10,13.86,13.87,13.38,13.46,31300,0.0,0.0
2008-03-11,14.05,14.16,13.56,13.9,62400,0.0,0.0
2008-03-12,14.06,14.13,13.92,13.93,49700,0.0,0.0
2008-03-13,13.64,13.86,13.51,13.83,41100,0.0,0.0
2008-03-14,13.93,13.99,13.45,13.5,96900,0.0,0.0
2008-03-17,12.91,13.2,12.84,13.08,144600,0.0,0.0
2008-03-18,13.37,13.58,13.3,13.58,69200,0.0,0.0
2008-03-19,13.31,13.35,13.03,13.05,57900,0.0,0.0
2008-03-20,13.19,13.31,13.0,13.31,197400,0.0,0.0
2008-03-24,13.39,13.6,13.33,13.56,47600,0.0,0.0
2008-03-25,13.85,14.07,13.78,14.04,80600,0.0,0.0
2008-03-26,13.94,14.13,13.91,14.07,42600,0.44804,0.0
2008-03-27,14.19,14.2,13.78,13.8,22500,0.0,0.0
2008-03-28,13.83,13.84,13.54,13.58,28000,0.0,0.0
2008-03-31,13.46,13.63,13.43,13.52,27100,0.0,0.0
2008-04-01,14.01,14.37,13.94,14.35,32500,0.0,0.0
2008-04-02,14.54,14.72,14.26,14.72,32000,0.0,0.0
2008-04-03,14.3,14.52,14.27,14.52,72900,0.0,0.0
2008-04-04,14.56,14.83,14.49,14.81,44300,0.0,0.0
2008-04-07,15.08,15.11,14.83,14.92,168900,0.0,0.0
2008-04-08,14.45,14.69,14.36,14.69,54600,0.0,0.0
2008-04-09,14.56,14.56,14.14,14.17,39600,0.0,0.0
2008-04-10,14.16,14.16,13.88,13.96,33000,0.0,0.0
2008-04-11,13.83,13.9,13.71,13.81,18300,0.0,0.0
2008-04-14,13.92,14.01,13.77,13.8,38000,0.0,0.0
2008-04-15,13.81,13.92,13.74,13.87,29100,0.0,0.0
2008-04-16,14.09,14.37,14.07,14.32,17000,0.0,0.0
2008-04-17,14.35,14.52,14.33,14.48,15800,0.0,0.0
2008-04-18,15.11,15.15,14.94,14.97,91800,0.0,0.0
2008-04-21,14.43,14.62,14.42,14.58,145600,0.0,0.0
2008-04-22,14.29,14.35,14.18,14.27,28600,0.0,0.0
2008-04-23,14.1,14.23,14.01,14.21,28900,0.0,0.0
2008-04-24,13.96,14.26,13.89,14.18,45000,0.0,0.0
2008-04-25,14.63,14.83,14.55,14.82,37100,0.0,0.0
