Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,1.19,1.2,1.19,1.2,21182,0,0
2008-01-03,317.5,317.5,317.5,317.5,600,0,0
2008-01-04,140.75,140.75,140.75,140.75,3200,0,0
2008-01-07,0.26,0.26,0.26,0.26,430,0,0
2008-01-08,29.55,29.55,29.55,29.55,10000,0,0
2008-01-09,13.69,13.69,13.69,13.69,45,0,0
2008-01-10,3.07,3.1,3.07,3.07,611,0,0
2008-01-11,4.11,4.11,4.11,4.11,1950,0,0
2008-01-14,2.74,2.79,2.74,2.74,40000,0,0
2008-01-15,47.0,47.0,47.0,47.0,30000,0,0
2008-01-16,300.18,300.18,300.18,300.18,4,0,0
2008-01-17,9.13,9.13,9.13,9.13,2000,0,0
2008-01-18,12.25,12.25,12.25,12.25,6600,0,0
2008-01-22,20.01,20.01,20.01,20.01,2400,0,0
2008-01-23,354.5,354.5,354.5,354.5,1279000,0,0
2008-01-24,18.56,18.56,18.56,18.56,100,0,0
2008-01-25,820.18,820.18,817.72,817.72,6235,0,0
2008-01-28,8.26,8.27,8.26,8.27,11700,0,0
2008-01-29,261.85,261.85,261.85,261.85,11,0,0
2008-01-30,57.5,57.5,57.5,57.5,12734,0,0
2008-01-31,14.66,14.66,14.66,14.66,50000,0,0
2008-02-01,1.42,1.42,1.42,1.42,5000,0,0
2008-02-04,8.09,8.09,8.09,8.09,1,0,0
2008-02-05,148.15,148.45,148.15,148.15,6219,0,0
2008-02-06,55.2,55.2,55.2,55.2,1500,0,0
2008-02-07,5.86,5.86,5.86,5.86,2600,0,0
2008-02-08,16.71,16.71,16.71,16.71,1200,0,0
2008-02-11,9.89,9.89,9.89,9.89,1639,0,0
2008-02-12,1.42,1.42,1.42,1.42,5910,0,0
2008-02-13,2.83,2.83,2.83,2.83,6000,0,0
2008-02-14,14.43,14.66,14.43,14.43,6,0,0
2008-02-15,3.1,3.1,3.1,3.1,13900,0,0
2008-02-19,2.23,2.23,2.23,2.23,22925,0,0
2008-02-20,23.0,23.0,23.0,23.0,3400,0,0
2008-02-21,5.08,5.08,5.08,5.08,600,0,0
2008-02-22,9.34,9.34,9.34,9.34,850,0,0
2008-02-25,55.97,56.08,55.97,55.97,5000,0,0
