Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.3,20.3,19.42,20.15,467141,0,0
2008-01-03,20.3,20.41,19.33,19.38,521368,0,0
2008-01-04,19.16,19.26,17.95,18.0,523000,0,0
2008-01-07,18.12,18.2,17.53,17.86,654500,0,0
2008-01-08,18.02,18.89,17.98,18.08,779100,0,0
2008-01-09,18.1,19.45,18.08,19.36,880603,0,0
2008-01-10,19.15,20.3,19.0,20.18,764850,0,0
2008-01-11,20.06,20.75,19.46,19.62,535000,0,0
2008-01-14,19.72,20.29,19.6,19.62,375700,0,0
2008-01-15,19.3,19.57,19.01,19.32,268300,0,0
2008-01-16,19.31,20.25,19.14,19.86,448310,0,0
2008-01-17,19.87,19.98,19.09,19.16,302282,0,0
2008-01-18,19.5,20.33,18.93,19.66,473700,0,0
2008-01-22,18.85,20.62,18.75,19.54,556540,0,0
2008-01-23,19.05,20.75,18.58,20.74,509800,0,0
2008-01-24,20.78,21.25,19.95,20.41,389527,0,0
2008-01-25,20.48,21.19,20.03,20.24,351500,0,0
2008-01-28,20.16,20.71,19.96,20.65,173900,0,0
2008-01-29,20.74,20.83,20.04,20.75,511200,0,0
2008-01-30,20.49,20.53,19.57,19.6,353000,0,0
2008-01-31,19.32,20.26,19.27,19.92,495055,0,0
2008-02-01,19.97,21.02,19.97,20.96,394735,0,0
2008-02-04,20.9,21.39,20.33,20.37,308220,0,0
2008-02-05,19.88,20.5,19.61,19.64,236300,0,0
2008-02-06,19.88,20.72,19.38,19.5,250292,0,0
2008-02-07,19.62,20.48,19.27,20.48,428500,0,0
2008-02-08,22.51,24.86,21.45,22.9,1695150,0,0
2008-02-11,22.95,23.09,22.67,22.74,472800,0,0
2008-02-12,22.81,22.99,22.5,22.59,359011,0,0
2008-02-13,22.77,23.74,22.77,23.04,936211,0,0
2008-02-14,22.85,23.19,22.45,22.8,621400,0,0
2008-02-15,22.68,22.81,21.58,22.02,637300,0,0
2008-02-19,22.35,23.46,22.3,22.45,661300,0,0
2008-02-20,22.26,22.79,22.2,22.36,562003,0,0
2008-02-21,22.59,23.0,21.81,21.87,410600,0,0
2008-02-22,22.01,22.51,21.65,22.42,458500,0,0
2008-02-25,22.38,23.99,22.38,23.99,660442,0,0
2008-02-26,23.39,24.19,23.09,23.58,448600,0,0
2008-02-27,23.4,23.74,22.88,23.17,625300,0,0
2008-02-28,23.08,23.08,22.19,22.57,434700,0,0
2008-02-29,22.1,22.16,21.27,22.04,624750,0,0
2008-03-03,22.0,22.59,21.82,22.24,551700,0,0
2008-03-04,21.92,22.87,21.92,22.67,469200,0,0
2008-03-05,22.78,22.78,22.02,22.53,426200,0,0
2008-03-06,22.36,22.62,21.84,22.34,465700,0,0
2008-03-07,21.95,22.74,21.77,22.41,628200,0,0
2008-03-10,22.45,22.74,21.58,21.67,606100,0,0
2008-03-11,22.33,22.57,21.48,22.57,644300,0,0
2008-03-12,22.63,23.5,22.44,23.01,680941,0,0
2008-03-13,22.56,23.45,22.34,23.37,579398,0,0
2008-03-14,23.53,23.58,22.13,22.48,549300,0,0
2008-03-17,21.88,22.52,21.62,21.94,537739,0,0
2008-03-18,22.5,23.39,21.91,23.25,632900,0,0
2008-03-19,23.38,23.4,21.9,22.04,485900,0,0
2008-03-20,22.28,22.91,21.91,22.49,1066805,0,0
2008-03-24,22.54,23.8,22.29,23.11,385118,0,0
2008-03-25,23.07,23.46,22.83,23.21,398900,0,0
2008-03-26,23.14,23.35,22.78,23.19,310900,0,0
2008-03-27,23.19,23.26,22.76,22.99,247000,0,0
2008-03-28,22.98,22.98,22.22,22.34,307700,0,0
2008-03-31,22.33,22.68,22.19,22.68,431700,0,0
2008-04-01,22.54,23.08,22.35,22.9,397300,0,0
2008-04-02,22.73,22.73,20.81,21.15,1200072,0,0
2008-04-03,20.62,21.6,20.6,21.22,465500,0,0
2008-04-04,21.28,21.29,20.69,21.02,260983,0,0
2008-04-07,21.25,21.28,20.71,20.76,699900,0,0
2008-04-08,20.76,20.78,20.35,20.51,480610,0,0
2008-04-09,20.5,20.71,20.35,20.45,794200,0,0
2008-04-10,20.49,21.06,20.37,20.78,431600,0,0
2008-04-11,20.57,20.57,20.0,20.03,437730,0,0
2008-04-14,20.0,20.25,19.62,19.85,294733,0,0
