Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.44,13.59,13.12,13.27,341800,0.0,0.0
2008-01-03,13.28,13.44,12.74,12.75,349600,0.0,0.0
2008-01-04,12.61,12.62,11.94,11.95,785800,0.0,0.0
2008-01-07,11.98,12.0,11.6,11.78,816400,0.0,0.0
2008-01-08,11.9,12.08,11.36,11.4,422400,0.0,0.0
2008-01-09,11.34,11.86,11.2,11.73,641200,0.0,0.0
2008-01-10,11.62,12.12,11.48,11.84,650200,0.0,0.0
2008-01-11,11.65,11.89,11.64,11.64,343400,0.0,0.0
2008-01-14,11.74,12.22,11.62,11.91,475800,0.0,0.0
2008-01-15,11.7,11.91,11.58,11.68,473200,0.0,0.0
2008-01-16,11.67,11.89,11.55,11.76,542800,0.0,0.0
2008-01-17,11.75,11.83,11.34,11.43,604800,0.0,0.0
2008-01-18,11.44,11.67,11.34,11.46,657600,0.0,0.0
2008-01-22,10.98,12.18,10.74,11.58,830200,0.0,0.0
2008-01-23,11.27,12.23,11.01,12.2,650000,0.0,0.0
2008-01-24,12.29,12.48,12.05,12.06,924000,0.0,0.0
2008-01-25,12.21,12.43,11.62,11.62,751600,0.0,0.0
2008-01-28,11.58,11.71,11.28,11.54,736400,0.0,0.0
2008-01-29,11.56,11.82,11.39,11.48,725200,0.0,0.0
2008-01-30,11.55,12.37,11.47,12.02,583800,0.0,0.0
2008-01-31,11.8,12.46,11.71,12.36,499600,0.0,0.0
2008-02-01,12.41,13.12,12.25,13.11,577200,0.0,0.0
2008-02-04,13.1,13.16,12.77,12.99,430000,0.0,0.0
2008-02-05,12.7,12.87,12.29,12.39,273400,0.0,0.0
2008-02-06,12.51,12.7,12.2,12.23,235000,0.0,0.0
2008-02-07,12.18,12.48,12.05,12.46,258400,0.0,0.0
2008-02-08,12.45,12.72,12.38,12.47,303800,0.0,0.0
2008-02-11,12.53,13.29,12.5,13.18,331400,0.0,0.0
2008-02-12,13.23,13.62,13.22,13.34,392000,0.0,0.0
2008-02-13,13.44,14.07,13.44,14.03,599200,0.0,0.0
2008-02-14,14.15,14.25,13.23,13.47,501800,0.0,0.0
2008-02-15,13.38,13.54,13.27,13.51,300800,0.0,0.0
2008-02-19,13.74,14.08,13.37,13.71,574200,0.0,0.0
2008-02-20,13.64,13.93,13.38,13.69,485400,0.0,0.0
2008-02-21,13.79,14.15,13.47,13.6,388400,0.0,0.0
2008-02-22,13.62,13.65,13.16,13.6,326600,0.0,0.0
2008-02-25,13.64,13.64,12.9,13.51,557400,0.0,0.0
2008-02-26,13.39,14.12,13.39,13.73,369400,0.0,0.0
2008-02-27,13.55,13.55,12.48,12.48,831800,0.0,0.0
2008-02-28,12.7,13.06,12.47,12.48,726600,0.0,0.0
2008-02-29,14.0,15.51,13.79,14.6,2333600,0.0,0.0
2008-03-03,14.34,14.49,13.85,14.23,816200,0.0,0.0
2008-03-04,14.11,14.4,13.68,13.75,728600,0.0,0.0
2008-03-05,13.95,13.96,13.03,13.16,1013800,0.0,0.0
2008-03-06,13.14,13.26,12.55,12.64,476200,0.0,0.0
2008-03-07,12.48,12.91,12.39,12.63,712000,0.0,0.0
2008-03-10,12.6,12.62,12.01,12.08,368000,0.0,0.0
2008-03-11,12.51,12.85,12.25,12.74,740200,0.0,0.0
2008-03-12,12.8,12.92,12.35,12.35,422000,0.0,0.0
2008-03-13,12.25,12.79,11.85,12.66,702000,0.0,0.0
2008-03-14,12.79,12.81,11.96,12.11,917800,0.0,0.0
2008-03-17,11.82,12.05,11.53,11.69,492600,0.0,0.0
2008-03-18,11.92,12.51,11.8,12.4,693800,0.019,0.0
2008-03-19,12.43,12.71,11.8,11.81,367000,0.0,0.0
2008-03-20,11.81,12.1,11.68,11.95,1278600,0.0,0.0
2008-03-24,12.02,12.68,11.94,12.56,531400,0.0,0.0
2008-03-25,12.67,12.93,12.41,12.6,878000,0.0,0.0
2008-03-26,12.52,12.78,12.28,12.72,642600,0.0,0.0
2008-03-27,13.0,13.09,12.7,12.9,794400,0.0,0.0
2008-03-28,12.95,13.56,12.95,13.35,742000,0.0,0.0
2008-03-31,13.48,13.55,12.81,13.12,879000,0.0,0.0
2008-04-01,13.22,13.74,13.04,13.74,485200,0.0,0.0
2008-04-02,13.79,14.87,13.75,14.68,1224000,0.0,0.0
2008-04-03,14.7,15.23,14.48,14.82,838000,0.0,0.0
