Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,21.16,21.26,20.68,20.76,2967000,0.0,0.0
2008-01-03,20.95,21.48,20.82,21.33,5066000,0.0,0.0
2008-01-04,21.18,21.18,20.27,20.43,4390900,0.0,0.0
2008-01-07,20.59,20.73,20.19,20.24,3746200,0.0,0.0
2008-01-08,20.27,20.6,19.92,19.92,4634400,0.0,0.0
2008-01-09,19.99,20.23,19.58,20.23,4380200,0.0,0.0
2008-01-10,20.04,20.32,19.71,20.13,5027800,0.0,0.0
2008-01-11,19.92,20.51,19.87,20.24,4451600,0.0,0.0
2008-01-14,20.44,20.7,20.34,20.67,3292600,0.0,0.0
2008-01-15,20.45,20.51,19.98,20.11,2780400,0.0,0.0
2008-01-16,20.09,20.71,20.06,20.41,3836900,0.0,0.0
2008-01-17,20.43,20.52,19.59,19.63,4341900,0.0,0.0
2008-01-18,19.73,20.3,19.65,20.02,5863600,0.0,0.0
2008-01-22,19.02,20.49,17.95,20.19,5707500,0.0,0.0
2008-01-23,19.89,20.2,18.77,20.2,7831600,0.0,0.0
2008-01-24,20.52,20.68,19.86,20.55,4229700,0.0,0.0
2008-01-25,20.56,21.04,20.31,20.66,4468900,0.0,0.0
2008-01-28,20.64,20.72,20.08,20.37,5588100,0.0,0.0
2008-01-29,20.67,20.95,20.3,20.88,4216100,0.0,0.0
2008-01-30,20.85,21.22,20.62,20.7,3287500,0.0,0.0
2008-01-31,20.32,21.25,20.32,21.01,3692300,0.0,0.0
2008-02-01,21.01,21.37,20.85,21.33,2922900,0.0,0.0
2008-02-04,21.41,21.48,21.0,21.05,1823700,0.0,0.0
2008-02-05,20.89,20.89,20.39,20.42,2706500,0.0,0.0
2008-02-06,20.58,20.75,20.08,20.18,2469900,0.0,0.0
2008-02-07,20.22,21.02,20.16,20.7,4174000,0.0,0.0
2008-02-08,20.54,21.03,20.48,20.78,3012200,0.0,0.0
2008-02-11,20.81,21.33,20.62,21.3,4156700,0.0,0.0
2008-02-12,21.47,21.86,21.4,21.76,4756100,0.0,0.0
2008-02-13,22.06,22.21,21.76,22.03,3846900,0.25,0.0
2008-02-14,22.08,22.2,21.25,21.33,4015100,0.0,0.0
2008-02-15,21.31,21.5,20.97,21.38,3802100,0.0,0.0
2008-02-19,21.58,21.81,21.31,21.45,2889300,0.0,0.0
2008-02-20,21.31,21.65,21.18,21.56,3235500,0.0,0.0
2008-02-21,21.48,21.74,21.35,21.39,4470500,0.0,0.0
2008-02-22,21.37,21.43,20.87,21.31,3978300,0.0,0.0
2008-02-25,21.29,21.85,21.15,21.83,3494600,0.0,0.0
2008-02-26,21.69,21.82,21.45,21.72,4074600,0.0,0.0
2008-02-27,21.54,21.95,21.4,21.84,3454100,0.0,0.0
2008-02-28,21.64,21.73,21.35,21.43,2323500,0.0,0.0
2008-02-29,21.24,21.25,20.74,20.85,3426800,0.0,0.0
2008-03-03,20.84,21.08,20.59,20.91,3593100,0.0,0.0
2008-03-04,21.11,21.16,20.66,20.95,5956900,0.0,0.0
2008-03-05,21.08,21.54,20.81,21.33,5583300,0.0,0.0
2008-03-06,21.27,21.32,20.96,21.06,3826600,0.0,0.0
2008-03-07,20.93,21.33,20.49,20.59,5020400,0.0,0.0
2008-03-10,20.53,20.59,20.07,20.2,5399900,0.0,0.0
2008-03-11,20.61,21.04,20.48,21.0,5623300,0.0,0.0
2008-03-12,21.0,21.49,20.68,21.15,4292900,0.0,0.0
2008-03-13,20.83,21.0,20.31,20.92,4755700,0.0,0.0
2008-03-14,21.05,21.47,20.45,21.22,5696700,0.0,0.0
2008-03-17,19.45,20.58,18.95,19.38,15237300,0.0,0.0
2008-03-18,19.41,19.82,18.57,18.92,13041500,0.0,0.0
2008-03-19,18.97,19.13,18.05,18.05,9862900,0.0,0.0
2008-03-20,18.13,18.13,17.49,17.55,14613400,0.0,0.0
2008-03-24,17.77,17.95,17.6,17.74,13827000,0.0,0.0
2008-03-25,17.78,17.9,17.68,17.72,9714300,0.0,0.0
2008-03-26,17.7,18.09,17.7,18.08,9042400,0.0,0.0
2008-03-27,18.16,18.23,17.78,17.79,7408100,0.0,0.0
2008-03-28,17.91,17.93,17.65,17.72,5237200,0.0,0.0
2008-03-31,17.72,17.92,17.69,17.89,7224100,0.0,0.0
2008-04-01,18.12,18.58,18.07,18.55,11268300,0.0,0.0
2008-04-02,18.55,19.08,18.55,18.87,9371300,0.0,0.0
2008-04-03,18.84,18.97,18.74,18.91,5534900,0.0,0.0
2008-04-04,18.97,19.07,18.76,18.9,4869800,0.0,0.0
2008-04-07,19.0,19.17,18.8,18.87,6260200,0.0,0.0
2008-04-08,18.87,19.16,18.77,19.14,6359100,0.0,0.0
2008-04-09,19.21,19.31,18.36,18.53,7038700,0.0,0.0
2008-04-10,18.43,18.44,18.08,18.19,5273000,0.0,0.0
2008-04-11,18.06,18.06,17.83,17.87,5169500,0.0,0.0
2008-04-14,17.9,18.16,17.83,18.01,2726600,0.0,0.0
2008-04-15,18.16,18.29,17.83,17.95,4232600,0.0,0.0
2008-04-16,18.07,18.7,18.06,18.69,3573400,0.0,0.0
2008-04-17,18.28,18.49,18.15,18.43,4245500,0.0,0.0
2008-04-18,18.78,18.97,18.63,18.84,4626400,0.0,0.0
2008-04-21,18.78,18.81,18.51,18.76,3390200,0.0,0.0
2008-04-22,18.74,18.74,17.89,17.96,3907700,0.0,0.0
2008-04-23,18.07,18.24,17.79,18.03,3139700,0.0,0.0
2008-04-24,18.08,18.43,17.85,18.17,3081000,0.0,0.0
2008-04-25,18.3,18.6,18.07,18.53,2332400,0.0,0.0
2008-04-28,18.62,18.67,17.85,17.92,4232700,0.0,0.0
2008-04-29,17.94,18.03,17.76,17.96,3105200,0.0,0.0
2008-04-30,17.39,17.68,16.97,17.21,8362900,0.0,0.0
2008-05-01,17.16,17.34,16.97,17.23,4032800,0.0,0.0
2008-05-02,17.36,17.59,16.86,16.92,5125800,0.0,0.0
2008-05-05,16.92,17.08,16.72,16.89,4644500,0.0,0.0
2008-05-06,16.85,17.39,16.67,17.27,4433100,0.0,0.0
2008-05-07,17.24,17.35,16.91,17.0,3614300,0.0,0.0
2008-05-08,17.09,17.25,16.97,17.14,5253800,0.0,0.0
