Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,54.55,54.86,52.6,53.71,499050,0,0
2008-01-03,53.72,53.94,52.58,52.72,383700,0,0
2008-01-04,52.12,52.15,51.11,51.15,430600,0,0
2008-01-07,51.41,51.65,49.37,49.85,412100,0,0
2008-01-08,49.99,50.33,47.99,48.05,375950,0,0
2008-01-09,48.03,48.03,44.43,45.51,1266000,0,0
2008-01-10,45.09,45.19,43.6,44.22,1047656,0,0
2008-01-11,43.88,45.37,43.88,44.06,650800,0,0
2008-01-14,45.35,46.05,44.78,44.96,742820,0,0
2008-01-15,44.41,44.92,43.21,43.34,488100,0,0
2008-01-16,43.13,43.96,42.54,42.7,458957,0,0
2008-01-17,43.15,43.5,40.59,41.0,1349915,0,0
2008-01-18,41.24,42.68,40.8,41.06,582184,0,0
2008-01-22,39.35,41.65,39.35,40.48,862997,0,0
2008-01-23,39.6,42.7,39.6,42.7,1266577,0,0
2008-01-24,43.07,43.76,42.35,42.94,627896,0,0
2008-01-25,43.41,44.34,42.66,43.0,285100,0,0
2008-01-28,42.97,42.97,41.78,42.1,174800,0,0
2008-01-29,42.1,43.13,41.9,43.0,63400,0,0
2008-01-30,42.7,44.19,42.55,42.8,148500,0,0
2008-01-31,42.02,44.21,41.71,43.72,514300,0,0
2008-02-01,43.78,45.14,43.78,44.88,88900,0,0
2008-02-04,44.85,45.01,43.67,43.77,84500,0,0
2008-02-05,43.5,43.5,42.68,42.94,396175,0,0
2008-02-06,43.25,43.39,42.14,42.22,141400,0,0
2008-02-07,42.02,42.87,41.78,42.52,482900,0,0
2008-02-08,42.77,43.38,42.31,42.79,280600,0,0
2008-02-11,42.85,43.37,42.07,43.19,207200,0,0
2008-02-12,43.35,44.09,42.17,42.47,227079,0,0
2008-02-13,42.95,43.52,42.59,43.32,359200,0,0
2008-02-14,43.49,43.52,42.19,42.46,178100,0,0
2008-02-15,42.17,42.39,41.26,41.75,225820,0,0
2008-02-19,42.22,42.99,42.17,42.59,243300,0,0
2008-02-20,42.18,43.75,41.64,43.68,77200,0,0
2008-02-21,46.03,47.09,43.0,43.38,380376,0,0
2008-02-22,43.19,43.97,42.46,43.89,626400,0,0
2008-02-25,43.99,45.72,43.88,45.46,648400,0,0
2008-02-26,44.88,45.84,44.39,45.25,345444,0,0
2008-02-27,45.0,45.54,44.28,45.12,310000,0,0
2008-02-28,44.94,45.03,43.63,44.13,129500,0,0
2008-02-29,43.74,43.74,42.6,42.71,387900,0,0
2008-03-03,42.65,43.09,42.07,42.83,49000,0,0
2008-03-04,42.39,42.47,41.32,42.21,58600,0,0
2008-03-05,42.7,43.19,42.17,42.35,57900,0,0
2008-03-06,42.03,42.22,40.85,41.03,221759,0,0
2008-03-07,40.9,40.9,40.05,40.39,261000,0,0
2008-03-10,40.59,40.59,38.9,38.99,397500,0,0
2008-03-11,40.16,42.5,39.18,40.98,325900,0,0
2008-03-12,41.11,41.61,40.75,40.87,191400,0,0
2008-03-13,40.32,41.92,40.09,41.69,393209,0,0
2008-03-14,41.89,42.02,39.9,40.5,330700,0,0
2008-03-17,39.53,42.5,39.35,41.95,433645,0,0
2008-03-18,42.5,43.85,42.26,43.78,425900,0,0
2008-03-19,44.14,44.87,43.15,43.15,573900,0,0
2008-03-20,43.92,44.96,43.71,44.51,579000,0,0
2008-03-24,44.6,46.25,44.52,45.9,514000,0,0
2008-03-25,45.82,46.58,45.54,46.34,393000,0,0
2008-03-26,45.97,46.05,44.49,44.92,275600,0,0
2008-03-27,45.06,45.27,44.07,44.26,233900,0,0
2008-03-28,44.39,44.4,43.42,43.56,224300,0,0
2008-03-31,43.71,44.19,42.69,43.91,204200,0,0
2008-04-01,44.35,45.82,44.18,45.82,220700,0,0
2008-04-02,45.72,47.0,45.45,46.54,310500,0,0
2008-04-03,46.4,46.65,46.08,46.33,153900,0,0
2008-04-04,46.44,47.07,45.2,46.62,255250,0,0
2008-04-07,47.04,47.53,46.21,46.46,281000,0,0
2008-04-08,46.18,47.1,46.0,46.58,153500,0,0
2008-04-09,46.46,46.49,44.55,44.82,408800,0,0
2008-04-10,44.49,45.2,44.17,45.16,325200,0,0
2008-04-11,44.75,44.75,43.59,43.85,205300,0,0
2008-04-14,43.75,43.99,43.22,43.61,207312,0,0
2008-04-15,43.82,43.96,42.92,43.2,285631,0,0
2008-04-16,43.45,44.25,43.14,44.25,568942,0,0
2008-04-17,43.94,44.08,43.3,43.8,241756,0,0
2008-04-18,44.35,45.61,44.14,45.32,433574,0,0
2008-04-21,45.05,45.92,44.91,45.06,180636,0,0
2008-04-22,44.93,44.93,43.39,43.94,226131,0,0
2008-04-23,43.94,45.43,43.82,45.33,363054,0,0
2008-04-24,45.29,46.57,44.95,46.5,368171,0,0
2008-04-25,46.73,49.15,46.65,48.65,1179989,0,0
2008-04-28,48.65,50.51,47.5,49.38,1551102,0,0
2008-04-29,49.19,51.05,49.03,50.88,809512,0,0
2008-04-30,50.68,53.7,50.68,52.37,745081,0,0
2008-05-01,52.42,54.18,52.42,53.92,429041,0,0
2008-05-02,54.12,54.31,52.57,52.96,339369,0,0
2008-05-05,53.06,54.34,52.76,53.75,400060,0,0
2008-05-06,53.6,54.37,52.77,53.9,261199,0,0
2008-05-07,53.55,54.05,52.31,52.31,367070,0,0
2008-05-08,52.63,52.77,51.94,52.44,293301,0,0
2008-05-09,51.96,52.53,51.41,52.21,368933,0,0
2008-05-12,52.4,54.05,52.25,54.05,283908,0,0
2008-05-13,54.06,54.68,53.75,54.38,186845,0,0
2008-05-14,54.47,55.5,54.28,54.43,152921,0,0
2008-05-15,54.2,56.01,53.91,55.65,317836,0,0
2008-05-16,55.93,58.05,55.87,57.78,892318,0,0
2008-05-19,57.9,60.2,56.5,58.4,864926,0,0
2008-05-20,58.17,58.27,57.17,57.82,430525,0,0
2008-05-21,57.82,59.26,57.51,57.8,673408,0,0
2008-05-22,58.11,58.89,57.32,57.59,321565,0,0
2008-05-23,57.54,58.5,57.0,58.07,278009,0,0
2008-05-27,58.21,59.44,57.99,59.11,363284,0,0
2008-05-28,60.9,61.2,59.59,59.95,984323,0,0
2008-05-29,60.14,60.5,59.2,60.04,477763,0,0
2008-05-30,60.46,61.57,60.42,61.11,413709,0,0
2008-06-02,61.35,61.35,59.14,60.09,424019,0,0
2008-06-03,60.58,61.3,58.9,59.85,441581,0,0
2008-06-04,59.53,61.07,59.21,59.92,725019,0,0
2008-06-05,60.1,61.26,59.6,61.09,265152,0,0
2008-06-06,60.8,60.8,59.0,59.11,258845,0,0
2008-06-09,59.14,59.29,57.14,57.23,555447,0,0
2008-06-10,56.99,57.21,56.18,57.0,637799,0,0
2008-06-11,56.75,56.97,55.1,55.24,410518,0,0
2008-06-12,55.57,57.46,55.57,56.63,442533,0,0
2008-06-13,56.74,58.44,56.72,58.37,309073,0,0
2008-06-16,58.28,59.18,57.71,57.95,345495,0,0
2008-06-17,58.18,58.18,56.59,56.7,409924,0,0
2008-06-18,56.24,57.07,55.98,56.59,328115,0,0
2008-06-19,56.56,57.2,56.09,56.93,392626,0,0
2008-06-20,56.5,56.53,54.89,55.0,573634,0,0
2008-06-23,55.01,56.05,54.74,55.62,352930,0,0
2008-06-24,55.42,55.99,54.42,54.44,402218,0,0
