Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,17.66,17.68,17.06,17.11,5610200,0.0,0
2008-01-03,17.15,17.29,16.97,17.02,4097300,0.0,0
2008-01-04,16.89,16.89,16.29,16.39,5323600,0.0,0
2008-01-07,16.46,16.96,16.34,16.68,4522000,0.0,0
2008-01-08,16.8,16.83,16.11,16.14,8084800,0.0,0
2008-01-09,16.14,16.86,15.99,16.82,6411500,0.0,0
2008-01-10,16.65,17.67,16.3,17.3,7125100,0.0,0
2008-01-11,17.13,17.88,16.89,17.44,5370800,0.0,0
2008-01-14,17.62,17.72,17.26,17.71,4815400,0.0,0
2008-01-15,17.52,17.52,16.39,16.5,6632500,0.0,0
2008-01-16,16.45,17.13,16.35,16.88,7271400,0.0,0
2008-01-17,16.96,17.0,15.97,16.04,5680400,0.0,0
2008-01-18,16.18,16.45,15.54,15.84,8092400,0.0,0
2008-01-22,14.64,18.38,14.26,17.83,13231100,0.0,0
2008-01-23,17.17,19.79,16.95,19.12,11991900,0.0,0
2008-01-24,19.19,19.36,18.5,18.85,6579800,0.0,0
2008-01-25,19.07,20.25,18.4,18.79,6415300,0.0,0
2008-01-28,18.77,19.3,18.32,19.2,4763700,0.0,0
2008-01-29,19.4,19.42,18.89,19.29,4579700,0.0,0
2008-01-30,19.24,19.82,19.0,19.22,7135900,0.0,0
2008-01-31,18.88,19.81,18.52,19.62,8012700,0.0,0
2008-02-01,19.6,19.88,18.97,19.83,5567400,0.0,0
2008-02-04,19.81,20.44,19.46,19.54,5566900,0.0,0
2008-02-05,19.21,19.6,18.89,19.06,5763600,0.0,0
2008-02-06,19.17,19.36,18.69,18.76,4388600,0.0,0
2008-02-07,18.69,19.21,18.49,19.0,3607600,0.0,0
2008-02-08,18.93,18.93,18.16,18.5,3451800,0.0,0
2008-02-11,18.34,18.4,17.85,18.07,3508600,0.0,0
2008-02-12,18.14,18.85,18.14,18.8,5631900,0.0,0
2008-02-13,18.92,19.16,18.33,18.61,2972400,0.0,0
2008-02-14,18.58,18.65,18.08,18.1,3904300,0.0,0
2008-02-15,18.12,18.29,17.74,18.27,3423500,0.0,0
2008-02-19,18.44,18.57,17.68,17.78,5080900,0.0,0
2008-02-20,16.96,17.75,16.53,17.58,6427100,0.0,0
2008-02-21,17.52,17.78,17.23,17.29,3796400,0.0,0
2008-02-22,17.41,18.01,17.11,17.98,4413100,0.0,0
2008-02-25,17.95,18.26,17.5,18.21,4652100,0.0,0
2008-02-26,18.1,18.49,17.92,18.19,3768900,0.0,0
2008-02-27,18.04,18.68,17.95,18.37,4040900,0.0,0
2008-02-28,18.21,18.25,17.56,17.65,5490600,0.0,0
2008-02-29,17.39,17.7,16.69,16.82,6147300,0.375,0
2008-03-03,16.7,16.75,16.3,16.49,3249000,0.0,0
2008-03-04,16.31,16.44,15.8,16.31,5140300,0.0,0
2008-03-05,16.46,16.74,16.06,16.2,4891900,0.0,0
2008-03-06,16.04,16.15,15.64,15.64,3501300,0.0,0
2008-03-07,15.54,16.31,15.41,15.97,4702800,0.0,0
2008-03-10,15.97,16.28,15.57,15.93,6696900,0.0,0
2008-03-11,16.33,17.4,16.33,17.37,6609500,0.0,0
2008-03-12,17.21,18.04,16.67,16.67,4998700,0.0,0
2008-03-13,16.47,17.18,16.0,17.08,4818200,0.0,0
2008-03-14,17.21,17.49,15.95,16.2,7899900,0.0,0
2008-03-17,15.77,16.47,15.4,16.25,7482900,0.0,0
2008-03-18,16.6,17.6,16.29,17.05,5499100,0.0,0
2008-03-19,17.37,17.63,16.7,16.79,5534500,0.0,0
2008-03-20,16.8,17.96,16.49,17.9,7523000,0.0,0
2008-03-24,17.96,18.86,17.93,18.36,6363200,0.0,0
2008-03-25,18.38,18.41,17.89,18.31,3960000,0.0,0
2008-03-26,18.15,18.15,17.23,17.36,4151500,0.0,0
2008-03-27,17.37,17.47,16.51,16.87,7824300,0.0,0
2008-03-28,17.0,17.11,16.6,16.69,5175400,0.0,0
2008-03-31,16.71,17.21,16.59,16.74,4400500,0.0,0
2008-04-01,17.4,17.97,17.17,17.92,4812300,0.0,0
2008-04-02,17.93,18.99,17.93,18.56,7777900,0.0,0
2008-04-03,18.48,18.81,18.16,18.63,4549700,0.0,0
2008-04-04,18.7,18.77,18.02,18.09,2985500,0.0,0
2008-04-07,18.32,18.63,18.15,18.34,2476200,0.0,0
2008-04-08,18.24,18.31,17.86,18.13,4134300,0.0,0
2008-04-09,18.31,18.41,17.87,17.87,3042000,0.0,0
2008-04-10,17.83,18.56,17.7,18.29,4018200,0.0,0
2008-04-11,18.03,18.42,17.82,18.01,4473500,0.0,0
2008-04-14,17.8,17.92,16.92,16.95,6054100,0.0,0
2008-04-15,16.99,17.57,16.96,17.34,4284900,0.0,0
2008-04-16,17.71,18.56,17.71,18.46,6059600,0.0,0
2008-04-17,18.68,18.68,17.17,18.08,7286300,0.0,0
2008-04-18,18.6,19.24,18.6,18.82,5131500,0.0,0
2008-04-21,18.7,18.84,17.38,17.67,6579400,0.0,0
2008-04-22,17.56,17.81,17.31,17.63,4436800,0.0,0
2008-04-23,17.65,17.81,17.33,17.5,3567400,0.0,0
2008-04-24,17.55,18.31,17.55,18.11,5474300,0.0,0
2008-04-25,18.29,18.65,17.85,18.56,3726100,0.0,0
2008-04-28,18.69,18.69,18.29,18.47,2912500,0.0,0
2008-04-29,18.52,18.61,18.27,18.42,1757500,0.0,0
2008-04-30,18.5,18.9,18.34,18.4,3263900,0.0,0
2008-05-01,18.38,19.66,18.38,19.53,3835400,0.0,0
2008-05-02,19.76,19.92,19.3,19.43,3409200,0.0,0
2008-05-05,19.4,19.58,19.09,19.3,2338100,0.0,0
2008-05-06,19.1,19.55,18.79,19.37,3011800,0.0,0
