Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,29.88,30.08,28.88,29.0,683500,0.0,0
2008-01-03,29.03,29.05,28.39,28.48,627800,0.0,0
2008-01-04,28.16,28.2,26.15,26.34,1240600,0.0,0
2008-01-07,26.41,26.98,26.03,26.68,1485800,0.0,0
2008-01-08,26.82,27.03,25.76,25.78,1193500,0.0,0
2008-01-09,25.66,26.14,25.02,25.51,1262800,0.0,0
2008-01-10,25.36,26.49,24.95,26.16,1014100,0.0,0
2008-01-11,25.94,26.34,25.18,25.34,660000,0.0,0
2008-01-14,25.47,25.97,25.44,25.81,503900,0.0,0
2008-01-15,25.43,25.44,23.34,23.91,2178800,0.0,0
2008-01-16,23.77,24.11,22.83,23.42,1758700,0.0,0
2008-01-17,23.47,24.03,22.04,22.06,1045000,0.0,0
2008-01-18,22.33,22.46,21.46,21.69,1764200,0.0,0
2008-01-22,21.28,22.84,20.84,22.32,1988100,0.0,0
2008-01-23,20.82,22.37,20.56,22.26,2577200,0.0,0
2008-01-24,22.38,22.91,21.09,21.88,2052200,0.0,0
2008-01-25,22.13,25.11,22.0,23.48,1660300,0.0,0
2008-01-28,23.44,23.55,22.89,23.36,896300,0.0,0
2008-01-29,23.45,23.73,23.11,23.38,748900,0.0,0
2008-01-30,23.31,24.26,22.94,23.41,616700,0.0,0
2008-01-31,23.02,24.4,22.88,24.22,653100,0.0,0
2008-02-01,24.22,25.09,24.1,25.01,813100,0.12,0
2008-02-04,25.03,25.03,24.36,24.82,613400,0.0,0
2008-02-05,24.42,24.56,23.59,23.66,940700,0.0,0
2008-02-06,23.78,23.94,23.18,23.26,626800,0.0,0
2008-02-07,23.15,23.68,22.79,23.49,740100,0.0,0
2008-02-08,23.47,24.12,23.47,23.86,711200,0.0,0
2008-02-11,24.02,24.84,24.02,24.28,972500,0.0,0
2008-02-12,24.41,24.44,24.03,24.22,586600,0.0,0
2008-02-13,24.46,25.21,24.29,25.13,638000,0.0,0
2008-02-14,25.21,25.21,24.34,24.38,547200,0.0,0
