Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,28.9,29.56,28.56,29.45,41200,0.0,0.0
2008-01-03,29.96,29.96,27.78,27.78,48000,0.82,0.0
2008-01-04,27.47,27.47,25.63,25.63,74100,0.0,0.0
2008-01-07,25.82,26.11,25.02,25.13,72200,0.0,0.0
2008-01-08,25.29,25.8,24.01,24.22,55300,0.0,0.0
2008-01-09,24.02,24.29,22.78,24.22,47400,0.0,0.0
2008-01-10,22.97,24.35,22.68,24.08,82600,0.0,0.0
2008-01-11,23.87,24.41,23.49,24.12,58200,0.0,0.0
2008-01-14,24.35,24.35,22.97,23.64,77700,0.0,0.0
2008-01-15,23.34,23.74,22.82,23.37,38800,0.0,0.0
2008-01-16,23.26,24.75,23.26,24.14,164500,0.0,0.0
2008-01-17,24.12,24.24,23.12,23.32,56900,0.0,0.0
2008-01-18,23.32,23.95,22.78,23.24,38300,0.0,0.0
2008-01-22,22.32,24.48,22.01,24.01,62700,0.0,0.0
2008-01-23,23.18,25.88,23.18,25.75,47000,0.0,0.0
2008-01-24,25.8,26.34,24.69,25.4,49200,0.0,0.0
2008-01-25,25.88,26.11,24.6,24.81,24300,0.0,0.0
2008-01-28,24.75,26.15,24.41,25.96,25500,0.0,0.0
2008-01-29,26.02,26.02,25.23,25.31,30300,0.0,0.0
2008-01-30,24.92,25.71,24.56,25.04,53300,0.0,0.0
2008-01-31,24.85,25.63,24.62,25.06,26800,0.0,0.0
2008-02-01,25.15,26.25,25.1,26.21,28500,0.0,0.0
2008-02-04,25.84,26.44,25.29,26.42,24800,0.0,0.0
2008-02-05,25.79,26.63,25.5,25.61,20500,0.0,0.0
2008-02-06,25.84,26.05,25.36,25.48,22800,0.0,0.0
2008-02-07,25.56,26.53,24.98,26.53,46100,0.0,0.0
2008-02-08,26.72,26.72,25.12,25.35,65300,0.0,0.0
2008-02-11,25.27,25.38,24.22,24.41,32600,0.0,0.0
2008-02-12,24.58,26.02,24.58,25.54,19500,0.0,0.0
2008-02-13,25.88,26.34,25.17,25.65,46300,0.0,0.0
2008-02-14,25.8,25.84,24.73,25.12,30600,0.0,0.0
2008-02-15,24.91,25.23,24.39,24.75,48300,0.0,0.0
2008-02-19,25.12,25.4,24.5,24.79,13800,0.0,0.0
2008-02-20,24.58,25.69,24.45,25.69,14100,0.0,0.0
2008-02-21,25.69,25.88,25.02,25.19,33200,0.0,0.0
2008-02-22,25.17,25.56,24.46,25.42,26200,0.0,0.0
2008-02-25,25.46,26.32,25.46,26.26,20800,0.0,0.0
2008-02-26,26.03,26.25,25.77,25.86,74300,0.0,0.0
2008-02-27,25.5,26.36,25.08,25.4,29500,0.0,0.0
2008-02-28,25.23,25.33,24.39,24.5,52600,0.0,0.0
2008-02-29,24.12,24.5,24.01,24.2,100300,0.0,0.0
2008-03-03,24.12,24.41,23.45,23.91,40400,0.0,0.0
2008-03-04,23.6,24.68,23.6,24.45,26100,0.0,0.0
2008-03-05,24.6,24.87,24.29,24.33,18300,0.0,0.0
2008-03-06,24.22,24.29,23.32,23.53,20300,0.0,0.0
2008-03-07,23.12,23.93,23.12,23.45,33900,0.0,0.0
2008-03-10,23.58,23.68,23.09,23.14,24000,0.0,0.0
2008-03-11,23.85,24.02,22.7,23.93,65900,0.0,0.0
2008-03-12,24.06,24.46,23.45,23.45,46300,0.0,0.0
2008-03-13,23.16,24.94,23.16,24.27,29400,0.0,0.0
2008-03-14,24.25,24.66,23.55,24.45,31800,0.0,0.0
2008-03-17,23.81,25.06,23.81,24.89,26600,0.0,0.0
2008-03-18,25.36,25.88,24.89,25.88,25800,0.0,0.0
2008-03-19,26.17,26.7,25.52,25.52,21800,0.0,0.0
2008-03-20,26.32,26.92,26.15,26.61,77300,0.0,0.0
2008-03-24,26.67,29.52,26.67,28.04,61500,0.0,0.0
2008-03-25,28.04,29.17,27.57,28.81,64400,0.0,0.0
2008-03-26,28.68,29.35,28.29,29.0,24300,0.0,0.0
2008-03-27,29.19,29.31,27.64,27.76,24500,0.0,0.0
2008-03-28,27.83,28.04,26.8,26.9,23200,0.0,0.0
2008-03-31,27.13,27.7,26.8,26.8,88800,0.0,0.0
2008-04-01,26.88,28.2,26.88,27.95,34000,0.0,0.0
2008-04-02,27.95,29.27,27.72,28.91,77700,0.0,0.0
2008-04-03,28.94,29.54,28.62,29.38,43100,0.82,0.0
2008-04-04,29.28,30.12,28.99,29.32,31600,0.0,0.0
2008-04-07,29.52,29.69,28.99,29.38,33300,0.0,0.0
2008-04-08,29.19,29.48,28.76,29.28,18500,0.0,0.0
2008-04-09,29.11,29.11,28.08,28.26,15800,0.0,0.0
2008-04-10,28.18,29.3,28.02,28.14,19700,0.0,0.0
2008-04-11,27.87,28.14,27.48,27.69,20300,0.0,0.0
2008-04-14,27.67,28.62,27.5,27.63,20300,0.0,0.0
2008-04-15,27.87,27.98,27.36,27.5,24300,0.0,0.0
2008-04-16,27.83,28.45,27.67,28.08,46300,0.0,0.0
2008-04-17,28.04,28.04,27.65,27.71,53400,0.0,0.0
2008-04-18,28.2,28.43,27.87,28.0,45500,0.0,0.0
2008-04-21,27.71,27.89,27.01,27.15,85200,0.0,0.0
2008-04-22,26.98,27.25,26.47,26.7,62000,0.0,0.0
2008-04-23,26.72,26.96,26.24,26.41,77900,0.0,0.0
2008-04-24,26.47,26.76,26.35,26.76,160400,0.0,0.0
2008-04-25,26.82,26.82,26.3,26.3,158300,0.0,0.0
2008-04-28,26.22,26.82,26.22,26.35,75100,0.0,0.0
2008-04-29,26.41,26.74,26.24,26.51,162500,0.0,0.0
2008-04-30,26.65,27.03,26.24,26.35,111700,0.0,0.0
2008-05-01,26.47,27.4,26.37,27.17,34000,0.0,0.0
2008-05-02,27.3,27.52,26.92,27.13,30200,0.0,0.0
2008-05-05,27.05,27.42,26.98,27.25,24000,0.0,0.0
2008-05-06,27.09,27.44,26.78,27.32,84500,0.0,0.0
2008-05-07,27.32,27.54,26.43,26.63,39600,0.0,0.0
2008-05-08,26.53,26.78,25.79,26.68,31000,0.0,0.0
2008-05-09,26.0,27.5,26.0,27.34,21800,0.0,0.0
2008-05-12,27.42,27.77,27.19,27.75,24200,0.0,0.0
2008-05-13,27.85,27.85,27.07,27.54,41300,0.0,0.0
2008-05-14,27.52,28.24,27.52,27.79,14900,0.0,0.0
2008-05-15,27.73,28.12,27.36,28.1,14400,0.0,0.0
2008-05-16,28.12,28.22,27.32,27.87,32000,0.0,0.0
2008-05-19,28.0,28.14,27.42,28.0,29800,0.0,0.0
2008-05-20,27.81,27.81,27.27,27.46,23400,0.0,0.0
2008-05-21,27.69,27.69,26.63,26.94,29000,0.0,0.0
2008-05-22,26.9,27.09,26.57,26.99,37000,0.0,0.0
2008-05-23,26.99,27.27,26.63,27.27,33700,0.0,0.0
2008-05-27,27.4,27.95,27.07,27.42,26500,0.0,0.0
2008-05-28,27.48,27.58,27.01,27.27,31700,0.0,0.0
2008-05-29,27.19,27.62,26.99,27.11,33200,0.0,0.0
2008-05-30,27.17,27.3,26.8,26.98,52900,0.0,0.0
2008-06-02,27.07,27.07,26.37,26.9,22900,0.0,0.0
2008-06-03,26.9,27.09,25.87,26.24,75000,0.0,0.0
2008-06-04,26.2,26.76,26.14,26.66,18500,0.0,0.0
2008-06-05,26.63,27.69,26.53,27.69,23700,0.0,0.0
2008-06-06,27.38,27.63,26.49,26.49,14700,0.0,0.0
2008-06-09,26.49,26.61,25.83,25.93,16900,0.0,0.0
2008-06-10,25.71,26.35,25.71,26.0,32200,0.0,0.0
2008-06-11,25.83,25.93,25.46,25.48,25400,0.0,0.0
2008-06-12,25.71,26.06,25.13,25.54,35300,0.0,0.0
2008-06-13,25.75,25.97,25.42,25.73,17900,0.0,0.0
2008-06-16,25.73,25.89,25.52,25.69,35900,0.0,0.0
2008-06-17,26.3,26.68,25.48,25.48,50900,0.0,0.0
2008-06-18,25.29,25.71,25.13,25.29,35700,0.0,0.0
2008-06-19,25.27,25.81,25.17,25.54,54000,0.0,0.0
2008-06-20,25.4,26.0,25.4,25.81,58300,0.0,0.0
2008-06-23,25.99,26.39,25.21,25.21,16600,0.0,0.0
2008-06-24,25.13,25.62,24.65,25.19,28800,0.0,0.0
2008-06-25,25.17,26.39,25.17,25.73,29600,0.0,0.0
2008-06-26,25.54,25.73,25.03,25.19,22800,0.0,0.0
2008-06-27,25.23,25.36,24.74,24.9,79200,0.0,0.0
2008-06-30,24.9,25.03,24.24,24.26,27000,0.0,0.0
2008-07-01,24.1,24.63,23.79,24.53,24100,0.0,0.0
2008-07-02,24.76,24.88,23.87,24.44,32900,0.82,0.0
2008-07-03,24.52,24.82,24.07,24.22,19000,0.0,0.0
2008-07-07,24.26,24.36,23.69,24.03,28000,0.0,0.0
2008-07-08,24.18,24.72,23.97,24.66,58000,0.0,0.0
2008-07-09,24.72,25.35,23.18,23.18,29300,0.0,0.0
2008-07-10,23.06,24.16,23.06,23.95,31800,0.0,0.0
2008-07-11,23.77,24.32,23.06,23.26,48800,0.0,0.0
2008-07-14,23.61,23.93,22.47,22.53,27700,0.0,0.0
2008-07-15,22.15,22.65,21.7,21.78,58400,0.0,0.0
2008-07-16,21.9,22.47,21.58,22.43,75000,0.0,0.0
2008-07-17,22.78,23.22,21.58,21.9,120800,0.0,0.0
2008-07-18,21.88,21.88,21.32,21.64,57000,0.0,0.0
2008-07-21,21.7,21.8,21.36,21.46,53500,0.0,0.0
2008-07-22,21.44,22.72,21.32,22.72,35100,0.0,0.0
2008-07-23,22.69,23.44,22.45,23.28,41400,0.0,0.0
2008-07-24,23.3,23.47,22.41,22.74,51900,0.0,0.0
2008-07-25,23.0,23.91,22.82,23.79,49000,0.0,0.0
2008-07-28,23.67,24.32,23.55,23.73,60000,0.0,0.0
2008-07-29,23.87,24.7,23.69,24.46,24400,0.0,0.0
2008-07-30,24.66,24.95,23.3,24.03,25600,0.0,0.0
2008-07-31,23.57,24.68,23.53,24.5,41900,0.0,0.0
2008-08-01,24.6,25.29,24.3,25.25,36400,0.0,0.0
2008-08-04,25.35,25.72,25.03,25.17,31100,0.0,0.0
2008-08-05,25.57,26.51,25.19,26.16,29900,0.0,0.0
2008-08-06,26.18,26.18,25.25,25.84,18300,0.0,0.0
2008-08-07,25.51,25.82,25.15,25.68,22400,0.0,0.0
2008-08-08,24.88,24.88,23.26,23.75,112400,0.0,0.0
2008-08-11,23.77,24.89,22.8,24.18,78000,0.0,0.0
