Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,4.94,4.99,4.74,4.86,41800,0.0,0.0
2008-01-03,4.92,5.14,4.88,4.97,47400,0.0,0.0
2008-01-04,4.86,4.87,4.45,4.53,67400,0.0,0.0
2008-01-07,4.63,4.63,4.32,4.54,29800,0.0,0.0
2008-01-08,4.63,4.63,4.36,4.49,78200,0.0,0.0
2008-01-09,4.5,4.65,4.33,4.45,54200,0.0,0.0
2008-01-10,4.44,4.76,4.44,4.65,43000,0.0,0.0
2008-01-11,4.71,4.78,4.61,4.65,39400,0.0,0.0
2008-01-14,4.68,4.79,4.56,4.74,59000,0.0,0.0
2008-01-15,4.74,4.82,4.69,4.82,80600,0.0,0.0
2008-01-16,4.83,5.29,4.83,5.15,126200,0.0,0.0
2008-01-17,5.17,5.17,4.81,4.85,84000,0.0,0.0
2008-01-18,4.81,4.81,4.43,4.72,77400,0.0,0.0
2008-01-22,4.6,5.19,4.39,4.85,54200,0.0,0.0
2008-01-23,4.75,5.37,4.75,5.18,59800,0.0,0.0
2008-01-24,5.18,5.35,5.1,5.27,39000,0.0,0.0
2008-01-25,5.33,5.44,4.84,5.11,50000,0.0,0.0
2008-01-28,5.11,5.6,5.11,5.6,77600,0.0,0.0
2008-01-29,5.6,5.66,5.38,5.48,53600,0.0,0.0
2008-01-30,5.53,5.85,5.36,5.36,46800,0.0,0.0
2008-01-31,5.35,5.66,5.35,5.5,23600,0.0,0.0
2008-02-01,5.61,5.83,5.52,5.81,27400,0.0,0.0
2008-02-04,5.73,6.01,5.57,6.01,76200,0.0,0.0
2008-02-05,5.88,6.17,5.81,5.83,41400,0.0,0.0
2008-02-06,5.88,6.14,5.65,5.65,32000,0.0,0.0
2008-02-07,5.64,5.96,5.64,5.8,24400,0.0,0.0
2008-02-08,5.79,5.87,5.55,5.63,19000,0.0,0.0
2008-02-11,5.7,5.73,5.52,5.68,31200,0.0,0.0
2008-02-12,5.7,5.79,5.61,5.61,23400,0.0,0.0
2008-02-13,5.73,5.93,5.66,5.87,26800,0.0,0.0
2008-02-14,5.81,6.16,5.43,5.8,40800,0.0,0.0
2008-02-15,5.82,6.16,5.82,5.91,48400,0.0,0.0
2008-02-19,6.08,6.4,6.07,6.19,79000,0.0,0.0
2008-02-20,6.16,6.38,6.16,6.38,27600,0.0,0.0
2008-02-21,6.41,6.41,6.02,6.12,42400,0.0,0.0
2008-02-22,6.11,6.19,5.87,5.96,19200,0.0,0.0
2008-02-25,5.95,6.29,5.83,6.24,21400,0.0,0.0
2008-02-26,6.33,6.36,6.15,6.22,23600,0.0,0.0
2008-02-27,6.22,6.35,6.11,6.26,23400,0.0,0.0
2008-02-28,6.22,6.22,5.96,6.18,39800,0.0,0.0
2008-02-29,6.19,6.2,5.21,5.23,68800,0.0,0.0
2008-03-03,5.55,5.55,4.97,5.0,56600,0.0,0.0
2008-03-04,5.04,5.08,4.81,5.08,29400,0.0,0.0
2008-03-05,5.08,5.5,5.08,5.29,35400,0.0,0.0
2008-03-06,5.28,5.39,5.02,5.04,22400,0.0,0.0
2008-03-07,5.22,5.45,5.03,5.26,50200,0.25,0.0
2008-03-10,5.46,5.46,5.19,5.23,22400,0.0,0.0
2008-03-11,5.29,5.58,5.18,5.53,53400,0.0,0.0
2008-03-12,5.46,5.52,5.34,5.42,18800,0.0,0.0
2008-03-13,5.18,5.73,4.79,5.49,61800,0.0,0.0
2008-03-14,5.53,5.53,5.19,5.41,43400,0.0,0.0
2008-03-17,5.4,5.77,5.4,5.67,23200,0.0,0.0
2008-03-18,5.73,6.1,4.83,6.1,35800,0.0,0.0
2008-03-19,5.9,6.38,5.9,6.12,77200,0.0,0.0
2008-03-20,5.94,6.26,5.65,5.78,114200,0.0,0.0
2008-03-24,5.85,6.69,5.79,6.62,102600,0.0,0.0
2008-03-25,6.47,6.8,6.47,6.76,55000,0.0,0.0
2008-03-26,6.72,7.17,6.72,7.15,29800,0.0,0.0
2008-03-27,7.2,7.2,6.75,6.99,41400,0.0,0.0
2008-03-28,6.97,7.12,6.79,6.95,49000,0.0,0.0
2008-03-31,6.88,7.1,6.88,7.03,39200,0.0,0.0
2008-04-01,7.1,7.42,6.99,7.4,26600,0.0,0.0
2008-04-02,7.34,7.5,6.94,7.4,40000,0.0,0.0
2008-04-03,7.27,7.52,7.2,7.51,63600,0.0,0.0
2008-04-04,7.43,7.72,7.43,7.58,44600,0.0,0.0
2008-04-07,7.69,7.9,7.67,7.71,42400,0.0,0.0
