Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,31.0,31.0,30.5,30.5,30100,0,0
2008-01-03,31.0,31.0,29.75,29.75,32500,0,0
2008-01-04,29.5,29.5,29.5,29.5,8000,0,0
2008-01-07,30.0,30.0,29.0,29.0,0,0,0
2008-01-08,29.5,29.5,29.0,29.5,19400,0,0
2008-01-09,30.0,30.0,28.5,28.5,0,0,0
2008-01-10,29.5,29.5,29.25,29.25,200,0,0
2008-01-11,28.75,29.25,28.5,29.25,21200,0,0
2008-01-14,28.5,29.0,28.0,29.0,3700,0,0
2008-01-15,28.75,29.0,28.25,29.0,2100,0,0
2008-01-16,28.5,29.0,28.25,29.0,3000,0,0
2008-01-17,28.5,29.0,27.5,28.0,292100,0,0
2008-01-18,28.25,28.25,27.5,27.5,84000,0,0
2008-01-22,26.5,27.0,25.75,27.0,47900,0,0
2008-01-23,26.75,26.75,25.5,26.0,142600,0,0
2008-01-24,26.0,26.0,25.5,26.0,211000,0,0
2008-01-25,26.0,26.75,25.5,25.75,177100,0,0
2008-01-28,25.5,25.75,25.0,25.75,11100,0,0
2008-01-29,25.5,25.5,25.0,25.0,43400,0,0
2008-01-30,25.0,26.0,25.0,26.0,12100,0,0
2008-01-31,25.5,26.0,25.0,26.0,150900,0,0
2008-02-01,26.0,26.0,25.25,25.75,243400,0,0
2008-02-04,26.0,26.25,25.75,26.0,59800,0,0
2008-02-05,26.25,26.25,24.9,25.0,309200,0,0
2008-02-06,25.0,25.25,24.6,24.8,40000,0,0
2008-02-07,25.0,25.0,24.8,25.0,3500,0,0
2008-02-08,25.0,25.0,24.9,24.9,17100,0,0
2008-02-11,24.8,24.9,24.0,24.4,131100,0,0
2008-02-12,24.4,24.4,23.7,23.9,257400,0,0
2008-02-13,24.0,24.2,24.0,24.1,40200,0,0
2008-02-14,24.2,24.8,23.9,24.0,1108200,0,0
2008-02-15,23.7,23.8,22.9,23.2,422500,0,0
2008-02-19,23.1,23.5,23.1,23.2,196500,0,0
2008-02-20,23.2,23.2,22.0,22.3,702200,0,0
2008-02-21,22.3,22.3,22.3,22.3,0,0,0
2008-02-22,22.1,22.7,22.1,22.7,97000,0,0
2008-02-25,22.8,23.2,22.3,22.5,545400,0,0
2008-02-26,22.6,22.6,21.9,21.9,596300,0,0
2008-02-27,22.3,22.8,21.9,22.1,2072400,0,0
2008-02-28,22.3,22.4,22.0,22.2,1454800,0,0
2008-02-29,22.3,23.1,22.3,22.7,2266800,0,0
2008-03-03,22.9,24.3,22.9,24.0,2421100,0,0
2008-03-04,24.6,24.6,23.6,23.7,1781100,0,0
2008-03-05,23.7,24.0,23.5,23.9,695900,0,0
2008-03-06,24.0,24.3,23.7,23.7,696100,0,0
2008-03-07,23.5,23.7,23.5,23.6,556100,0,0
2008-03-10,23.5,23.5,23.3,23.4,549300,0,0
2008-03-11,23.4,23.9,23.4,23.9,347900,0,0
2008-03-12,24.2,24.2,23.7,23.8,474400,0,0
2008-03-13,23.6,23.8,23.5,23.7,171800,0,0
2008-03-14,23.6,23.8,23.5,23.7,228000,0,0
2008-03-17,23.5,23.6,23.5,23.5,262100,0,0
2008-03-18,23.5,24.0,23.5,23.7,123100,0,0
2008-03-19,23.9,23.9,23.6,23.6,111600,0,0
2008-03-20,23.5,23.6,23.5,23.5,176900,0,0
2008-03-24,23.6,23.7,23.5,23.7,99500,0,0
2008-03-25,23.8,24.1,23.8,24.0,671300,0,0
2008-03-26,22.6,22.8,22.6,22.7,274700,0,0
2008-03-27,22.8,23.0,22.8,23.0,97800,0,0
2008-03-28,23.0,23.2,23.0,23.2,105800,0,0
2008-03-31,23.0,23.3,23.0,23.3,145000,0,0
2008-04-01,23.3,23.3,23.3,23.3,150800,0,0
2008-04-02,23.3,23.6,23.3,23.5,137400,0,0
2008-04-03,23.6,23.6,23.3,23.6,197400,0,0
2008-04-04,23.5,23.5,23.2,23.5,91300,0,0
2008-04-07,23.5,23.5,23.5,23.5,0,0,0
2008-04-08,23.4,23.5,23.3,23.5,60500,0,0
2008-04-09,23.4,23.4,23.3,23.4,39300,0,0
2008-04-10,23.3,23.3,23.3,23.3,72900,0,0
2008-04-11,23.1,24.1,23.0,24.0,727700,0,0
2008-04-14,24.0,24.0,24.0,24.0,0,0,0
2008-04-15,24.0,24.0,24.0,24.0,0,0,0
2008-04-16,24.0,24.0,23.7,23.7,288000,0,0
