Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,16.75,16.75,15.77,15.89,46600,0.0,0
2008-01-03,15.81,16.59,15.01,15.01,45500,0.0,0
2008-01-04,15.0,15.0,14.37,14.67,45200,0.0,0
2008-01-07,14.74,14.83,14.24,14.36,23300,0.0,0
2008-01-08,14.51,14.57,14.08,14.3,31000,0.0,0
2008-01-09,14.4,14.55,14.09,14.33,32200,0.0,0
2008-01-10,14.29,15.04,14.24,14.71,20800,0.0,0
2008-01-11,14.63,14.63,13.99,14.21,41100,0.0,0
2008-01-14,14.49,14.6,14.14,14.37,34300,0.0,0
2008-01-15,14.25,14.25,13.82,13.98,42400,0.215,0
2008-01-16,14.61,14.74,13.92,14.45,25000,0.0,0
2008-01-17,15.08,15.08,12.97,13.2,108000,0.0,0
2008-01-18,13.19,13.25,12.34,12.9,79700,0.0,0
2008-01-22,11.71,13.49,11.71,13.0,78900,0.0,0
2008-01-23,13.12,13.39,12.61,12.91,78400,0.0,0
2008-01-24,12.65,13.22,12.51,13.02,71300,0.0,0
2008-01-25,13.79,14.67,12.46,14.45,120200,0.0,0
2008-01-28,15.0,15.18,13.76,15.18,91400,0.0,0
2008-01-29,15.3,15.3,14.83,14.91,52400,0.0,0
2008-01-30,14.86,15.34,14.69,15.14,51700,0.0,0
2008-01-31,15.07,15.54,14.98,15.36,41600,0.0,0
2008-02-01,15.49,15.98,15.37,15.97,31100,0.0,0
2008-02-04,15.97,16.24,15.36,15.49,56100,0.0,0
2008-02-05,15.4,16.32,15.25,15.26,56500,0.0,0
2008-02-06,15.36,16.18,15.31,15.44,36600,0.0,0
2008-02-07,15.31,15.72,14.98,15.36,36400,0.0,0
2008-02-08,15.34,15.51,15.15,15.43,25300,0.0,0
2008-02-11,15.53,16.35,15.37,16.25,40000,0.0,0
2008-02-12,16.44,16.45,15.85,15.93,25700,0.0,0
2008-02-13,15.99,16.87,15.96,16.87,27100,0.0,0
2008-02-14,16.77,16.77,15.89,16.35,28900,0.0,0
2008-02-15,16.31,16.45,15.78,15.9,35200,0.0,0
2008-02-19,16.06,16.81,15.73,16.17,42300,0.0,0
2008-02-20,16.18,16.55,16.01,16.55,85500,0.0,0
2008-02-21,16.61,17.37,16.48,16.94,52500,0.0,0
2008-02-22,16.86,16.86,16.03,16.23,32000,0.0,0
2008-02-25,16.25,16.64,16.15,16.52,22700,0.0,0
2008-02-26,16.48,16.79,16.22,16.65,100700,0.0,0
2008-02-27,17.4,18.36,17.34,17.9,208000,0.0,0
2008-02-28,18.05,18.66,17.66,18.16,83800,0.0,0
2008-02-29,18.26,18.65,17.78,18.02,183300,0.0,0
2008-03-03,18.21,18.78,18.21,18.78,112100,0.0,0
2008-03-04,18.9,19.01,18.17,18.19,370200,0.0,0
2008-03-05,18.13,18.87,18.06,18.75,161000,0.0,0
2008-03-06,18.81,19.24,18.56,18.78,147200,0.0,0
2008-03-07,18.67,19.28,18.58,19.08,66700,0.0,0
2008-03-10,19.08,19.51,18.12,18.14,72800,0.0,0
2008-03-11,18.33,20.36,18.33,20.24,99600,0.0,0
2008-03-12,19.61,20.74,19.56,19.56,128000,0.0,0
2008-03-13,19.51,20.63,18.89,20.32,94300,0.0,0
2008-03-14,20.42,20.57,19.28,19.56,55800,0.0,0
2008-03-17,19.53,20.47,19.31,20.05,60700,0.0,0
2008-03-18,20.13,20.74,19.86,20.54,107100,0.0,0
2008-03-19,20.54,20.84,19.47,19.86,121700,0.0,0
2008-03-20,19.9,20.46,19.65,19.99,69700,0.0,0
2008-03-24,19.88,20.75,19.88,20.2,92600,0.0,0
2008-03-25,20.19,21.38,20.19,21.38,156200,0.0,0
2008-03-26,21.44,21.55,20.89,21.47,127000,0.0,0
2008-03-27,21.48,21.63,21.06,21.15,143400,0.0,0
2008-03-28,21.15,22.21,21.15,21.88,135800,0.0,0
2008-03-31,22.61,24.48,22.52,23.99,483600,0.0,0
2008-04-01,24.01,24.01,22.89,22.89,174900,0.0,0
2008-04-02,23.09,23.54,23.04,23.39,89900,0.0,0
2008-04-03,23.49,23.75,23.16,23.23,142900,0.0,0
2008-04-04,23.02,23.77,23.02,23.62,107300,0.0,0
2008-04-07,23.91,24.03,23.46,23.46,96400,0.0,0
2008-04-08,22.66,23.77,22.08,23.77,164600,0.0,0
2008-04-09,24.0,24.0,22.99,23.06,120000,0.0,0
2008-04-10,23.29,23.62,23.06,23.46,55600,0.0,0
2008-04-11,23.48,23.62,23.02,23.02,34000,0.0,0
2008-04-14,23.04,23.94,23.04,23.54,128900,0.23,0
2008-04-15,23.5,23.55,22.18,23.26,93200,0.0,0
2008-04-16,23.35,24.9,23.35,24.53,90900,0.0,0
2008-04-17,24.26,24.26,23.46,23.87,63300,0.0,0
2008-04-18,24.15,24.9,23.91,24.8,66700,0.0,0
2008-04-21,24.76,24.76,23.79,24.57,110600,0.0,0
2008-04-22,24.34,24.34,23.72,23.97,84100,0.0,0
2008-04-23,24.04,25.64,23.61,25.42,219500,0.0,0
2008-04-24,25.3,25.85,24.28,24.51,101200,0.0,0
2008-04-25,24.53,25.11,24.36,24.91,49100,0.0,0
2008-04-28,25.05,25.81,24.59,24.84,90300,0.0,0
2008-04-29,24.66,25.53,24.58,24.58,69800,0.0,0
2008-04-30,23.87,24.53,22.02,23.95,196200,0.0,0
2008-05-01,24.07,24.21,23.29,24.03,103700,0.0,0
2008-05-02,23.91,24.18,22.59,23.13,110100,0.0,0
2008-05-05,22.96,23.87,22.96,23.39,99400,0.0,0
2008-05-06,23.18,23.59,22.81,23.24,104300,0.0,0
2008-05-07,23.32,23.33,22.75,22.83,52800,0.0,0
2008-05-08,22.75,22.79,21.92,22.42,44600,0.0,0
2008-05-09,22.31,22.35,22.04,22.3,38900,0.0,0
2008-05-12,22.21,23.18,22.21,23.06,103300,0.0,0
2008-05-13,23.06,23.18,22.73,23.11,45600,0.0,0
2008-05-14,23.18,23.36,22.55,22.82,43700,0.0,0
2008-05-15,22.78,22.96,22.45,22.72,49900,0.0,0
2008-05-16,22.6,22.91,22.31,22.31,68400,0.0,0
2008-05-19,22.38,22.41,21.44,21.87,81700,0.0,0
2008-05-20,21.9,21.93,20.59,21.79,46500,0.0,0
2008-05-21,21.63,22.75,21.62,22.4,73600,0.0,0
2008-05-22,22.47,22.51,21.83,22.27,60100,0.0,0
2008-05-23,22.02,22.02,21.6,21.84,34900,0.0,0
2008-05-27,21.69,22.56,21.69,22.35,66400,0.0,0
2008-05-28,22.42,23.86,22.42,23.53,186200,0.0,0
2008-05-29,23.67,25.64,23.48,25.23,262800,0.0,0
2008-05-30,25.33,25.35,23.9,24.7,166700,0.0,0
2008-06-02,23.47,23.47,22.69,23.02,257400,0.0,0
2008-06-03,23.18,23.18,21.97,22.0,107700,0.0,0
2008-06-04,21.94,23.43,21.94,23.3,95300,0.0,0
2008-06-05,23.2,23.47,22.62,23.37,47300,0.0,0
2008-06-06,23.18,23.56,22.85,22.85,47200,0.0,0
2008-06-09,22.63,23.45,22.51,23.09,88800,0.0,0
2008-06-10,23.18,23.18,22.51,22.76,58100,0.0,0
2008-06-11,22.68,22.82,21.84,21.84,43300,0.0,0
2008-06-12,21.97,22.62,21.63,22.48,66700,0.0,0
2008-06-13,22.54,23.26,22.54,23.13,42900,0.0,0
2008-06-16,23.19,23.76,23.1,23.76,100900,0.0,0
2008-06-17,24.03,24.03,22.49,23.43,86500,0.0,0
2008-06-18,23.43,23.79,23.26,23.71,44400,0.0,0
2008-06-19,23.91,23.91,23.34,23.57,40500,0.0,0
2008-06-20,23.48,23.66,22.91,23.26,50400,0.0,0
2008-06-23,23.36,23.85,23.09,23.22,47200,0.0,0
2008-06-24,23.04,23.07,21.51,21.73,59600,0.0,0
2008-06-25,21.96,21.96,20.24,20.38,129000,0.0,0
2008-06-26,20.51,22.08,19.93,21.3,106700,0.0,0
2008-06-27,21.29,21.32,20.2,20.63,732100,0.0,0
2008-06-30,20.56,21.0,20.31,20.6,92000,0.0,0
2008-07-01,20.41,21.12,19.9,21.12,114700,0.0,0
