Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-11-09,22.61,26.62,22.61,25.19,2506000,0.0,0.0
2009-11-10,25.19,25.52,24.74,25.5,3098800,0.0,0.0
2009-11-11,25.74,27.14,25.5,26.98,1545000,0.0,0.0
2009-11-12,28.66,29.11,28.15,28.52,3996800,0.0,0.0
2009-11-13,28.66,29.55,28.66,29.11,3055400,0.0,0.0
2009-11-16,29.44,30.19,29.11,30.0,2036000,0.0,0.0
2009-11-17,30.18,30.63,29.55,29.92,2357200,0.0,0.0
2009-11-18,30.0,30.11,29.24,29.44,1097000,0.0,0.0
2009-11-19,29.55,29.67,28.26,28.43,2137800,0.0,0.0
2009-11-20,28.55,29.02,28.21,28.55,2271600,0.0,0.0
2009-11-23,29.3,29.61,28.65,28.66,1492800,0.0,0.0
2009-11-24,29.96,29.96,28.52,28.52,541600,0.0,0.0
2009-11-25,28.52,28.75,28.52,28.61,726200,0.0,0.0
2009-11-27,27.99,28.71,27.99,28.43,231800,0.0,0.0
2009-11-30,28.32,28.48,28.01,28.21,722800,0.0,0.0
2009-12-01,28.28,28.6,28.07,28.26,1337600,0.0,0.0
2009-12-02,28.21,28.88,27.87,28.21,1235000,0.0,0.0
2009-12-03,28.26,28.32,28.02,28.18,669800,0.0,0.0
2009-12-04,28.21,28.32,28.1,28.22,843200,0.0,0.0
2009-12-07,28.55,28.55,28.13,28.14,451200,0.0,0.0
2009-12-08,28.1,28.1,27.97,28.05,312600,0.0,0.0
2009-12-09,28.1,28.16,27.83,28.12,370600,0.0,0.0
2009-12-10,28.1,28.1,27.83,27.88,343000,0.0,0.0
2009-12-11,27.78,28.31,27.76,28.16,940600,0.0,0.0
2009-12-14,28.32,28.32,27.95,28.21,599400,0.0,0.0
2009-12-15,28.15,29.19,28.15,29.16,2597400,0.0,0.0
2009-12-16,29.52,29.91,29.01,29.56,1684000,0.0,0.0
2009-12-17,29.64,30.21,29.39,30.12,1420000,0.0,0.0
2009-12-18,30.06,30.67,30.05,30.66,2807800,0.0,0.0
2009-12-21,30.47,31.19,30.45,30.58,670800,0.0,0.0
2009-12-22,30.44,31.57,30.27,30.57,1973600,0.0,0.0
2009-12-23,30.57,30.68,30.25,30.45,298200,0.0,0.0
2009-12-24,30.45,30.57,30.39,30.43,78800,0.0,0.0
2009-12-28,30.67,31.25,30.48,30.56,432800,0.0,0.0
2009-12-29,30.71,30.72,30.4,30.71,419800,0.0,0.0
2009-12-30,30.72,30.76,30.04,30.47,919800,0.0,0.0
2009-12-31,30.47,30.51,30.22,30.29,543400,0.0,0.0
2010-01-04,30.88,31.26,30.45,31.06,1381800,0.0,0.0
2010-01-05,31.48,32.26,31.4,32.12,2722200,0.0,0.0
2010-01-06,32.2,32.81,32.12,32.43,3282800,0.0,0.0
2010-01-07,32.71,32.82,32.2,32.33,1432800,0.0,0.0
2010-01-08,32.59,33.02,32.37,32.46,2938000,0.0,0.0
2010-01-11,32.55,32.66,32.19,32.3,2689600,0.0,0.0
2010-01-12,32.29,32.29,31.39,31.81,1422200,0.0,0.0
2010-01-13,32.24,32.42,31.21,31.94,3206800,0.0,0.0
2010-01-14,31.73,32.14,31.71,31.97,2043800,0.0,0.0
2010-01-15,31.93,32.1,31.81,31.9,965200,0.0,0.0
2010-01-19,32.11,32.11,31.75,31.79,1011000,0.0,0.0
2010-01-20,31.99,31.99,31.44,31.82,662800,0.0,0.0
2010-01-21,31.88,32.19,31.34,31.39,1077200,0.0,0.0
2010-01-22,31.76,32.07,30.43,30.9,1638000,0.0,0.0
2010-01-25,31.16,31.65,31.02,31.3,712200,0.0,0.0
2010-01-26,30.95,31.51,30.95,31.34,1384000,0.0,0.0
2010-01-27,31.53,31.53,30.22,30.92,1416200,0.0,0.0
2010-01-28,30.97,31.14,30.56,30.95,1073800,0.0,0.0
2010-01-29,31.19,31.34,30.51,30.81,1164000,0.0,0.0
2010-02-01,31.07,31.41,30.81,31.4,1034800,0.0,0.0
2010-02-02,31.61,31.82,31.26,31.77,1730200,0.0,0.0
2010-02-03,31.68,33.2,31.68,33.1,3975400,0.0,0.0
2010-02-04,33.01,33.01,31.83,31.89,2019600,0.0,0.0
