Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.3758,13.512,12.7315,13.1308,789800,0.0,0
2008-01-03,13.1308,13.2125,10.6081,10.6898,2201900,0.0,0
2008-01-04,10.7896,11.0346,10.5264,10.7624,1236400,0.0,0
2008-01-07,10.9076,10.9892,10.1181,10.1816,2351700,0.0,0
2008-01-08,10.1998,10.6535,9.6553,9.6734,1805100,0.0,0
2008-01-09,9.6462,10.0183,9.4466,9.7279,1407600,0.0,0
2008-01-10,9.6734,10.2814,9.6734,10.0909,1663000,0.0,0
2008-01-11,10.0092,10.1998,9.9547,10.0727,1374000,0.0,0
2008-01-14,10.1181,10.59,10.0183,10.4266,633500,0.0,0
2008-01-15,10.3449,10.4992,10.1181,10.1635,666700,0.0,0
2008-01-16,10.0999,10.4811,9.9184,10.1998,654200,0.0,0
2008-01-17,10.3449,10.3722,9.9003,10.0273,402900,0.0,0
2008-01-18,10.0455,10.2088,9.5736,9.6916,655400,0.0,0
2008-01-22,9.2016,9.8459,8.6299,9.0473,1586500,0.0,0
2008-01-23,8.8477,10.0909,8.8204,9.6553,1360400,0.0,0
2008-01-24,9.5918,9.9638,9.3468,9.9184,870400,0.0,0
2008-01-25,10.0909,10.1725,9.8368,10.0183,1008000,0.0,0
2008-01-28,10.0273,10.8713,9.7914,10.835,1361300,0.0,0
2008-01-29,10.8713,10.9802,10.4811,10.9257,599800,0.0,0
2008-01-30,10.9439,11.3613,10.7352,10.835,745300,0.0,0
2008-01-31,10.7624,11.0437,10.6535,10.8259,1049100,0.0,0
2008-02-01,10.8713,11.5791,10.8622,11.4157,901300,0.0,0
2008-02-04,11.3431,12.0782,11.2796,11.6698,691400,0.0,0
2008-02-05,11.5519,11.7424,11.2343,11.4157,683100,0.0,0
2008-02-06,11.3613,11.4974,11.1344,11.2705,720900,0.0,0
2008-02-07,11.2252,11.6154,11.0528,11.1707,615100,0.0,0
2008-02-08,11.1707,11.1707,10.5537,10.8077,902700,0.0,0
2008-02-11,10.9166,10.9439,10.3449,10.5355,639100,0.0,0
2008-02-12,10.6626,10.844,10.5264,10.5718,394800,0.0,0
2008-02-13,10.7442,11.1435,10.59,11.0346,1017300,0.0,0
2008-02-14,11.0165,11.0255,10.6898,10.7442,494300,0.0,0
2008-02-15,10.6807,10.8259,10.4538,10.7987,636400,0.0,0
2008-02-19,10.9802,11.0255,10.7715,10.962,462300,0.0,0
2008-02-20,10.844,11.3431,10.8168,11.3159,510500,0.0,0
2008-02-21,11.3613,11.5882,10.7624,10.7805,659100,0.0,0
2008-02-22,10.8168,11.0709,10.4629,10.7352,581600,0.0,0
2008-02-25,10.7805,11.0528,10.3722,11.0437,375800,0.0,0
2008-02-26,11.0618,11.57,11.0528,11.1072,416600,0.0,0
2008-02-27,10.9892,11.2887,10.6989,10.844,681600,0.0,0
2008-02-28,10.9363,10.9363,9.3226,9.7836,1705100,0.19,0
2008-02-29,9.756,9.9219,9.4609,9.507,1128200,0.0,0
2008-03-03,9.5808,9.7006,9.4056,9.5715,999500,0.0,0
2008-03-04,9.4332,9.5623,9.0459,9.2027,1694800,0.0,0
2008-03-05,9.3318,9.5992,9.2027,9.4885,638300,0.0,0
2008-03-06,9.4609,9.8666,9.3594,9.6269,700800,0.0,0
2008-03-07,9.5254,10.3,9.1474,9.2211,556500,0.0,0
2008-03-10,9.2949,9.5162,8.9906,9.0275,520200,0.0,0
2008-03-11,9.1105,9.5623,8.9537,9.1935,586800,0.0,0
2008-03-12,9.175,9.3041,8.7232,8.7785,515400,0.0,0
2008-03-13,8.6863,9.009,8.5388,9.009,750800,0.0,0
2008-03-14,9.1289,10.1525,8.8062,9.1289,714900,0.0,0
2008-03-17,8.7785,9.6269,8.7785,9.258,536500,0.0,0
2008-03-18,9.3041,10.6504,8.9629,9.7836,511300,0.0,0
2008-03-19,10.1432,10.3553,9.5623,9.59,294900,0.0,0
2008-03-20,10.3277,11.2959,9.6914,10.2723,1063000,0.0,0
2008-03-24,10.134,10.8902,10.134,10.6781,426400,0.0,0
2008-03-25,10.7426,11.5264,10.7242,10.9455,420600,0.0,0
2008-03-26,10.8164,11.1299,10.3738,10.6596,389900,0.0,0
2008-03-27,10.6781,10.6781,10.1432,10.2078,311600,0.0,0
2008-03-28,10.217,10.3092,9.8666,9.9219,207400,0.0,0
2008-03-31,9.3226,9.8205,9.0551,9.2303,982400,0.0,0
2008-04-01,9.4793,9.8574,9.3318,9.7098,1436400,0.0,0
2008-04-02,9.8021,10.4383,9.59,10.1248,822200,0.0,0
2008-04-03,9.9865,10.3922,9.9865,10.3092,439800,0.0,0
2008-04-04,10.2723,10.2816,9.7652,9.8389,364300,0.0,0
2008-04-07,9.9127,9.9588,9.6176,9.7652,320000,0.0,0
