Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,56.28,56.77,55.02,55.32,2101200,0.0,0
2008-01-03,55.61,57.3,55.45,56.42,1942200,0.0,0
2008-01-04,55.21,55.21,53.22,53.62,2423700,0.0,0
2008-01-07,54.33,54.94,53.79,54.57,1776700,0.0,0
2008-01-08,54.74,55.71,52.8,52.87,3073200,0.0,0
2008-01-09,52.97,53.45,50.92,53.45,3168000,0.0,0
2008-01-10,53.15,56.78,52.56,55.81,2743900,0.0,0
2008-01-11,54.98,56.18,54.17,55.04,2588000,0.0,0
2008-01-14,55.6,55.89,54.98,55.6,1074200,0.0,0
2008-01-15,54.81,55.95,53.74,53.74,3369200,0.0,0
2008-01-16,53.52,55.04,52.98,53.51,2810400,0.0,0
2008-01-17,53.86,54.3,52.82,52.82,4374100,0.0,0
2008-01-18,53.41,54.89,52.52,53.1,4370800,0.0,0
2008-01-22,51.1,55.91,50.83,55.21,3437600,0.0,0
2008-01-23,54.25,57.88,53.39,57.23,3850900,0.0,0
2008-01-24,55.33,57.24,55.24,55.5,2694900,0.0,0
2008-01-25,55.93,56.41,53.41,53.75,2905600,0.0,0
2008-01-28,54.17,55.69,53.2,55.36,1778000,0.0,0
2008-01-29,55.47,55.58,54.03,54.75,2986900,0.0,0
2008-01-30,54.94,57.36,53.19,55.46,3140500,0.0,0
2008-01-31,54.88,56.32,54.18,55.28,3155800,0.0,0
2008-02-01,55.75,57.1,55.02,56.43,2666500,0.0,0
2008-02-04,56.36,56.44,54.4,56.13,1692800,0.0,0
2008-02-05,55.25,55.61,53.88,53.95,1799100,0.0,0
2008-02-06,54.4,55.2,53.62,53.74,1531100,0.0,0
2008-02-07,53.55,55.71,53.38,54.96,1916700,0.0,0
2008-02-08,54.4,54.71,53.12,53.29,2208900,0.0,0
2008-02-11,53.25,54.28,52.52,53.67,1625600,0.0,0
2008-02-12,54.05,55.0,53.73,54.22,1565500,0.0,0
2008-02-13,54.55,54.55,53.12,54.27,1487000,0.0,0
2008-02-14,53.93,54.51,53.37,53.55,987600,0.0,0
2008-02-15,53.39,53.57,52.48,53.08,1694900,0.0,0
2008-02-19,53.79,53.94,51.92,52.39,1835800,0.0,0
2008-02-20,51.52,54.14,51.25,53.69,2068000,0.0,0
2008-02-21,53.78,54.05,52.36,52.58,1463700,0.0,0
2008-02-22,52.69,53.76,51.87,53.76,1437400,0.0,0
2008-02-25,53.73,53.95,52.46,53.78,1803600,0.0,0
2008-02-26,53.48,54.75,53.25,53.96,1700700,0.0,0
2008-02-27,53.52,55.03,53.32,54.36,1537200,0.0,0
2008-02-28,53.82,53.82,52.72,52.82,1113800,0.0,0
2008-02-29,52.34,52.34,50.43,50.74,1742900,0.0,0
2008-03-03,50.73,50.73,49.48,49.92,1940200,0.0,0
2008-03-04,49.57,50.13,49.16,49.91,2163400,0.24,0
2008-03-05,51.24,51.24,49.26,49.73,2054500,0.0,0
2008-03-06,49.44,49.58,48.93,49.03,2409500,0.0,0
2008-03-07,47.82,50.32,47.73,48.76,1584600,0.0,0
2008-03-10,48.59,48.94,45.69,45.69,2739000,0.0,0
2008-03-11,47.76,49.4,46.75,49.33,2289300,0.0,0
2008-03-12,49.4,49.85,47.75,47.85,1419000,0.0,0
2008-03-13,46.65,48.15,45.66,47.68,2587200,0.0,0
2008-03-14,46.92,48.12,44.09,45.29,3317100,0.0,0
2008-03-17,40.92,43.04,39.72,40.66,6255600,0.0,0
2008-03-18,42.11,43.26,41.53,42.45,4797400,0.0,0
2008-03-19,42.77,43.57,40.82,40.9,2994600,0.0,0
2008-03-20,41.1,43.14,40.93,43.14,2376800,0.0,0
2008-03-24,43.41,46.26,43.3,45.18,3139400,0.0,0
2008-03-25,44.83,46.19,44.73,45.62,2366300,0.0,0
2008-03-26,45.47,45.47,44.17,44.53,1878200,0.0,0
2008-03-27,44.69,44.69,43.07,43.13,1720500,0.0,0
2008-03-28,43.33,43.93,41.57,41.74,3863500,0.0,0
2008-03-31,41.68,43.76,40.87,43.17,2427300,0.0,0
2008-04-01,43.96,45.5,43.8,45.25,2764000,0.0,0
2008-04-02,45.92,46.19,44.64,45.35,1899800,0.0,0
2008-04-03,45.22,46.25,44.7,45.82,1211400,0.0,0
2008-04-04,45.82,46.49,44.93,45.69,1168000,0.0,0
2008-04-07,46.35,47.05,45.49,46.37,1274600,0.0,0
2008-04-08,46.16,46.26,45.01,45.39,1270500,0.0,0
2008-04-09,45.38,45.38,44.12,44.14,1057200,0.0,0
2008-04-10,44.04,45.24,43.88,44.51,993400,0.0,0
2008-04-11,43.66,44.64,43.1,43.28,1162400,0.0,0
2008-04-14,43.33,43.34,42.42,42.52,1130600,0.0,0
2008-04-15,42.72,43.14,42.14,42.89,1378800,0.0,0
2008-04-16,43.34,44.66,43.1,44.62,2297700,0.0,0
2008-04-17,44.4,44.5,43.12,43.86,2713000,0.0,0
2008-04-18,44.37,45.91,44.34,45.23,2902500,0.0,0
2008-04-21,45.04,45.18,44.62,45.0,941300,0.0,0
2008-04-22,45.19,45.37,44.59,44.78,1343200,0.0,0
2008-04-23,45.28,45.69,44.54,45.53,1164400,0.0,0
2008-04-24,45.69,47.91,45.59,47.55,1396800,0.0,0
2008-04-25,47.88,48.39,46.51,47.73,945500,0.0,0
2008-04-28,48.15,48.51,47.44,47.54,1267400,0.0,0
2008-04-29,47.57,47.81,46.8,47.34,1085500,0.0,0
2008-04-30,47.54,47.72,46.4,46.49,1280800,0.0,0
2008-05-01,46.86,48.04,46.4,47.89,2260100,0.0,0
2008-05-02,49.15,50.53,48.6,50.03,1994600,0.0,0
2008-05-05,49.81,49.81,47.68,48.4,2109600,0.0,0
2008-05-06,46.31,46.31,43.42,43.42,7520600,0.0,0
2008-05-07,43.87,44.25,42.96,43.19,13693700,0.0,0
2008-05-08,43.46,43.46,41.96,42.4,5389700,0.0,0
2008-05-09,41.88,43.03,41.58,42.49,4279900,0.0,0
2008-05-12,42.72,43.19,42.4,43.08,2652400,0.0,0
2008-05-13,43.28,43.32,42.52,42.68,2578300,0.0,0
2008-05-14,42.96,43.43,42.68,42.99,2269700,0.0,0
2008-05-15,42.81,44.05,42.81,43.91,2101700,0.0,0
2008-05-16,44.07,44.44,43.4,43.66,2095200,0.0,0
2008-05-19,43.86,44.07,42.93,43.07,1507000,0.0,0
2008-05-20,43.03,43.03,42.26,42.69,2384700,0.0,0
2008-05-21,42.69,42.93,41.09,41.3,1628100,0.0,0
2008-05-22,41.41,42.24,41.12,41.7,1639300,0.0,0
2008-05-23,41.53,41.63,40.6,40.69,1644000,0.0,0
2008-05-27,40.72,41.51,40.49,41.38,1941200,0.0,0
2008-05-28,41.4,41.58,40.37,40.94,2524400,0.0,0
2008-05-29,41.07,42.46,40.7,41.75,1901900,0.0,0
2008-05-30,41.77,42.01,41.41,41.5,1487100,0.0,0
2008-06-02,41.41,41.59,40.26,40.78,1929100,0.0,0
2008-06-03,40.86,41.58,40.34,41.1,1857300,0.0,0
2008-06-04,40.81,41.78,40.55,41.04,2345600,0.0,0
2008-06-05,41.03,42.06,41.0,42.04,1761600,0.0,0
2008-06-06,41.9,42.45,40.99,40.99,2750100,0.24,0
2008-06-09,41.35,41.38,39.58,40.18,2144200,0.0,0
2008-06-10,39.88,41.44,39.71,40.64,2270100,0.0,0
2008-06-11,40.49,40.71,39.23,39.31,2883200,0.0,0
