Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,46.88,47.01,45.4,45.51,1788600,0.0,0
2008-01-03,46.12,46.12,44.96,45.21,1056900,0.0,0
2008-01-04,44.87,44.98,44.14,44.23,1479800,0.0,0
2008-01-07,44.59,45.57,43.92,45.4,2860500,0.0,0
2008-01-08,45.55,46.08,43.6,43.79,2370600,0.415,0
2008-01-09,43.77,44.67,42.96,44.67,2089800,0.0,0
2008-01-10,44.12,45.78,43.96,45.28,2571900,0.0,0
2008-01-11,44.75,46.17,44.19,45.46,1862800,0.0,0
2008-01-14,45.75,46.11,45.35,45.93,1191400,0.0,0
2008-01-15,45.38,45.6,44.57,44.69,1874700,0.0,0
2008-01-16,44.42,46.57,44.42,45.67,2495800,0.0,0
2008-01-17,45.71,46.0,41.9,42.04,3471700,0.0,0
2008-01-18,42.15,42.18,38.99,40.91,5485100,0.0,0
2008-01-22,39.01,41.48,37.52,40.47,3679200,0.0,0
2008-01-23,39.34,42.55,37.09,42.46,4536200,0.0,0
2008-01-24,42.38,42.82,41.24,41.94,2355600,0.0,0
2008-01-25,42.22,43.39,41.32,41.54,2866800,0.0,0
2008-01-28,41.36,42.96,40.93,42.96,1871000,0.0,0
2008-01-29,43.4,44.71,43.0,44.58,2063900,0.0,0
2008-01-30,44.34,45.71,43.71,43.88,2408200,0.0,0
2008-01-31,42.88,45.29,42.23,44.17,2389800,0.0,0
2008-02-01,44.31,45.86,44.3,45.72,2229100,0.0,0
2008-02-04,45.48,45.63,44.9,45.07,1871400,0.0,0
2008-02-05,41.63,42.8,41.17,41.9,5296700,0.0,0
2008-02-06,42.11,43.13,41.63,42.7,3314300,0.0,0
2008-02-07,42.35,43.03,41.91,43.0,3208900,0.0,0
2008-02-08,42.34,42.72,41.67,42.01,3272400,0.0,0
2008-02-11,42.08,42.08,40.07,40.7,3612800,0.0,0
2008-02-12,40.87,43.17,40.87,42.82,3140500,0.0,0
2008-02-13,43.36,43.48,42.64,43.43,2511600,0.0,0
2008-02-14,43.44,43.69,42.87,43.12,2586400,0.0,0
2008-02-15,43.48,43.67,42.16,43.6,1873900,0.0,0
