Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.43,8.72,8.37,8.61,204700,0,0
2008-01-03,8.66,8.82,8.58,8.64,384800,0,0
2008-01-04,0.4,0.4,0.4,0.4,300,0,0
2008-01-07,8.0,8.11,7.85,8.0,428400,0,0
2008-01-08,8.0,8.28,7.91,8.15,538700,0,0
2008-01-09,8.12,8.13,7.74,7.99,564000,0,0
2008-01-10,0.5,0.5,0.5,0.5,1000,0,0
2008-01-11,0.56,0.56,0.56,0.56,1500,0,0
2008-01-14,7.96,8.0,7.67,7.69,374400,0,0
2008-01-15,7.6,7.66,7.45,7.6,423400,0,0
2008-01-16,0.5,0.5,0.5,0.5,2000,0,0
2008-01-17,7.55,7.6,7.35,7.37,318300,0,0
2008-01-18,0.47,0.47,0.47,0.47,500,0,0
2008-01-22,0.35,0.35,0.35,0.35,2140,0,0
2008-01-23,7.25,8.29,7.25,8.23,718000,0,0
2008-01-24,0.4,0.4,0.4,0.4,500,0,0
2008-01-25,8.13,8.13,7.9,7.93,177100,0,0
2008-01-28,0.53,0.53,0.53,0.53,500,0,0
2008-01-29,0.53,0.53,0.53,0.53,950,0,0
2008-01-30,8.17,8.61,8.08,8.16,21200,0,0
2008-01-31,8.0,8.54,7.8,8.11,542700,0,0
2008-02-01,7.98,8.37,7.97,8.34,112700,0,0
2008-02-04,8.3,8.53,8.26,8.42,153200,0,0
2008-02-05,8.35,8.65,8.3,8.48,96400,0,0
2008-02-06,8.57,8.74,8.36,8.47,264940,0,0
2008-02-07,8.46,8.68,8.43,8.53,39400,0,0
2008-02-08,8.46,8.54,8.43,8.45,192500,0,0
2008-02-11,8.44,8.49,8.3,8.37,33900,0,0
2008-02-12,8.45,8.7,8.43,8.55,125900,0,0
2008-02-13,8.63,8.94,8.63,8.9,119600,0,0
2008-02-14,8.93,9.0,8.48,8.53,76900,0,0
2008-02-15,8.57,8.64,8.5,8.6,161800,0,0
2008-02-19,8.73,8.79,8.51,8.59,77200,0,0
2008-02-20,8.6,8.8,8.5,8.79,79000,0,0
2008-02-21,0.43,0.43,0.43,0.43,1000,0,0
2008-02-22,8.47,8.49,8.25,8.26,296991,0,0
2008-02-25,8.3,8.35,8.09,8.27,359100,0,0
2008-02-26,8.21,8.37,8.17,8.23,60000,0,0
2008-02-27,8.2,8.55,8.15,8.42,104200,0,0
2008-02-28,8.33,8.33,8.04,8.12,719000,0,0
2008-02-29,8.06,8.33,8.05,8.25,278500,0,0
2008-03-03,8.28,8.39,8.22,8.33,120600,0,0
2008-03-04,8.2,8.39,8.08,8.3,22400,0,0
2008-03-05,8.35,8.41,8.01,8.2,38100,0,0
2008-03-06,8.16,8.23,8.08,8.12,63000,0,0
2008-03-07,8.0,8.32,8.0,8.18,168300,0,0
2008-03-10,8.22,8.24,7.98,7.98,208400,0,0
2008-03-11,8.21,8.81,8.1,8.81,412000,0,0
2008-03-12,8.75,8.77,8.55,8.55,396400,0,0
2008-03-13,0.42,0.42,0.42,0.42,2792,0,0
2008-03-14,8.5,8.57,8.18,8.4,283300,0,0
