Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,23.34,23.65,22.97,23.29,252800,0.0,0
2008-01-03,23.62,23.62,22.17,22.26,231900,0.63,0
2008-01-04,22.0,22.25,21.43,21.74,177400,0.0,0
2008-01-07,21.61,22.13,21.42,21.89,225700,0.0,0
2008-01-08,21.91,22.45,20.81,20.82,181800,0.0,0
2008-01-09,20.82,20.94,19.7,20.81,275800,0.0,0
2008-01-10,20.52,21.42,20.22,21.03,226400,0.0,0
2008-01-11,20.82,21.51,20.52,21.05,249400,0.0,0
2008-01-14,21.23,21.23,20.72,21.11,120600,0.0,0
2008-01-15,20.83,20.9,20.41,20.7,94400,0.0,0
2008-01-16,20.71,21.56,20.37,21.38,202500,0.0,0
2008-01-17,21.49,21.54,20.96,21.29,185000,0.0,0
2008-01-18,21.32,21.82,20.57,20.94,222600,0.0,0
2008-01-22,20.55,21.88,20.07,21.39,156500,0.0,0
2008-01-23,21.11,23.38,20.98,23.3,199800,0.0,0
2008-01-24,23.56,23.58,22.46,23.24,303500,0.0,0
2008-01-25,23.54,23.59,22.43,22.68,160800,0.0,0
2008-01-28,22.72,23.63,22.46,23.59,83900,0.0,0
2008-01-29,23.59,23.75,23.04,23.16,142100,0.0,0
2008-01-30,22.95,23.82,22.75,22.88,177700,0.0,0
2008-01-31,22.48,23.26,22.34,23.25,250100,0.0,0
2008-02-01,23.42,24.32,23.31,24.32,214600,0.0,0
2008-02-04,24.2,24.36,23.45,23.99,189400,0.0,0
2008-02-05,23.47,23.93,22.77,22.83,283900,0.0,0
2008-02-06,22.83,23.27,22.41,22.48,126900,0.0,0
2008-02-07,22.31,23.11,22.12,23.11,135700,0.0,0
2008-02-08,23.01,23.33,22.73,22.92,160600,0.0,0
2008-02-11,22.98,23.37,22.46,22.54,202200,0.0,0
2008-02-12,22.67,23.26,22.49,23.05,107200,0.0,0
2008-02-13,22.82,23.48,22.82,23.42,111500,0.0,0
2008-02-14,23.3,23.33,21.72,21.72,186800,0.0,0
2008-02-15,20.89,21.67,20.72,21.6,410600,0.0,0
2008-02-19,21.72,21.92,21.25,21.45,244200,0.0,0
2008-02-20,21.42,22.24,21.18,22.15,198100,0.0,0
2008-02-21,22.07,22.36,21.36,21.46,189600,0.0,0
2008-02-22,21.35,21.72,20.99,21.72,205600,0.0,0
2008-02-25,21.69,22.42,21.34,22.41,251100,0.0,0
2008-02-26,22.05,23.11,22.05,22.65,270300,0.0,0
2008-02-27,22.48,22.95,22.37,22.68,132500,0.0,0
2008-02-28,22.6,22.91,22.24,22.67,213300,0.0,0
2008-02-29,22.3,22.75,22.19,22.63,227700,0.0,0
2008-03-03,22.68,23.12,22.21,23.12,303400,0.0,0
2008-03-04,22.89,22.91,22.14,22.58,173900,0.0,0
2008-03-05,22.67,22.78,22.1,22.37,135500,0.0,0
2008-03-06,22.21,22.21,21.41,21.57,240500,0.0,0
2008-03-07,21.19,22.13,21.11,21.92,163800,0.0,0
2008-03-10,22.04,22.2,21.76,22.06,243000,0.0,0
2008-03-11,22.3,23.42,22.3,23.42,198300,0.0,0
2008-03-12,23.46,24.09,23.22,23.29,153000,0.0,0
2008-03-13,23.01,24.21,22.59,24.21,336400,0.0,0
2008-03-14,24.33,24.42,23.17,23.61,260000,0.0,0
2008-03-17,23.17,23.96,22.98,23.51,163900,0.0,0
2008-03-18,23.93,24.5,23.57,24.5,248500,0.0,0
2008-03-19,24.63,25.13,24.35,24.47,173100,0.0,0
2008-03-20,25.23,25.53,24.91,25.24,456000,0.0,0
2008-03-24,25.24,26.19,25.21,26.09,188100,0.0,0
2008-03-25,25.82,25.82,24.97,25.47,208500,0.0,0
2008-03-26,25.61,25.61,25.21,25.36,89800,0.0,0
2008-03-27,25.44,25.48,24.76,24.8,143700,0.0,0
2008-03-28,24.79,25.15,24.57,24.66,115000,0.0,0
2008-03-31,24.72,25.94,24.6,25.07,141500,0.0,0
2008-04-01,25.33,26.26,25.27,26.26,141200,0.0,0
2008-04-02,26.25,26.78,25.92,26.61,151100,0.0,0
2008-04-03,26.41,26.87,26.1,26.87,183400,0.0,0
2008-04-04,26.95,26.95,26.15,26.45,172700,0.63,0
2008-04-07,26.45,26.6,26.05,26.25,141400,0.0,0
2008-04-08,26.06,26.24,25.67,26.08,665100,0.0,0
2008-04-09,26.07,26.18,25.33,25.36,157500,0.0,0
2008-04-10,25.11,26.26,25.11,26.13,155500,0.0,0
2008-04-11,25.87,25.89,25.22,25.45,197500,0.0,0
2008-04-14,25.39,25.81,25.2,25.42,172600,0.0,0
2008-04-15,25.54,25.89,25.33,25.68,248400,0.0,0
2008-04-16,25.68,26.49,25.68,26.49,284200,0.0,0
2008-04-17,26.12,26.52,26.12,26.45,200100,0.0,0
2008-04-18,26.68,27.33,26.02,26.91,172200,0.0,0
2008-04-21,26.64,26.8,26.23,26.26,78800,0.0,0
2008-04-22,26.18,26.44,25.88,26.17,80100,0.0,0
2008-04-23,26.4,26.64,26.05,26.43,57300,0.0,0
2008-04-24,26.5,27.41,26.3,27.4,95800,0.0,0
2008-04-25,27.59,27.67,27.04,27.51,90500,0.0,0
2008-04-28,27.46,27.46,27.04,27.37,94000,0.0,0
2008-04-29,27.37,27.37,26.82,27.05,61900,0.0,0
2008-04-30,27.24,27.37,26.39,26.6,112300,0.0,0
2008-05-01,26.3,26.9,25.86,26.57,187500,0.0,0
2008-05-02,26.78,27.2,26.58,26.72,110500,0.0,0
2008-05-05,26.66,26.67,26.27,26.49,156100,0.0,0
2008-05-06,26.51,26.6,26.13,26.6,86700,0.0,0
2008-05-07,26.67,26.74,26.05,26.27,137600,0.0,0
2008-05-08,26.33,26.33,25.79,26.02,138600,0.0,0
2008-05-09,25.76,26.02,25.63,25.99,76900,0.0,0
2008-05-12,26.09,26.46,25.73,26.45,91300,0.0,0
2008-05-13,26.54,27.05,26.3,26.96,75800,0.0,0
2008-05-14,26.95,27.05,26.4,26.48,106400,0.0,0
2008-05-15,26.36,27.08,26.14,27.08,89400,0.0,0
2008-05-16,27.27,27.27,26.32,26.7,122500,0.0,0
2008-05-19,26.59,27.04,26.48,26.75,82900,0.0,0
2008-05-20,26.59,26.74,26.23,26.42,64800,0.0,0
2008-05-21,26.54,26.66,25.65,25.89,74700,0.0,0
2008-05-22,25.89,26.04,25.66,25.77,81700,0.0,0
2008-05-23,25.59,25.83,25.44,25.65,68400,0.0,0
2008-05-27,25.73,26.26,25.52,26.18,64300,0.0,0
2008-05-28,26.22,26.27,25.94,26.18,54400,0.0,0
2008-05-29,26.18,26.45,26.18,26.38,80600,0.0,0
2008-05-30,26.32,26.48,26.18,26.3,103500,0.0,0
2008-06-02,26.18,26.3,25.36,25.65,150900,0.0,0
2008-06-03,25.81,25.97,25.45,25.71,123300,0.0,0
2008-06-04,25.76,26.35,25.61,26.26,145100,0.0,0
2008-06-05,26.15,26.87,26.14,26.87,105300,0.0,0
2008-06-06,26.53,26.63,25.84,25.9,88400,0.0,0
