Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,25.19,25.77,24.8,25.34,357300,0.0,0
2008-01-03,25.35,25.67,24.08,24.08,353700,0.0,0
2008-01-04,23.81,23.81,23.24,23.38,242100,0.0,0
2008-01-07,23.45,24.06,23.11,23.78,257200,0.0,0
2008-01-08,23.96,24.64,23.09,23.09,446500,0.0,0
2008-01-09,23.05,24.22,22.55,24.09,659400,0.0,0
2008-01-10,23.71,25.56,23.4,24.8,516700,0.0,0
2008-01-11,24.93,25.6,24.3,25.03,441300,0.615,0
2008-01-14,25.44,25.44,24.51,25.25,356400,0.0,0
2008-01-15,25.11,25.12,24.28,24.72,254800,0.0,0
2008-01-16,24.78,26.1,24.78,25.37,266500,0.0,0
2008-01-17,25.25,25.94,24.93,25.31,288700,0.0,0
2008-01-18,25.73,26.04,24.54,24.75,373100,0.0,0
2008-01-22,24.14,26.15,23.91,25.46,309500,0.0,0
2008-01-23,25.13,27.75,24.85,27.59,617300,0.0,0
2008-01-24,27.66,27.66,26.56,26.9,284500,0.0,0
2008-01-25,27.41,27.72,26.62,26.9,389100,0.0,0
2008-01-28,26.9,28.04,26.53,27.79,273200,0.0,0
2008-01-29,27.79,27.96,27.26,27.79,266200,0.0,0
2008-01-30,27.62,28.77,27.04,27.23,316500,0.0,0
2008-01-31,26.63,27.71,26.32,27.38,387200,0.0,0
2008-02-01,27.2,28.5,27.1,28.43,270800,0.0,0
2008-02-04,28.81,29.21,28.03,28.86,442600,0.0,0
2008-02-05,28.11,29.4,28.11,28.15,514200,0.0,0
2008-02-06,28.15,28.83,27.56,27.56,253300,0.0,0
2008-02-07,27.35,28.85,27.2,28.67,479400,0.0,0
2008-02-08,27.5,29.19,27.5,27.76,628900,0.0,0
2008-02-11,27.68,27.86,26.81,26.96,505500,0.0,0
2008-02-12,27.02,28.05,26.98,28.0,400500,0.0,0
2008-02-13,28.33,28.61,27.74,28.59,298600,0.0,0
2008-02-14,28.6,28.73,28.12,28.31,371700,0.0,0
2008-02-15,28.21,28.89,27.7,28.89,307500,0.0,0
2008-02-19,28.83,28.99,28.28,28.75,280100,0.0,0
2008-02-20,28.69,29.33,28.45,29.09,320300,0.0,0
2008-02-21,29.32,29.74,28.51,28.78,299200,0.0,0
2008-02-22,28.67,29.48,28.27,29.47,413300,0.0,0
2008-02-25,29.5,30.25,29.07,30.19,505900,0.0,0
2008-02-26,29.99,30.8,29.7,30.35,680900,0.0,0
2008-02-27,30.35,30.85,29.83,30.38,300200,0.0,0
2008-02-28,29.98,30.42,29.38,29.46,400800,0.0,0
2008-02-29,29.36,29.5,28.75,28.98,333800,0.0,0
2008-03-03,28.94,29.46,28.69,29.46,477400,0.0,0
2008-03-04,29.18,29.55,28.57,29.26,434300,0.0,0
2008-03-05,29.16,29.5,28.44,28.77,441800,0.0,0
2008-03-06,28.43,28.67,27.51,27.52,357200,0.0,0
2008-03-07,27.53,28.68,27.2,28.36,322700,0.0,0
2008-03-10,28.75,28.75,27.68,27.71,369500,0.0,0
2008-03-11,28.65,29.61,28.23,29.61,482000,0.0,0
2008-03-12,29.27,30.6,29.27,29.77,471500,0.0,0
2008-03-13,29.07,30.12,28.54,29.96,344900,0.0,0
2008-03-14,29.79,30.43,28.36,29.68,432500,0.0,0
2008-03-17,28.89,30.15,28.49,29.76,410600,0.0,0
2008-03-18,30.07,31.02,29.22,30.78,714700,0.0,0
2008-03-19,30.9,31.56,30.36,30.94,438400,0.0,0
2008-03-20,31.19,31.71,31.01,31.59,719100,0.0,0
2008-03-24,31.64,32.19,31.45,31.84,307400,0.0,0
2008-03-25,31.9,32.7,31.7,32.52,389600,0.0,0
2008-03-26,32.52,32.52,31.32,31.4,276000,0.0,0
2008-03-27,31.48,31.72,30.81,30.86,304100,0.0,0
2008-03-28,30.86,31.18,30.0,30.17,237700,0.0,0
2008-03-31,29.23,30.91,28.76,29.79,466900,0.0,0
2008-04-01,30.07,32.0,30.07,32.0,389700,0.0,0
2008-04-02,31.84,32.13,31.17,31.98,288600,0.0,0
2008-04-03,31.9,32.47,31.49,32.34,259500,0.0,0
2008-04-04,32.34,32.58,31.85,31.93,293200,0.0,0
2008-04-07,32.22,32.44,31.32,31.82,203600,0.0,0
2008-04-08,31.69,31.87,31.43,31.65,207400,0.0,0
2008-04-09,31.85,31.85,30.54,30.54,284100,0.0,0
2008-04-10,30.67,30.91,30.37,30.79,296700,0.0,0
2008-04-11,30.62,30.9,30.24,30.34,239300,0.615,0
2008-04-14,30.65,31.01,30.25,30.41,265900,0.0,0
2008-04-15,30.34,31.32,30.34,31.32,210300,0.0,0
2008-04-16,31.97,32.78,31.46,32.78,240600,0.0,0
2008-04-17,32.6,33.0,32.36,32.58,204200,0.0,0
2008-04-18,32.86,32.88,32.07,32.47,246600,0.0,0
2008-04-21,32.18,32.55,31.9,32.02,194600,0.0,0
2008-04-22,31.94,31.96,30.94,31.31,292800,0.0,0
2008-04-23,31.46,32.04,31.34,31.95,223100,0.0,0
2008-04-24,32.03,32.58,31.77,32.52,409500,0.0,0
2008-04-25,32.94,33.09,32.22,32.81,404700,0.0,0
2008-04-28,32.97,33.24,32.4,33.17,259900,0.0,0
2008-04-29,33.43,33.43,32.27,32.43,188400,0.0,0
2008-04-30,32.29,32.99,31.66,31.76,324500,0.0,0
2008-05-01,31.97,33.21,31.76,32.99,304200,0.0,0
2008-05-02,33.44,34.36,33.33,33.44,449100,0.0,0
2008-05-05,33.0,33.59,32.2,33.57,509700,0.0,0
2008-05-06,33.57,33.8,33.18,33.6,366100,0.0,0
2008-05-07,33.83,33.83,32.68,32.9,339600,0.0,0
2008-05-08,32.73,33.29,32.4,32.75,285200,0.0,0
2008-05-09,32.52,33.03,32.2,32.72,246900,0.0,0
2008-05-12,32.9,33.71,32.89,33.67,401500,0.0,0
2008-05-13,33.65,33.81,33.36,33.75,154100,0.0,0
2008-05-14,33.68,34.08,33.42,33.79,184300,0.0,0
2008-05-15,33.64,33.82,32.95,33.77,156800,0.0,0
2008-05-16,33.99,34.14,33.06,33.58,263100,0.0,0
2008-05-19,32.93,33.69,32.77,33.62,304900,0.0,0
2008-05-20,33.53,33.73,33.28,33.56,243900,0.0,0
2008-05-21,33.51,33.72,32.72,32.79,270500,0.0,0
2008-05-22,32.68,33.09,32.67,32.97,384000,0.0,0
2008-05-23,32.95,33.18,32.75,33.06,334800,0.0,0
2008-05-27,33.03,33.84,33.03,33.6,275500,0.0,0
2008-05-28,33.93,33.93,33.39,33.65,317900,0.0,0
2008-05-29,33.62,33.95,33.51,33.94,349300,0.0,0
2008-05-30,33.78,34.0,33.64,33.87,367000,0.0,0
2008-06-02,33.93,34.0,33.37,33.89,495800,0.0,0
2008-06-03,34.1,34.66,33.6,33.86,471100,0.0,0
2008-06-04,33.61,34.42,33.49,33.88,326900,0.0,0
2008-06-05,33.84,34.45,33.82,34.45,275900,0.0,0
2008-06-06,34.21,34.53,33.3,33.38,348400,0.0,0
2008-06-09,33.74,33.87,32.86,32.99,368400,0.0,0
2008-06-10,32.49,33.73,32.49,33.37,234500,0.0,0
2008-06-11,33.3,33.52,32.79,32.79,314400,0.0,0
2008-06-12,32.84,33.69,32.84,33.44,300600,0.0,0
2008-06-13,33.56,33.92,33.3,33.92,362500,0.0,0
2008-06-16,34.0,34.83,33.81,34.83,313200,0.0,0
2008-06-17,34.9,34.98,34.16,34.17,316800,0.0,0
2008-06-18,34.17,34.28,32.89,32.99,424800,0.0,0
2008-06-19,33.27,33.55,32.9,33.39,286600,0.0,0
2008-06-20,33.09,33.38,32.52,32.78,498500,0.0,0
2008-06-23,33.0,33.41,31.46,31.46,422800,0.0,0
2008-06-24,31.31,32.06,31.09,31.77,368700,0.0,0
2008-06-25,31.59,32.63,31.35,31.66,418100,0.0,0
2008-06-26,31.02,31.68,30.26,30.4,396900,0.0,0
2008-06-27,30.54,30.7,30.1,30.16,652600,0.0,0
2008-06-30,30.85,31.4,30.48,30.88,650600,0.0,0
2008-07-01,30.6,31.89,30.6,31.88,463900,0.0,0
2008-07-02,32.12,32.29,31.68,31.76,299500,0.0,0
2008-07-03,31.98,32.27,31.34,31.91,202700,0.0,0
2008-07-07,32.09,33.27,30.9,31.2,295900,0.0,0
2008-07-08,31.13,34.06,30.92,34.06,390300,0.0,0
2008-07-09,33.88,34.0,31.4,31.43,466800,0.0,0
2008-07-10,31.31,32.76,31.06,32.43,297900,0.0,0
2008-07-11,32.09,33.85,31.71,33.07,441100,0.615,0
2008-07-14,33.66,33.91,32.13,32.47,435600,0.0,0
2008-07-15,32.36,33.47,31.87,32.07,421500,0.0,0
2008-07-16,32.15,34.11,31.71,34.06,437900,0.0,0
2008-07-17,34.27,34.33,33.18,34.11,513500,0.0,0
2008-07-18,33.59,34.42,32.69,34.31,301500,0.0,0
2008-07-21,34.38,34.96,34.0,34.96,266500,0.0,0
2008-07-22,34.75,36.57,34.41,36.47,386800,0.0,0
2008-07-23,36.35,37.12,34.97,36.0,637300,0.0,0
2008-07-24,35.95,35.96,33.82,34.08,418900,0.0,0
2008-07-25,34.09,35.45,33.69,35.37,367300,0.0,0
2008-07-28,34.96,35.68,34.5,34.77,369900,0.0,0
2008-07-29,35.2,36.3,35.07,36.28,575400,0.0,0
2008-07-30,36.45,36.47,34.72,35.96,358000,0.0,0
2008-07-31,36.05,36.06,34.79,35.17,301700,0.0,0
2008-08-01,33.85,33.85,31.5,32.13,932800,0.0,0
2008-08-04,31.87,32.2,30.71,31.37,473800,0.0,0
2008-08-05,31.03,32.92,31.03,32.71,519600,0.0,0
2008-08-06,32.56,32.56,31.73,32.14,318300,0.0,0
2008-08-07,31.8,32.62,31.58,31.91,374100,0.0,0
2008-08-08,31.87,33.49,31.41,33.48,357500,0.0,0
2008-08-11,33.2,33.76,33.02,33.66,525600,0.0,0
2008-08-12,33.19,33.52,32.39,32.89,386800,0.0,0
2008-08-13,33.26,33.26,31.99,32.94,242600,0.0,0
2008-08-14,32.72,33.47,32.18,33.14,426500,0.0,0
2008-08-15,33.17,33.9,32.31,32.78,285400,0.0,0
2008-08-18,32.86,32.94,31.9,32.37,313300,0.0,0
2008-08-19,32.78,32.79,31.22,31.62,370100,0.0,0
2008-08-20,31.71,32.1,30.63,31.27,413600,0.0,0
2008-08-21,30.7,31.08,30.27,30.73,363600,0.0,0
2008-08-22,31.21,31.99,30.73,31.63,276000,0.0,0
2008-08-25,31.54,31.63,30.39,30.57,360800,0.0,0
2008-08-26,30.53,30.81,29.8,30.29,489800,0.0,0
2008-08-27,30.15,30.72,30.05,30.48,220400,0.0,0
