Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,32.67,33.01,32.12,32.55,690800,0.0,0.0
2008-01-03,32.85,32.85,31.43,31.53,972200,0.0,0.0
2008-01-04,31.15,31.37,29.88,29.93,1165200,0.0,0.0
2008-01-07,30.01,30.58,29.39,30.22,988800,0.0,0.0
2008-01-08,30.39,31.43,29.17,29.28,1035500,0.0,0.0
2008-01-09,29.17,29.46,27.57,29.04,1342500,0.0,0.0
2008-01-10,28.73,29.19,28.0,28.55,2167700,0.0,0.0
2008-01-11,28.25,28.87,27.6,28.39,1822600,0.0,0.0
2008-01-14,28.53,28.93,27.58,28.14,1572400,0.0,0.0
2008-01-15,27.69,28.0,27.19,27.64,1405200,0.0,0.0
2008-01-16,27.59,28.83,27.59,28.43,1573400,0.0,0.0
2008-01-17,28.5,28.78,27.63,27.86,1358700,0.0,0.0
2008-01-18,27.96,28.15,26.9,27.18,1491400,0.0,0.0
2008-01-22,26.77,28.18,26.53,28.04,1467700,0.0,0.0
2008-01-23,27.57,31.77,27.56,31.46,3015400,0.0,0.0
2008-01-24,31.77,31.77,30.69,31.11,1631600,0.0,0.0
2008-01-25,31.4,31.87,30.09,30.47,1024000,0.0,0.0
2008-01-28,30.35,31.7,29.99,31.7,1075100,0.0,0.0
2008-01-29,31.94,32.07,31.13,31.7,753700,0.0,0.0
2008-01-30,31.37,32.07,30.74,30.92,1039000,0.0,0.0
2008-01-31,30.69,31.87,30.51,31.49,819000,0.0,0.0
2008-02-01,32.03,33.4,31.24,33.28,1679100,0.0,0.0
2008-02-04,33.26,33.29,32.44,32.96,696300,0.0,0.0
2008-02-05,32.45,32.95,31.59,31.76,1134400,0.0,0.0
2008-02-06,31.86,32.0,30.56,30.58,1016800,0.0,0.0
2008-02-07,30.46,31.15,30.32,30.88,1202400,0.0,0.0
2008-02-08,30.69,30.87,29.3,29.56,947400,0.0,0.0
2008-02-11,29.49,29.76,28.91,29.24,710200,0.0,0.0
2008-02-12,29.6,30.51,29.25,30.1,845300,0.0,0.0
2008-02-13,30.31,30.64,29.75,30.55,793400,0.0,0.0
2008-02-14,30.5,30.69,29.91,30.01,597800,0.0,0.0
2008-02-15,30.05,30.25,29.76,30.25,1031200,0.0,0.0
2008-02-19,30.56,30.56,29.25,29.5,811700,0.0,0.0
2008-02-20,29.7,30.09,29.2,30.02,781500,0.8,0.0
2008-02-21,30.14,30.47,29.11,29.17,797300,0.0,0.0
2008-02-22,29.1,30.01,28.8,30.01,656900,0.0,0.0
2008-02-25,29.85,31.2,29.6,31.2,889400,0.0,0.0
2008-02-26,31.03,31.46,30.64,31.29,840500,0.0,0.0
2008-02-27,30.99,31.55,30.85,31.13,643900,0.0,0.0
2008-02-28,30.9,30.92,30.5,30.54,577300,0.0,0.0
2008-02-29,30.36,30.58,29.8,29.94,911300,0.0,0.0
2008-03-03,29.96,30.15,29.41,30.12,837000,0.0,0.0
2008-03-04,29.92,30.1,29.2,29.82,924300,0.0,0.0
2008-03-05,29.92,30.17,29.37,29.61,1040500,0.0,0.0
2008-03-06,29.4,29.49,28.1,28.1,1006100,0.0,0.0
2008-03-07,28.09,28.87,27.71,28.61,852600,0.0,0.0
2008-03-10,28.77,28.77,28.08,28.08,750400,0.0,0.0
2008-03-11,28.63,29.52,27.9,29.48,1413000,0.0,0.0
2008-03-12,29.3,29.76,29.12,29.18,1114500,0.0,0.0
2008-03-13,28.56,29.7,28.07,29.48,1004700,0.0,0.0
2008-03-14,29.59,29.73,27.91,28.81,930000,0.0,0.0
2008-03-17,28.48,29.89,28.21,29.62,1287900,0.0,0.0
2008-03-18,30.15,31.7,30.15,31.7,1632200,0.0,0.0
2008-03-19,31.8,31.9,30.88,30.94,1260300,0.0,0.0
2008-03-20,30.97,32.68,30.85,32.68,1114100,0.0,0.0
2008-03-24,32.76,33.66,32.65,33.02,1484500,0.0,0.0
2008-03-25,32.8,33.4,32.57,33.4,961300,0.0,0.0
2008-03-26,33.18,33.2,32.32,32.46,992800,0.0,0.0
2008-03-27,32.52,32.71,31.46,31.49,1211100,0.0,0.0
2008-03-28,31.66,32.48,31.5,32.07,1957600,0.0,0.0
2008-03-31,32.3,33.44,31.89,32.87,1501900,0.0,0.0
2008-04-01,33.41,34.99,33.21,34.99,1115800,0.0,0.0
2008-04-02,34.81,34.87,33.78,34.12,1414200,0.0,0.0
2008-04-03,33.91,34.85,33.68,34.85,816000,0.0,0.0
2008-04-04,34.89,35.0,33.97,34.08,764300,0.0,0.0
2008-04-07,34.38,34.55,33.58,33.89,755600,0.0,0.0
2008-04-08,33.87,34.15,33.44,33.76,810600,0.0,0.0
2008-04-09,33.84,33.84,32.96,33.06,1017000,0.0,0.0
2008-04-10,33.12,33.61,32.93,33.54,1184400,0.0,0.0
2008-04-11,33.02,33.33,32.57,32.67,682000,0.0,0.0
2008-04-14,32.72,33.14,32.17,32.28,519900,0.0,0.0
2008-04-15,32.59,32.72,32.27,32.69,647700,0.0,0.0
2008-04-16,33.03,34.4,32.84,34.4,739900,0.0,0.0
2008-04-17,34.18,34.73,33.94,34.61,661200,0.0,0.0
2008-04-18,35.05,35.52,34.04,34.27,708800,0.0,0.0
2008-04-21,34.02,34.16,33.51,33.82,581500,0.0,0.0
2008-04-22,33.77,34.01,33.45,33.79,524300,0.0,0.0
2008-04-23,33.82,34.48,33.69,34.09,520600,0.0,0.0
2008-04-24,34.1,34.79,33.99,34.76,983600,0.0,0.0
2008-04-25,33.97,34.97,33.97,34.97,487300,0.0,0.0
2008-04-28,35.09,35.26,34.6,35.04,658300,0.0,0.0
2008-04-29,35.06,35.06,34.45,34.76,709200,0.0,0.0
2008-04-30,34.91,35.08,34.21,34.21,844500,0.0,0.0
2008-05-01,34.38,35.25,34.09,35.25,1082300,0.0,0.0
2008-05-02,35.55,35.78,34.97,35.15,880400,0.0,0.0
2008-05-05,34.88,35.29,34.68,34.99,771300,0.0,0.0
2008-05-06,34.8,35.0,34.45,34.94,940100,0.0,0.0
2008-05-07,35.14,35.24,33.8,33.81,928800,0.0,0.0
2008-05-08,34.0,34.85,33.88,34.47,841500,0.0,0.0
2008-05-09,34.15,34.62,33.72,34.22,674800,0.0,0.0
2008-05-12,34.4,34.89,34.22,34.52,659500,0.0,0.0
2008-05-13,34.47,34.85,34.2,34.58,502500,0.0,0.0
2008-05-14,34.6,34.75,34.45,34.61,1137300,0.0,0.0
2008-05-15,34.68,35.18,34.6,34.9,848100,0.8,0.0
2008-05-16,34.89,34.99,34.66,34.9,728900,0.0,0.0
2008-05-19,34.95,35.09,34.77,34.98,832300,0.0,0.0
2008-05-20,34.89,35.08,34.4,34.66,768500,0.0,0.0
2008-05-21,34.58,35.06,33.94,34.35,1509300,0.0,0.0
2008-05-22,34.35,34.6,33.35,33.49,974900,0.0,0.0
2008-05-23,33.35,33.52,32.97,33.12,650900,0.0,0.0
2008-05-27,33.39,33.78,33.1,33.46,431300,0.0,0.0
2008-05-28,33.77,33.78,33.08,33.23,609900,0.0,0.0
2008-05-29,33.23,34.0,33.22,33.93,811400,0.0,0.0
2008-05-30,33.94,34.08,33.43,33.85,820800,0.0,0.0
2008-06-02,33.83,33.83,33.14,33.34,837500,0.0,0.0
2008-06-03,33.65,33.7,32.97,33.37,683900,0.0,0.0
2008-06-04,33.21,34.01,33.11,33.73,709600,0.0,0.0
2008-06-05,33.82,34.44,33.82,34.44,856700,0.0,0.0
2008-06-06,34.0,34.13,32.58,32.87,871100,0.0,0.0
2008-06-09,32.99,33.3,31.8,31.86,718000,0.0,0.0
2008-06-10,31.57,32.25,31.24,32.07,889400,0.0,0.0
2008-06-11,31.94,32.19,31.38,31.39,612200,0.0,0.0
2008-06-12,31.68,32.05,31.0,31.51,717800,0.0,0.0
2008-06-13,31.62,32.03,31.28,31.83,704400,0.0,0.0
2008-06-16,31.71,32.65,31.64,32.65,429700,0.0,0.0
2008-06-17,33.0,33.04,31.71,31.77,799600,0.0,0.0
2008-06-18,31.33,31.65,31.23,31.41,1456300,0.0,0.0
2008-06-19,31.5,32.05,31.24,32.04,909100,0.0,0.0
2008-06-20,31.69,32.08,31.07,31.32,1006000,0.0,0.0
2008-06-23,31.32,31.64,30.59,30.59,772300,0.0,0.0
2008-06-24,30.55,30.91,30.24,30.53,882300,0.0,0.0
2008-06-25,30.65,31.21,30.51,30.94,824000,0.0,0.0
