Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,1.43,1.44,1.43,1.44,1033,0,0
2008-01-03,1.44,1.44,1.44,1.44,0,0,0
2008-01-04,1.29,1.29,1.29,1.29,3583,0,0
2008-01-07,1.3,1.3,1.3,1.3,100,0,0
2008-01-08,1.35,1.35,1.3,1.3,9900,0,0
2008-01-09,1.3,1.3,1.2,1.2,8500,0,0
2008-01-10,1.26,1.28,1.16,1.16,17217,0,0
2008-01-11,1.15,1.29,1.15,1.25,48100,0,0
2008-01-14,1.27,1.35,1.15,1.27,44816,0,0
2008-01-15,1.27,1.27,1.14,1.2,23167,0,0
2008-01-16,1.21,1.23,1.09,1.22,11400,0,0
2008-01-17,1.15,1.2,1.15,1.2,14000,0,0
2008-01-18,1.13,1.2,1.13,1.17,53800,0,0
2008-01-22,1.05,1.16,1.05,1.16,63250,0,0
2008-01-23,1.09,1.12,1.07,1.07,31900,0,0
2008-01-24,1.01,1.14,1.01,1.14,33400,0,0
2008-01-25,1.07,1.07,1.07,1.07,27300,0,0
2008-01-28,1.05,1.06,1.05,1.06,19200,0,0
2008-01-29,1.05,1.05,1.02,1.02,46000,0,0
2008-01-30,1.01,1.01,1.0,1.0,5300,0,0
2008-01-31,0.98,1.09,0.98,1.07,20800,0,0
2008-02-01,1.02,1.02,1.02,1.02,1357,0,0
2008-02-04,1.0,1.02,1.0,1.02,14400,0,0
2008-02-05,1.07,1.07,1.04,1.07,79800,0,0
2008-02-06,1.08,1.15,1.08,1.1,64500,0,0
2008-02-07,1.08,1.18,1.08,1.18,19423,0,0
2008-02-08,1.11,1.16,1.11,1.11,46235,0,0
2008-02-11,1.17,1.17,1.1,1.1,37000,0,0
2008-02-12,1.17,1.2,1.17,1.2,14240,0,0
2008-02-13,1.18,1.2,1.18,1.2,15000,0,0
2008-02-14,1.2,1.2,1.2,1.2,11000,0,0
2008-02-15,1.18,1.2,1.06,1.2,8000,0,0
2008-02-19,1.2,1.2,1.16,1.19,42400,0,0
2008-02-20,1.17,1.19,1.17,1.19,6000,0,0
2008-02-21,1.19,1.19,1.19,1.19,0,0,0
