Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,41.36,41.36,40.25,40.4,7858300,0.0,0
2008-01-03,40.61,40.89,40.15,40.28,6514700,0.0,0
2008-01-04,39.86,39.96,39.24,39.67,9687500,0.0,0
2008-01-07,39.88,40.5,39.54,40.35,10784500,0.0,0
2008-01-08,40.63,40.77,39.61,39.69,10080800,0.0,0
2008-01-09,39.68,40.0,39.01,39.96,11600400,0.0,0
2008-01-10,40.11,40.67,39.61,40.45,10767000,0.0,0
2008-01-11,39.56,39.56,37.07,37.77,33215200,0.0,0
2008-01-14,38.17,38.46,37.35,38.22,12932700,0.0,0
2008-01-15,37.82,38.38,37.16,37.38,10107000,0.0,0
2008-01-16,37.14,37.43,36.31,36.44,13246000,0.0,0
2008-01-17,36.62,36.88,36.1,36.14,12878400,0.0,0
2008-01-18,36.47,37.05,36.34,36.44,11754400,0.0,0
2008-01-22,34.33,36.59,34.33,36.47,16883500,0.0,0
2008-01-23,35.91,36.89,35.39,36.86,19158300,0.0,0
2008-01-24,37.41,37.68,36.85,37.55,10305400,0.0,0
2008-01-25,37.87,38.07,37.54,37.62,12779800,0.0,0
2008-01-28,35.53,35.76,34.32,35.51,49724500,0.0,0
2008-01-29,35.76,35.76,34.81,35.29,20685000,0.0,0
2008-01-30,35.35,36.0,35.32,35.47,13593900,0.0,0
2008-01-31,34.94,37.26,34.84,37.26,18338600,0.0,0
2008-02-01,37.32,37.8,36.75,37.7,11656900,0.0,0
2008-02-04,37.71,37.75,37.06,37.46,6079100,0.0,0
2008-02-05,37.11,37.9,36.77,37.44,13425000,0.0,0
2008-02-06,37.68,37.68,37.22,37.36,11636200,0.0,0
2008-02-07,37.11,38.15,37.06,37.87,11229000,0.0,0
2008-02-08,38.17,39.22,38.11,38.69,12940600,0.0,0
2008-02-11,38.75,39.17,38.38,38.92,5904900,0.0,0
2008-02-12,39.18,39.51,38.88,39.2,9506600,0.0,0
2008-02-13,39.68,39.68,38.83,39.38,7739000,0.0,0
2008-02-14,39.47,39.47,38.59,38.65,5610900,0.0,0
2008-02-15,38.49,38.57,38.13,38.45,6972300,0.0,0
2008-02-19,38.81,38.93,38.59,38.71,7853300,0.0,0
2008-02-20,38.43,39.22,38.25,39.08,8007600,0.0,0
2008-02-21,39.13,39.18,38.33,38.4,5764400,0.0,0
2008-02-22,38.49,38.72,37.82,38.72,5963300,0.0,0
2008-02-25,38.67,39.05,38.33,38.97,5236600,0.0,0
2008-02-26,38.72,39.51,38.72,39.25,9346700,0.0,0
2008-02-27,39.09,39.63,38.31,38.47,13814900,0.0,0
2008-02-28,38.5,38.57,38.01,38.24,6969500,0.375,0
2008-02-29,38.01,38.34,37.76,37.88,7461200,0.0,0
2008-03-03,37.79,38.32,36.87,37.22,7495800,0.0,0
2008-03-04,37.03,37.54,36.84,37.54,7887800,0.0,0
2008-03-05,37.68,37.92,37.29,37.76,7087700,0.0,0
2008-03-06,37.55,37.94,37.1,37.13,6526200,0.0,0
2008-03-07,36.79,36.95,36.4,36.59,8053000,0.0,0
2008-03-10,38.26,38.31,37.05,37.66,17599500,0.0,0
2008-03-11,38.36,38.36,37.42,37.98,9330900,0.0,0
2008-03-12,38.13,38.24,37.52,37.59,7407900,0.0,0
2008-03-13,37.38,38.59,37.38,38.43,11973500,0.0,0
2008-03-14,38.63,38.63,37.63,38.35,10275000,0.0,0
2008-03-17,37.36,38.36,37.11,38.0,10530900,0.0,0
2008-03-18,38.4,38.84,37.81,38.4,10415700,0.0,0
2008-03-19,38.51,38.85,37.52,37.57,8740500,0.0,0
2008-03-20,37.77,38.34,37.59,38.1,13075600,0.0,0
2008-03-24,38.21,39.2,38.08,39.04,7874100,0.0,0
2008-03-25,38.97,39.56,38.76,39.34,7557800,0.0,0
2008-03-26,39.08,39.41,38.64,38.92,5240900,0.0,0
2008-03-27,39.08,39.36,38.8,38.82,8198700,0.0,0
2008-03-28,38.99,39.16,38.66,38.84,4778800,0.0,0
2008-03-31,38.9,39.2,38.9,39.04,6452300,0.0,0
2008-04-01,39.23,39.94,39.2,39.84,13339900,0.0,0
2008-04-02,39.94,40.07,39.46,39.67,8375000,0.0,0
2008-04-03,39.51,39.8,39.04,39.37,6786400,0.0,0
2008-04-04,39.36,39.43,38.78,39.01,7419700,0.0,0
2008-04-07,39.22,39.37,38.82,38.96,6744800,0.0,0
2008-04-08,38.8,39.22,38.78,39.11,4893900,0.0,0
2008-04-09,39.06,39.27,38.78,39.02,7686800,0.0,0
2008-04-10,38.92,39.35,38.92,39.1,6762800,0.0,0
2008-04-11,38.79,39.1,38.6,38.78,5331500,0.0,0
2008-04-14,38.85,39.07,38.66,38.88,3883200,0.0,0
2008-04-15,39.06,39.3,38.97,39.18,6655700,0.0,0
2008-04-16,39.42,40.04,38.99,40.03,7441300,0.0,0
2008-04-17,39.98,40.2,39.81,40.14,5394100,0.0,0
2008-04-18,40.3,40.93,40.29,40.81,6762700,0.0,0
2008-04-21,41.02,41.08,40.64,41.07,6179000,0.0,0
2008-04-22,40.56,41.14,40.2,40.85,10915900,0.0,0
2008-04-23,40.89,41.61,40.67,41.09,8813400,0.0,0
2008-04-24,41.06,41.92,40.81,41.71,7197200,0.0,0
2008-04-25,41.83,41.99,41.49,41.77,7969600,0.0,0
2008-04-28,41.83,42.0,41.44,41.72,7705100,0.0,0
2008-04-29,41.41,42.35,41.41,42.14,7821800,0.0,0
2008-04-30,42.0,42.42,41.68,41.71,8486600,0.0,0
2008-05-01,41.68,42.66,41.55,42.65,6954300,0.0,0
2008-05-02,42.63,42.87,42.56,42.67,7353400,0.0,0
2008-05-05,42.68,42.7,42.21,42.61,5311900,0.0,0
2008-05-06,42.43,42.49,42.07,42.35,5146500,0.0,0
2008-05-07,42.28,42.49,41.48,41.57,6222700,0.0,0
2008-05-08,41.82,41.86,41.16,41.84,7987700,0.0,0
2008-05-09,41.35,41.71,41.35,41.47,5219400,0.0,0
2008-05-12,41.51,42.73,41.51,42.61,6268300,0.0,0
2008-05-13,42.63,43.24,42.54,42.82,6601200,0.0,0
2008-05-14,42.95,43.05,42.19,42.31,8562500,0.0,0
2008-05-15,42.28,42.62,41.77,42.61,6108400,0.0,0
2008-05-16,42.61,42.67,42.19,42.38,5691000,0.0,0
2008-05-19,42.54,42.61,42.28,42.32,4924600,0.0,0
2008-05-20,42.2,42.32,41.4,41.78,8618600,0.0,0
2008-05-21,41.84,41.98,40.89,41.15,7842600,0.0,0
2008-05-22,41.13,41.49,40.9,40.98,5111000,0.0,0
2008-05-23,40.86,40.86,40.12,40.42,5778800,0.0,0
2008-05-27,40.51,40.93,40.29,40.68,5896100,0.0,0
2008-05-28,40.86,41.34,40.85,41.09,5481600,0.0,0
2008-05-29,41.09,41.89,41.04,41.64,4506500,0.0,0
2008-05-30,41.68,41.75,41.16,41.53,5132200,0.0,0
2008-06-02,41.39,41.44,40.65,40.99,4930300,0.0,0
2008-06-03,41.09,41.24,40.05,40.3,9189000,0.0,0
2008-06-04,40.21,41.04,40.21,40.59,7601500,0.0,0
2008-06-05,40.84,41.22,40.71,40.9,7715900,0.375,0
2008-06-06,40.66,40.74,40.05,40.13,7365800,0.0,0
2008-06-09,41.13,41.97,40.87,41.79,11668400,0.0,0
2008-06-10,41.58,42.57,41.58,42.12,9083100,0.0,0
2008-06-11,42.12,42.12,41.32,41.4,6613400,0.0,0
2008-06-12,41.56,42.17,41.52,41.81,6261300,0.0,0
2008-06-13,42.0,42.51,41.85,42.24,5033700,0.0,0
2008-06-16,41.88,42.49,41.85,42.24,4520700,0.0,0
2008-06-17,42.47,42.51,41.62,41.72,5305400,0.0,0
2008-06-18,41.54,41.85,40.9,41.02,6248700,0.0,0
2008-06-19,40.92,41.55,40.78,41.28,6060400,0.0,0
2008-06-20,41.05,41.22,40.41,40.45,10426900,0.0,0
2008-06-23,40.69,40.9,40.12,40.17,7033900,0.0,0
2008-06-24,40.55,40.73,39.52,40.18,9697500,0.0,0
2008-06-25,40.4,41.14,40.01,40.9,8294300,0.0,0
2008-06-26,40.5,40.94,39.75,39.78,10465900,0.0,0
2008-06-27,39.9,40.3,38.87,39.81,14277700,0.0,0
2008-06-30,39.95,40.47,39.12,39.61,12268500,0.0,0
2008-07-01,39.37,40.41,39.25,40.37,12089100,0.0,0
2008-07-02,40.45,41.17,40.29,40.47,9864800,0.0,0
2008-07-03,40.59,40.78,39.64,40.3,5833800,0.0,0
2008-07-07,40.46,40.88,39.91,40.42,8011800,0.0,0
2008-07-08,40.66,41.33,40.4,41.23,9710800,0.0,0
2008-07-09,41.36,41.93,41.07,41.75,10559700,0.0,0
2008-07-10,41.67,41.78,40.97,41.18,8735000,0.0,0
2008-07-11,40.78,41.12,40.3,40.39,9801500,0.0,0
