Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,33.92,34.31,33.69,33.97,490400,0,0.0
2008-01-03,34.08,34.15,33.87,34.06,346000,0,0.0
2008-01-04,34.01,34.36,33.62,33.8,493400,0,0.0
2008-01-07,33.9,33.9,33.58,33.83,356400,0,0.0
2008-01-08,33.79,34.0,33.46,33.62,541600,0,0.0
2008-01-09,33.78,33.81,33.24,33.71,533200,0,0.0
2008-01-10,33.63,33.96,33.63,33.87,299000,0,0.0
2008-01-11,33.75,34.13,33.71,34.09,338000,0,0.0
2008-01-14,34.37,34.51,34.0,34.45,430800,0,0.0
2008-01-15,34.4,35.42,34.01,35.4,963800,0,0.0
2008-01-16,35.51,35.92,34.79,35.83,1456000,0,0.0
2008-01-17,35.78,36.26,35.47,35.85,767800,0,0.0
2008-01-18,35.85,35.97,33.65,34.51,1428600,0,0.0
2008-01-22,25.11,35.0,25.11,32.87,1317200,0,0.0
2008-01-23,32.06,32.81,31.51,32.81,824800,0,0.0
2008-01-24,33.17,33.36,32.59,33.19,929200,0,0.0
2008-01-25,33.12,33.32,32.47,32.69,618600,0,0.0
2008-01-28,32.88,33.26,32.31,33.19,370400,0,0.0
2008-01-29,33.21,33.88,33.1,33.62,415800,0,0.0
2008-01-30,33.56,34.12,33.19,33.35,394400,0,0.0
2008-01-31,33.04,34.26,32.7,33.92,564800,0,0.0
2008-02-01,33.9,34.09,33.42,33.94,631600,0,0.0
2008-02-04,33.94,34.35,33.65,33.99,787800,0,0.0
2008-02-05,33.35,33.71,33.08,33.56,658400,0,0.0
2008-02-06,32.75,33.99,32.22,32.37,890800,0,0.0
2008-02-07,32.22,33.94,32.06,33.67,1002200,0,0.0
2008-02-08,33.65,33.9,33.31,33.87,382000,0,0.0
2008-02-11,33.98,34.49,33.28,33.47,699400,0,0.0
2008-02-12,33.5,33.78,33.15,33.38,658600,0,0.0
2008-02-13,33.42,33.73,32.78,33.65,585200,0,0.0
2008-02-14,33.78,33.87,33.57,33.69,654400,0,0.0
2008-02-15,33.42,33.67,33.38,33.58,472600,0,0.0
2008-02-19,33.73,33.97,32.92,33.16,1108800,0,0.0
2008-02-20,33.08,33.51,33.08,33.5,667000,0,0.0
2008-02-21,33.6,33.81,33.5,33.64,554200,0,0.0
2008-02-22,33.62,33.76,33.48,33.65,513200,0,0.0
2008-02-25,33.42,33.99,33.28,33.78,815600,0,0.0
2008-02-26,33.7,33.92,33.28,33.77,458200,0,0.0
2008-02-27,33.58,34.06,33.47,33.56,529000,0,0.0
2008-02-28,33.56,33.9,33.35,33.65,354000,0,0.0
2008-02-29,33.4,33.45,32.92,33.01,548000,0,0.0
2008-03-03,33.12,33.19,32.52,33.07,527200,0,0.0
2008-03-04,33.15,33.75,33.15,33.53,827800,0,0.0
2008-03-05,33.5,34.54,33.4,34.22,705000,0,0.0
2008-03-06,34.22,34.25,33.63,33.67,482000,0,0.0
2008-03-07,33.5,33.72,33.31,33.38,460400,0,0.0
2008-03-10,33.3,33.88,33.15,33.51,552000,0,0.0
2008-03-11,33.86,33.86,32.38,32.49,902800,0,0.0
2008-03-12,32.17,32.6,31.87,32.35,1000000,0,0.0
2008-03-13,32.05,32.44,31.92,32.24,602800,0,0.0
2008-03-14,32.43,32.43,31.82,31.93,665800,0,0.0
2008-03-17,31.65,32.71,31.6,32.2,1504200,0,0.0
2008-03-18,32.65,33.38,32.42,33.15,526800,0,0.0
2008-03-19,33.31,34.2,33.19,33.54,715800,0,0.0
2008-03-20,33.47,34.73,33.31,34.31,1038800,0,0.0
2008-03-24,34.44,34.49,34.01,34.15,390000,0,0.0
2008-03-25,34.34,34.38,33.78,34.23,593600,0,0.0
2008-03-26,34.24,34.45,33.85,34.44,463000,0,0.0
2008-03-27,34.38,34.75,34.13,34.26,477000,0,0.0
2008-03-28,34.38,34.77,34.11,34.22,415800,0,0.0
2008-03-31,34.35,34.58,33.63,33.7,649600,0,0.0
2008-04-01,33.9,34.42,33.6,34.31,835800,0,0.0
