Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,38.8,39.07,38.14,38.41,5826800,0.125,0
2008-01-03,38.46,38.78,38.21,38.6,3325200,0.0,0
2008-01-04,38.35,38.58,38.08,38.16,5302500,0.0,0
2008-01-07,38.35,38.98,38.11,38.62,7582500,0.0,0
2008-01-08,38.75,39.01,38.19,38.33,5230900,0.0,0
2008-01-09,38.32,39.4,38.32,39.39,6478600,0.0,0
2008-01-10,39.02,39.66,39.02,39.42,4699100,0.0,0
2008-01-11,38.99,39.31,38.8,38.86,4835000,0.0,0
2008-01-14,38.8,39.09,38.26,38.52,6028600,0.0,0
2008-01-15,38.12,38.14,37.38,37.56,9613600,0.0,0
2008-01-16,37.41,37.97,36.87,37.57,10525800,0.0,0
2008-01-17,37.4,37.83,36.89,37.1,7406600,0.0,0
2008-01-18,37.35,37.6,36.25,36.46,7987200,0.0,0
2008-01-22,34.38,36.3,34.38,36.02,9087600,0.0,0
2008-01-23,34.34,36.81,34.34,36.74,11612900,0.0,0
2008-01-24,36.81,36.86,36.0,36.29,6778200,0.0,0
2008-01-25,36.56,36.59,35.66,35.79,6972500,0.0,0
2008-01-28,35.76,36.17,35.64,36.06,4465400,0.0,0
2008-01-29,36.22,36.68,36.12,36.24,6362400,0.0,0
2008-01-30,36.16,36.36,35.7,35.84,5402000,0.0,0
2008-01-31,35.64,36.38,35.48,36.08,7186700,0.0,0
2008-02-01,36.07,38.8,35.93,37.13,13331400,0.0,0
2008-02-04,37.0,37.88,36.69,36.9,5733600,0.0,0
2008-02-05,36.69,36.9,36.31,36.48,5271600,0.0,0
2008-02-06,36.65,36.86,36.38,36.41,5176500,0.0,0
2008-02-07,36.28,36.83,36.28,36.66,5452700,0.0,0
2008-02-08,36.48,36.86,36.05,36.26,6519800,0.0,0
2008-02-11,36.17,36.79,36.09,36.72,4132800,0.0,0
2008-02-12,36.78,37.52,36.78,37.48,5830300,0.0,0
2008-02-13,37.69,38.21,37.59,37.8,6519200,0.0,0
2008-02-14,37.89,38.12,37.25,37.32,6332900,0.0,0
2008-02-15,37.25,38.17,37.06,38.11,8510600,0.0,0
2008-02-19,38.16,38.82,37.95,38.14,7469300,0.0,0
2008-02-20,38.02,38.46,37.7,38.34,7412100,0.0,0
2008-02-21,38.39,38.43,37.32,37.98,11386200,0.0,0
2008-02-22,38.06,38.27,37.15,37.66,6070500,0.0,0
2008-02-25,37.61,38.54,37.61,38.54,7454400,0.0,0
2008-02-26,38.28,38.91,38.28,38.79,7569100,0.0,0
2008-02-27,38.51,39.22,38.51,39.04,6384600,0.0,0
