Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.06,13.29,12.34,12.57,432600,0.0,0
2008-01-03,12.57,12.86,11.93,12.03,231500,0.0,0
2008-01-04,11.78,11.82,11.31,11.33,235200,0.0,0
2008-01-07,11.2,11.55,11.12,11.53,253200,0.0,0
2008-01-08,11.57,11.78,10.9,10.92,240200,0.0,0
2008-01-09,10.88,10.99,10.27,10.92,227500,0.0,0
2008-01-10,10.72,11.15,10.5,10.97,191500,0.0,0
2008-01-11,10.69,10.78,9.91,9.95,290900,0.0,0
2008-01-14,9.98,10.35,9.86,10.04,273500,0.0,0
2008-01-15,9.99,10.02,9.71,9.91,331400,0.0,0
2008-01-16,9.95,10.35,9.69,10.07,168300,0.05,0
2008-01-17,9.95,10.07,9.32,9.34,217500,0.0,0
2008-01-18,9.39,9.45,8.91,9.06,298900,0.0,0
2008-01-22,8.48,9.03,8.31,8.91,262300,0.0,0
2008-01-23,8.68,9.01,8.5,8.99,404900,0.0,0
2008-01-24,8.91,9.78,8.77,9.65,396400,0.0,0
2008-01-25,9.92,10.21,9.63,9.99,228700,0.0,0
2008-01-28,9.99,9.99,9.73,9.92,247500,0.0,0
2008-01-29,9.95,9.95,9.39,9.48,123300,0.0,0
2008-01-30,9.39,9.86,9.17,9.32,194900,0.0,0
2008-01-31,9.13,9.7,9.07,9.56,212500,0.0,0
2008-02-01,9.65,10.36,9.45,10.19,206400,0.0,0
2008-02-04,10.13,10.21,9.99,10.1,158700,0.0,0
2008-02-05,9.9,10.14,9.47,9.47,166100,0.0,0
2008-02-06,9.63,9.63,9.39,9.42,166300,0.0,0
2008-02-07,9.35,9.49,9.09,9.29,180800,0.0,0
2008-02-08,9.29,9.51,8.92,9.01,203400,0.0,0
2008-02-11,8.89,9.39,8.89,9.27,122200,0.0,0
2008-02-12,9.33,9.54,9.19,9.23,119800,0.0,0
2008-02-13,9.4,9.69,9.36,9.69,166800,0.0,0
2008-02-14,9.69,9.7,8.82,9.1,208600,0.0,0
2008-02-15,9.02,9.13,8.68,8.81,166100,0.0,0
2008-02-19,8.79,9.09,8.79,8.89,90500,0.0,0
2008-02-20,8.69,9.25,8.61,8.67,240700,0.0,0
2008-02-21,8.81,8.95,8.52,8.57,295000,0.0,0
2008-02-22,8.57,8.68,8.1,8.56,232600,0.0,0
2008-02-25,8.48,8.83,8.48,8.67,194700,0.0,0
2008-02-26,8.59,9.24,8.59,8.86,99700,0.0,0
2008-02-27,8.69,9.06,8.61,8.82,267300,0.0,0
2008-02-28,8.68,8.79,8.57,8.6,149900,0.0,0
2008-02-29,8.52,8.73,8.4,8.4,174100,0.0,0
2008-03-03,8.4,8.61,8.2,8.42,203100,0.0,0
2008-03-04,8.31,8.44,8.2,8.36,133300,0.0,0
2008-03-05,8.46,8.46,8.01,8.39,584300,0.0,0
2008-03-06,8.33,8.42,8.01,8.3,912900,0.0,0
2008-03-07,8.14,8.27,8.05,8.27,290000,0.0,0
2008-03-10,8.28,8.4,8.01,8.06,178400,0.0,0
2008-03-11,8.28,8.98,8.16,8.88,639500,0.0,0
2008-03-12,8.9,9.06,8.19,8.19,491300,0.0,0
2008-03-13,8.11,9.14,7.91,9.13,826900,0.0,0
2008-03-14,9.26,9.26,8.08,8.29,839900,0.0,0
2008-03-17,8.08,8.12,7.82,7.88,289300,0.0,0
2008-03-18,8.03,8.16,7.83,8.12,578800,0.0,0
2008-03-19,8.12,8.15,7.8,7.8,274600,0.0,0
2008-03-20,7.8,8.12,7.8,8.12,615000,0.0,0
2008-03-24,8.14,8.24,8.05,8.24,253300,0.0,0
2008-03-25,8.23,8.48,8.22,8.35,377100,0.0,0
2008-03-26,8.29,8.58,8.25,8.53,159400,0.0,0
2008-03-27,8.61,8.61,8.24,8.25,182000,0.0,0
2008-03-28,8.28,8.33,7.94,7.97,172300,0.0,0
2008-03-31,7.94,9.5,7.91,9.22,599700,0.0,0
2008-04-01,9.28,9.65,9.23,9.62,349900,0.0,0
2008-04-02,9.6,9.99,9.42,9.64,229900,0.0,0
2008-04-03,9.54,9.86,9.41,9.47,226300,0.0,0
2008-04-04,9.68,9.68,9.28,9.5,229800,0.0,0
2008-04-07,9.61,9.69,9.41,9.51,132900,0.0,0
2008-04-08,9.31,9.4,9.09,9.29,192900,0.0,0
2008-04-09,9.2,9.38,8.94,8.94,157900,0.0,0
2008-04-10,8.98,9.04,8.58,8.93,154300,0.0,0
2008-04-11,8.82,8.82,8.28,8.31,206600,0.0,0
2008-04-14,8.3,8.54,8.27,8.35,126100,0.0,0
2008-04-15,8.35,9.21,8.29,8.99,352500,0.0,0
2008-04-16,9.02,9.22,8.69,9.2,181300,0.05,0
2008-04-17,9.13,9.16,8.71,8.75,129000,0.0,0
2008-04-18,8.95,9.29,8.79,9.06,124400,0.0,0
2008-04-21,8.96,8.96,8.68,8.79,190500,0.0,0
2008-04-22,8.74,8.75,8.26,8.43,271600,0.0,0
2008-04-23,8.47,8.69,8.25,8.54,120800,0.0,0
2008-04-24,8.56,8.91,8.45,8.91,190300,0.0,0
2008-04-25,8.97,8.97,8.61,8.76,115000,0.0,0
2008-04-28,8.69,8.86,8.67,8.84,149500,0.0,0
2008-04-29,8.76,9.22,8.68,9.02,341300,0.0,0
2008-04-30,9.03,9.03,8.48,8.59,201200,0.0,0
2008-05-01,8.6,9.13,8.59,8.94,166200,0.0,0
2008-05-02,9.02,9.06,8.79,8.94,178600,0.0,0
2008-05-05,8.86,9.03,8.86,9.01,159400,0.0,0
2008-05-06,8.97,9.09,8.84,8.84,287100,0.0,0
2008-05-07,8.88,8.99,8.79,8.83,154200,0.0,0
2008-05-08,8.87,8.9,8.56,8.62,116200,0.0,0
2008-05-09,8.65,8.77,8.6,8.66,113300,0.0,0
2008-05-12,8.73,8.87,8.63,8.83,122800,0.0,0
2008-05-13,8.83,8.94,8.7,8.94,104200,0.0,0
2008-05-14,8.94,9.16,8.94,8.97,115600,0.0,0
2008-05-15,8.95,9.17,8.76,9.09,102700,0.0,0
2008-05-16,9.15,9.27,8.98,9.23,131100,0.0,0
2008-05-19,9.14,9.4,8.96,9.04,213600,0.0,0
2008-05-20,9.02,9.36,8.99,9.35,141100,0.0,0
2008-05-21,9.43,9.51,8.98,9.08,181000,0.0,0
2008-05-22,9.09,9.54,9.04,9.32,154300,0.0,0
2008-05-23,9.3,9.39,9.03,9.22,140400,0.0,0
2008-05-27,9.21,9.61,9.17,9.56,96200,0.0,0
2008-05-28,9.63,9.65,9.21,9.36,110500,0.0,0
2008-05-29,9.32,9.46,9.21,9.3,180100,0.0,0
2008-05-30,9.34,9.34,9.01,9.06,204400,0.0,0
2008-06-02,9.13,9.27,8.98,9.25,203400,0.0,0
2008-06-03,9.31,9.39,9.15,9.17,146500,0.0,0
2008-06-04,9.19,9.44,9.19,9.27,164000,0.0,0
