Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,14.92,15.0,14.36,14.41,1252800,0.0,0.0
2008-01-03,14.34,14.41,13.81,14.05,3358400,0.0,0.0
2008-01-04,13.89,13.93,13.69,13.72,2288000,0.0,0.0
2008-01-07,13.73,13.83,13.65,13.72,2888800,0.0,0.0
2008-01-08,13.81,13.85,13.21,13.25,3508800,0.0,0.0
2008-01-09,13.18,13.44,13.04,13.41,2129200,0.0,0.0
2008-01-10,13.39,13.47,13.12,13.35,1907600,0.0,0.0
2008-01-11,13.13,13.2,13.08,13.12,1223600,0.0,0.0
2008-01-14,13.21,13.34,13.15,13.32,1605200,0.0,0.0
2008-01-15,13.2,13.32,13.05,13.19,2692400,0.0,0.0
2008-01-16,12.95,13.91,12.83,13.78,3862800,0.0,0.0
2008-01-17,13.95,14.38,13.31,13.47,2834400,0.0,0.0
2008-01-18,13.49,13.67,13.31,13.41,2497200,0.0,0.0
2008-01-22,13.22,13.93,13.14,13.78,1924000,0.0,0.0
2008-01-23,13.72,14.19,13.32,14.12,2115200,0.0,0.0
2008-01-24,14.17,14.18,13.9,14.01,2634400,0.0,0.0
2008-01-25,14.04,14.11,13.86,13.95,1269600,0.0,0.0
2008-01-28,13.89,14.04,13.73,14.04,1753600,0.0,0.0
2008-01-29,14.09,14.12,13.87,14.02,1111600,0.0,0.0
2008-01-30,14.09,14.43,14.01,14.13,1407200,0.0,0.0
2008-01-31,13.99,14.68,13.86,14.54,1831600,0.0,0.0
2008-02-01,14.57,15.12,14.53,15.03,1411200,0.0,0.0
2008-02-04,15.05,15.08,14.63,14.63,1317600,0.0,0.0
2008-02-05,14.94,14.94,14.2,14.24,1219600,0.0,0.0
2008-02-06,14.45,14.45,14.04,14.22,1136400,0.0,0.0
2008-02-07,14.2,14.32,13.89,14.17,1374400,0.0,0.0
2008-02-08,14.04,14.41,14.01,14.12,1266800,0.0,0.0
2008-02-11,14.03,14.54,13.94,14.53,1024000,0.0,0.0
2008-02-12,14.75,14.77,14.46,14.54,1330800,0.0,0.0
2008-02-13,14.6,14.99,14.56,14.96,1434400,0.0,0.0
2008-02-14,14.92,15.06,14.47,14.59,1284000,0.0,0.0
2008-02-15,14.59,14.82,14.54,14.81,687200,0.0,0.0
2008-02-19,14.98,14.98,14.33,14.38,1529200,0.0,0.0
2008-02-20,14.28,14.48,14.28,14.39,1741200,0.0,0.0
2008-02-21,14.54,14.54,14.17,14.21,758400,0.0,0.0
2008-02-22,14.26,14.51,14.14,14.5,951600,0.0,0.0
2008-02-25,14.49,14.85,14.49,14.84,1160000,0.0,0.0
2008-02-26,14.89,15.09,14.73,14.97,983200,0.0,0.0
2008-02-27,14.57,14.94,14.36,14.77,1997600,0.0,0.0
2008-02-28,14.42,14.82,14.32,14.36,1641600,0.0,0.0
2008-02-29,14.16,14.16,13.48,13.51,3153200,0.0,0.0
2008-03-03,13.54,13.61,13.29,13.54,1921600,0.0,0.0
2008-03-04,13.36,13.44,13.05,13.09,1780000,0.0,0.0
2008-03-05,13.15,13.34,13.13,13.29,2540400,0.0,0.0
2008-03-06,13.36,13.53,13.33,13.42,2081600,0.09,0.0
2008-03-07,13.38,13.56,13.31,13.36,2459600,0.0,0.0
2008-03-10,13.37,13.48,13.26,13.35,2724400,0.0,0.0
2008-03-11,13.48,13.65,13.13,13.35,3042400,0.0,0.0
2008-03-12,13.43,13.56,13.16,13.2,2755600,0.0,0.0
2008-03-13,13.07,13.23,12.85,13.16,3690400,0.0,0.0
2008-03-14,13.1,13.24,12.81,13.15,3960000,0.0,0.0
2008-03-17,12.81,13.12,12.64,12.96,2500400,0.0,0.0
2008-03-18,13.24,13.24,13.05,13.18,2620400,0.0,0.0
2008-03-19,13.17,13.25,12.96,12.96,2406400,0.0,0.0
2008-03-20,13.05,13.29,12.93,13.2,1780400,0.0,0.0
2008-03-24,13.09,13.38,12.68,13.21,2497200,0.0,0.0
2008-03-25,13.28,13.33,13.09,13.23,2792000,0.0,0.0
2008-03-26,13.21,13.22,13.04,13.13,1610800,0.0,0.0
2008-03-27,13.31,13.31,13.07,13.21,4081600,0.0,0.0
2008-03-28,13.12,13.31,12.96,12.99,1049600,0.0,0.0
2008-03-31,13.26,13.63,13.2,13.38,2954000,0.0,0.0
2008-04-01,13.65,13.66,13.36,13.52,1626400,0.0,0.0
2008-04-02,13.67,13.73,13.48,13.5,1945200,0.0,0.0
2008-04-03,13.42,13.53,13.24,13.45,1094000,0.0,0.0
2008-04-04,13.37,13.49,13.22,13.45,1580400,0.0,0.0
2008-04-07,13.38,13.53,13.09,13.15,1739600,0.0,0.0
2008-04-08,13.15,13.27,13.04,13.16,1206800,0.0,0.0
2008-04-09,13.05,13.14,12.83,12.96,1359200,0.0,0.0
2008-04-10,13.05,13.23,12.99,13.21,1165600,0.0,0.0
2008-04-11,13.01,13.19,12.87,12.9,1994800,0.0,0.0
2008-04-14,12.92,13.12,12.92,12.94,1965600,0.0,0.0
2008-04-15,12.94,12.96,12.76,12.89,2060400,0.0,0.0
2008-04-16,13.05,13.12,12.99,13.06,2166400,0.0,0.0
2008-04-17,12.96,13.2,12.92,13.15,1128400,0.0,0.0
2008-04-18,13.35,13.43,13.25,13.4,1101600,0.0,0.0
2008-04-21,13.27,13.44,13.22,13.37,1068800,0.0,0.0
2008-04-22,13.28,13.42,13.18,13.37,1797600,0.0,0.0
2008-04-23,13.35,13.56,13.31,13.49,1435200,0.0,0.0
2008-04-24,13.67,14.05,13.53,14.02,1937200,0.0,0.0
2008-04-25,14.09,14.19,13.71,13.85,1086400,0.0,0.0
2008-04-28,13.97,14.17,13.91,14.04,1412400,0.0,0.0
2008-04-29,14.06,14.28,14.03,14.21,3084000,0.0,0.0
2008-04-30,14.32,14.36,13.8,13.84,1930800,0.0,0.0
2008-05-01,13.68,14.86,13.55,14.65,3924800,0.0,0.0
2008-05-02,14.59,14.69,14.26,14.41,1724000,0.0,0.0
2008-05-05,14.3,14.49,14.15,14.15,1432000,0.0,0.0
2008-05-06,14.19,14.45,14.03,14.31,1336000,0.0,0.0
2008-05-07,14.38,14.56,14.21,14.26,1120400,0.0,0.0
2008-05-08,14.17,14.42,14.11,14.4,871200,0.0,0.0
2008-05-09,14.35,14.56,14.32,14.53,1099600,0.0,0.0
