Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,80.8,81.21,77.63,78.03,1171300,0.0,0
2008-01-03,78.46,78.68,74.15,74.59,2429800,0.0,0
2008-01-04,72.92,73.16,68.86,69.81,4581300,0.0,0
2008-01-07,70.78,71.1,67.99,68.81,2149400,0.0,0
2008-01-08,69.15,70.56,66.89,66.92,1525100,0.0,0
2008-01-09,70.49,71.04,68.42,70.57,4392900,0.0,0
2008-01-10,69.87,71.54,69.77,70.93,2380300,0.0,0
2008-01-11,70.44,70.91,69.55,69.75,2405600,0.0,0
2008-01-14,70.23,70.46,66.56,66.6,3512200,0.0,0
2008-01-15,66.09,66.44,62.54,63.57,4343800,0.0,0
2008-01-16,66.45,67.76,64.71,67.49,8034000,0.0,0
2008-01-17,67.43,67.9,64.46,64.85,4013900,0.0,0
2008-01-18,64.66,66.13,64.55,65.02,3859200,0.0,0
2008-01-22,64.06,67.71,62.16,66.85,3703500,0.0,0
2008-01-23,66.45,68.08,64.85,67.89,3366800,0.0,0
2008-01-24,68.39,70.19,68.38,69.86,3862200,0.0,0
2008-01-25,70.76,71.07,67.13,67.71,4216500,0.0,0
2008-01-28,68.26,69.02,65.84,68.93,2068200,0.0,0
2008-01-29,69.51,70.34,67.85,70.05,2243400,0.0,0
2008-01-30,69.9,70.69,67.94,67.94,2174900,0.0,0
2008-01-31,67.96,70.62,66.79,69.54,1935200,0.0,0
2008-02-01,69.82,71.43,69.31,70.62,1919400,0.0,0
2008-02-04,71.8,71.8,68.53,69.05,1483600,0.0,0
2008-02-05,68.22,69.09,66.85,67.34,4880800,0.0,0
2008-02-06,67.8,68.31,65.99,66.65,3259400,0.0,0
2008-02-07,66.26,68.71,66.26,68.67,2347200,0.0,0
2008-02-08,65.73,66.08,63.59,64.96,6108500,0.0,0
2008-02-11,65.22,65.7,64.6,65.03,4614800,0.0,0
2008-02-12,65.2,67.59,65.17,67.28,4923100,0.0,0
2008-02-13,68.39,68.43,66.91,67.37,4521000,0.0,0
2008-02-14,67.42,68.82,66.61,67.3,5680300,0.0,0
2008-02-15,64.31,64.55,62.64,63.25,4066600,0.0,0
2008-02-19,62.73,64.08,62.55,63.3,2771000,0.0,0
2008-02-20,62.93,62.94,60.55,61.77,2698500,0.0,0
2008-02-21,62.9,64.36,61.22,61.53,3192900,0.0,0
2008-02-22,62.64,62.64,60.68,61.59,1979600,0.0,0
2008-02-25,61.64,63.46,61.13,63.15,1527400,0.0,0
2008-02-26,63.18,64.97,62.89,64.4,3325000,0.0,0
2008-02-27,64.07,64.28,62.78,63.07,3747800,0.0,0
2008-02-28,63.01,63.07,59.05,59.43,3470300,0.0,0
2008-02-29,59.42,62.34,58.33,58.9,4517500,0.0,0
2008-03-03,58.83,59.52,57.12,57.62,7979900,0.0,0
2008-03-04,57.0,57.61,56.3,57.24,4472700,0.0,0
2008-03-05,57.51,60.39,57.01,59.79,3385400,0.0,0
2008-03-06,59.13,59.67,58.36,58.68,3021700,0.0,0
2008-03-07,57.61,58.21,56.64,56.93,3808900,0.0,0
2008-03-10,56.53,58.17,56.33,56.42,1879700,0.0,0
2008-03-11,57.86,59.52,56.37,58.4,2885300,0.0,0
2008-03-12,58.67,61.39,57.93,60.73,2401600,0.0,0
