Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.43,11.19,9.6,10.44,588100,0.0,0
2008-01-03,10.56,10.72,9.58,9.64,465700,0.0,0
2008-01-04,9.56,9.57,8.97,9.0,246100,0.0,0
2008-01-07,9.02,9.2,8.55,8.7,358400,0.0,0
2008-01-08,8.86,9.0,8.19,8.27,530100,0.0,0
2008-01-09,8.22,8.46,7.18,7.81,649900,0.0,0
2008-01-10,7.88,9.05,7.67,8.5,532700,0.0,0
2008-01-11,8.47,9.3,7.9,9.21,407100,0.0,0
2008-01-14,9.15,9.42,8.39,8.93,337500,0.0,0
2008-01-15,8.81,8.81,7.67,7.98,381600,0.0,0
2008-01-16,7.97,9.51,7.97,9.0,373600,0.0,0
2008-01-17,8.86,9.77,8.49,9.4,410200,0.0,0
2008-01-18,9.62,9.62,8.82,9.22,275600,0.0,0
2008-01-22,8.88,10.93,8.81,10.21,623900,0.0,0
2008-01-23,10.18,11.87,9.97,11.51,794500,0.0,0
2008-01-24,11.44,12.88,11.44,12.78,551200,0.0,0
2008-01-25,12.95,13.96,12.77,12.95,790800,0.0,0
2008-01-28,12.9,13.14,12.04,13.12,430100,0.0,0
2008-01-29,13.4,14.25,12.9,13.96,472700,0.0,0
2008-01-30,14.03,14.44,13.23,13.92,604900,0.0,0
2008-01-31,13.66,15.3,13.66,14.9,632900,0.0,0
2008-02-01,14.61,16.2,14.45,16.07,566400,0.0,0
2008-02-04,15.95,16.05,14.95,15.14,462800,0.0,0
2008-02-05,14.95,15.98,14.7,15.33,379800,0.0,0
2008-02-06,15.34,16.34,15.09,16.2,830700,0.0,0
2008-02-07,14.88,16.84,14.88,16.16,467900,0.0,0
2008-02-08,15.97,17.03,15.88,16.0,489100,0.0,0
2008-02-11,16.1,17.12,15.32,17.07,266300,0.0,0
2008-02-12,17.17,18.37,17.06,17.6,374500,0.0,0
2008-02-13,18.09,18.32,17.64,18.3,236100,0.0,0
2008-02-14,18.35,18.44,17.4,17.58,551200,0.0,0
2008-02-15,17.44,17.57,16.45,16.7,483600,0.0,0
2008-02-19,16.9,17.44,16.77,17.17,360000,0.0,0
2008-02-20,17.39,18.03,16.73,17.87,406700,0.0,0
2008-02-21,17.73,18.1,17.17,17.25,254400,0.0,0
2008-02-22,17.25,17.43,16.39,17.28,255300,0.0,0
2008-02-25,16.97,17.99,16.85,17.89,199800,0.0,0
2008-02-26,17.89,18.86,17.75,18.36,378400,0.0,0
2008-02-27,18.0,19.01,18.0,18.78,390300,0.0,0
2008-02-28,18.72,18.86,17.4,17.43,389900,0.0,0
2008-02-29,17.41,17.41,16.36,16.44,329300,0.0,0
2008-03-03,16.66,16.66,14.96,15.87,679200,0.0,0
2008-03-04,16.05,16.93,15.01,16.75,332600,0.0,0
2008-03-05,16.86,17.82,16.57,17.04,380600,0.0,0
2008-03-06,16.77,16.93,15.75,15.98,293900,0.0,0
2008-03-07,15.77,16.93,15.69,16.03,248200,0.0,0
2008-03-10,16.12,16.77,15.7,15.79,162300,0.0,0
2008-03-11,16.15,17.55,15.84,17.54,285600,0.0,0
2008-03-12,17.13,18.54,17.13,17.55,289300,0.0,0
2008-03-13,17.33,18.97,16.85,18.31,488700,0.0,0
2008-03-14,18.26,18.92,17.52,17.83,336500,0.0,0
2008-03-17,17.36,18.89,17.27,17.31,335100,0.0,0
2008-03-18,17.68,18.23,16.76,16.93,696400,0.0,0
2008-03-19,17.34,18.31,17.06,17.51,345600,0.0,0
2008-03-20,17.53,18.19,16.96,17.0,1076600,0.0,0
2008-03-24,17.5,19.33,17.08,18.43,492500,0.0,0
2008-03-25,18.07,18.71,18.07,18.14,374400,0.0,0
2008-03-26,18.01,18.17,16.65,16.95,269400,0.0,0
2008-03-27,17.41,17.41,16.39,16.7,268900,0.0,0
2008-03-28,16.66,16.79,15.87,16.0,193400,0.025,0
2008-03-31,15.99,17.27,15.89,16.95,235000,0.0,0
2008-04-01,17.1,17.9,17.0,17.83,260200,0.0,0
2008-04-02,17.65,18.45,17.46,17.71,313400,0.0,0
2008-04-03,17.58,18.97,17.49,18.96,323200,0.0,0
2008-04-04,18.75,19.56,18.65,19.38,292000,0.0,0
2008-04-07,19.69,20.22,19.12,19.12,245100,0.0,0
2008-04-08,18.93,19.21,18.44,18.79,190600,0.0,0
2008-04-09,18.78,19.12,17.17,17.19,186500,0.0,0
2008-04-10,17.27,18.42,17.27,18.28,211100,0.0,0
2008-04-11,17.88,18.85,17.62,17.67,135100,0.0,0
2008-04-14,17.63,17.76,17.14,17.22,100900,0.0,0
2008-04-15,17.34,17.39,15.9,16.73,274300,0.0,0
2008-04-16,16.97,18.07,16.97,17.19,305700,0.0,0
2008-04-17,16.99,17.19,16.56,16.66,183400,0.0,0
2008-04-18,16.94,18.35,16.94,17.87,196300,0.0,0
2008-04-21,17.54,17.69,16.5,17.09,159300,0.0,0
2008-04-22,17.05,17.38,16.25,16.41,123000,0.0,0
2008-04-23,16.45,16.85,15.77,15.91,232700,0.0,0
2008-04-24,15.95,16.96,15.51,16.78,286000,0.0,0
2008-04-25,17.05,17.56,16.52,17.47,124000,0.0,0
2008-04-28,17.57,18.14,17.19,17.95,134800,0.0,0
2008-04-29,17.82,18.35,17.45,18.0,164300,0.0,0
2008-04-30,17.92,18.04,16.91,17.12,193800,0.0,0
2008-05-01,16.47,16.98,16.39,16.58,240300,0.0,0
2008-05-02,16.63,17.8,16.6,17.58,124300,0.0,0
2008-05-05,17.37,17.86,17.17,17.42,166200,0.0,0
2008-05-06,17.32,18.24,17.12,18.07,186600,0.0,0
2008-05-07,17.89,18.75,16.86,17.1,319800,0.0,0
2008-05-08,17.18,17.37,16.33,16.52,165600,0.0,0
2008-05-09,16.5,16.78,16.15,16.25,136600,0.0,0
2008-05-12,16.37,17.17,16.21,17.04,166600,0.0,0
2008-05-13,17.22,17.67,16.98,17.29,121700,0.0,0
2008-05-14,17.28,17.55,16.98,17.11,117100,0.0,0
2008-05-15,17.08,17.41,16.88,17.22,152000,0.0,0
2008-05-16,17.57,17.62,16.57,17.07,166600,0.0,0
2008-05-19,17.04,17.41,16.35,16.6,115500,0.0,0
2008-05-20,16.51,16.51,15.43,15.59,209100,0.0,0
2008-05-21,15.43,15.69,14.8,15.58,263300,0.0,0
2008-05-22,15.67,16.28,15.67,16.12,140200,0.0,0
2008-05-23,15.97,16.28,15.68,15.79,231000,0.0,0
2008-05-27,15.72,16.92,15.61,16.68,158400,0.0,0
2008-05-28,16.83,17.02,16.51,16.65,543700,0.0,0
2008-05-29,16.72,17.58,16.29,17.39,185800,0.0,0
2008-05-30,17.37,17.42,16.68,17.14,197000,0.0,0
2008-06-02,17.27,17.42,16.66,17.28,117900,0.0,0
2008-06-03,17.72,18.48,17.47,18.27,218100,0.0,0
2008-06-04,18.21,19.71,18.01,18.99,287300,0.0,0
2008-06-05,19.58,19.78,18.63,19.2,220700,0.0,0
2008-06-06,19.11,19.11,17.76,17.76,146900,0.0,0
2008-06-09,17.75,18.27,16.97,17.11,217700,0.0,0
2008-06-10,16.93,17.87,16.37,17.36,173400,0.0,0
2008-06-11,17.28,17.41,16.08,16.08,230900,0.0,0
2008-06-12,16.27,18.29,16.27,17.48,408500,0.0,0
2008-06-13,17.68,18.89,17.68,18.86,278900,0.0,0
2008-06-16,18.66,19.36,18.52,19.36,302000,0.0,0
2008-06-17,19.09,19.11,17.04,17.22,594800,0.0,0
2008-06-18,17.39,17.67,16.8,17.12,464700,0.0,0
2008-06-19,17.12,17.66,16.94,17.58,166900,0.0,0
2008-06-20,17.52,17.58,16.21,16.61,402300,0.0,0
2008-06-23,16.5,16.8,15.9,15.98,246000,0.0,0
2008-06-24,16.06,16.43,15.08,15.74,359600,0.0,0
2008-06-25,15.81,16.61,15.69,15.93,433500,0.0,0
2008-06-26,15.71,15.73,14.25,14.91,511400,0.0,0
2008-06-27,14.88,16.82,14.76,16.82,528500,0.025,0
2008-06-30,16.82,16.85,15.56,15.73,260900,0.0,0
2008-07-01,15.52,16.39,15.39,16.03,286700,0.0,0
2008-07-02,16.06,16.14,13.96,14.0,300800,0.0,0
2008-07-03,14.0,14.16,13.23,13.94,106000,0.0,0
2008-07-07,14.12,14.42,13.16,13.71,221600,0.0,0
2008-07-08,13.65,15.59,12.88,15.58,310200,0.0,0
2008-07-09,15.62,15.98,13.46,13.48,286000,0.0,0
2008-07-10,13.2,13.71,12.62,13.29,393300,0.0,0
2008-07-11,13.01,14.09,12.6,13.49,199300,0.0,0
2008-07-14,14.13,14.13,12.98,13.81,247300,0.0,0
2008-07-15,13.81,14.81,12.82,13.95,266300,0.0,0
2008-07-16,13.99,17.11,13.82,16.88,432900,0.0,0
2008-07-17,16.89,18.95,16.62,18.17,544400,0.0,0
2008-07-18,16.56,18.73,16.56,18.17,260900,0.0,0
2008-07-21,18.43,18.85,17.84,18.62,226300,0.0,0
2008-07-22,18.48,20.56,17.52,20.3,343600,0.0,0
2008-07-23,19.99,22.51,19.8,21.45,565900,0.0,0
2008-07-24,21.87,21.87,19.66,20.04,490700,0.0,0
2008-07-25,20.08,22.04,19.16,20.41,269400,0.0,0
2008-07-28,20.41,20.75,19.2,19.8,405400,0.0,0
2008-07-29,19.99,21.49,19.99,20.96,286800,0.0,0
2008-07-30,21.0,21.5,20.09,20.86,271900,0.0,0
2008-07-31,17.1,20.43,17.1,18.95,506600,0.0,0
