Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-19,0.84,0.88,0.88,0.88,3025000,0,0
2010-03-23,0.88,0.84,0.84,0.84,121000,0,0
2010-12-03,0.84,0.84,0.84,0.84,1210,0,0
2011-03-14,0.84,0.84,0.84,0.84,605,0,0
2011-03-25,0.84,0.84,0.84,0.84,1210,0,0
2011-08-17,0.84,0.84,0.84,0.84,121,0,0
2011-09-02,0.84,0.84,0.84,0.84,3009764,0,0
2011-09-07,0.84,0.84,0.84,0.84,6050,0,0
2011-11-17,0.84,0.84,0.84,0.84,0,0,0
2011-11-21,0.84,0.84,0.84,0.84,0,0,0
2011-11-22,0.84,0.84,0.84,0.84,0,0,0
2011-11-23,0.84,0.84,0.84,0.84,0,0,0
2011-11-25,0.84,0.84,0.84,0.84,0,0,0
2011-11-28,0.84,0.84,0.84,0.84,0,0,0
2011-11-29,0.84,0.84,0.84,0.84,0,0,0
2011-11-30,0.84,0.84,0.84,0.84,0,0,0
2011-12-01,0.84,0.84,0.84,0.84,0,0,0
2011-12-02,0.84,0.84,0.84,0.84,0,0,0
2011-12-05,0.84,0.84,0.84,0.84,0,0,0
2011-12-06,0.84,0.84,0.84,0.84,0,0,0
2011-12-07,0.84,0.84,0.84,0.84,0,0,0
2011-12-08,0.84,0.84,0.84,0.84,0,0,0
2011-12-09,0.84,0.84,0.84,0.84,0,0,0
2011-12-12,0.84,0.84,0.84,0.84,0,0,0
2011-12-13,0.84,0.84,0.84,0.84,0,0,0
2011-12-14,0.84,0.84,0.84,0.84,0,0,0
2011-12-15,0.84,0.84,0.84,0.84,0,0,0
2011-12-16,0.84,0.84,0.84,0.84,0,0,0
2011-12-19,0.84,0.84,0.84,0.84,0,0,0
2011-12-20,0.84,0.84,0.84,0.84,0,0,0
2011-12-21,0.84,0.84,0.84,0.84,0,0,0
2011-12-22,0.84,0.84,0.84,0.84,0,0,0
2011-12-23,0.84,0.84,0.84,0.84,0,0,0
2011-12-29,0.84,0.84,0.84,0.84,0,0,0
2011-12-30,0.84,0.84,0.84,0.84,0,0,0
2012-01-04,0.84,0.84,0.84,0.84,0,0,0
2012-01-05,0.84,0.84,0.84,0.84,0,0,0
2012-01-06,0.84,0.84,0.84,0.84,0,0,0
2012-01-09,0.84,0.84,0.84,0.84,0,0,0
2012-01-10,0.84,0.84,0.84,0.84,0,0,0
2012-01-11,0.84,0.84,0.84,0.84,0,0,0
2012-01-12,0.84,0.84,0.84,0.84,0,0,0
2012-01-13,0.84,0.84,0.84,0.84,0,0,0
2012-01-17,0.84,0.84,0.84,0.84,0,0,0
2012-01-18,0.84,0.84,0.84,0.84,0,0,0
2012-01-20,0.84,0.84,0.84,0.84,0,0,0
2012-01-23,0.84,0.84,0.84,0.84,0,0,0
2012-01-24,0.84,0.84,0.84,0.84,0,0,0
2012-01-25,0.84,0.84,0.84,0.84,0,0,0
2012-01-26,0.84,0.84,0.84,0.84,0,0,0
