Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.23,20.26,19.37,19.48,218300,0.0,0
2008-01-03,19.49,19.64,19.27,19.31,102300,0.0,0
2008-01-04,19.2,19.33,18.94,19.07,127500,0.0,0
2008-01-07,19.14,19.17,18.88,19.01,149600,0.0,0
2008-01-08,18.96,19.18,18.76,18.81,132000,0.0,0
2008-01-09,18.97,18.97,18.19,18.33,316400,0.0,0
2008-01-10,18.32,18.52,17.8,18.47,346900,0.0,0
2008-01-11,18.54,18.67,17.97,18.01,184300,0.0,0
2008-01-14,17.98,18.3,17.82,18.05,143400,0.0,0
2008-01-15,18.03,18.12,17.35,17.36,255900,0.0,0
2008-01-16,17.37,17.44,16.87,17.1,291100,0.0,0
2008-01-17,17.21,17.46,16.55,16.72,263900,0.0,0
2008-01-18,16.72,16.72,15.6,15.83,527700,0.0,0
2008-01-22,15.48,15.85,15.09,15.64,523900,0.0,0
2008-01-23,15.45,16.06,15.31,15.96,340100,0.0,0
2008-01-24,16.11,16.65,16.08,16.55,218300,0.0,0
2008-01-25,16.61,16.99,16.41,16.52,227500,0.0,0
2008-01-28,16.63,16.63,16.24,16.43,184000,0.0,0
2008-01-29,16.58,16.91,16.49,16.57,224700,0.0,0
2008-01-30,16.43,16.65,16.35,16.37,184600,0.0,0
2008-01-31,16.38,16.61,16.25,16.51,321500,0.0,0
2008-02-01,16.66,16.91,16.66,16.88,348400,0.0,0
2008-02-04,17.0,17.08,16.88,16.89,213400,0.0,0
2008-02-05,16.88,16.88,16.26,16.31,261000,0.0,0
2008-02-06,16.42,16.6,16.23,16.28,230600,0.0,0
2008-02-07,16.18,16.62,16.15,16.53,212800,0.0,0
2008-02-08,16.55,16.83,16.55,16.6,137600,0.0,0
2008-02-11,16.6,16.67,16.36,16.37,136800,0.0,0
2008-02-12,16.35,16.54,15.94,15.96,271200,0.0,0
2008-02-13,16.08,16.51,16.08,16.49,290000,0.0,0
2008-02-14,16.41,16.52,16.19,16.23,405200,0.0,0
2008-02-15,16.25,16.4,16.2,16.33,137000,0.0,0
2008-02-19,16.43,16.63,16.18,16.21,132900,0.0,0
2008-02-20,16.18,16.48,16.04,16.36,107200,0.0,0
2008-02-21,16.42,16.43,15.63,15.87,203900,0.0,0
2008-02-22,16.1,16.57,15.99,16.34,319400,0.0,0
2008-02-25,16.4,17.14,16.11,17.1,385700,0.0,0
2008-02-26,17.03,17.44,16.84,17.18,323000,0.0,0
2008-02-27,17.11,17.22,16.79,16.98,580900,0.0,0
2008-02-28,17.17,17.87,16.96,17.02,617900,0.0,0
2008-02-29,17.1,17.3,16.65,16.73,606200,0.0,0
2008-03-03,17.05,17.05,16.48,16.81,421600,0.635,0
2008-03-04,16.81,16.82,16.36,16.66,387700,0.0,0
2008-03-05,16.66,16.98,16.52,16.95,386200,0.0,0
2008-03-06,17.01,17.03,16.33,16.37,348800,0.0,0
2008-03-07,16.29,16.4,15.91,16.0,204700,0.0,0
2008-03-10,16.22,16.41,15.63,15.7,264900,0.0,0
2008-03-11,15.84,15.98,15.57,15.74,352700,0.0,0
2008-03-12,16.18,16.18,15.53,15.57,223100,0.0,0
2008-03-13,15.64,15.64,15.06,15.28,323400,0.0,0
2008-03-14,15.25,15.53,14.94,15.01,275900,0.0,0
2008-03-17,15.04,15.11,14.76,15.01,296500,0.0,0
2008-03-18,14.93,15.52,14.92,15.43,393600,0.0,0
2008-03-19,15.53,15.54,15.18,15.24,467300,0.0,0
2008-03-20,15.24,15.55,15.19,15.38,438500,0.0,0
2008-03-24,15.58,15.9,15.47,15.81,213800,0.0,0
2008-03-25,15.78,15.86,15.43,15.52,370200,0.0,0
2008-03-26,15.41,15.48,15.02,15.18,392900,0.0,0
2008-03-27,15.31,15.41,14.97,15.02,292500,0.0,0
2008-03-28,15.01,15.08,14.76,14.87,268300,0.0,0
2008-03-31,14.87,14.87,14.51,14.83,292700,0.0,0
2008-04-01,14.91,15.12,14.84,15.12,325200,0.0,0
2008-04-02,15.3,15.3,14.42,14.53,597200,0.0,0
2008-04-03,14.62,15.17,14.43,15.01,520400,0.0,0
2008-04-04,15.13,15.23,14.89,15.1,327300,0.0,0
2008-04-07,15.16,15.65,15.14,15.55,407600,0.0,0
2008-04-08,15.55,15.81,15.48,15.76,269200,0.0,0
2008-04-09,15.78,15.86,15.3,15.43,315600,0.0,0
2008-04-10,15.34,15.55,15.28,15.39,194700,0.0,0
2008-04-11,15.27,15.44,15.05,15.11,166800,0.0,0
2008-04-14,15.19,15.24,14.9,15.08,175000,0.0,0
2008-04-15,15.2,15.2,14.59,14.85,247300,0.0,0
2008-04-16,14.78,15.56,14.78,15.36,298500,0.0,0
2008-04-17,15.36,15.66,15.32,15.61,229800,0.0,0
2008-04-18,15.81,15.81,15.43,15.47,245600,0.0,0
2008-04-21,15.47,15.52,15.27,15.45,185300,0.0,0
2008-04-22,15.47,15.57,15.34,15.55,247200,0.0,0
2008-04-23,15.61,15.61,15.05,15.26,303400,0.0,0
2008-04-24,15.12,15.44,15.11,15.22,248700,0.0,0
2008-04-25,15.22,15.47,15.12,15.19,335400,0.0,0
2008-04-28,15.19,15.51,15.11,15.3,286700,0.0,0
2008-04-29,15.4,15.48,15.17,15.21,257900,0.0,0
2008-04-30,15.32,15.35,15.02,15.06,422100,0.0,0
2008-05-01,15.06,15.1,14.65,14.65,586500,0.0,0
2008-05-02,14.71,14.76,14.02,14.24,879800,0.0,0
2008-05-05,14.08,14.55,14.07,14.2,587500,0.0,0
2008-05-06,14.16,14.32,13.88,14.09,462900,0.0,0
