Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,29.18,29.2,28.56,28.68,529600,0.0,0
2008-01-03,28.69,28.88,28.58,28.64,403300,0.0,0
2008-01-04,28.46,28.65,28.24,28.33,788900,0.0,0
2008-01-07,28.58,28.8,28.44,28.73,981600,0.0,0
2008-01-08,28.79,29.17,28.62,28.98,754000,0.0,0
2008-01-09,28.89,28.91,28.44,28.76,1093200,0.0,0
2008-01-10,28.66,29.45,28.61,29.41,917700,0.0,0
2008-01-11,29.1,29.13,28.49,28.58,936400,0.0,0
2008-01-14,28.61,28.66,28.35,28.6,763700,0.0,0
2008-01-15,28.34,28.65,28.03,28.03,994100,0.0,0
2008-01-16,27.86,28.12,27.86,27.97,1355100,0.0,0
2008-01-17,28.0,28.14,27.6,27.67,706700,0.0,0
2008-01-18,27.6,27.94,27.47,27.81,1415600,0.0,0
2008-01-22,27.02,27.27,26.51,26.75,983200,0.0,0
2008-01-23,26.41,27.52,25.24,26.98,2134200,0.0,0
2008-01-24,27.06,27.21,25.89,26.72,1486200,0.0,0
2008-01-25,26.98,27.06,26.29,26.29,732500,0.0,0
2008-01-28,26.38,26.63,26.2,26.44,1053800,0.0,0
2008-01-29,26.6,26.77,26.16,26.7,729400,0.0,0
2008-01-30,26.63,26.75,25.99,26.1,731300,0.0,0
2008-01-31,25.89,26.22,25.58,25.98,986200,0.0,0
2008-02-01,26.29,26.63,25.99,26.63,1002500,0.0,0
2008-02-04,26.67,26.67,26.39,26.42,502100,0.0,0
2008-02-05,26.34,26.4,25.73,25.93,788300,0.0,0
2008-02-06,26.06,26.4,25.85,26.36,1046800,0.0,0
2008-02-07,26.24,26.57,25.94,26.12,933000,0.0,0
2008-02-08,26.08,26.14,25.9,25.93,769800,0.0,0
2008-02-11,25.76,26.59,25.76,26.58,688200,0.0,0
2008-02-12,26.76,27.14,26.68,27.11,679000,0.0,0
2008-02-13,27.34,27.34,27.04,27.15,831300,0.0,0
2008-02-14,26.94,27.23,26.5,26.66,448700,0.0,0
2008-02-15,26.53,27.22,26.53,27.22,597700,0.0,0
2008-02-19,27.48,27.48,27.04,27.24,809200,0.0,0
2008-02-20,27.06,27.53,26.87,27.53,587600,0.0,0
2008-02-21,27.55,27.71,27.07,27.2,525100,0.0,0
2008-02-22,27.33,27.55,27.08,27.52,545400,0.0,0
2008-02-25,27.72,27.76,27.39,27.7,459900,0.0,0
2008-02-26,27.62,27.82,27.46,27.55,403500,0.0,0
2008-02-27,27.57,27.62,27.35,27.44,438000,0.0,0
2008-02-28,27.23,27.35,27.11,27.2,328900,0.0,0
2008-02-29,26.8,27.33,26.57,26.63,655300,0.0,0
2008-03-03,26.63,27.1,26.57,27.09,428100,0.0,0
2008-03-04,26.77,27.06,26.76,26.99,444400,0.0,0
2008-03-05,27.2,27.25,26.84,26.98,404700,0.0,0
2008-03-06,26.91,26.99,26.75,26.75,470900,0.0,0
2008-03-07,26.64,27.13,26.61,26.73,609200,0.0,0
2008-03-10,26.8,27.33,26.56,26.98,538700,0.0,0
2008-03-11,27.65,27.79,27.13,27.79,844000,0.0,0
2008-03-12,27.75,28.11,27.51,27.51,829100,0.0,0
2008-03-13,27.27,27.79,27.25,27.51,848900,0.0,0
2008-03-14,27.57,27.83,26.59,26.87,905800,0.0,0
2008-03-17,26.45,26.87,26.45,26.69,902200,0.0,0
2008-03-18,27.11,27.57,26.96,27.57,789200,0.0,0
2008-03-19,27.67,28.27,27.57,27.69,600700,0.0,0
2008-03-20,27.61,28.24,27.61,27.97,1183600,0.0,0
2008-03-24,28.04,28.31,27.64,28.03,850900,0.0,0
2008-03-25,28.03,28.33,27.97,28.03,515300,0.0,0
2008-03-26,28.0,28.16,27.83,27.91,314600,0.0,0
2008-03-27,28.61,29.89,28.44,29.25,1687100,0.0,0
2008-03-28,29.01,29.01,28.03,28.5,1098300,0.0,0
2008-03-31,28.37,28.69,28.21,28.57,881300,0.0,0
2008-04-01,28.73,29.26,28.69,29.24,875700,0.0,0
2008-04-02,29.37,29.38,28.93,29.05,765200,0.0,0
2008-04-03,28.99,29.26,28.95,29.17,433200,0.0,0
2008-04-04,29.17,29.32,29.05,29.21,355400,0.0,0
2008-04-07,29.36,29.36,29.05,29.24,581100,0.0,0
2008-04-08,29.1,29.22,28.96,29.19,544600,0.0,0
2008-04-09,29.23,29.29,29.03,29.21,805100,0.0,0
2008-04-10,29.18,29.18,28.78,28.91,725800,0.22,0
2008-04-11,28.72,28.9,28.63,28.73,479500,0.0,0
2008-04-14,28.77,28.91,28.71,28.84,426300,0.0,0
2008-04-15,28.91,29.19,28.76,28.87,481200,0.0,0
2008-04-16,28.96,29.15,28.88,29.15,494700,0.0,0
2008-04-17,28.77,29.19,28.77,29.14,452700,0.0,0
2008-04-18,29.45,29.78,29.27,29.54,785800,0.0,0
2008-04-21,29.36,29.4,29.18,29.4,344300,0.0,0
2008-04-22,29.36,29.43,28.96,29.14,650600,0.0,0
2008-04-23,29.36,29.54,29.1,29.47,607600,0.0,0
2008-04-24,29.36,29.53,28.99,29.39,532400,0.0,0
2008-04-25,29.41,29.58,29.39,29.54,684300,0.0,0
2008-04-28,29.37,29.82,29.37,29.61,880100,0.0,0
2008-04-29,29.6,29.62,29.19,29.38,713800,0.0,0
2008-04-30,29.4,29.69,29.31,29.38,456000,0.0,0
2008-05-01,29.3,29.61,29.2,29.54,537000,0.0,0
2008-05-02,29.76,29.76,28.86,28.92,915200,0.0,0
2008-05-05,28.77,28.95,28.47,28.5,970200,0.0,0
2008-05-06,28.24,28.59,28.24,28.55,851800,0.0,0
2008-05-07,28.55,28.89,28.48,28.48,676800,0.0,0
2008-05-08,28.57,28.84,28.52,28.81,488500,0.0,0
2008-05-09,28.63,28.8,28.52,28.69,440600,0.0,0
2008-05-12,28.7,29.09,28.64,29.07,491400,0.0,0
2008-05-13,29.24,29.24,28.85,29.01,316300,0.0,0
2008-05-14,28.93,29.19,28.93,29.04,378500,0.0,0
2008-05-15,28.92,28.98,28.77,28.85,332800,0.0,0
2008-05-16,28.84,28.96,28.71,28.93,490700,0.0,0
2008-05-19,29.04,29.18,28.84,29.08,383800,0.0,0
2008-05-20,29.01,29.09,28.7,28.83,406900,0.0,0
2008-05-21,28.82,28.89,28.28,28.33,443600,0.0,0
2008-05-22,28.27,28.69,28.24,28.62,331100,0.0,0
2008-05-23,28.45,28.49,28.11,28.23,333600,0.0,0
2008-05-27,28.37,28.66,28.35,28.56,488300,0.0,0
2008-05-28,28.74,28.74,28.56,28.68,671500,0.0,0
2008-05-29,28.74,29.21,28.7,29.19,602300,0.0,0
2008-05-30,29.15,29.33,29.08,29.22,635400,0.0,0
2008-06-02,29.21,29.33,28.97,29.22,804800,0.0,0
2008-06-03,29.11,29.39,29.05,29.2,688300,0.0,0
