Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-14,7.0,7.0,6.8,6.8,0,0,0
2014-07-15,7.05,7.05,7.05,7.05,140,0,0
2014-07-16,6.8,6.8,6.8,6.8,0,0,0
2014-07-17,6.81,6.81,6.81,6.81,0,0,0
2014-07-18,6.81,6.81,6.81,6.81,0,0,0
2014-07-21,6.88,6.88,6.88,6.88,0,0,0
2014-07-22,6.89,6.89,6.89,6.89,0,0,0
2014-07-23,6.89,6.89,6.89,6.89,0,0,0
2014-07-24,6.85,6.85,6.85,6.85,0,0,0
2014-07-25,7.06,7.06,6.84,6.84,0,0,0
2014-07-28,7.15,7.15,7.15,7.15,0,0,0
2014-07-29,7.05,7.05,7.05,7.05,0,0,0
2014-07-30,6.82,6.82,6.82,6.82,0,0,0
2014-07-31,6.83,6.83,6.83,6.83,0,0,0
2014-08-01,7.01,7.01,7.01,7.01,0,0,0
2014-08-04,6.8,6.8,6.8,6.8,0,0,0
2014-08-05,7.13,7.13,7.13,7.13,0,0,0
2014-08-06,6.85,6.85,6.85,6.85,0,0,0
2014-08-07,6.83,6.83,6.83,6.83,0,0,0
2014-08-08,6.79,6.79,6.79,6.79,0,0,0
2014-08-11,6.8,6.8,6.8,6.8,0,0,0
2014-08-12,6.83,6.83,6.83,6.83,0,0,0
2014-08-13,6.83,6.83,6.83,6.83,0,0,0
2014-08-14,6.83,6.83,6.83,6.83,0,0,0
2014-08-15,6.81,6.81,6.81,6.81,0,0,0
2014-08-18,7.08,7.08,7.08,7.08,0,0,0
2014-08-19,6.81,6.81,6.81,6.81,0,0,0
2014-08-20,6.81,6.81,6.81,6.81,0,0,0
2014-08-21,6.81,6.81,6.81,6.81,0,0,0
2014-08-22,7.01,7.01,7.01,7.01,0,0,0
2014-08-25,6.79,6.79,6.79,6.79,0,0,0
2014-08-26,6.78,6.78,6.78,6.78,0,0,0
2014-08-27,6.79,6.79,6.79,6.79,0,0,0
2014-08-28,6.8,6.8,6.8,6.8,0,0,0
2014-08-29,6.79,6.79,6.79,6.79,0,0,0
2014-09-02,7.01,7.01,7.01,7.01,0,0,0
2014-09-03,6.83,6.83,6.83,6.83,0,0,0
2014-09-04,7.05,7.05,7.05,7.05,0,0,0
2014-09-05,7.02,7.02,7.02,7.02,0,0,0
2014-09-08,6.78,6.78,6.78,6.78,0,0,0
2014-09-09,6.99,6.99,6.99,6.99,0,0,0
2014-09-10,6.78,6.78,6.78,6.78,0,0,0
2014-09-11,6.79,6.79,6.79,6.79,0,0,0
2014-09-12,7.01,7.01,7.01,7.01,0,0,0
2014-09-15,6.8,6.8,6.8,6.8,0,0,0
2014-09-16,6.8,6.8,6.8,6.8,0,0,0
2014-09-17,6.8,6.8,6.8,6.8,0,0,0
2014-09-18,6.8,6.8,6.8,6.8,0,0,0
2014-09-19,6.8,6.8,6.8,6.8,0,0,0
2014-09-22,6.8,6.8,6.8,6.8,0,0,0
2014-09-23,7.12,7.12,7.12,7.12,0,0,0
2014-09-24,6.86,6.86,6.86,6.86,0,0,0
2014-09-25,6.86,6.86,6.86,6.86,0,0,0
2014-09-26,6.84,6.84,6.81,6.81,0,0,0
2014-09-29,6.81,6.9,6.81,6.82,0,0,0
2014-09-30,6.82,6.82,6.82,6.82,0,0,0
2014-10-01,6.83,6.92,6.83,6.92,0,0,0
2014-10-02,7.05,7.05,7.05,7.05,0,0,0
2014-10-03,7.05,7.05,7.05,7.05,0,0,0
2014-10-10,6.79,6.89,6.79,6.89,0,0,0
2014-10-13,6.78,6.78,6.78,6.78,0,0,0
2014-10-15,6.7,6.7,6.7,6.7,0,0,0
2014-10-16,6.7,6.74,6.64,6.64,0,0,0
2014-10-17,6.64,6.64,6.64,6.64,0,0,0
2014-10-20,6.64,6.64,6.64,6.64,0,0,0
2014-10-21,6.59,6.59,6.59,6.59,0,0,0
2014-10-22,6.92,6.92,6.92,6.92,0,0,0
2014-10-23,6.5,6.5,6.5,6.5,0,0,0
2014-10-24,6.55,6.55,6.55,6.55,0,0,0
2014-10-27,6.58,6.65,6.58,6.65,0,0,0
2014-10-28,6.55,6.65,6.55,6.65,0,0,0
2014-10-29,6.49,6.66,6.49,6.66,0,0,0
2014-10-30,6.58,6.64,6.58,6.64,0,0,0
2014-10-31,6.64,6.64,6.55,6.55,0,0,0
2014-11-03,6.59,6.73,6.59,6.73,0,0,0
2014-11-04,6.65,6.65,6.65,6.65,0,0,0
2014-11-05,6.67,6.81,6.67,6.81,0,0,0
2014-11-06,6.72,6.72,6.72,6.72,0,0,0
2014-11-07,7.09,7.09,7.09,7.09,0,0,0
2014-11-10,6.71,6.81,6.71,6.81,0,0,0
2014-11-11,6.7,6.7,6.7,6.7,0,0,0
2014-11-12,6.7,6.7,6.7,6.7,0,0,0
2014-11-13,6.92,6.92,6.92,6.92,0,0,0
2014-11-14,6.68,6.68,6.68,6.68,0,0,0
2014-11-28,6.65,6.77,6.65,6.77,0,0,0
2014-12-01,6.91,6.91,6.91,6.91,0,0,0
2014-12-02,6.7,6.8,6.7,6.7,0,0,0
2014-12-03,6.7,6.71,6.68,6.68,0,0,0
2014-12-04,6.71,6.74,6.71,6.74,0,0,0
2014-12-05,6.74,6.74,6.7,6.7,0,0,0
2014-12-08,6.99,6.99,6.99,6.99,0,0,0
2014-12-09,6.71,6.71,6.71,6.71,0,0,0
2014-12-10,6.7,6.79,6.7,6.79,0,0,0
2014-12-11,6.7,6.7,6.68,6.68,0,0,0
2014-12-12,6.9,6.9,6.9,6.9,0,0,0
2014-12-15,6.68,6.68,6.68,6.68,0,0,0
2014-12-16,6.66,6.66,6.64,6.64,0,0,0
2014-12-17,6.64,6.75,6.64,6.66,0,0,0
2014-12-18,6.66,6.66,6.66,6.66,0,0,0
2014-12-19,6.95,6.95,6.95,6.95,0,0,0
2014-12-22,6.95,6.95,6.95,6.95,0,0,0
2014-12-23,6.68,6.71,6.68,6.68,0,0,0
2014-12-24,6.88,6.88,6.68,6.68,0,0,0
2014-12-26,6.68,6.68,6.68,6.68,0,0,0
2014-12-29,6.71,6.71,6.71,6.71,0,0,0
2014-12-30,6.7,6.7,6.7,6.7,0,0,0
2014-12-31,6.96,6.96,6.96,6.96,0,0,0
2015-01-02,6.77,6.84,6.77,6.84,0,0,0
2015-01-05,6.73,6.77,6.73,6.77,0,0,0
2015-01-06,6.81,6.81,6.71,6.71,0,0,0
2015-01-07,6.71,6.71,6.71,6.71,0,0,0
2015-01-08,6.75,6.75,6.75,6.75,0,0,0
2015-01-09,6.88,6.98,6.88,6.98,0,0,0
2015-01-12,6.98,7.02,6.98,6.98,0,0,0
2015-01-13,7.02,7.02,7.02,7.02,0,0,0
2015-01-14,7.08,7.08,6.98,6.98,0,0,0
2015-01-15,6.98,7.09,6.98,7.09,0,0,0
2015-01-16,7.3,7.3,7.3,7.3,0,0,0
2015-01-20,7.17,7.17,7.16,7.16,0,0,0
2015-01-21,7.2,7.2,7.2,7.2,0,0,0
2015-01-22,7.55,7.55,7.55,7.55,0,0,0
2015-01-23,7.45,7.45,7.45,7.45,0,0,0
2015-01-26,7.37,7.37,7.37,7.37,0,0,0
2015-01-27,7.37,7.37,7.37,7.37,0,0,0
2015-01-28,7.37,7.37,7.37,7.37,0,0,0
2015-01-29,7.79,7.79,7.79,7.79,0,0,0
2015-01-30,7.37,7.37,7.33,7.33,0,0,0
2015-02-02,7.37,7.48,7.33,7.33,0,0,0
2015-02-03,7.37,7.37,7.37,7.37,0,0,0
2015-02-04,7.45,7.57,7.45,7.57,0,0,0
2015-02-05,7.5,7.5,7.5,7.5,0,0,0
2015-02-06,7.59,7.66,7.59,7.66,0,0,0
2015-02-09,7.66,7.66,7.66,7.66,0,0,0
2015-02-10,7.81,8.07,7.81,7.93,0,0,0
2015-02-11,7.97,8.12,7.97,8.07,0,0,0
2015-02-12,8.12,8.12,8.12,8.12,0,0,0
2015-02-13,8.5,8.5,8.5,8.5,0,0,0
2015-02-17,8.51,8.51,8.51,8.51,0,0,0
2015-02-18,8.49,8.49,8.49,8.49,0,0,0
2015-02-19,8.48,8.48,8.45,8.45,0,0,0
2015-02-20,8.5,8.51,8.5,8.51,0,0,0
2015-02-23,8.56,8.58,8.56,8.58,0,0,0
2015-02-24,8.46,8.58,8.42,8.42,0,0,0
2015-02-25,8.46,8.46,8.46,8.46,0,0,0
2015-02-26,8.46,8.46,8.46,8.46,0,0,0
2015-02-27,8.85,8.85,8.85,8.85,0,0,0
2015-03-02,8.45,8.45,8.45,8.45,0,0,0
2015-03-03,8.42,8.46,8.42,8.46,0,0,0
2015-03-04,8.46,8.46,8.41,8.41,0,0,0
2015-03-05,8.45,8.5,8.45,8.45,0,0,0
2015-03-06,8.5,8.62,8.45,8.45,0,0,0
2015-03-09,8.45,8.45,8.44,8.44,0,0,0
2015-03-10,8.87,8.87,8.87,8.87,0,0,0
2015-03-11,8.89,8.89,8.89,8.89,0,0,0
2015-03-12,8.56,8.56,8.56,8.56,0,0,0
2015-03-13,8.53,8.53,8.53,8.53,0,0,0
2015-03-16,8.6,8.6,8.6,8.6,0,0,0
2015-03-17,8.6,8.6,8.6,8.6,0,0,0
2015-03-18,8.55,8.55,8.55,8.55,0,0,0
2015-03-19,8.55,8.55,8.55,8.55,0,0,0
2015-03-20,9.0,9.0,9.0,9.0,0,0,0
2015-03-23,8.61,8.76,8.61,8.64,0,0,0
2015-03-24,8.64,8.64,8.58,8.58,0,0,0
2015-04-15,9.6,9.6,9.6,9.6,0,0,0
2015-04-16,9.6,9.6,9.6,9.6,0,0,0
2015-04-17,9.6,9.6,9.6,9.6,0,0,0
2015-05-04,9.52,9.52,9.52,9.52,0,0,0
2015-05-05,9.74,9.85,9.74,9.85,0,0,0
2015-05-06,10.0,10.0,10.0,10.0,0,0,0
2015-05-20,8.72,8.89,8.65,8.65,0,0,0
2015-06-01,8.5,8.5,8.5,8.5,0,0,0
2015-06-02,8.61,8.82,8.61,8.68,0,0,0
2015-06-03,8.99,8.99,8.99,8.99,0,0,0
2015-06-04,8.75,8.75,8.74,8.74,0,0,0
2015-06-05,8.74,8.85,8.6,8.6,0,0,0
2015-07-06,8.27,8.27,8.27,8.27,0,0,0
2015-07-07,7.98,8.15,7.98,8.02,0,0,0
2015-07-08,8.02,8.1,7.64,7.64,0,0,0
2015-07-09,7.68,7.81,7.67,7.67,0,0,0
2015-07-10,7.95,7.95,7.95,7.95,0,0,0
2015-07-27,7.91,8.15,7.91,7.98,0,0,0
2015-07-28,8.02,8.35,8.02,8.22,0,0,0
2015-09-14,7.67,7.69,7.67,7.69,0,0,0
2015-09-15,7.95,7.95,7.95,7.95,0,0,0
2015-09-16,7.93,7.93,7.93,7.93,0,0,0
2015-09-17,7.9,7.9,7.9,7.9,0,0,0
