Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-17,17.0,17.0,17.0,17.0,150,0,0
2010-08-18,17.0,17.0,17.0,17.0,0,0,0
2010-08-19,17.0,17.0,17.0,17.0,0,0,0
2010-08-20,17.0,17.0,17.0,17.0,0,0,0
2010-08-23,17.0,17.0,17.0,17.0,0,0,0
2010-08-24,17.0,17.0,17.0,17.0,0,0,0
2010-08-25,17.0,17.0,17.0,17.0,0,0,0
2010-08-26,16.23,16.23,16.23,16.23,460,0,0
2010-08-27,16.23,16.23,16.23,16.23,0,0,0
2010-08-30,16.23,16.23,16.23,16.23,0,0,0
2010-08-31,16.23,16.23,16.23,16.23,0,0,0
2010-09-01,16.23,16.23,16.23,16.23,0,0,0
2010-09-02,16.23,16.23,16.23,16.23,0,0,0
2010-09-03,16.23,16.23,16.23,16.23,0,0,0
2010-09-07,16.23,16.23,16.23,16.23,0,0,0
2010-09-08,16.23,16.23,16.23,16.23,0,0,0
2010-09-09,16.23,16.23,16.23,16.23,0,0,0
2010-09-10,16.23,16.23,16.23,16.23,0,0,0
2010-09-13,16.23,16.23,16.23,16.23,0,0,0
2010-09-14,16.23,16.23,16.23,16.23,0,0,0
2010-09-15,16.23,16.23,16.23,16.23,0,0,0
2010-09-16,16.23,16.23,16.23,16.23,0,0,0
2010-09-17,16.23,16.23,16.23,16.23,0,0,0
2010-09-20,16.23,16.23,16.23,16.23,0,0,0
2010-09-21,16.23,16.23,16.23,16.23,0,0,0
2010-09-22,16.23,16.23,16.23,16.23,0,0,0
2010-09-23,16.23,16.23,16.23,16.23,0,0,0
2010-09-24,16.23,16.23,16.23,16.23,0,0,0
2010-09-27,16.23,16.23,16.23,16.23,0,0,0
2010-09-28,16.23,16.23,16.23,16.23,0,0,0
2010-09-29,16.23,16.23,16.23,16.23,0,0,0
2010-09-30,16.23,16.23,16.23,16.23,0,0,0
2010-10-01,16.23,16.23,16.23,16.23,0,0,0
2010-10-04,16.23,16.23,16.23,16.23,0,0,0
2010-10-05,16.23,16.23,16.23,16.23,0,0,0
2010-10-06,16.23,16.23,16.23,16.23,0,0,0
2010-10-07,16.18,16.18,16.18,16.18,300,0,0
2010-10-08,16.18,16.18,16.18,16.18,0,0,0
2010-10-11,16.18,16.18,16.18,16.18,0,0,0
2010-10-12,16.18,16.18,16.18,16.18,0,0,0
2010-10-13,16.18,16.18,16.18,16.18,0,0,0
2010-10-14,16.18,16.18,16.18,16.18,0,0,0
2010-10-15,15.75,15.75,15.75,15.75,40,0,0
2010-10-18,15.75,15.75,15.75,15.75,0,0,0
2010-10-19,15.75,15.75,15.75,15.75,0,0,0
2010-10-20,15.75,15.75,15.75,15.75,0,0,0
2010-10-21,15.75,15.75,15.75,15.75,0,0,0
2010-10-22,15.75,15.75,15.75,15.75,0,0,0
2010-10-25,15.75,15.75,15.75,15.75,0,0,0
2010-10-26,15.75,15.75,15.75,15.75,0,0,0
2010-10-27,15.75,15.75,15.75,15.75,0,0,0
2010-10-28,15.75,15.75,15.75,15.75,0,0,0
2010-10-29,15.75,15.75,15.75,15.75,0,0,0
2010-11-01,15.75,15.75,15.75,15.75,0,0,0
2010-11-02,15.75,15.75,15.75,15.75,0,0,0
2010-11-03,15.75,15.75,15.75,15.75,0,0,0
2010-11-04,15.75,15.75,15.75,15.75,0,0,0
2010-11-05,15.75,15.75,15.75,15.75,0,0,0
2010-11-08,15.75,15.75,15.75,15.75,0,0,0
2010-11-09,15.75,15.75,15.75,15.75,0,0,0
2010-11-10,15.75,15.75,15.75,15.75,0,0,0
2010-11-11,15.75,15.75,15.75,15.75,0,0,0
2010-11-12,15.75,15.75,15.75,15.75,0,0,0
2010-11-15,15.75,15.75,15.75,15.75,0,0,0
2010-11-16,15.75,15.75,15.75,15.75,0,0,0
2010-11-17,15.95,15.95,15.95,15.95,0,0,0
2010-11-18,15.95,15.95,15.95,15.95,0,0,0
2010-11-19,15.95,15.95,15.95,15.95,0,0,0
2010-12-03,16.73,16.73,16.73,16.73,75,0,0
2010-12-08,15.8,15.8,15.8,15.8,250,0,0
2010-12-13,15.3,15.3,15.3,15.3,63,0,0
2011-01-12,14.9,14.9,14.9,14.9,1187,0,0
2011-02-17,14.35,14.35,14.35,14.35,350,0,0
2011-03-01,13.0,13.0,13.0,13.0,802,0,0
2011-05-19,13.65,13.65,13.65,13.65,1458,0,0
2011-11-17,13.65,13.65,13.65,13.65,0,0,0
2011-11-18,13.65,13.65,13.65,13.65,0,0,0
2011-11-21,13.65,13.65,13.65,13.65,0,0,0
2011-11-22,13.65,13.65,13.65,13.65,0,0,0
2011-11-23,13.65,13.65,13.65,13.65,0,0,0
2011-11-25,13.65,13.65,13.65,13.65,0,0,0
2011-11-28,13.65,13.65,13.65,13.65,0,0,0
2011-11-29,13.65,13.65,13.65,13.65,0,0,0
2011-11-30,13.65,13.65,13.65,13.65,0,0,0
2011-12-01,13.65,13.65,13.65,13.65,0,0,0
2011-12-02,13.65,13.65,13.65,13.65,0,0,0
2011-12-05,13.65,13.65,13.65,13.65,0,0,0
2011-12-06,13.65,13.65,13.65,13.65,0,0,0
2011-12-07,13.65,13.65,13.65,13.65,0,0,0
2011-12-08,13.65,13.65,13.65,13.65,0,0,0
2011-12-09,13.65,13.65,13.65,13.65,0,0,0
2011-12-12,13.65,13.65,13.65,13.65,0,0,0
2011-12-13,13.65,13.65,13.65,13.65,0,0,0
2011-12-14,13.65,13.65,13.65,13.65,0,0,0
2011-12-15,13.65,13.65,13.65,13.65,0,0,0
2011-12-16,13.65,13.65,13.65,13.65,0,0,0
