Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.32,19.96,19.15,19.67,5756500,0.0,0
2008-01-03,19.7,20.2,19.58,19.73,5565900,0.0,0
2008-01-04,19.58,19.91,19.46,19.69,4671900,0.0,0
2008-01-07,19.84,19.84,19.45,19.61,4019800,0.0,0
2008-01-08,19.61,19.83,19.1,19.2,3814100,0.0,0
2008-01-09,19.25,19.37,18.72,19.32,4999200,0.0,0
2008-01-10,19.28,19.66,18.97,19.39,5337700,0.0,0
2008-01-11,19.26,19.69,18.99,19.24,4540800,0.0,0
2008-01-14,19.43,19.43,19.08,19.28,2572600,0.0,0
2008-01-15,19.07,19.14,18.7,18.86,4759100,0.0,0
2008-01-16,18.85,19.66,18.85,19.28,3866200,0.0,0
2008-01-17,19.38,21.55,19.12,19.89,10058400,0.0,0
2008-01-18,20.02,20.34,19.4,19.81,5519100,0.0,0
2008-01-22,18.88,19.99,18.88,19.55,6182400,0.0,0
2008-01-23,19.02,20.4,17.56,20.36,5257300,0.0,0
2008-01-24,20.34,20.56,19.74,20.06,4552300,0.2,0
2008-01-25,20.0,20.55,19.46,19.92,6108000,0.0,0
2008-01-28,19.9,20.33,19.73,20.33,3316800,0.0,0
2008-01-29,20.43,20.53,20.04,20.09,3334500,0.0,0
2008-01-30,20.2,21.08,19.72,19.95,11895800,0.0,0
2008-01-31,19.7,20.47,19.48,20.23,7734200,0.0,0
2008-02-01,20.24,20.57,20.01,20.53,4501200,0.0,0
2008-02-04,20.53,20.53,20.15,20.19,3392700,0.0,0
2008-02-05,19.87,20.15,19.83,19.92,3607800,0.0,0
2008-02-06,19.3,20.14,19.3,19.72,2578100,0.0,0
2008-02-07,19.54,19.93,19.34,19.6,3705300,0.0,0
2008-02-08,19.46,19.53,19.17,19.26,3651800,0.0,0
2008-02-11,19.14,19.29,18.54,18.58,5679400,0.0,0
2008-02-12,18.33,19.46,18.32,19.09,7086900,0.0,0
2008-02-13,19.2,19.2,18.87,19.01,3347400,0.0,0
2008-02-14,18.98,19.15,18.73,18.82,3531600,0.0,0
2008-02-15,18.75,19.11,18.69,19.0,3448900,0.0,0
2008-02-19,19.18,19.28,18.62,18.77,2826400,0.0,0
2008-02-20,18.64,18.95,18.58,18.9,2912100,0.0,0
2008-02-21,18.9,19.11,18.86,18.89,3272200,0.0,0
2008-02-22,18.92,19.16,18.81,19.12,3456200,0.0,0
2008-02-25,19.12,19.39,18.9,19.33,2981300,0.0,0
2008-02-26,19.31,19.48,19.18,19.37,2379300,0.0,0
2008-02-27,19.2,19.64,19.1,19.47,2058400,0.0,0
2008-02-28,19.37,19.56,19.23,19.34,2544200,0.0,0
2008-02-29,19.12,19.2,18.65,18.7,4157300,0.0,0
2008-03-03,18.68,18.72,18.34,18.53,3832300,0.0,0
2008-03-04,18.38,18.79,18.37,18.71,3605200,0.0,0
2008-03-05,18.75,18.98,18.43,18.68,3055100,0.0,0
2008-03-06,18.56,18.65,18.26,18.29,2488200,0.0,0
2008-03-07,18.64,18.69,18.1,18.43,3226000,0.0,0
2008-03-10,18.41,18.56,18.06,18.11,2660400,0.0,0
2008-03-11,18.48,18.76,18.04,18.49,4504600,0.0,0
2008-03-12,18.58,19.07,18.45,18.73,5148600,0.0,0
2008-03-13,18.4,18.9,18.25,18.73,3553800,0.0,0
2008-03-14,18.76,18.79,18.01,18.15,4945700,0.0,0
2008-03-17,17.69,17.92,17.47,17.68,4899600,0.0,0
2008-03-18,17.98,18.59,17.58,18.56,4030600,0.0,0
2008-03-19,18.78,18.98,18.22,18.25,3368500,0.0,0
2008-03-20,18.27,18.71,18.26,18.65,4317800,0.0,0
2008-03-24,18.7,19.12,18.65,18.98,2729300,0.0,0
2008-03-25,18.93,19.17,18.71,19.03,2020000,0.0,0
2008-03-26,18.94,19.09,18.36,18.44,2986700,0.0,0
2008-03-27,18.53,18.65,17.82,17.84,3788400,0.0,0
2008-03-28,17.92,18.07,17.62,17.67,2865400,0.0,0
2008-03-31,17.7,17.96,17.62,17.88,3977200,0.0,0
2008-04-01,18.21,18.98,18.07,18.94,3292000,0.0,0
2008-04-02,18.99,19.21,18.81,18.91,3227300,0.0,0
