Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.66,21.19,19.71,19.74,481900,0.0,0
2008-01-03,19.98,20.27,19.55,19.81,426300,0.0,0
2008-01-04,19.66,19.66,18.34,18.37,254600,0.0,0
2008-01-07,18.5,19.7,18.5,19.54,377200,0.0,0
2008-01-08,19.67,20.1,18.98,19.15,214500,0.0,0
2008-01-09,19.03,19.84,18.65,19.49,347000,0.0,0
2008-01-10,19.01,19.78,18.94,19.44,291200,0.0,0
2008-01-11,19.18,19.26,18.54,18.54,208100,0.0,0
2008-01-14,18.74,19.27,18.37,19.23,177300,0.0,0
2008-01-15,18.87,18.89,17.74,18.08,250300,0.08,0
2008-01-16,18.08,18.54,17.9,18.21,373100,0.0,0
2008-01-17,18.31,18.31,17.65,18.01,228600,0.0,0
2008-01-18,17.85,18.42,17.4,17.66,274000,0.0,0
2008-01-22,16.97,18.59,16.75,18.12,217500,0.0,0
2008-01-23,17.55,19.11,17.54,18.96,400300,0.0,0
2008-01-24,19.2,19.26,18.35,18.97,428800,0.0,0
2008-01-25,19.28,19.53,18.64,18.8,266200,0.0,0
2008-01-28,18.73,18.97,18.12,18.92,373600,0.0,0
2008-01-29,18.97,19.03,18.36,18.76,222800,0.0,0
2008-01-30,18.6,20.11,18.52,19.45,358700,0.0,0
2008-01-31,19.2,20.33,19.16,19.98,317200,0.0,0
2008-02-01,20.03,20.84,19.81,20.71,168800,0.0,0
2008-02-04,20.51,20.62,19.96,20.5,211100,0.0,0
2008-02-05,20.17,20.65,19.8,19.81,183600,0.0,0
2008-02-06,20.02,20.3,19.43,19.51,146900,0.0,0
2008-02-07,19.43,20.95,19.4,20.51,190800,0.0,0
2008-02-08,20.26,20.62,19.8,20.29,159500,0.0,0
2008-02-11,20.25,20.76,20.07,20.46,134600,0.0,0
2008-02-12,20.46,21.07,20.19,21.04,233500,0.0,0
2008-02-13,21.2,21.86,21.04,21.46,168400,0.0,0
2008-02-14,21.55,21.55,20.44,20.45,121300,0.0,0
2008-02-15,20.29,20.29,19.32,19.6,196200,0.0,0
2008-02-19,19.8,20.99,19.72,20.34,175700,0.0,0
2008-02-20,20.08,20.42,19.8,20.33,118900,0.0,0
2008-02-21,20.44,21.04,19.67,19.72,187300,0.0,0
2008-02-22,18.72,18.77,18.15,18.54,664200,0.0,0
2008-02-25,18.46,18.62,17.62,18.59,583000,0.0,0
2008-02-26,18.31,18.31,16.84,16.93,562100,0.0,0
2008-02-27,16.74,17.43,16.5,16.68,460000,0.0,0
2008-02-28,16.7,16.95,16.39,16.48,307000,0.0,0
2008-02-29,16.35,16.35,15.86,15.89,239500,0.0,0
2008-03-03,15.86,16.41,15.85,16.23,358700,0.0,0
2008-03-04,15.97,16.1,15.45,15.88,516500,0.0,0
2008-03-05,15.8,15.97,15.53,15.88,306500,0.0,0
2008-03-06,15.74,15.76,14.81,14.93,305300,0.0,0
2008-03-07,14.74,15.32,14.72,14.96,207500,0.0,0
2008-03-10,15.03,15.22,14.49,14.54,213400,0.0,0
2008-03-11,14.98,15.29,14.85,15.29,200200,0.0,0
2008-03-12,15.39,15.48,14.56,14.65,235600,0.0,0
2008-03-13,14.43,14.93,14.27,14.87,213000,0.0,0
2008-03-14,14.87,15.2,14.25,14.54,282500,0.0,0
2008-03-17,14.16,14.7,14.16,14.34,197900,0.0,0
2008-03-18,15.03,15.62,14.85,15.45,218200,0.0,0
2008-03-19,15.59,15.95,15.15,15.15,214000,0.0,0
2008-03-20,15.8,15.89,15.51,15.64,375000,0.0,0
2008-03-24,15.74,16.11,15.68,16.04,220700,0.0,0
2008-03-25,15.81,16.22,15.81,16.11,144400,0.0,0
2008-03-26,15.81,15.98,15.4,15.53,150300,0.0,0
2008-03-27,16.46,19.04,16.46,17.81,810700,0.0,0
2008-03-28,18.08,18.08,15.04,15.52,549700,0.0,0
2008-03-31,15.74,16.48,15.62,16.08,371100,0.0,0
2008-04-01,16.29,16.48,15.88,16.37,303900,0.0,0
2008-04-02,16.23,16.71,16.23,16.48,454200,0.0,0
2008-04-03,16.39,16.57,16.25,16.29,195600,0.0,0
2008-04-04,16.16,16.44,15.88,15.89,196200,0.0,0
2008-04-07,16.03,16.42,15.96,16.03,163500,0.0,0
2008-04-08,15.88,16.03,15.73,15.95,178900,0.0,0
2008-04-09,15.87,16.03,15.74,15.78,215500,0.0,0
2008-04-10,15.75,16.24,15.67,15.89,215300,0.0,0
2008-04-11,15.67,15.93,15.67,15.8,251500,0.0,0
2008-04-14,15.71,16.01,15.61,15.74,173400,0.08,0
2008-04-15,15.95,16.47,15.87,15.95,112400,0.0,0
2008-04-16,16.97,17.41,16.48,16.82,399800,0.0,0
2008-04-17,16.41,16.79,16.41,16.49,211600,0.0,0
2008-04-18,16.66,16.82,16.4,16.58,348300,0.0,0
2008-04-21,16.49,17.14,16.42,16.9,302100,0.0,0
2008-04-22,16.85,17.08,16.59,16.63,272300,0.0,0
2008-04-23,16.67,16.97,16.34,16.72,163600,0.0,0
2008-04-24,16.69,17.8,16.69,17.39,135600,0.0,0
2008-04-25,17.43,18.15,17.43,17.92,177100,0.0,0
2008-04-28,17.97,18.46,17.92,18.26,144400,0.0,0
2008-04-29,18.2,18.42,18.05,18.37,183200,0.0,0
2008-04-30,18.4,18.68,17.97,18.09,153000,0.0,0
2008-05-01,17.93,18.55,17.93,18.27,136400,0.0,0
2008-05-02,18.37,18.71,18.17,18.24,115900,0.0,0
2008-05-05,18.25,18.45,17.87,18.06,105200,0.0,0
2008-05-06,17.93,18.28,17.7,17.99,173500,0.0,0
2008-05-07,17.98,18.51,17.44,17.55,118500,0.0,0
2008-05-08,17.55,17.56,17.07,17.24,160400,0.0,0
2008-05-09,16.97,17.4,16.9,17.02,142000,0.0,0
2008-05-12,16.94,17.57,16.94,17.54,119600,0.0,0
2008-05-13,17.54,17.68,17.29,17.55,200800,0.0,0
2008-05-14,17.31,18.5,17.31,18.25,102900,0.0,0
2008-05-15,18.4,18.46,18.14,18.37,117800,0.0,0
2008-05-16,18.42,18.49,17.76,18.18,117000,0.0,0
2008-05-19,18.11,18.44,17.98,18.1,146800,0.0,0
2008-05-20,17.96,18.05,17.8,18.03,85400,0.0,0
2008-05-21,18.12,18.32,17.63,17.81,150600,0.0,0
2008-05-22,17.8,18.37,17.8,18.23,169600,0.0,0
2008-05-23,18.13,18.28,17.5,17.83,87300,0.0,0
2008-05-27,17.79,18.32,17.79,18.19,168200,0.0,0
2008-05-28,18.25,19.13,18.24,19.13,194000,0.0,0
2008-05-29,19.05,19.05,18.05,18.22,267700,0.0,0
2008-05-30,18.38,18.51,18.06,18.39,204900,0.0,0
2008-06-02,18.37,18.49,17.57,17.73,441000,0.0,0
2008-06-03,17.86,17.92,17.26,17.34,454700,0.0,0
2008-06-04,17.34,17.55,17.09,17.09,254600,0.0,0
2008-06-05,17.24,17.66,17.24,17.48,303700,0.0,0
2008-06-06,17.31,17.35,16.75,16.78,276800,0.0,0
2008-06-09,16.8,17.27,16.79,16.97,182200,0.0,0
2008-06-10,16.87,17.27,16.87,17.03,113900,0.0,0
2008-06-11,16.97,17.09,16.66,16.66,166400,0.0,0
2008-06-12,16.82,17.33,16.82,16.95,142100,0.0,0
2008-06-13,17.16,17.51,16.97,17.26,102700,0.0,0
2008-06-16,17.16,17.4,16.67,17.14,169800,0.0,0
2008-06-17,17.16,17.16,16.61,16.61,138500,0.0,0
2008-06-18,16.59,16.69,16.49,16.63,140000,0.0,0
2008-06-19,16.53,17.11,16.53,17.1,112500,0.0,0
2008-06-20,16.96,17.28,16.57,16.82,209800,0.0,0
2008-06-23,16.88,16.94,16.49,16.53,166500,0.0,0
2008-06-24,16.48,17.06,16.35,16.49,261900,0.0,0
2008-06-25,16.46,17.14,16.46,16.86,126800,0.0,0
2008-06-26,16.65,16.77,16.53,16.61,192200,0.0,0
2008-06-27,16.6,16.66,16.28,16.44,270300,0.0,0
2008-06-30,16.49,16.76,16.25,16.4,255500,0.0,0
2008-07-01,16.31,16.39,15.67,16.23,162700,0.0,0
2008-07-02,16.17,16.29,15.57,15.66,166400,0.0,0
2008-07-03,15.72,16.1,15.25,15.71,59700,0.0,0
2008-07-07,15.83,15.98,15.51,15.74,167000,0.0,0
2008-07-08,15.81,16.7,15.8,16.67,218600,0.0,0
2008-07-09,16.73,16.73,15.85,15.91,110300,0.0,0
2008-07-10,15.78,16.34,15.61,15.81,167200,0.0,0
2008-07-11,15.74,16.31,15.48,16.04,159500,0.0,0
2008-07-14,16.15,16.28,15.82,15.96,106200,0.0,0
2008-07-15,15.81,16.43,15.46,15.94,140100,0.08,0
2008-07-16,16.05,16.67,15.9,16.64,106000,0.0,0
2008-07-17,16.68,17.44,16.6,17.44,139300,0.0,0
2008-07-18,17.49,17.55,16.92,17.11,114400,0.0,0
2008-07-21,17.18,17.44,16.98,17.33,102200,0.0,0
2008-07-22,17.31,18.21,17.05,18.09,178500,0.0,0
2008-07-23,18.1,19.28,18.05,18.24,212400,0.0,0
2008-07-24,18.37,18.37,17.59,17.75,104800,0.0,0
2008-07-25,17.93,18.44,17.68,17.98,151800,0.0,0
2008-07-28,18.01,18.1,17.4,17.57,73400,0.0,0
2008-07-29,17.59,18.51,17.45,18.48,131400,0.0,0
2008-07-30,18.62,18.86,17.78,17.98,100900,0.0,0
2008-07-31,17.74,18.25,17.59,17.88,113600,0.0,0
2008-08-01,18.06,18.06,17.22,17.54,159200,0.0,0
2008-08-04,17.57,17.57,16.76,17.13,122200,0.0,0
2008-08-05,17.44,17.98,17.19,17.73,147200,0.0,0
2008-08-06,17.72,17.72,17.42,17.59,118300,0.0,0
2008-08-07,17.47,17.71,17.09,17.71,117000,0.0,0
2008-08-08,17.57,19.46,17.57,19.34,147000,0.0,0
2008-08-11,19.42,20.76,19.42,20.09,203800,0.0,0
2008-08-12,20.16,21.25,19.96,21.0,350900,0.0,0
2008-08-13,20.78,21.05,20.31,20.84,117500,0.0,0
2008-08-14,20.65,21.23,20.65,20.96,97800,0.0,0
2008-08-15,21.15,21.55,20.8,21.15,135600,0.0,0
2008-08-18,21.19,21.5,20.68,21.29,211500,0.0,0
2008-08-19,21.01,21.08,20.27,20.68,111300,0.0,0
2008-08-20,20.84,21.1,20.35,20.98,203700,0.0,0
2008-08-21,20.71,20.87,20.02,20.03,111500,0.0,0
2008-08-22,20.08,20.41,19.85,20.31,162600,0.0,0
2008-08-25,20.09,20.15,19.1,19.48,130300,0.0,0
2008-08-26,19.6,19.74,19.14,19.29,182000,0.0,0
2008-08-27,19.22,19.79,19.08,19.52,179800,0.0,0
2008-08-28,19.47,19.69,19.15,19.63,180000,0.0,0
2008-08-29,19.55,19.62,19.22,19.29,163800,0.0,0
2008-09-02,19.68,20.56,19.27,19.58,195800,0.0,0
2008-09-03,19.42,19.62,19.06,19.55,219900,0.0,0
2008-09-04,18.81,18.82,17.49,18.64,357500,0.0,0
2008-09-05,18.53,18.65,18.28,18.5,205200,0.0,0
2008-09-08,19.09,19.33,18.78,19.27,209600,0.0,0
2008-09-09,19.32,20.32,19.14,19.22,295400,0.0,0
2008-09-10,19.63,20.45,19.57,20.04,275700,0.0,0
2008-09-11,19.73,20.38,19.73,20.36,213300,0.0,0
2008-09-12,20.31,20.41,19.61,19.97,125800,0.0,0
2008-09-15,19.74,20.45,18.89,19.32,140300,0.0,0
2008-09-16,18.98,20.26,18.9,20.26,181200,0.0,0
2008-09-17,19.94,20.03,18.66,19.14,239800,0.0,0
2008-09-18,19.63,19.66,17.81,19.32,322400,0.0,0
2008-09-19,19.57,21.77,18.99,19.17,418000,0.0,0
2008-09-22,18.9,19.52,18.74,18.77,144400,0.0,0
2008-09-23,18.67,19.44,18.67,19.09,176400,0.0,0
2008-09-24,19.15,19.66,18.93,19.44,168300,0.0,0
2008-09-25,19.44,19.98,19.28,19.76,115500,0.0,0
2008-09-26,19.35,21.13,19.21,20.98,467100,0.0,0
2008-09-29,20.66,20.66,18.78,19.1,183900,0.0,0
2008-09-30,18.97,19.04,17.64,18.59,273900,0.0,0
2008-10-01,18.58,18.58,17.77,18.04,183600,0.0,0
2008-10-02,17.82,17.82,16.42,16.7,233300,0.0,0
2008-10-03,16.82,16.96,16.1,16.26,193300,0.0,0
2008-10-06,15.76,16.1,14.54,15.83,255600,0.0,0
2008-10-07,16.04,16.22,14.68,14.68,117100,0.0,0
2008-10-08,14.18,14.69,13.63,14.01,336100,0.0,0
2008-10-09,14.19,14.39,13.01,13.14,282900,0.0,0
2008-10-10,12.15,14.36,12.15,13.92,250300,0.0,0
2008-10-13,14.5,15.24,14.22,14.83,154300,0.0,0
2008-10-14,15.22,15.25,13.67,14.23,206100,0.0,0
