Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,113.31,115.1,111.43,112.1,275900,0,0
2008-01-03,112.88,113.55,111.6,112.37,272600,0,0
2008-01-04,110.96,111.28,108.45,108.71,259700,0,0
2008-01-07,109.35,113.74,109.1,111.93,457500,0,0
2008-01-08,112.8,112.9,109.35,109.51,342400,0,0
2008-01-09,108.54,110.52,108.0,108.55,341500,0,0
2008-01-10,108.34,110.33,108.34,109.5,652400,0,0
2008-01-11,109.05,110.21,108.0,108.69,336800,0,0
2008-01-14,109.9,110.59,108.94,110.02,397500,0,0
2008-01-15,108.25,110.27,108.22,108.31,373900,0,0
2008-01-16,108.35,109.52,106.17,108.17,689700,0,0
2008-01-17,108.25,109.27,103.53,104.3,577600,0,0
2008-01-18,104.31,104.76,99.09,100.89,565700,0,0
2008-01-22,95.5,97.63,94.69,95.93,755300,0,0
2008-01-23,94.5,95.71,92.91,95.28,762100,0,0
2008-01-24,96.45,99.4,94.9,95.66,986400,0,0
2008-01-25,95.63,97.29,94.81,95.43,427800,0,0
2008-01-28,94.7,96.08,94.33,95.98,252700,0,0
2008-01-29,96.0,96.22,95.28,95.53,265500,0,0
2008-01-30,95.5,98.44,95.03,97.66,462700,0,0
2008-01-31,97.16,100.16,96.15,99.52,574900,0,0
2008-02-01,99.7,100.85,98.6,99.11,341500,0,0
2008-02-04,98.4,100.1,98.28,99.4,310000,0,0
2008-02-05,96.92,97.16,95.63,95.71,417800,0,0
2008-02-06,96.2,100.75,95.89,98.8,904200,0,0
2008-02-07,97.89,102.63,96.72,100.05,781200,0,0
2008-02-08,107.7,107.75,104.02,105.21,1584300,0,0
2008-02-11,105.21,105.96,104.06,104.78,332100,0,0
2008-02-12,104.99,105.88,104.51,104.66,216600,0,0
2008-02-13,105.0,106.5,105.0,106.29,165500,0,0
2008-02-14,106.45,107.69,104.95,105.13,273400,0,0
2008-02-15,104.55,105.05,101.7,104.37,455600,0,0
2008-02-19,106.73,107.3,104.1,104.57,367400,0,0
2008-02-20,104.38,104.38,102.7,103.52,407500,0,0
2008-02-21,104.35,105.23,102.49,102.92,252600,0,0
2008-02-22,102.33,103.91,100.95,102.3,301100,0,0
2008-02-25,102.96,104.55,101.66,104.11,241200,0,0
2008-02-26,103.6,104.44,102.78,103.26,196600,0,0
2008-02-27,102.28,103.67,101.31,101.87,250700,0,0
2008-02-28,100.87,101.1,100.26,100.53,218200,0,0
2008-02-29,100.0,100.35,97.26,97.7,290200,0,0
2008-03-03,97.85,99.36,97.7,99.34,254300,0,0
2008-03-04,99.1,99.1,96.15,96.52,319000,0,0
2008-03-05,96.75,96.83,95.12,96.04,387100,0,0
2008-03-06,96.75,97.07,95.65,96.0,249900,0,0
2008-03-07,95.71,96.17,92.64,93.6,379800,0,0
2008-03-10,94.1,94.1,91.01,91.19,202700,0,0
2008-03-11,93.0,93.63,89.56,90.38,507900,0,0
2008-03-12,90.28,91.24,89.61,90.13,536600,0,0
2008-03-13,89.0,90.87,88.7,90.51,306700,0,0
2008-03-14,91.75,91.99,89.15,89.56,287100,0,0
2008-03-17,87.01,88.99,86.26,87.51,358000,0,0
2008-03-18,88.3,92.66,88.23,92.53,513700,0,0
2008-03-19,93.35,97.06,93.35,94.95,639900,0,0
2008-03-20,95.2,95.73,93.63,94.15,346500,0,0
2008-03-24,94.9,96.68,94.67,96.18,188200,0,0
2008-03-25,96.18,98.27,95.03,96.71,281000,0,0
2008-03-26,95.75,96.33,95.2,95.81,215300,0,0
2008-03-27,96.45,96.74,95.39,95.5,214300,0,0
2008-03-28,96.0,96.77,95.14,95.3,144700,0,0
2008-03-31,95.74,97.6,95.74,97.12,248400,0,0
2008-04-01,98.13,99.25,97.37,98.99,232900,0,0
2008-04-02,99.2,99.93,97.86,99.17,374200,0,0
2008-04-03,99.1,99.99,98.33,99.23,224800,0,0
2008-04-04,99.23,100.8,99.19,99.52,136600,0,0
2008-04-07,99.67,100.34,98.31,99.26,181600,0,0
2008-04-08,99.1,99.64,98.31,99.43,183700,0,0
2008-04-09,98.8,99.48,97.85,99.14,286800,0,0
2008-04-10,98.8,99.43,97.67,99.18,133500,0,0
2008-04-11,98.63,98.69,96.83,97.4,170900,0,0
2008-04-14,97.55,98.14,96.1,96.84,151800,0,0
2008-04-15,94.9,96.75,92.38,96.49,625600,0,0
2008-04-16,97.65,99.19,97.14,98.24,376600,0,0
2008-04-17,97.96,98.52,96.98,98.28,135400,0,0
2008-04-18,99.67,100.65,98.94,100.56,155400,0,0
2008-04-21,100.57,101.89,100.43,101.09,240400,0,0
2008-04-22,101.09,101.6,99.29,99.4,262000,0,0
2008-04-23,98.95,102.3,98.69,102.15,346300,0,0
2008-04-24,101.53,103.47,99.24,102.88,409500,0,0
2008-04-25,105.5,105.75,96.01,102.97,1359000,0,0
2008-04-28,102.7,104.02,101.05,102.01,382600,0,0
2008-04-29,101.46,101.46,98.57,99.26,406000,0,0
2008-04-30,98.86,99.35,94.24,95.26,619300,0,0
2008-05-01,95.75,97.47,94.2,97.12,289900,0,0
2008-05-02,97.5,98.32,96.72,97.87,452700,0,0
2008-05-05,97.25,98.16,96.52,97.3,368400,0,0
2008-05-06,97.49,98.31,96.95,97.52,356600,0,0
2008-05-07,97.9,98.38,97.5,97.71,292600,0,0
2008-05-08,97.7,97.83,96.52,97.48,193800,0,0
2008-05-09,97.48,97.48,96.09,97.05,136900,0,0
2008-05-12,96.87,97.08,95.54,96.99,266000,0,0
2008-05-13,97.3,98.85,97.13,97.72,287700,0,0
2008-05-14,97.8,100.12,97.56,99.16,382100,0,0
2008-05-15,99.4,99.97,98.23,99.05,279800,0,0
2008-05-16,99.75,101.49,99.41,101.35,261100,0,0
2008-05-19,101.74,101.74,100.82,101.05,308800,0,0
2008-05-20,100.75,101.13,99.61,100.43,257800,0,0
2008-05-21,100.25,101.47,100.19,100.41,266600,0,0
2008-05-22,100.27,101.55,99.94,101.27,191500,0,0
2008-05-23,101.0,101.43,100.44,100.92,206700,0,0
2008-05-27,100.5,102.91,99.83,102.66,251300,0,0
2008-05-28,103.05,104.44,102.6,104.15,295700,0,0
2008-05-29,104.45,104.56,102.58,103.34,276000,0,0
2008-05-30,103.5,103.7,102.29,103.7,329100,0,0
2008-06-02,103.92,104.23,101.49,103.86,375800,0,0
2008-06-03,104.53,104.81,100.95,101.14,500500,0,0
2008-06-04,100.26,102.8,99.95,102.38,350100,0,0
2008-06-05,103.0,103.73,101.28,103.66,254200,0,0
2008-06-06,103.51,103.51,100.68,100.83,188000,0,0
2008-06-09,101.15,101.29,99.4,99.88,282000,0,0
2008-06-10,99.78,100.06,98.62,99.77,240000,0,0
2008-06-11,100.0,101.0,98.37,98.56,281500,0,0
2008-06-12,98.34,100.35,98.22,99.37,188300,0,0
2008-06-13,99.49,106.0,99.49,105.01,362300,0,0
2008-06-16,103.72,105.0,103.62,104.0,361700,0,0
2008-06-17,104.83,104.95,103.18,103.25,294300,0,0
2008-06-18,103.11,103.47,101.45,101.63,194000,0,0
2008-06-19,101.94,102.19,100.65,101.76,301800,0,0
2008-06-20,101.3,101.45,98.94,99.98,245100,0,0
2008-06-23,99.76,99.99,98.63,99.3,179500,0,0
2008-06-24,98.35,98.35,95.7,97.2,387900,0,0
2008-06-25,97.3,98.14,96.7,97.37,253800,0,0
2008-06-26,97.26,97.26,95.97,95.98,278400,0,0
2008-06-27,95.67,96.35,93.82,94.05,365700,0,0
2008-06-30,94.67,95.39,93.01,94.86,277600,0,0
2008-07-01,94.89,96.67,94.27,96.51,534000,0,0
2008-07-02,97.0,97.12,95.55,96.09,266200,0,0
2008-07-03,96.29,96.72,94.65,95.29,273100,0,0
2008-07-07,96.1,96.35,94.45,95.4,255000,0,0
2008-07-08,95.0,95.95,94.26,95.6,314000,0,0
2008-07-09,96.1,96.85,93.66,93.82,293300,0,0
2008-07-10,92.81,94.02,92.09,93.54,361900,0,0
2008-07-11,93.03,93.69,92.5,93.17,409600,0,0
2008-07-14,94.48,94.86,91.61,92.6,262900,0,0
2008-07-15,92.48,93.53,91.29,92.95,856800,0,0
2008-07-16,93.47,94.62,93.15,94.29,449000,0,0
2008-07-17,94.39,95.97,94.39,95.79,328500,0,0
2008-07-18,96.17,98.66,95.83,98.18,337500,0,0
2008-07-21,98.07,98.71,97.62,98.28,118500,0,0
2008-07-22,98.28,101.36,98.21,100.75,269000,0,0
2008-07-23,100.44,100.65,99.45,99.83,262600,0,0
2008-07-24,100.25,101.18,98.11,98.7,537600,0,0
2008-07-25,102.46,108.94,101.89,108.79,1405300,0,0
2008-07-28,107.96,109.49,106.26,106.58,512700,0,0
2008-07-29,107.65,109.21,107.25,108.57,482500,0,0
2008-07-30,109.92,110.27,108.12,109.16,292400,0,0
2008-07-31,108.43,109.53,107.38,107.51,471600,0,0
2008-08-01,108.1,109.0,106.61,107.5,326400,0,0
2008-08-04,108.0,108.27,106.28,107.13,261700,0,0
2008-08-05,107.0,108.08,106.02,107.95,344600,0,0
2008-08-06,107.93,109.45,107.76,109.0,485000,0,0
2008-08-07,108.9,108.9,107.48,107.94,319300,0,0
2008-08-08,107.43,109.59,106.75,109.0,271600,0,0
2008-08-11,108.11,108.77,107.46,108.0,198700,0,0
2008-08-12,107.05,107.05,104.63,105.58,421500,0,0
2008-08-13,105.49,107.15,104.51,106.63,194900,0,0
2008-08-14,106.42,107.4,105.2,107.19,231900,0,0
2008-08-15,107.85,108.99,107.21,107.68,186200,0,0
2008-08-18,108.8,109.15,107.35,107.92,206300,0,0
2008-08-19,107.75,107.75,105.49,106.04,260500,0,0
2008-08-20,106.3,106.87,105.8,106.07,141600,0,0
