Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,14.56,14.79,13.6,13.69,472300,0,0
2008-01-03,13.67,13.95,12.55,12.99,746200,0,0
2008-01-04,13.23,13.23,11.51,11.85,974300,0,0
2008-01-07,12.0,12.1,11.26,11.47,660500,0,0
2008-01-08,11.44,11.54,9.75,9.82,1037300,0,0
2008-01-09,9.78,9.95,8.83,9.2,1024700,0,0
2008-01-10,9.09,9.56,8.75,8.9,2365700,0,0
2008-01-11,8.91,9.24,8.55,8.78,1044000,0,0
2008-01-14,8.87,8.99,8.4,8.69,651100,0,0
2008-01-15,8.55,8.55,7.8,7.91,650300,0,0
2008-01-16,7.87,8.72,7.77,8.06,674000,0,0
2008-01-17,8.45,8.52,7.91,8.41,616400,0,0
2008-01-18,9.2,9.2,7.72,7.82,845800,0,0
2008-01-22,7.52,8.73,7.04,8.6,1212000,0,0
2008-01-23,8.59,11.16,8.4,10.78,1633400,0,0
2008-01-24,10.65,11.87,10.0,10.87,1098900,0,0
2008-01-25,11.15,11.55,10.5,10.84,1094400,0,0
2008-01-28,10.84,12.02,10.1,11.68,1011700,0,0
2008-01-29,11.88,14.57,11.88,14.44,1940500,0,0
2008-01-30,14.49,14.99,13.51,13.61,1352300,0,0
2008-01-31,13.01,16.21,12.97,16.04,1678500,0,0
2008-02-01,16.08,17.68,15.5,17.29,1265200,0,0
2008-02-04,17.36,17.36,14.86,15.06,841800,0,0
2008-02-05,14.72,15.82,13.94,14.06,1091600,0,0
2008-02-06,14.09,15.5,13.16,13.25,913400,0,0
2008-02-07,13.25,14.89,13.16,13.55,1026600,0,0
2008-02-08,13.49,13.75,13.2,13.5,515300,0,0
2008-02-11,13.48,14.47,12.78,13.65,550900,0,0
2008-02-12,13.74,15.02,13.6,13.89,699600,0,0
2008-02-13,14.42,14.74,13.9,14.31,324900,0,0
2008-02-14,14.28,14.41,13.49,13.49,436500,0,0
2008-02-15,13.49,13.49,12.35,13.06,623200,0,0
2008-02-19,12.96,13.86,12.91,13.13,453000,0,0
2008-02-20,14.31,15.72,13.66,15.53,1082700,0,0
2008-02-21,15.62,16.19,14.75,14.8,655600,0,0
2008-02-22,14.85,15.38,14.25,15.07,353300,0,0
2008-02-25,15.1,16.55,14.9,16.5,803000,0,0
2008-02-26,16.27,18.3,16.23,16.84,1593700,0,0
2008-02-27,16.8,17.9,16.51,17.08,787200,0,0
2008-02-28,16.95,17.09,16.01,16.21,576300,0,0
2008-02-29,15.96,16.0,14.85,15.14,568900,0,0
2008-03-03,15.0,15.0,14.07,14.38,665200,0,0
2008-03-04,14.09,15.33,13.81,14.52,901000,0,0
2008-03-05,14.65,15.28,13.85,14.41,703200,0,0
2008-03-06,14.29,14.53,12.96,13.05,690400,0,0
2008-03-07,12.85,14.09,12.5,12.94,897100,0,0
2008-03-10,13.01,13.78,12.4,12.65,507500,0,0
2008-03-11,13.03,14.73,12.51,14.24,848600,0,0
2008-03-12,14.3,14.93,13.56,13.79,523800,0,0
2008-03-13,13.32,16.15,13.05,15.69,1597700,0,0
2008-03-14,15.8,16.0,14.24,14.66,935100,0,0
2008-03-17,14.27,15.52,13.99,14.39,1230200,0,0
2008-03-18,15.39,16.49,14.41,15.58,1461800,0,0
2008-03-19,15.66,16.79,15.65,15.96,1132700,0,0
2008-03-20,16.02,18.5,16.02,18.04,1967700,0,0
2008-03-24,18.2,20.1,18.08,18.9,1493000,0,0
2008-03-25,19.21,20.87,19.04,20.87,1538700,0,0
2008-03-26,20.73,21.3,18.52,18.82,1070400,0,0
2008-03-27,18.88,19.92,18.12,18.83,976200,0,0
2008-03-28,18.16,19.25,17.91,18.26,845900,0,0
2008-03-31,18.26,19.75,18.26,19.32,813400,0,0
2008-04-01,20.51,21.19,19.72,21.15,1198200,0,0
2008-04-02,21.24,22.34,20.86,21.96,1536900,0,0
2008-04-03,22.19,24.49,19.95,22.78,1487600,0,0
2008-04-04,22.76,23.4,21.98,22.09,1263600,0,0
2008-04-07,22.08,23.12,21.65,21.84,1068100,0,0
2008-04-08,22.55,22.55,20.1,20.9,947700,0,0
2008-04-09,20.9,21.5,19.35,19.49,639100,0,0
2008-04-10,19.49,21.2,19.2,20.7,850000,0,0
2008-04-11,20.49,21.29,19.21,20.39,1109500,0,0
2008-04-14,20.36,20.89,19.64,20.0,469900,0,0
2008-04-15,20.16,21.0,19.9,20.89,610300,0,0
2008-04-16,21.11,22.82,20.58,22.48,910800,0,0
2008-04-17,21.39,21.61,20.48,20.89,942000,0,0
2008-04-18,20.36,20.49,20.13,20.35,4119200,0,0
2008-04-21,20.35,20.36,20.0,20.0,1416500,0,0
2008-04-22,20.01,20.58,19.91,20.51,1967600,0,0
2008-04-23,20.64,20.64,19.65,19.9,1090500,0,0
2008-04-24,19.88,20.75,18.82,20.63,1218800,0,0
2008-04-25,20.67,21.1,20.0,20.8,891100,0,0
2008-04-28,20.73,21.96,20.11,21.83,1142100,0,0
2008-04-29,21.95,21.95,20.59,21.52,1109300,0,0
2008-04-30,21.5,21.83,18.84,18.97,1943200,0,0
2008-05-01,19.08,20.43,18.65,20.06,1094800,0,0
2008-05-02,20.13,20.73,19.4,19.95,623300,0,0
2008-05-05,19.93,20.2,19.37,19.48,601800,0,0
2008-05-06,19.01,19.41,18.48,19.16,731100,0,0
2008-05-07,19.0,19.39,18.28,18.4,984100,0,0
2008-05-08,18.52,19.09,16.84,17.16,1209400,0,0
2008-05-09,16.85,17.78,16.85,17.23,865400,0,0
2008-05-12,17.14,17.91,16.79,17.66,533300,0,0
2008-05-13,17.56,17.91,17.14,17.68,608800,0,0
2008-05-14,17.5,19.13,17.5,19.1,1274900,0,0
2008-05-15,19.1,19.99,18.76,19.8,856000,0,0
2008-05-16,20.18,20.39,19.32,19.89,808600,0,0
2008-05-19,19.86,20.87,19.41,19.9,809500,0,0
2008-05-20,19.66,19.72,18.51,18.78,550700,0,0
2008-05-21,18.79,18.79,16.86,17.28,712400,0,0
2008-05-22,17.65,17.75,16.81,17.04,882800,0,0
2008-05-23,16.9,17.02,16.13,16.36,837300,0,0
2008-05-27,16.4,17.75,16.35,17.15,776400,0,0
2008-05-28,17.25,17.84,16.88,17.23,532500,0,0
2008-05-29,16.85,17.38,16.45,17.15,656200,0,0
2008-05-30,16.85,17.54,16.85,17.3,1029100,0,0
2008-06-02,17.31,17.45,16.69,17.36,643400,0,0
2008-06-03,17.63,19.61,17.5,18.78,1204800,0,0
2008-06-04,18.73,19.57,18.0,18.66,867200,0,0
2008-06-05,18.75,19.14,17.71,17.9,802000,0,0
2008-06-06,17.74,18.07,16.55,16.81,1108400,0,0
2008-06-09,16.98,17.73,16.31,16.62,985000,0,0
2008-06-10,16.28,16.95,16.2,16.78,681600,0,0
2008-06-11,16.78,16.85,15.4,15.41,753100,0,0
2008-06-12,15.85,16.22,15.07,15.14,904900,0,0
2008-06-13,15.3,15.72,14.84,15.66,658900,0,0
2008-06-16,15.57,15.7,14.82,15.57,624600,0,0
2008-06-17,15.71,15.8,14.86,15.13,767900,0,0
2008-06-18,15.25,16.71,15.1,16.23,1033800,0,0
2008-06-19,16.19,17.95,16.05,17.54,1050300,0,0
2008-06-20,17.4,17.56,16.62,17.08,1252800,0,0
2008-06-23,17.13,17.22,16.08,16.52,546900,0,0
2008-06-24,16.61,17.56,15.37,16.83,1023000,0,0
2008-06-25,16.85,18.57,16.85,17.3,825700,0,0
2008-06-26,17.11,17.17,15.3,15.77,1436500,0,0
2008-06-27,15.78,16.04,15.28,15.75,1295000,0,0
2008-06-30,15.65,16.43,15.14,15.17,696500,0,0
2008-07-01,15.25,15.59,14.5,15.0,732500,0,0
2008-07-02,15.25,15.5,14.6,14.69,446300,0,0
2008-07-03,14.79,14.79,13.88,14.67,317400,0,0
2008-07-07,14.78,14.86,12.9,13.5,794700,0,0
2008-07-08,13.58,15.45,13.28,15.0,999500,0,0
2008-07-09,15.42,15.5,13.59,13.74,666200,0,0
