Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,44.91,45.03,42.82,43.51,553700,0.0,0.0
2008-01-03,43.51,44.62,43.51,43.77,348800,0.0,0.0
2008-01-04,43.28,44.24,42.9,43.63,506600,0.0,0.0
2008-01-07,43.92,44.34,42.86,43.17,1142700,0.0,0.0
2008-01-08,43.45,44.19,42.72,42.72,539000,0.0,0.0
2008-01-09,42.71,43.91,42.46,43.76,741800,0.0,0.0
2008-01-10,43.47,44.51,42.97,44.0,402200,0.0,0.0
2008-01-11,43.84,43.84,40.74,41.72,1394800,0.0,0.0
2008-01-14,42.02,42.41,41.01,41.36,737100,0.0,0.0
2008-01-15,40.7,40.7,38.37,38.6,1592900,0.0,0.0
2008-01-16,38.24,39.1,37.19,37.27,871200,0.0,0.0
2008-01-17,37.23,37.28,34.46,34.93,2032400,0.0,0.0
2008-01-18,35.11,35.88,34.79,35.56,1179300,0.0,0.0
2008-01-22,34.21,37.54,34.21,37.28,1303000,0.0,0.0
2008-01-23,36.47,39.05,36.06,39.01,830300,0.0,0.0
2008-01-24,38.94,39.4,38.26,38.86,667200,0.0,0.0
2008-01-25,39.48,39.62,37.76,38.26,615900,0.0,0.0
2008-01-28,38.14,38.41,36.88,38.13,490100,0.0,0.0
2008-01-29,38.43,38.8,37.94,38.67,270700,0.0,0.0
2008-01-30,38.35,39.52,38.27,38.54,507500,0.0,0.0
2008-01-31,37.77,40.22,37.74,39.37,751000,0.0,0.0
2008-02-01,39.63,41.73,39.63,41.24,466600,0.0,0.0
2008-02-04,42.22,43.16,40.99,41.41,518500,0.0,0.0
2008-02-05,40.45,41.19,40.0,40.17,288200,0.0,0.0
2008-02-06,40.57,40.68,39.12,39.27,266100,0.0,0.0
2008-02-07,39.0,39.11,37.89,38.5,707500,0.0,0.0
2008-02-08,38.44,39.25,37.85,38.41,362300,0.0,0.0
2008-02-11,38.5,39.16,38.18,38.7,436700,0.0,0.0
2008-02-12,38.98,40.38,38.6,39.37,389400,0.0,0.0
2008-02-13,39.83,41.14,39.83,41.04,468700,0.0,0.0
2008-02-14,41.2,41.34,40.22,40.45,296100,0.0,0.0
2008-02-15,40.08,40.22,39.11,39.78,312600,0.0,0.0
2008-02-19,40.23,40.32,38.66,38.8,329400,0.0,0.0
2008-02-20,38.61,39.36,37.98,39.36,410300,0.0,0.0
2008-02-21,39.79,40.11,37.79,38.19,496400,0.0,0.0
2008-02-22,38.23,38.91,37.24,38.68,816600,0.0,0.0
2008-02-25,38.45,38.48,37.19,37.87,839500,0.0,0.0
2008-02-26,37.53,38.92,37.5,38.65,627700,0.0,0.0
2008-02-27,38.3,38.81,38.11,38.61,391500,0.0,0.0
2008-02-28,38.56,38.63,37.85,38.36,371600,0.0,0.0
2008-02-29,37.77,38.3,37.63,37.81,450500,0.0,0.0
2008-03-03,37.76,37.76,37.02,37.6,488900,0.0,0.0
2008-03-04,37.02,37.09,35.24,35.85,745700,0.0,0.0
2008-03-05,35.99,36.13,34.27,34.68,837600,0.0,0.0
2008-03-06,34.53,34.57,33.72,33.8,924000,0.0,0.0
2008-03-07,33.97,35.12,33.31,34.78,947000,0.0,0.0
2008-03-10,35.7,36.13,32.86,33.42,1788700,0.0,0.0
2008-03-11,34.27,34.9,33.55,34.9,851300,0.0,0.0
2008-03-12,34.95,35.97,34.23,34.46,645900,0.0,0.0
2008-03-13,34.42,35.38,33.7,34.98,941300,0.0,0.0
2008-03-14,35.26,35.29,33.42,34.17,691100,0.0,0.0
2008-03-17,33.14,34.63,32.97,33.69,787600,0.0,0.0
2008-03-18,34.74,36.07,34.55,35.64,875900,0.0,0.0
2008-03-19,35.69,36.42,35.33,35.33,650500,0.0,0.0
2008-03-20,36.16,37.77,35.91,37.49,1222300,0.0,0.0
2008-03-24,37.61,39.68,37.61,39.2,583100,0.0,0.0
2008-03-25,39.48,39.99,38.88,39.57,420000,0.0,0.0
2008-03-26,39.31,39.48,38.18,38.55,442800,0.0,0.0
2008-03-27,38.53,38.86,37.89,38.18,291500,0.0,0.0
2008-03-28,38.19,39.43,37.94,38.91,472600,0.0,0.0
2008-03-31,38.65,40.66,38.59,40.35,824500,0.0,0.0
2008-04-01,41.27,41.57,40.41,41.1,369800,0.0,0.0
2008-04-02,41.17,41.76,40.79,41.32,303400,0.0,0.0
2008-04-03,40.82,41.14,40.08,40.69,365800,0.0,0.0
2008-04-04,40.58,41.6,40.16,41.03,258700,0.0,0.0
2008-04-07,41.24,41.24,40.33,41.07,429000,0.0,0.0
2008-04-08,40.98,41.19,39.28,39.77,866700,0.0,0.0
2008-04-09,39.61,39.67,38.7,39.2,864500,0.0,0.0
2008-04-10,39.1,39.35,38.49,38.76,434800,0.0,0.0
2008-04-11,38.37,39.53,38.35,38.78,485000,0.0,0.0
2008-04-14,38.61,38.65,37.76,37.83,404400,0.0,0.0
2008-04-15,38.14,38.5,37.49,38.29,424300,0.0,0.0
2008-04-16,38.59,39.83,38.45,39.0,551300,0.0,0.0
2008-04-17,38.85,39.52,38.5,39.41,438300,0.0,0.0
2008-04-18,40.12,40.74,39.36,39.61,496400,0.0,0.0
2008-04-21,39.35,40.8,39.05,40.41,741600,0.0,0.0
2008-04-22,40.13,40.38,38.98,39.81,422100,0.0,0.0
2008-04-23,39.97,40.04,38.1,38.57,516000,0.0,0.0
2008-04-24,38.64,39.93,38.45,39.45,384800,0.0,0.0
2008-04-25,39.88,40.27,38.96,40.13,386400,0.0,0.0
2008-04-28,39.92,40.34,39.9,40.15,318300,0.0,0.0
2008-04-29,40.01,40.79,39.85,40.4,294600,0.0,0.0
2008-04-30,40.53,41.65,40.46,40.8,403200,0.0,0.0
2008-05-01,40.65,41.69,40.09,41.55,312500,0.0,0.0
2008-05-02,41.78,42.5,41.04,41.09,273700,0.0,0.0
2008-05-05,41.19,41.19,39.68,40.75,244300,0.0,0.0
2008-05-06,40.5,41.05,40.17,40.85,162500,0.0,0.0
2008-05-07,40.82,41.67,39.9,39.94,303800,0.0,0.0
2008-05-08,40.02,40.41,39.01,40.13,371100,0.0,0.0
2008-05-09,39.71,40.26,39.27,39.69,521700,0.0,0.0
2008-05-12,39.61,41.93,39.08,40.99,669300,0.0,0.0
2008-05-13,41.11,42.2,41.09,41.75,375700,0.0,0.0
2008-05-14,41.72,42.93,41.72,42.11,503300,0.0,0.0
2008-05-15,42.02,42.18,41.52,42.09,313900,0.0,0.0
2008-05-16,42.06,42.31,41.17,41.77,291500,0.0,0.0
2008-05-19,41.68,42.17,41.42,41.67,248200,0.0,0.0
2008-05-20,41.53,42.06,41.19,41.86,364000,0.0,0.0
2008-05-21,41.87,41.9,40.27,40.46,402800,0.0,0.0
2008-05-22,40.53,41.29,40.26,40.92,299900,0.0,0.0
2008-05-23,40.64,40.67,39.15,39.71,344200,0.0,0.0
2008-05-27,39.71,40.97,39.7,40.63,341600,0.0,0.0
2008-05-28,40.95,41.5,40.84,41.29,228500,0.0,0.0
2008-05-29,41.24,42.31,41.24,41.9,337500,0.0,0.0
2008-05-30,42.03,42.54,41.29,41.6,430600,0.0,0.0
2008-06-02,41.15,41.24,39.69,39.9,646600,0.0,0.0
2008-06-03,40.07,40.29,39.67,39.68,486200,0.0,0.0
2008-06-04,39.88,41.36,39.53,41.03,723500,0.0,0.0
2008-06-05,39.46,39.63,37.99,38.91,2077900,0.0,0.0
2008-06-06,38.6,38.62,36.6,36.97,1362300,0.0,0.0
2008-06-09,37.18,37.28,36.22,36.6,955900,0.0,0.0
2008-06-10,36.29,37.02,36.04,36.79,1094600,0.0,0.0
2008-06-11,36.56,36.94,36.44,36.47,934800,0.0,0.0
2008-06-12,36.68,36.73,35.7,35.83,791100,0.0,0.0
2008-06-13,36.15,36.67,36.06,36.52,505400,0.0,0.0
2008-06-16,36.35,36.75,36.03,36.45,513300,0.0,0.0
2008-06-17,36.36,36.72,36.26,36.35,357700,0.0,0.0
2008-06-18,36.11,36.52,35.89,36.42,502300,0.0,0.0
2008-06-19,36.4,36.52,35.67,36.04,600500,0.0,0.0
2008-06-20,35.9,36.11,35.62,35.96,451300,0.0,0.0
2008-06-23,36.13,36.19,35.65,35.72,351500,0.0,0.0
2008-06-24,35.56,35.93,34.59,35.68,825600,0.0,0.0
2008-06-25,35.91,36.98,35.84,36.4,433200,0.0,0.0
2008-06-26,35.97,36.01,35.53,35.66,465500,0.0,0.0
2008-06-27,35.71,35.83,34.94,35.37,431900,0.0,0.0
2008-06-30,35.31,36.95,34.73,35.79,654200,0.0,0.0
2008-07-01,35.35,35.45,34.21,34.76,627200,0.0,0.0
2008-07-02,34.67,34.79,33.58,33.78,444000,0.0,0.0
2008-07-03,33.92,34.54,33.1,33.85,279700,0.0,0.0
2008-07-07,34.18,34.18,32.15,32.46,983600,0.0,0.0
2008-07-08,32.24,32.61,31.54,31.93,1417500,0.0,0.0
2008-07-09,31.81,32.54,31.18,31.18,1482700,0.0,0.0
2008-07-10,31.19,31.19,30.03,30.43,895500,0.0,0.0
2008-07-11,30.1,30.34,29.4,30.33,1275100,0.0,0.0
2008-07-14,30.52,31.15,28.98,29.03,908900,0.0,0.0
2008-07-15,27.29,29.06,25.09,28.0,2592100,0.0,0.0
2008-07-16,27.84,29.89,27.47,29.89,1324300,0.0,0.0
2008-07-17,30.42,31.54,29.72,31.04,711900,0.0,0.0
2008-07-18,32.55,32.55,30.16,30.83,704200,0.0,0.0
2008-07-21,31.04,31.95,30.98,31.59,601900,0.0,0.0
2008-07-22,31.36,33.52,31.33,33.43,486100,0.0,0.0
2008-07-23,33.16,35.22,33.15,34.92,530600,0.0,0.0
2008-07-24,34.79,34.94,31.64,31.9,767400,0.0,0.0
2008-07-25,31.81,34.24,31.81,33.24,457500,0.0,0.0
2008-07-28,33.02,33.42,32.58,32.71,310800,0.0,0.0
2008-07-29,32.77,34.34,32.77,33.87,273500,0.0,0.0
2008-07-30,34.08,36.4,32.96,33.63,262300,0.0,0.0
2008-07-31,33.39,34.59,32.99,33.74,248900,0.0,0.0
2008-08-01,33.95,35.04,33.49,34.47,317200,0.0,0.0
2008-08-04,34.38,34.38,33.65,34.07,285500,0.0,0.0
2008-08-05,34.26,34.61,34.01,34.26,394900,0.0,0.0
2008-08-06,35.62,35.62,33.6,34.8,248900,0.0,0.0
2008-08-07,34.43,34.72,33.37,33.54,227200,0.0,0.0
2008-08-08,34.83,36.22,33.51,35.87,467600,0.0,0.0
2008-08-11,35.8,38.5,35.8,37.73,674400,0.0,0.0
2008-08-12,37.52,38.04,36.69,36.87,324000,0.0,0.0
2008-08-13,36.46,38.02,36.46,37.19,372300,0.0,0.0
2008-08-14,36.93,37.79,36.77,37.1,488600,0.0,0.0
2008-08-15,37.59,37.73,36.74,37.07,579200,0.0,0.0
2008-08-18,37.44,38.02,36.51,36.57,660600,0.0,0.0
2008-08-19,36.43,36.81,35.41,36.22,406800,0.0,0.0
2008-08-20,35.77,36.97,35.77,36.75,266900,0.0,0.0
2008-08-21,36.24,36.93,36.02,36.52,355900,0.0,0.0
2008-08-22,36.57,37.43,36.31,36.72,420100,0.0,0.0
2008-08-25,36.61,36.63,34.84,35.23,340900,0.0,0.0
2008-08-26,35.3,35.57,34.89,35.25,267000,0.0,0.0
2008-08-27,35.18,36.35,35.09,35.36,242600,0.0,0.0
2008-08-28,35.55,37.24,35.4,36.98,235600,0.0,0.0
2008-08-29,37.05,37.14,36.35,36.76,170000,0.0,0.0
2008-09-02,37.35,38.02,36.11,36.36,236000,0.0,0.0
2008-09-03,36.14,38.5,36.14,38.22,408600,0.0,0.0
