Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-03-27,12.26,12.32,12.26,12.26,265600,0.0,0
2009-03-30,12.14,12.28,12.14,12.27,100200,0.0,0
2009-03-31,11.4,12.32,11.4,12.26,23200,0.0,0
2009-04-01,12.29,12.34,12.26,12.32,11600,0.0,0
2009-04-02,12.35,12.35,12.26,12.26,13100,0.0,0
2009-04-03,12.26,12.27,12.26,12.26,18400,0.0,0
2009-04-06,12.34,12.34,12.26,12.26,36400,0.0,0
2009-04-07,12.26,12.33,12.26,12.26,46200,0.0,0
2009-04-08,12.34,12.34,12.26,12.26,31800,0.0,0
2009-04-09,12.26,12.38,12.26,12.32,19300,0.0,0
2009-04-13,12.29,12.35,12.26,12.32,28200,0.0,0
2009-04-14,12.26,12.35,12.26,12.29,33800,0.0,0
2009-04-15,12.29,12.35,12.26,12.26,20800,0.0,0
2009-04-16,12.26,12.28,12.26,12.26,18300,0.0,0
2009-04-17,12.27,12.29,12.26,12.26,6400,0.0,0
2009-04-20,12.28,12.28,12.26,12.26,11600,0.0,0
2009-04-21,12.26,12.26,12.26,12.26,14600,0.0,0
2009-04-22,12.26,12.28,12.26,12.26,28500,0.0,0
2009-04-23,12.26,12.26,12.26,12.26,4400,0.0,0
2009-04-24,12.26,12.28,12.26,12.26,32300,0.0,0
2009-04-27,12.26,12.28,12.26,12.26,100900,0.0,0
2009-04-28,12.26,12.28,12.26,12.26,49000,0.0,0
2009-04-29,12.26,12.26,12.26,12.26,35400,0.0,0
2009-04-30,12.26,12.27,12.26,12.26,26400,0.0,0
2009-05-01,12.26,12.26,12.26,12.26,30200,0.0,0
2009-05-04,12.26,12.26,12.26,12.26,47800,0.0,0
2009-05-05,12.28,12.29,12.26,12.29,6000,0.0,0
2009-05-06,12.26,12.29,12.26,12.29,8900,0.0,0
2009-05-07,12.27,12.28,12.27,12.28,13100,0.0,0
2009-05-08,12.28,12.28,12.2,12.25,25500,0.0,0
2009-05-11,12.25,12.27,12.23,12.25,10100,0.0,0
2009-05-12,12.26,12.34,12.26,12.31,34700,0.0,0
2009-05-13,12.28,12.28,12.25,12.25,13800,0.0,0
2009-05-14,12.28,12.28,12.23,12.24,6200,0.0,0
2009-05-15,12.26,12.26,12.17,12.2,9600,0.0,0
2009-05-18,12.01,12.26,12.01,12.2,47100,0.0,0
2009-05-19,12.2,12.26,12.2,12.26,21900,0.0,0
2009-05-20,12.31,12.33,12.28,12.3,27400,0.09,0
2009-05-21,11.78,12.37,11.78,12.25,35700,0.0,0
2009-05-22,12.25,12.26,12.02,12.05,23900,0.0,0
2009-05-26,12.01,12.16,11.95,12.16,38100,0.0,0
2009-05-27,12.11,12.16,12.04,12.15,37200,0.0,0
2009-05-28,12.13,12.29,12.13,12.29,39000,0.0,0
2009-05-29,12.26,12.35,12.26,12.31,18600,0.0,0
2009-06-01,12.3,12.35,12.28,12.31,12000,0.0,0
2009-06-02,12.3,12.38,12.3,12.34,29700,0.0,0
2009-06-03,12.33,12.37,12.3,12.3,15300,0.0,0
2009-06-04,12.3,12.41,12.28,12.41,22700,0.0,0
2009-06-05,12.26,12.37,12.26,12.33,18600,0.0,0
2009-06-08,12.37,12.41,12.25,12.26,13700,0.0,0
2009-06-09,12.01,12.39,12.01,12.27,42600,0.0,0
2009-06-10,12.01,12.27,12.01,12.17,38300,0.0,0
2009-06-11,12.01,12.16,11.93,12.01,23600,0.0,0
2009-06-12,12.13,12.37,12.07,12.12,23100,0.0,0
2009-06-15,12.07,12.31,12.07,12.28,15700,0.0,0
2009-06-16,12.22,12.31,12.17,12.31,12400,0.0,0
2009-06-17,12.21,12.37,12.21,12.31,11800,0.09,0
2009-06-18,12.25,12.39,12.25,12.37,15900,0.0,0
2009-06-19,11.79,12.31,11.69,12.2,14200,0.0,0
2009-06-22,12.25,12.26,12.21,12.25,11000,0.0,0
2009-06-23,11.71,12.36,11.71,12.21,45700,0.0,0
2009-06-24,12.37,12.42,12.22,12.37,40900,0.0,0
2009-06-25,12.41,12.43,12.22,12.37,26800,0.0,0
2009-06-26,12.31,12.31,12.21,12.21,9800,0.0,0
2009-06-29,12.42,12.42,12.21,12.21,20400,0.0,0
2009-06-30,12.22,12.37,12.21,12.28,14500,0.0,0
2009-07-01,12.36,12.36,12.22,12.34,13500,0.0,0
2009-07-02,12.34,12.37,12.29,12.34,11800,0.0,0
2009-07-06,12.35,12.37,12.29,12.37,3400,0.0,0
2009-07-07,12.34,12.36,12.34,12.34,14200,0.0,0
2009-07-08,12.36,12.36,12.29,12.29,25100,0.0,0
2009-07-09,12.31,12.36,12.29,12.3,29400,0.0,0
2009-07-10,12.36,12.36,12.22,12.36,17100,0.0,0
2009-07-13,12.35,12.35,12.21,12.35,31200,0.0,0
2009-07-14,12.31,12.42,12.31,12.42,9900,0.0,0
2009-07-15,12.41,12.43,12.37,12.41,18200,0.0,0
2009-07-16,12.37,12.4,12.31,12.37,9300,0.0,0
2009-07-17,12.42,12.43,12.13,12.14,13500,0.0,0
2009-07-20,12.15,12.43,12.15,12.41,13600,0.0,0
2009-07-21,12.23,12.38,12.13,12.37,30600,0.0,0
2009-07-22,12.28,12.36,12.15,12.34,34100,0.09,0
2009-07-23,12.39,12.42,12.19,12.24,39800,0.0,0
2009-07-24,12.21,12.21,12.04,12.12,30100,0.0,0
2009-07-27,12.13,12.42,12.13,12.42,19300,0.0,0
2009-07-28,12.39,12.45,12.18,12.31,31800,0.0,0
2009-07-29,12.31,12.44,12.31,12.44,49900,0.0,0
2009-07-30,12.42,12.45,12.36,12.36,16000,0.0,0
2009-07-31,12.39,12.45,12.27,12.45,9700,0.0,0
2009-08-03,12.46,12.66,12.36,12.52,27500,0.0,0
