Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.9,8.99,8.74,8.85,103400,0.0,0
2008-01-03,8.85,8.89,8.62,8.7,69400,0.0,0
2008-01-04,8.64,8.69,8.49,8.49,115700,0.0,0
2008-01-07,8.49,8.63,8.49,8.57,70700,0.0,0
2008-01-08,8.59,8.76,8.46,8.47,84100,0.0,0
2008-01-09,8.47,8.67,8.35,8.66,85500,0.0,0
2008-01-10,8.68,9.0,8.6,8.94,76200,0.0,0
2008-01-11,8.88,8.89,8.58,8.58,64900,0.0,0
2008-01-14,8.52,8.53,8.33,8.4,78800,0.0,0
2008-01-15,8.34,8.39,8.26,8.26,118400,0.0,0
2008-01-16,8.28,8.32,8.19,8.19,118000,0.0,0
2008-01-17,8.18,8.21,7.63,7.76,197700,0.0,0
2008-01-18,7.76,7.89,7.6,7.73,160300,0.0,0
2008-01-22,7.49,7.91,7.43,7.76,111300,0.0,0
2008-01-23,7.63,8.26,7.58,8.21,178200,0.0,0
2008-01-24,8.29,8.29,7.84,7.99,97800,0.0,0
2008-01-25,7.99,8.14,7.9,7.95,68000,0.0,0
2008-01-28,7.91,8.14,7.78,8.11,56700,0.0,0
2008-01-29,8.15,8.43,8.0,8.14,80400,0.0,0
2008-01-30,8.16,8.3,7.87,8.1,80700,0.0,0
2008-01-31,7.96,8.65,7.93,8.47,252400,0.0,0
2008-02-01,8.49,8.65,8.19,8.53,102100,0.0,0
2008-02-04,8.54,8.59,8.1,8.18,93000,0.0,0
2008-02-05,8.04,8.08,7.92,7.92,98800,0.0,0
2008-02-06,8.13,8.36,8.11,8.15,92500,0.0,0
2008-02-07,8.16,8.47,8.16,8.32,92800,0.0,0
2008-02-08,8.32,8.43,8.27,8.34,85000,0.0,0
2008-02-11,8.32,8.43,8.3,8.4,81100,0.0,0
2008-02-12,8.43,8.61,8.39,8.52,51900,0.0,0
2008-02-13,8.63,8.85,8.43,8.79,158300,0.0,0
2008-02-14,8.82,8.82,8.41,8.41,224000,0.0,0
2008-02-15,8.38,8.63,8.33,8.6,71100,0.0,0
2008-02-19,8.79,8.85,8.35,8.49,98900,0.0,0
2008-02-20,8.44,8.6,8.35,8.59,56500,0.0,0
2008-02-21,8.65,8.71,8.39,8.39,77800,0.0,0
2008-02-22,8.39,8.4,8.13,8.3,146200,0.0,0
2008-02-25,8.29,8.44,8.19,8.42,114300,0.0,0
2008-02-26,8.41,8.76,8.41,8.51,82900,0.0,0
2008-02-27,8.46,8.76,8.46,8.7,108700,0.0,0
2008-02-28,8.65,8.7,8.51,8.56,38000,0.0,0
2008-02-29,8.5,8.56,8.36,8.36,88000,0.0,0
