Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,31.25,32.25,31.25,31.75,400,0,0
2008-01-03,31.75,31.75,31.75,31.75,0,0,0
2008-01-04,31.75,31.75,31.75,31.75,0,0,0
2008-01-07,31.75,31.75,31.75,31.75,0,0,0
2008-01-08,31.75,31.75,31.75,31.75,0,0,0
2008-01-09,31.75,32.5,31.25,32.5,1520,0,0
2008-01-10,32.5,32.5,32.5,32.5,0,0,0
2008-01-11,32.5,32.5,32.5,32.5,1200,0,0
2008-01-14,32.5,32.5,32.5,32.5,0,0,0
2008-01-15,32.5,32.5,32.5,32.5,0,0,0
2008-01-16,32.5,33.75,32.5,33.75,440,0,0
2008-01-17,33.75,33.75,33.0,33.0,356,0,0
2008-01-18,33.0,33.0,33.0,33.0,0,0,0
2008-01-22,33.75,34.25,33.75,34.25,440,0,0
2008-01-23,32.5,32.5,30.0,30.0,2240,0,0
2008-01-24,32.5,35.0,30.0,33.75,1402,0,0
2008-01-25,33.75,35.0,33.75,33.75,804,0,0
2008-01-28,36.25,36.25,35.0,36.25,1360,0,0
2008-01-29,33.75,36.25,33.75,36.25,160,0,0
2008-01-30,37.5,37.5,37.5,37.5,320,0,0
2008-01-31,40.0,40.0,37.25,37.25,320,0,0
2008-02-01,37.5,37.5,37.5,37.5,200,0,0
2008-02-04,37.5,37.5,37.5,37.5,0,0,0
2008-02-05,37.5,37.5,37.5,37.5,0,0,0
2008-02-06,37.5,37.5,37.5,37.5,24,0,0
2008-02-07,35.0,35.0,31.5,31.5,660,0,0
2008-02-08,31.75,36.25,31.75,32.5,480,0,0
2008-02-11,32.5,32.5,32.5,32.5,0,0,0
2008-02-12,33.75,37.5,33.75,37.5,3104,0,0
2008-02-13,40.0,43.75,40.0,43.75,600,0,0
2008-02-14,43.75,43.75,43.75,43.75,20,0,0
2008-02-15,42.5,45.0,40.0,41.25,932,0,0
2008-02-19,43.75,50.0,43.75,47.5,1148,0,0
2008-02-20,47.5,51.25,47.5,50.0,1428,0,0
2008-02-21,51.25,51.25,51.25,51.25,120,0,0
2008-02-22,51.25,51.25,50.5,50.5,280,0,0
2008-02-25,51.25,54.0,51.25,53.75,860,0,0
2008-02-26,53.75,53.75,52.5,53.75,450,0,0
2008-02-27,53.75,53.75,53.75,53.75,60,0,0
2008-02-28,55.5,57.5,55.5,57.5,580,0,0
2008-02-29,57.5,60.0,56.25,60.0,516,0,0
2008-03-03,61.25,62.5,58.75,58.75,320,0,0
2008-03-04,58.75,58.75,58.75,58.75,0,0,0
2008-03-05,58.75,58.75,58.75,58.75,0,0,0
