Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,32.67,32.74,32.14,32.56,3333000,0.0,0.0
2008-01-03,32.71,32.92,32.62,32.77,3850400,0.0,0.0
2008-01-04,32.57,32.67,32.15,32.16,2777000,0.0,0.0
2008-01-07,32.27,32.41,31.76,32.24,3614800,0.0,0.0
2008-01-08,32.52,32.76,31.55,31.67,3670200,0.0,0.0
2008-01-09,31.7,32.44,31.63,32.32,3412000,0.0,0.0
2008-01-10,32.08,32.41,31.63,32.19,2578600,0.0,0.0
2008-01-11,31.84,33.0,31.82,32.5,3046200,0.0,0.0
2008-01-14,32.85,33.29,32.76,33.16,2893000,0.0,0.0
2008-01-15,32.89,33.16,32.4,32.42,3234000,0.0,0.0
2008-01-16,32.34,32.65,31.06,31.12,3546000,0.0,0.0
2008-01-17,31.17,31.65,29.59,29.64,3234200,0.0,0.0
2008-01-18,29.85,31.14,29.02,29.52,4422200,0.0,0.0
2008-01-22,27.42,29.37,26.51,28.64,4068600,0.0,0.0
2008-01-23,27.86,28.29,26.67,28.23,4153400,0.0,0.0
2008-01-24,28.36,29.16,28.31,28.91,3102000,0.0,0.0
2008-01-25,29.4,29.65,28.21,28.32,2657000,0.0,0.0
2008-01-28,28.46,29.13,27.87,28.97,2477200,0.0,0.0
2008-01-29,29.16,29.48,28.88,29.4,2528200,0.0,0.0
2008-01-30,29.21,30.25,29.21,29.5,2628400,0.0,0.0
2008-01-31,28.92,29.92,28.68,29.71,3128400,0.12,0.0
2008-02-01,29.91,30.18,29.52,30.09,2368800,0.0,0.0
2008-02-04,30.15,30.85,29.84,30.77,2497200,0.0,0.0
2008-02-05,30.25,30.37,29.26,29.26,2645400,0.0,0.0
2008-02-06,29.72,29.72,28.69,28.78,2413400,0.0,0.0
2008-02-07,28.69,29.07,28.5,28.88,2821200,0.0,0.0
2008-02-08,28.77,29.92,28.77,29.76,2380600,0.0,0.0
2008-02-11,29.88,30.65,29.75,30.63,2172800,0.0,0.0
2008-02-12,30.61,31.24,30.22,30.53,2415600,0.0,0.0
2008-02-13,30.59,31.41,30.59,31.41,2055600,0.0,0.0
2008-02-14,31.48,31.74,31.29,31.3,1931000,0.0,0.0
2008-02-15,31.31,31.33,30.43,30.83,1977800,0.0,0.0
2008-02-19,31.25,32.0,31.21,31.66,2245600,0.0,0.0
2008-02-20,31.32,32.54,31.32,32.46,2597000,0.0,0.0
2008-02-21,32.6,32.6,31.66,31.7,2433600,0.0,0.0
2008-02-22,32.02,32.31,31.55,32.25,2069000,0.0,0.0
2008-02-25,32.4,33.15,32.33,33.15,2573200,0.0,0.0
2008-02-26,32.75,33.43,32.34,33.12,2661000,0.0,0.0
2008-02-27,33.16,33.69,32.81,33.2,3013600,0.0,0.0
2008-02-28,33.54,33.9,33.07,33.3,3135600,0.0,0.0
2008-02-29,33.16,33.16,31.57,31.69,3439400,0.0,0.0
2008-03-03,31.71,33.2,31.71,33.11,4847000,0.0,0.0
2008-03-04,32.97,33.08,31.96,32.47,4048000,0.0,0.0
2008-03-05,32.74,33.27,32.5,33.04,3402200,0.0,0.0
2008-03-06,32.8,33.01,32.11,32.11,3131800,0.0,0.0
2008-03-07,31.86,32.15,30.97,31.35,3713600,0.0,0.0
2008-03-10,31.31,31.4,30.51,30.67,3848800,0.0,0.0
2008-03-11,31.23,32.01,30.57,31.97,3818000,0.0,0.0
2008-03-12,31.98,32.3,31.67,31.78,1744000,0.0,0.0
2008-03-13,31.14,32.18,30.97,31.94,4501400,0.0,0.0
2008-03-14,32.03,32.12,30.67,31.22,2871600,0.0,0.0
2008-03-17,30.42,30.63,29.07,29.48,4117400,0.0,0.0
2008-03-18,30.29,30.75,29.92,30.75,3096000,0.0,0.0
2008-03-19,30.6,30.7,28.63,28.63,3673800,0.0,0.0
2008-03-20,28.02,29.15,26.77,29.04,4745000,0.0,0.0
2008-03-24,29.05,29.97,28.93,29.6,2434800,0.0,0.0
2008-03-25,30.0,30.39,29.63,30.25,3862600,0.0,0.0
2008-03-26,30.15,30.6,29.95,30.32,4435400,0.0,0.0
2008-03-27,30.62,30.62,29.73,29.84,3954800,0.0,0.0
2008-03-28,29.48,30.35,29.46,29.84,2933600,0.0,0.0
2008-03-31,29.84,30.24,29.36,29.8,4475200,0.0,0.0
2008-04-01,30.14,31.03,29.45,31.03,3781000,0.0,0.0
2008-04-02,31.1,32.16,31.1,31.93,4059200,0.0,0.0
2008-04-03,31.88,32.42,31.76,31.93,3521000,0.0,0.0
2008-04-04,32.19,32.86,32.06,32.57,3160800,0.0,0.0
2008-04-07,32.82,33.47,32.79,33.19,3688800,0.0,0.0
2008-04-08,33.11,33.57,32.97,33.14,3117400,0.0,0.0
2008-04-09,33.51,34.18,33.37,33.92,3518600,0.0,0.0
2008-04-10,33.92,34.27,33.51,34.21,2945400,0.0,0.0
2008-04-11,34.12,34.26,33.59,33.88,3481600,0.0,0.0
2008-04-14,33.99,35.02,33.99,34.96,3241200,0.0,0.0
2008-04-15,35.26,35.73,34.79,35.28,3318600,0.0,0.0
2008-04-16,35.51,36.75,35.35,36.75,4041600,0.0,0.0
2008-04-17,36.53,36.93,35.84,36.23,2652000,0.0,0.0
2008-04-18,35.92,37.12,35.76,37.07,3146400,0.0,0.0
2008-04-21,37.05,37.39,36.9,37.21,3688400,0.0,0.0
2008-04-22,37.24,37.43,36.88,37.08,3606400,0.0,0.0
2008-04-23,36.12,36.88,35.74,36.01,3404400,0.0,0.0
2008-04-24,35.91,36.1,34.9,35.39,2823000,0.0,0.0
2008-04-25,35.86,36.4,35.62,36.4,5902200,0.0,0.0
2008-04-28,36.58,36.84,36.18,36.32,3227200,0.0,0.0
2008-04-29,35.64,36.04,35.45,35.7,3098600,0.0,0.0
2008-04-30,35.1,36.14,35.1,35.62,3406600,0.0,0.0
2008-05-01,36.26,36.26,33.41,34.81,4303600,0.18,0.0
2008-05-02,35.3,35.85,34.94,35.66,2676400,0.0,0.0
2008-05-05,35.87,36.5,35.59,36.36,4687400,0.0,0.0
2008-05-06,36.53,39.39,36.2,39.24,6955600,0.0,0.0
2008-05-07,39.46,39.72,38.32,38.62,4620600,0.0,0.0
2008-05-08,38.71,39.91,38.44,39.83,4281600,0.0,0.0
2008-05-09,40.15,40.29,38.95,39.67,4807400,0.0,0.0
2008-05-12,39.62,40.03,39.11,39.8,3470600,0.0,0.0
2008-05-13,39.8,40.53,39.43,40.13,4697400,0.0,0.0
2008-05-14,40.7,40.74,39.69,39.81,3561200,0.0,0.0
2008-05-15,40.49,40.97,39.84,40.68,4215400,0.0,0.0
2008-05-16,41.04,41.74,40.78,41.74,4091200,0.0,0.0
2008-05-19,42.14,42.39,41.42,41.75,3754600,0.0,0.0
2008-05-20,42.05,43.03,41.64,42.68,3758400,0.0,0.0
2008-05-21,42.73,43.21,41.51,41.61,4612000,0.0,0.0
2008-05-22,41.78,42.09,40.84,41.26,3336200,0.0,0.0
2008-05-23,41.3,41.75,39.83,40.27,3211600,0.0,0.0
2008-05-27,40.1,40.4,39.67,40.13,3495400,0.0,0.0
2008-05-28,40.08,41.51,39.47,41.36,4907000,0.0,0.0
2008-05-29,41.17,41.17,39.51,39.7,4400200,0.0,0.0
2008-05-30,39.82,40.41,39.53,40.06,4225000,0.0,0.0
2008-06-02,39.87,41.32,39.87,40.89,4368000,0.0,0.0
2008-06-03,40.84,41.05,39.84,40.09,4692600,0.0,0.0
2008-06-04,39.69,40.44,39.21,39.75,4315400,0.0,0.0
2008-06-05,39.78,41.31,39.56,41.31,3724400,0.0,0.0
2008-06-06,41.61,42.85,41.12,41.12,3761600,0.0,0.0
2008-06-09,41.17,42.85,41.17,42.54,3445400,0.0,0.0
2008-06-10,41.99,42.67,40.13,40.8,4142400,0.0,0.0
2008-06-11,40.91,41.74,40.91,41.4,2872600,0.0,0.0
2008-06-12,41.45,41.45,40.16,40.67,3496200,0.0,0.0
2008-06-13,40.38,41.17,40.03,40.41,3377200,0.0,0.0
2008-06-16,40.82,40.94,40.09,40.29,3756000,0.0,0.0
2008-06-17,40.27,42.31,40.27,42.19,4048600,0.0,0.0
2008-06-18,42.34,42.34,41.24,41.72,3286600,0.0,0.0
2008-06-19,42.34,42.34,39.96,39.97,3974800,0.0,0.0
2008-06-20,40.66,40.68,39.01,39.14,5631600,0.0,0.0
2008-06-23,39.13,42.44,39.09,42.44,5193400,0.0,0.0
2008-06-24,42.18,42.44,41.38,41.5,4385600,0.0,0.0
2008-06-25,41.8,41.8,39.89,40.81,2873200,0.0,0.0
2008-06-26,41.5,41.5,39.28,39.81,3571600,0.0,0.0
2008-06-27,40.32,40.71,40.04,40.19,3164600,0.0,0.0
2008-06-30,40.45,41.46,40.45,41.34,3207600,0.0,0.0
2008-07-01,41.29,42.33,41.02,42.25,4159000,0.0,0.0
2008-07-02,42.26,42.96,39.39,39.4,5219400,0.0,0.0
2008-07-03,39.6,39.83,37.91,38.32,3545400,0.0,0.0
2008-07-07,38.25,38.8,36.92,37.6,5002600,0.0,0.0
2008-07-08,36.91,37.86,36.09,37.82,6037400,0.0,0.0
2008-07-09,37.99,38.5,36.06,36.21,4358200,0.0,0.0
2008-07-10,36.4,37.45,35.93,37.26,4792800,0.0,0.0
2008-07-11,38.0,38.61,36.4,36.96,4451400,0.0,0.0
2008-07-14,37.47,37.72,36.59,37.18,3436200,0.0,0.0
2008-07-15,37.83,37.83,35.32,35.39,4727600,0.0,0.0
2008-07-16,35.46,35.86,33.82,34.68,5737600,0.0,0.0
2008-07-17,34.62,34.93,32.36,33.23,7561000,0.0,0.0
2008-07-18,33.19,33.93,32.22,33.05,5854200,0.0,0.0
2008-07-21,33.59,34.05,32.68,33.94,3862800,0.0,0.0
2008-07-22,33.75,33.75,32.31,32.69,4284000,0.0,0.0
2008-07-23,32.64,32.96,31.16,31.38,5496000,0.0,0.0
2008-07-24,31.5,31.98,30.16,31.12,5183400,0.0,0.0
2008-07-25,31.28,32.29,30.84,31.25,4321800,0.0,0.0
2008-07-28,31.39,32.32,31.14,31.14,3275600,0.0,0.0
2008-07-29,30.96,31.1,30.16,30.67,5472800,0.0,0.0
2008-07-30,30.15,31.99,28.95,31.7,7994000,0.0,0.0
2008-07-31,31.09,31.98,30.26,30.51,5252000,0.18,0.0
2008-08-01,30.51,31.74,30.46,30.69,5020400,0.0,0.0
2008-08-04,30.74,30.74,28.21,28.5,5902000,0.0,0.0
2008-08-05,28.24,29.14,27.98,28.99,4332800,0.0,0.0
2008-08-06,28.96,29.32,28.36,28.75,6542800,0.0,0.0
2008-08-07,28.79,29.12,27.69,27.71,6026800,0.0,0.0
2008-08-08,27.51,27.82,26.38,27.5,4699800,0.0,0.0
2008-08-11,27.51,27.91,26.81,27.57,4069400,0.0,0.0
2008-08-12,27.94,28.33,27.7,27.97,4768600,0.0,0.0
2008-08-13,28.25,28.94,27.56,28.79,3928200,0.0,0.0
2008-08-14,28.72,28.78,27.6,28.04,3396600,0.0,0.0
2008-08-15,27.93,27.96,27.27,27.7,4101800,0.0,0.0
2008-08-18,27.85,28.23,27.08,27.24,3580000,0.0,0.0
2008-08-19,27.23,28.46,27.22,28.41,4583800,0.0,0.0
2008-08-20,28.8,29.96,28.8,29.86,6002400,0.0,0.0
2008-08-21,30.15,30.74,29.84,30.32,5092200,0.0,0.0
2008-08-22,29.83,29.96,28.84,29.39,3486400,0.0,0.0
2008-08-25,29.42,29.93,29.13,29.62,3245800,0.0,0.0
2008-08-26,29.95,31.29,29.95,30.86,4271400,0.0,0.0
2008-08-27,31.31,31.6,30.62,30.77,3906000,0.0,0.0
2008-08-28,31.17,31.18,29.5,30.08,3826200,0.0,0.0
2008-08-29,30.33,30.53,29.48,29.63,3466400,0.0,0.0
2008-09-02,28.89,28.93,27.66,27.73,4152600,0.0,0.0
2008-09-03,27.82,28.51,27.21,27.74,4615400,0.0,0.0
2008-09-04,27.8,28.3,26.99,28.16,8060800,0.0,0.0
2008-09-05,28.04,28.42,27.01,28.1,5941400,0.0,0.0
2008-09-08,28.46,28.66,26.6,26.82,5728800,0.0,0.0
2008-09-09,26.39,26.71,23.6,23.6,10031400,0.0,0.0
2008-09-10,24.06,24.81,23.64,24.46,7549000,0.0,0.0
2008-09-11,24.09,24.89,23.27,24.36,9304000,0.0,0.0
2008-09-12,24.76,25.53,24.37,25.38,6779200,0.0,0.0
2008-09-15,24.05,24.7,23.41,23.77,11588600,0.0,0.0
2008-09-16,23.25,24.39,22.22,24.3,11157200,0.0,0.0
2008-09-17,24.21,24.9,22.95,23.9,9540000,0.0,0.0
2008-09-18,24.64,25.24,23.37,23.96,7924400,0.0,0.0
2008-09-19,24.81,26.63,23.96,25.57,7572400,0.0,0.0
2008-09-22,25.49,26.08,24.82,25.33,6766000,0.0,0.0
2008-09-23,25.39,25.83,24.41,24.78,6728400,0.0,0.0
2008-09-24,24.98,25.52,24.57,24.78,5685200,0.0,0.0
2008-09-25,24.75,25.05,24.36,24.83,4963200,0.0,0.0
2008-09-26,24.13,24.64,23.65,24.58,5215400,0.0,0.0
2008-09-29,23.52,23.75,20.74,21.14,9351200,0.0,0.0
2008-09-30,21.95,23.46,21.39,22.96,5161600,0.0,0.0
2008-10-01,22.99,22.99,21.8,22.25,5109000,0.0,0.0
2008-10-02,21.68,21.98,19.69,19.79,5088200,0.0,0.0
2008-10-03,19.8,21.22,19.19,19.25,5057800,0.0,0.0
2008-10-06,18.35,18.36,16.1,17.66,10987200,0.0,0.0
2008-10-07,17.94,18.28,16.23,16.23,8080800,0.0,0.0
2008-10-08,15.69,17.28,15.19,16.43,9138000,0.0,0.0
2008-10-09,16.92,17.2,14.84,14.84,10215800,0.0,0.0
2008-10-10,14.11,15.03,12.76,13.69,16628000,0.0,0.0
2008-10-13,14.46,17.19,14.44,16.95,9739800,0.0,0.0
2008-10-14,17.7,20.08,17.7,19.17,16999200,0.0,0.0
2008-10-15,18.2,18.5,15.78,15.97,7577400,0.0,0.0
2008-10-16,16.2,17.99,15.43,17.96,9459800,0.0,0.0
2008-10-17,17.54,19.89,16.97,18.39,8512200,0.0,0.0
2008-10-20,19.13,20.71,19.03,20.54,8130400,0.0,0.0
2008-10-21,19.88,20.08,18.9,19.14,6845400,0.0,0.0
2008-10-22,18.25,18.56,16.17,16.9,7476600,0.0,0.0
2008-10-23,17.35,18.27,16.37,18.02,6767000,0.0,0.0
2008-10-24,16.21,17.87,15.67,17.34,6504400,0.0,0.0
2008-10-27,17.02,17.17,15.41,15.46,5376800,0.0,0.0
2008-10-28,16.35,17.82,15.08,17.73,7400000,0.0,0.0
2008-10-29,18.38,20.32,18.26,18.95,7414200,0.0,0.0
2008-10-30,19.9,20.86,19.31,20.35,7085400,0.18,0.0
2008-10-31,19.98,22.23,19.47,21.57,5075800,0.0,0.0
2008-11-03,21.38,21.63,20.13,20.75,5722000,0.0,0.0
2008-11-04,21.42,22.65,21.42,22.42,5259200,0.0,0.0
2008-11-05,21.38,22.58,21.25,21.44,4455600,0.0,0.0
2008-11-06,21.07,21.39,19.56,20.21,5597800,0.0,0.0
2008-11-07,20.4,21.11,19.66,20.55,4804800,0.0,0.0
2008-11-10,21.18,22.03,20.66,21.24,4761200,0.0,0.0
2008-11-11,20.63,21.4,20.12,20.9,4606400,0.0,0.0
2008-11-12,20.36,20.47,18.9,19.15,5256000,0.0,0.0
2008-11-13,19.69,22.51,18.59,22.48,7313200,0.0,0.0
2008-11-14,21.66,22.56,20.86,21.07,5766400,0.0,0.0
2008-11-17,20.25,21.69,20.09,20.43,5191400,0.0,0.0
2008-11-18,20.68,21.51,19.98,21.06,5368600,0.0,0.0
2008-11-19,20.95,21.25,19.15,19.19,6081400,0.0,0.0
2008-11-20,18.6,18.62,16.06,16.22,6895800,0.0,0.0
2008-11-21,16.76,18.59,16.51,18.51,6998000,0.0,0.0
2008-11-24,18.87,21.05,18.87,20.51,6429600,0.0,0.0
2008-11-25,20.65,21.03,19.85,20.55,4584600,0.0,0.0
2008-11-26,20.44,22.23,20.08,22.18,3746000,0.0,0.0
2008-11-28,22.15,22.15,20.68,21.76,2194200,0.0,0.0
2008-12-01,21.02,21.02,18.4,18.5,6395600,0.0,0.0
2008-12-02,18.81,19.77,18.51,19.29,4310000,0.0,0.0
2008-12-03,18.73,19.66,18.42,19.64,3853600,0.0,0.0
2008-12-04,19.16,19.45,16.85,17.17,4436200,0.0,0.0
2008-12-05,16.61,17.27,15.46,17.24,4884600,0.0,0.0
2008-12-08,18.05,19.71,18.03,19.37,6101000,0.0,0.0
2008-12-09,19.43,20.31,18.62,19.51,3099000,0.0,0.0
2008-12-10,20.31,22.26,19.97,22.06,6651800,0.0,0.0
2008-12-11,22.23,23.08,20.89,21.3,7496800,0.0,0.0
2008-12-12,20.39,21.21,19.92,20.73,4134600,0.0,0.0
2008-12-15,21.85,21.98,20.08,20.58,3912400,0.0,0.0
2008-12-16,21.05,21.22,20.12,20.87,5055800,0.0,0.0
2008-12-17,20.49,21.99,20.36,20.59,4620600,0.0,0.0
2008-12-18,20.74,20.74,18.84,19.07,4296400,0.0,0.0
2008-12-19,19.09,20.23,19.09,19.91,4880600,0.0,0.0
2008-12-22,19.91,19.95,18.37,18.87,4280200,0.0,0.0
2008-12-23,18.57,19.41,18.38,18.98,2429800,0.0,0.0
2008-12-24,18.64,18.96,18.33,18.82,991600,0.0,0.0
2008-12-26,19.0,19.22,18.68,19.16,1151000,0.0,0.0
2008-12-29,19.65,19.98,19.29,19.86,3251400,0.0,0.0
2008-12-30,19.64,20.25,19.27,20.23,3348200,0.0,0.0
2008-12-31,20.08,20.75,19.9,20.49,3402600,0.0,0.0
2009-01-02,20.61,21.89,20.61,21.8,3811800,0.0,0.0
2009-01-05,21.65,22.93,21.46,22.42,4641800,0.0,0.0
2009-01-06,23.0,23.65,22.77,22.96,4888800,0.0,0.0
2009-01-07,22.26,22.45,21.28,21.8,4894800,0.0,0.0
2009-01-08,21.18,22.22,21.16,22.1,3320400,0.0,0.0
