Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-22,11.51,11.51,11.51,11.51,150,0,0
2008-03-31,11.66,11.66,11.66,11.66,200,0,0
2008-05-02,14.3,14.3,14.3,14.3,150,0,0
2008-06-18,14.66,14.66,14.66,14.66,150,0,0
2008-06-27,13.61,13.61,13.61,13.61,600,0,0
2008-07-15,13.8,13.8,13.8,13.8,30,0,0
2008-07-24,15.1,15.1,15.1,15.1,198,0,0
2008-10-24,18.44,18.44,18.44,18.44,50,0,0
2009-11-16,27.39,27.39,27.39,27.39,77,0,0
2009-11-19,27.4,27.4,27.4,27.4,35,0,0
2009-12-02,26.87,26.87,26.87,26.87,36,0,0
2009-12-04,27.65,27.65,27.65,27.65,30,0,0
2009-12-07,27.7,27.7,27.7,27.7,35,0,0
2009-12-23,25.01,25.01,25.01,25.01,60,0,0
2010-01-06,29.85,29.85,29.85,29.85,24,0,0
2010-01-11,28.6,28.6,28.6,28.6,34,0,0
2010-01-25,25.0,25.0,25.0,25.0,14,0,0
2010-01-26,23.76,23.76,23.76,23.76,100,0,0
2010-02-10,25.06,25.06,25.06,25.06,250,0,0
2010-02-26,29.08,29.08,29.08,29.08,30,0,0
2010-03-03,28.6,28.6,28.6,28.6,97,0,0
2010-03-04,29.0,29.0,29.0,29.0,34,0,0
2010-03-05,29.84,29.84,29.84,29.84,22,0,0
2010-03-09,29.98,29.98,29.98,29.98,200,0,0
2010-03-10,29.89,29.89,29.89,29.89,33,0,0
2010-03-11,28.22,28.22,28.22,28.22,20,0,0
2010-03-12,29.72,29.72,29.72,29.72,69,0,0
2010-03-15,30.29,30.29,30.29,30.29,33,0,0
2010-03-17,29.14,29.14,29.14,29.14,333,0,0
2010-03-25,29.0,29.0,29.0,29.0,17,0,0
2010-03-26,28.0,28.0,28.0,28.0,140,0,0
2010-03-29,28.0,28.0,28.0,28.0,140,0,0
2010-03-30,28.0,28.0,28.0,28.0,21,0,0
2010-03-31,28.0,28.0,28.0,28.0,22,0,0
2010-04-14,26.6,26.6,26.6,26.6,10,0,0
2010-04-27,28.97,28.97,28.97,28.97,28,0,0
2010-04-28,27.4,27.4,27.4,27.4,27,0,0
