Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,46.19,46.63,44.96,45.98,281000,0.0,0
2008-01-03,45.78,46.61,45.4,45.55,204000,0.0,0
2008-01-04,45.19,46.04,44.78,45.21,206100,0.0,0
2008-01-07,45.34,45.8,44.57,45.07,174600,0.0,0
2008-01-08,45.24,45.79,44.58,44.66,234300,0.0,0
2008-01-09,44.37,45.76,44.03,45.61,254700,0.0,0
2008-01-10,45.25,46.36,44.87,45.84,270900,0.0,0
2008-01-11,45.57,45.59,44.67,44.93,173400,0.0,0
2008-01-14,45.38,45.71,44.8,45.27,116800,0.0,0
2008-01-15,44.52,44.62,43.61,43.9,151300,0.0,0
2008-01-16,43.85,44.29,42.71,43.26,177100,0.0,0
2008-01-17,43.35,43.84,42.48,42.54,149300,0.0,0
2008-01-18,42.79,43.3,41.47,42.87,239600,0.0,0
2008-01-22,41.08,43.65,35.96,43.04,233900,0.0,0
2008-01-23,42.03,42.52,39.28,42.44,275700,0.0,0
2008-01-24,42.64,44.63,42.02,43.74,225900,0.0,0
2008-01-25,44.16,45.48,44.14,45.09,277700,0.0,0
2008-01-28,45.11,46.23,44.41,45.72,391300,0.0,0
2008-01-29,46.19,46.34,45.05,45.42,187200,0.0,0
2008-01-30,45.0,45.54,43.69,43.75,202300,0.0,0
2008-01-31,43.49,45.59,42.89,45.4,303000,0.0,0
2008-02-01,45.5,48.65,45.13,48.09,453700,0.0,0
2008-02-04,48.5,50.19,47.93,49.52,393400,0.0,0
2008-02-05,48.75,50.14,47.65,48.51,287300,0.0,0
2008-02-06,48.62,49.54,47.84,48.17,293000,0.0,0
2008-02-07,47.9,49.51,47.57,48.39,360200,0.0,0
2008-02-08,48.4,49.72,48.1,49.31,369000,0.0,0
2008-02-11,50.42,51.24,49.91,51.24,976600,0.0,0
2008-02-12,51.72,53.36,51.09,52.2,1936900,0.0,0
2008-02-13,52.35,52.72,51.7,51.98,518900,0.0,0
2008-02-14,52.61,52.63,51.37,51.65,421700,0.0,0
2008-02-15,52.0,52.5,49.72,52.27,391000,0.0,0
2008-02-19,52.66,53.77,52.54,53.23,496600,0.0,0
2008-02-20,52.81,54.64,52.6,54.64,408900,0.0,0
2008-02-21,54.82,55.24,54.14,54.6,500300,0.0,0
2008-02-22,54.66,55.1,53.38,54.13,245900,0.0,0
2008-02-25,54.25,56.35,54.14,56.18,434200,0.0,0
2008-02-26,55.91,57.85,55.54,56.6,559700,0.0,0
2008-02-27,56.87,58.3,56.4,57.93,368300,0.0,0
2008-02-28,58.27,58.33,56.54,57.19,238400,0.0,0
2008-02-29,57.18,57.18,55.71,56.26,235500,0.0,0
2008-03-03,57.74,60.71,57.74,59.8,803400,0.0,0
2008-03-04,59.94,59.94,56.51,57.64,467400,0.0,0
2008-03-05,58.01,59.66,57.95,59.11,246700,0.0,0
2008-03-06,58.91,59.28,57.28,57.66,312700,0.0,0
2008-03-07,57.31,58.82,56.84,57.29,184400,0.0,0
2008-03-10,57.17,57.52,55.24,55.32,222700,0.0,0
2008-03-11,55.38,58.52,55.38,58.52,344600,0.0,0
2008-03-12,58.95,60.9,58.72,59.55,425000,0.2,0
2008-03-13,58.99,61.23,57.66,61.23,318200,0.0,0
2008-03-14,61.1,61.52,58.66,59.88,232300,0.0,0
2008-03-17,58.31,61.22,58.31,60.28,282900,0.0,0
2008-03-18,61.58,63.38,61.0,63.03,429300,0.0,0
2008-03-19,64.22,64.22,59.78,59.78,343400,0.0,0
2008-03-20,60.26,60.68,58.28,60.11,452700,0.0,0
2008-03-24,60.47,62.19,60.17,61.24,270600,0.0,0
2008-03-25,61.94,64.84,61.94,63.93,481800,0.0,0
2008-03-26,64.35,64.35,61.73,63.89,350800,0.0,0
2008-03-27,63.69,64.05,62.37,63.03,256500,0.0,0
2008-03-28,64.2,64.43,62.21,63.04,263700,0.0,0
2008-03-31,63.62,64.38,62.54,63.59,281400,0.0,0
2008-04-01,64.06,66.73,63.72,66.57,304600,0.0,0
2008-04-02,67.41,67.41,64.17,65.25,325000,0.0,0
2008-04-03,65.36,68.9,65.36,68.14,406400,0.0,0
2008-04-04,68.48,68.79,67.15,67.86,195800,0.0,0
2008-04-07,68.65,69.95,68.17,68.69,270300,0.0,0
2008-04-08,68.54,69.46,67.85,69.43,243400,0.0,0
2008-04-09,70.01,70.01,68.64,68.72,351400,0.0,0
2008-04-10,68.57,70.37,68.12,69.47,167100,0.0,0
2008-04-11,68.53,69.7,68.32,68.9,175800,0.0,0
2008-04-14,69.2,70.33,69.02,69.5,161200,0.0,0
2008-04-15,69.64,70.34,68.85,70.3,189600,0.0,0
2008-04-16,70.47,73.77,70.39,73.66,361000,0.0,0
2008-04-17,73.37,73.74,72.07,73.25,226200,0.0,0
2008-04-18,74.65,76.26,74.16,75.76,271600,0.0,0
2008-04-21,76.7,78.86,74.95,78.15,352900,0.0,0
2008-04-22,78.37,78.86,74.59,74.6,482500,0.0,0
2008-04-23,75.08,75.7,72.24,74.43,300400,0.0,0
2008-04-24,71.49,71.49,59.5,60.14,1546900,0.0,0
2008-04-25,60.17,60.17,56.53,58.09,1243900,0.0,0
2008-04-28,59.35,60.23,57.84,58.29,462900,0.0,0
2008-04-29,58.25,58.25,53.14,53.88,700700,0.0,0
2008-04-30,53.85,55.61,53.85,54.72,420600,0.0,0
2008-05-01,54.78,55.1,52.88,53.75,359400,0.0,0
2008-05-02,53.42,54.5,51.86,52.81,378100,0.0,0
2008-05-05,52.8,54.17,51.85,53.68,376500,0.0,0
2008-05-06,52.44,53.9,52.32,53.54,298000,0.0,0
2008-05-07,53.41,55.02,52.84,53.22,257000,0.0,0
2008-05-08,53.62,53.94,52.67,53.73,157600,0.0,0
2008-05-09,52.98,53.87,52.1,53.84,200600,0.0,0
2008-05-12,53.94,55.93,53.39,55.5,371400,0.0,0
2008-05-13,55.15,55.95,53.94,55.87,203400,0.0,0
2008-05-14,56.04,58.51,55.77,57.08,334100,0.0,0
2008-05-15,57.42,59.24,56.68,59.0,314000,0.0,0
2008-05-16,59.31,60.1,58.41,59.33,300400,0.0,0
2008-05-19,59.33,59.33,56.02,57.0,337500,0.0,0
2008-05-20,56.74,57.13,55.58,56.39,190900,0.0,0
2008-05-21,56.81,57.37,55.77,56.69,370400,0.0,0
2008-05-22,56.69,58.05,56.69,57.73,190000,0.0,0
2008-05-23,57.23,59.27,56.58,59.22,313900,0.0,0
2008-05-27,59.22,62.63,58.77,61.45,514000,0.0,0
2008-05-28,62.75,65.9,62.1,65.61,513900,0.0,0
