Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-04,10.5,12.0,10.5,12.0,350,0,0
2008-01-08,10.5,10.5,10.5,10.5,250,0,0
2008-01-29,11.7,11.7,11.7,11.7,167,0,0
2008-01-31,11.4,11.4,11.4,11.4,233,0,0
2008-02-04,10.5,10.5,7.95,7.95,167,0,0
2008-02-12,9.9,9.9,9.9,9.9,267,0,0
2008-02-13,10.05,10.05,9.9,9.9,350,0,0
2008-02-25,10.2,10.2,9.6,9.6,667,0,0
2008-02-28,11.1,11.1,10.2,10.2,150,0,0
2008-03-06,8.85,9.0,8.85,9.0,1083,0,0
2008-03-14,8.55,8.55,8.55,8.55,1660,0,0
2008-03-17,8.85,9.45,8.85,8.85,2033,0,0
2008-03-19,8.85,8.85,8.85,8.85,2733,0,0
2008-04-03,9.0,10.2,9.0,9.45,1367,0,0
2008-04-10,7.8,7.8,7.8,7.8,17,0,0
2008-04-15,8.4,8.4,8.4,8.4,300,0,0
2008-04-21,8.7,8.7,8.7,8.7,1567,0,0
2008-04-28,8.25,8.4,7.5,8.25,2917,0,0
2008-05-02,7.8,7.8,7.8,7.8,0,0,0
2008-05-12,9.0,9.0,9.0,9.0,0,0,0
2008-05-14,7.95,9.0,7.95,9.0,233,0,0
2008-05-20,7.8,8.7,7.8,8.7,1067,0,0
2008-05-21,8.25,8.25,8.1,8.1,501,0,0
2008-05-28,7.95,7.95,7.5,7.5,1533,0,0
2008-05-29,7.5,7.5,7.5,7.5,0,0,0
2008-06-03,7.8,7.8,7.65,7.8,750,0,0
2008-06-13,7.5,7.5,6.9,7.2,1130,0,0
2008-07-03,9.15,9.15,9.15,9.15,250,0,0
2008-07-07,8.1,8.1,7.8,8.1,467,0,0
2008-07-25,5.7,6.75,5.7,6.3,417,0,0
2008-07-29,5.7,5.7,5.25,5.25,1183,0,0
2008-08-05,5.7,6.3,5.7,6.15,750,0,0
2008-08-22,6.6,6.6,6.6,6.6,17,0,0
2008-08-27,6.6,6.6,6.6,6.6,383,0,0
2008-08-29,6.9,7.35,6.9,7.35,1450,0,0
2008-09-10,5.7,5.7,5.4,5.4,2583,0,0
2008-09-19,4.8,4.8,4.5,4.5,200,0,0
2008-10-01,5.1,5.1,4.8,4.8,1167,0,0
2008-10-07,1.95,1.95,1.8,1.8,500,0,0
2008-10-15,2.4,2.4,2.4,2.4,619,0,0
2008-10-22,1.8,1.8,1.8,1.8,33,0,0
2008-10-29,1.05,1.2,0.9,1.2,2033,0,0
2008-11-04,1.5,1.65,1.5,1.5,3800,0,0
2008-11-17,1.2,1.2,1.05,1.05,3167,0,0
2008-11-18,1.05,1.05,1.05,1.05,1200,0,0
2008-11-21,0.9,0.9,0.9,0.9,2400,0,0
2008-12-02,1.05,1.05,1.05,1.05,0,0,0
2008-12-22,0.9,0.9,0.75,0.75,3400,0,0
2008-12-23,0.75,0.75,0.75,0.75,1350,0,0
2008-12-30,1.35,2.1,1.35,1.5,2127,0,0
2009-01-12,1.8,1.95,1.8,1.95,600,0,0
2009-01-20,1.95,2.1,1.95,2.1,467,0,0
2009-02-04,1.65,1.65,1.65,1.65,1167,0,0
2009-02-09,1.35,1.35,1.35,1.35,117,0,0
2009-02-11,1.2,1.2,1.2,1.2,0,0,0
2009-04-03,1.8,1.8,1.8,1.8,0,0,0
2009-04-06,1.2,1.2,1.2,1.2,668,0,0
2009-04-21,1.05,1.05,1.05,1.05,0,0,0
2009-04-22,1.05,1.05,1.05,1.05,0,0,0
2009-04-27,1.2,1.65,1.2,1.65,3875,0,0
2009-04-28,1.8,2.1,1.35,2.1,5793,0,0
2009-05-04,1.35,1.35,1.35,1.35,0,0,0
2009-05-05,1.35,1.35,1.35,1.35,0,0,0
2009-05-15,1.2,1.2,1.2,1.2,0,0,0
2009-05-28,1.5,1.5,1.5,1.5,0,0,0
2009-06-02,1.5,1.5,1.5,1.5,333,0,0
2009-06-17,1.8,1.8,1.8,1.8,0,0,0
2009-06-30,1.35,1.35,1.35,1.35,1167,0,0
2009-07-02,1.35,1.35,1.35,1.35,0,0,0
2009-07-06,1.65,1.8,1.65,1.8,567,0,0
2009-07-07,1.5,1.5,1.35,1.35,3533,0,0
2009-07-15,1.2,1.2,1.2,1.2,433,0,0
2009-07-22,1.65,2.1,1.65,1.65,4967,0,0
2009-07-29,1.95,1.95,1.95,1.95,0,0,0
2009-08-24,1.65,1.65,1.65,1.65,333,0,0
2009-08-28,1.5,1.5,1.5,1.5,0,0,0
2009-09-15,1.95,2.1,1.95,1.95,2067,0,0
2009-09-21,1.95,1.95,1.95,1.95,0,0,0
