Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-12-16,0.15,0.15,0.15,0.15,0,0,0
2014-07-14,0.17,0.17,0.17,0.17,0,0,0
2014-07-15,0.17,0.17,0.17,0.17,0,0,0
2014-07-16,0.17,0.17,0.17,0.17,0,0,0
2014-07-17,0.17,0.17,0.17,0.17,0,0,0
2014-07-18,0.17,0.17,0.17,0.17,0,0,0
2014-07-21,0.17,0.17,0.17,0.17,0,0,0
2014-07-22,0.17,0.17,0.17,0.17,0,0,0
2014-07-23,0.17,0.17,0.17,0.17,0,0,0
2014-07-24,0.17,0.17,0.17,0.17,0,0,0
2014-07-25,0.17,0.17,0.17,0.17,0,0,0
2014-07-28,0.17,0.17,0.17,0.17,0,0,0
2014-07-29,0.17,0.17,0.17,0.17,0,0,0
2014-07-30,0.17,0.17,0.17,0.17,0,0,0
2014-07-31,0.17,0.17,0.17,0.17,0,0,0
2014-08-01,0.18,0.18,0.18,0.18,0,0,0
2014-08-04,0.18,0.18,0.18,0.18,0,0,0
2014-08-05,0.18,0.18,0.18,0.18,0,0,0
2014-08-06,0.18,0.18,0.18,0.18,0,0,0
2014-08-07,0.18,0.18,0.18,0.18,0,0,0
2014-08-08,0.18,0.18,0.18,0.18,0,0,0
2014-08-11,0.18,0.18,0.18,0.18,0,0,0
2014-08-12,0.18,0.18,0.18,0.18,0,0,0
2014-08-13,0.18,0.18,0.18,0.18,0,0,0
2014-08-14,0.18,0.18,0.18,0.18,0,0,0
2014-08-15,0.18,0.18,0.18,0.18,0,0,0
2014-08-18,0.18,0.18,0.18,0.18,0,0,0
2014-08-19,0.18,0.18,0.18,0.18,0,0,0
2014-08-20,0.18,0.18,0.18,0.18,0,0,0
2014-08-21,0.18,0.18,0.18,0.18,0,0,0
2014-08-22,0.18,0.18,0.18,0.18,0,0,0
2014-08-25,0.18,0.18,0.18,0.18,0,0,0
2014-08-26,0.18,0.18,0.18,0.18,0,0,0
2014-08-27,0.18,0.18,0.18,0.18,0,0,0
2014-08-28,0.18,0.18,0.18,0.18,0,0,0
2014-08-29,0.18,0.18,0.18,0.18,0,0,0
2014-09-02,0.18,0.18,0.18,0.18,0,0,0
2014-09-03,0.18,0.18,0.18,0.18,0,0,0
2014-09-04,0.18,0.18,0.18,0.18,0,0,0
2014-09-05,0.18,0.18,0.18,0.18,0,0,0
2014-09-08,0.18,0.18,0.18,0.18,0,0,0
2014-09-09,0.18,0.18,0.18,0.18,0,0,0
2014-09-10,0.18,0.18,0.18,0.18,0,0,0
2014-09-11,0.18,0.18,0.18,0.18,0,0,0
2014-09-12,0.18,0.18,0.18,0.18,0,0,0
2014-09-15,0.18,0.18,0.18,0.18,0,0,0
2014-09-16,0.18,0.18,0.18,0.18,0,0,0
2014-09-17,0.18,0.18,0.18,0.18,0,0,0
2014-09-18,0.18,0.18,0.18,0.18,0,0,0
2014-09-19,0.18,0.18,0.18,0.18,0,0,0
2014-09-22,0.18,0.18,0.18,0.18,0,0,0
2014-09-23,0.18,0.18,0.18,0.18,0,0,0
2014-09-24,0.18,0.18,0.18,0.18,0,0,0
2014-09-25,0.18,0.18,0.18,0.18,0,0,0
2014-09-26,0.18,0.18,0.18,0.18,0,0,0
2014-09-29,0.18,0.18,0.18,0.18,0,0,0
2014-09-30,0.18,0.18,0.18,0.18,0,0,0
2014-10-01,0.18,0.18,0.18,0.18,0,0,0
2014-10-02,0.18,0.18,0.18,0.18,0,0,0
2014-10-03,0.18,0.18,0.18,0.18,0,0,0
2014-10-06,0.18,0.18,0.18,0.18,0,0,0
2014-10-07,0.18,0.18,0.18,0.18,0,0,0
2014-10-08,0.18,0.18,0.18,0.18,0,0,0
2014-10-09,0.18,0.18,0.18,0.18,0,0,0
2014-10-10,0.18,0.18,0.18,0.18,0,0,0
2014-10-13,0.18,0.18,0.18,0.18,0,0,0
2014-10-14,0.18,0.18,0.18,0.18,0,0,0
2014-10-15,0.18,0.18,0.18,0.18,0,0,0
2014-10-16,0.18,0.18,0.18,0.18,0,0,0
2014-10-17,0.18,0.18,0.18,0.18,0,0,0
