Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-09-15,0.09,0.09,0.09,0.09,0,0,0
2015-09-16,0.09,0.09,0.09,0.09,0,0,0
2015-09-17,0.09,0.09,0.09,0.09,5700,0,0
2015-09-18,0.09,0.09,0.09,0.09,5000,0,0
2015-09-21,0.09,0.09,0.09,0.09,10000,0,0
2015-09-22,0.09,0.09,0.09,0.09,0,0,0
2015-09-23,0.09,0.09,0.09,0.09,0,0,0
2015-09-24,0.09,0.09,0.08,0.08,20000,0,0
2015-09-25,0.08,0.08,0.08,0.08,10000,0,0
2015-09-28,0.08,0.08,0.08,0.08,0,0,0
2015-09-29,0.08,0.08,0.08,0.08,0,0,0
2015-09-30,0.08,0.09,0.08,0.09,42700,0,0
2015-10-01,0.09,0.09,0.09,0.09,0,0,0
2015-10-02,0.08,0.08,0.08,0.08,2500,0,0
2015-10-05,0.08,0.08,0.08,0.08,0,0,0
2015-10-06,0.09,0.09,0.09,0.09,1000,0,0
2015-10-07,0.09,0.09,0.09,0.09,0,0,0
2015-10-08,0.08,0.08,0.08,0.08,1000,0,0
2015-10-09,0.08,0.08,0.08,0.08,2800,0,0
2015-10-12,0.08,0.08,0.08,0.08,0,0,0
2015-10-13,0.08,0.08,0.08,0.08,8000,0,0
2015-10-14,0.08,0.08,0.08,0.08,0,0,0
2015-10-15,0.08,0.08,0.08,0.08,0,0,0
2015-10-16,0.08,0.08,0.08,0.08,0,0,0
2015-10-19,0.08,0.08,0.08,0.08,0,0,0
2015-10-20,0.09,0.09,0.09,0.09,7420,0,0
2015-10-21,0.09,0.09,0.09,0.09,0,0,0
2015-10-22,0.08,0.08,0.08,0.08,9251,0,0
2015-10-23,0.07,0.08,0.07,0.08,17150,0,0
2015-10-26,0.08,0.08,0.08,0.08,57460,0,0
