Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,39.26,39.48,38.21,38.46,1768200,0.0,0
2008-01-03,38.46,38.57,37.8,37.9,2212200,0.0,0
2008-01-04,37.61,37.62,37.03,37.2,2104800,0.0,0
2008-01-07,37.2,37.56,36.0,36.1,4329500,0.0,0
2008-01-08,35.93,36.58,35.05,35.53,9245100,0.0,0
2008-01-09,35.27,36.04,34.38,35.28,5235700,0.0,0
2008-01-10,35.1,35.83,34.96,35.51,3090700,0.0,0
2008-01-11,35.67,37.1,35.67,36.37,3835000,0.0,0
2008-01-14,37.08,37.08,35.65,36.81,2137800,0.0,0
2008-01-15,36.58,36.81,35.33,35.4,4755500,0.0,0
2008-01-16,35.04,35.58,33.52,34.54,6862100,0.0,0
2008-01-17,34.43,34.68,32.63,33.18,6400700,0.0,0
2008-01-18,33.31,34.03,33.01,33.66,7818100,0.0,0
2008-01-22,32.08,33.77,32.08,32.95,6325700,0.0,0
2008-01-23,31.91,33.39,31.04,33.37,11978600,0.0,0
2008-01-24,33.61,34.13,32.81,33.67,11886200,0.0,0
2008-01-25,34.04,34.13,33.41,33.71,2568200,0.0,0
2008-01-28,33.55,33.66,33.05,33.59,3368800,0.0,0
2008-01-29,33.6,34.08,33.38,33.86,3058100,0.0,0
2008-01-30,34.31,35.67,33.83,33.88,4247200,0.0,0
2008-01-31,34.14,34.84,33.47,34.66,4187900,0.0,0
2008-02-01,34.6,35.58,34.6,35.55,3910900,0.0,0
2008-02-04,35.69,36.33,35.63,36.19,2304600,0.0,0
2008-02-05,36.02,36.14,35.21,35.28,5236700,0.0,0
2008-02-06,35.54,35.95,35.0,35.11,2471800,0.0,0
2008-02-07,34.65,34.68,33.97,34.33,5747000,0.0,0
2008-02-08,34.31,34.58,33.69,33.93,2481800,0.0,0
2008-02-11,33.95,34.45,33.46,34.33,2765200,0.0,0
2008-02-12,34.33,35.14,34.24,34.82,4492400,0.0,0
2008-02-13,34.81,35.17,34.58,34.68,2048100,0.0,0
2008-02-14,34.76,35.43,34.35,34.62,1776200,0.0,0
2008-02-15,34.61,35.31,34.4,35.19,2057600,0.0,0
2008-02-19,35.43,36.21,35.29,36.08,2115700,0.0,0
2008-02-20,35.58,36.07,35.34,35.83,1595600,0.0,0
2008-02-21,36.16,36.38,35.45,35.48,2090500,0.0,0
2008-02-22,35.58,36.0,35.23,35.75,1602900,0.0,0
2008-02-25,35.58,36.81,35.58,36.55,3027400,0.0,0
2008-02-26,36.28,37.33,36.28,37.15,2704700,0.0,0
2008-02-27,36.9,37.42,36.33,36.59,6320300,0.0,0
2008-02-28,37.38,37.72,36.9,37.19,4335800,0.0,0
2008-02-29,37.16,37.24,36.29,37.07,4748700,0.0,0
2008-03-03,36.96,37.51,36.81,37.39,3882100,0.0,0
2008-03-04,36.99,38.29,36.95,38.07,4832300,0.0,0
2008-03-05,38.09,38.52,37.81,38.37,2643800,0.0,0
2008-03-06,38.2,38.34,37.85,37.93,3414600,0.0,0
