Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.38,19.84,19.38,19.74,255000,0.0,0
2008-01-03,19.68,20.09,19.68,20.04,504000,0.0,0
2008-01-04,20.36,20.48,20.06,20.08,148500,0.0,0
2008-01-07,20.21,20.31,19.95,20.15,269600,0.0,0
2008-01-08,20.31,20.7,20.01,20.02,143300,0.0,0
2008-01-09,20.27,20.31,20.04,20.15,113400,0.0,0
2008-01-10,20.17,20.31,19.88,19.99,136200,0.0,0
2008-01-11,20.11,20.11,19.59,19.88,137200,0.0,0
2008-01-14,20.01,20.13,19.88,20.03,160400,0.0,0
2008-01-15,20.01,20.13,19.77,19.95,79800,0.0,0
2008-01-16,19.91,20.13,19.59,19.6,119200,0.0,0
2008-01-17,19.73,19.97,19.55,19.59,85000,0.0,0
2008-01-18,19.54,19.92,19.0,19.07,104600,0.0,0
2008-01-22,18.95,19.02,17.6,18.79,216800,0.0,0
2008-01-23,18.77,18.86,18.05,18.72,222300,0.0,0
2008-01-24,18.74,19.42,18.74,18.97,172700,0.0,0
2008-01-25,19.15,19.57,18.77,19.17,178200,0.0,0
2008-01-28,19.17,19.21,19.01,19.13,115600,0.0,0
2008-01-29,19.16,19.59,19.08,19.37,243000,0.0,0
2008-01-30,19.5,20.02,19.5,19.7,251500,0.0,0
2008-01-31,19.66,19.92,19.45,19.8,240800,0.0,0
2008-02-01,19.93,20.15,19.85,20.12,182100,0.0,0
2008-02-04,20.12,20.73,20.12,20.59,286400,0.0,0
2008-02-05,20.7,20.7,20.32,20.41,111300,0.985,0
2008-02-06,20.52,20.52,20.22,20.39,156000,0.0,0
2008-02-07,20.46,20.5,20.33,20.41,81900,0.0,0
2008-02-08,20.3,20.39,20.21,20.25,108300,0.0,0
2008-02-11,20.3,20.35,20.13,20.25,110900,0.0,0
2008-02-12,20.28,20.36,20.21,20.3,111400,0.0,0
2008-02-13,20.28,20.44,20.07,20.09,94800,0.0,0
2008-02-14,20.2,20.3,19.81,20.12,123300,0.0,0
2008-02-15,20.1,20.21,19.95,19.96,93300,0.0,0
2008-02-19,20.01,20.01,19.86,19.98,124200,0.0,0
2008-02-20,19.97,20.28,19.84,20.26,107000,0.0,0
2008-02-21,20.24,20.24,19.85,19.97,125000,0.0,0
2008-02-22,20.03,20.23,19.88,20.07,147000,0.0,0
2008-02-25,20.06,20.24,20.02,20.22,132700,0.0,0
2008-02-26,20.15,20.34,20.02,20.33,133100,0.0,0
2008-02-27,20.26,20.27,20.08,20.12,113400,0.0,0
2008-02-28,20.12,20.15,20.03,20.09,128700,0.0,0
2008-02-29,20.04,20.04,19.66,19.71,138200,0.0,0
2008-03-03,19.57,19.92,19.56,19.57,107400,0.0,0
2008-03-04,19.62,19.62,19.23,19.38,128300,0.0,0
2008-03-05,19.35,19.36,19.19,19.22,120300,0.0,0
2008-03-06,19.19,19.25,19.14,19.16,108600,0.0,0
2008-03-07,19.02,19.18,18.77,18.87,158700,0.0,0
2008-03-10,19.01,19.01,18.75,18.92,140600,0.0,0
2008-03-11,18.92,19.19,18.82,18.92,133200,0.0,0
2008-03-12,19.32,19.32,18.75,18.78,121300,0.0,0
2008-03-13,18.68,18.8,18.47,18.61,179600,0.0,0
2008-03-14,18.48,18.75,18.44,18.44,209500,0.0,0
2008-03-17,18.34,18.63,17.92,18.09,194400,0.0,0
2008-03-18,18.38,18.57,18.23,18.35,115500,0.0,0
2008-03-19,18.37,18.54,18.16,18.16,126900,0.0,0
2008-03-20,18.19,18.5,17.94,18.12,187600,0.0,0
2008-03-24,18.09,18.57,18.09,18.45,230600,0.0,0
2008-03-25,18.68,18.98,18.63,18.72,403600,0.0,0
2008-03-26,18.81,19.08,18.81,18.88,213700,0.0,0
2008-03-27,18.46,18.46,17.99,17.99,527100,0.0,0
2008-03-28,17.94,17.94,17.63,17.66,2772500,0.0,0
2008-03-31,17.77,17.9,17.64,17.88,519800,0.0,0
2008-04-01,17.92,18.06,17.77,18.06,597700,0.0,0
2008-04-02,18.05,18.25,17.89,18.2,570200,0.0,0
2008-04-03,18.2,18.5,18.15,18.46,346300,0.0,0
2008-04-04,18.46,18.78,18.44,18.78,366500,0.0,0
2008-04-07,18.89,18.9,18.53,18.64,281100,0.0,0
2008-04-08,18.57,18.82,18.57,18.79,196200,0.0,0
2008-04-09,18.9,18.9,18.68,18.71,173800,0.0,0
2008-04-10,18.79,18.79,18.46,18.59,162100,0.0,0
2008-04-11,18.47,18.52,18.27,18.29,190200,0.0,0
2008-04-14,18.36,18.59,18.22,18.46,154800,0.0,0
2008-04-15,18.51,18.51,18.28,18.33,159800,0.0,0
2008-04-16,18.4,18.49,18.27,18.37,234000,0.0,0
2008-04-17,18.27,18.46,18.23,18.4,176800,0.0,0
2008-04-18,18.51,18.51,18.25,18.47,183300,0.0,0
2008-04-21,18.51,18.85,18.5,18.84,178800,0.0,0
2008-04-22,19.74,20.21,19.33,19.52,538100,0.0,0
2008-04-23,19.69,19.89,19.4,19.7,210800,0.0,0
2008-04-24,19.41,19.48,18.94,19.44,334600,0.0,0
2008-04-25,19.44,19.8,19.44,19.71,337300,0.0,0
2008-04-28,19.93,20.26,19.67,19.84,275200,0.0,0
2008-04-29,19.94,20.03,19.62,19.7,159300,0.0,0
2008-04-30,19.67,19.78,19.61,19.73,164600,0.0,0
2008-05-01,19.64,19.74,19.51,19.57,180600,0.0,0
2008-05-02,19.68,19.81,19.62,19.73,138400,0.0,0
2008-05-05,20.02,20.02,19.65,19.72,164600,0.985,0
2008-05-06,19.8,19.89,19.67,19.89,119600,0.0,0
2008-05-07,19.93,19.93,19.55,19.64,128400,0.0,0
2008-05-08,19.64,19.64,19.3,19.31,182000,0.0,0
2008-05-09,19.33,19.5,19.07,19.29,146100,0.0,0
2008-05-12,19.34,19.53,19.27,19.49,179600,0.0,0
2008-05-13,19.6,19.6,19.04,19.34,118600,0.0,0
2008-05-14,19.46,19.55,19.33,19.4,126800,0.0,0
2008-05-15,19.33,19.66,19.33,19.36,133800,0.0,0
2008-05-16,19.54,19.74,19.38,19.55,117200,0.0,0
2008-05-19,19.6,19.81,19.48,19.7,168200,0.0,0
2008-05-20,19.9,20.43,19.78,19.93,180300,0.0,0
2008-05-21,20.06,20.31,19.92,20.15,240700,0.0,0
2008-05-22,20.35,20.35,19.18,19.3,309000,0.0,0
2008-05-23,19.24,19.39,18.85,18.9,280800,0.0,0
2008-05-27,18.8,18.87,18.56,18.56,270500,0.0,0
2008-05-28,18.8,18.99,18.57,18.7,292400,0.0,0
2008-05-29,18.8,18.86,18.43,18.44,266700,0.0,0
2008-05-30,18.46,18.57,18.3,18.43,231100,0.0,0
2008-06-02,18.39,18.71,18.24,18.46,296900,0.0,0
