Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-15,9550.0,9550.0,9470.0,9530.0,61620,0,0
2018-03-16,9500.0,9670.0,9500.0,9550.0,337390,0,0
2018-03-19,9600.0,9680.0,9500.0,9600.0,305910,0,0
2018-03-20,9500.0,9890.0,9500.0,9890.0,344800,0,0
2018-03-21,10000.0,10100.0,9800.0,9800.0,373190,0,0
2018-03-22,9980.0,9980.0,9740.0,9800.0,171090,0,0
2018-03-23,9550.0,9600.0,9200.0,9550.0,594960,0,0
2018-03-26,9550.0,9560.0,9450.0,9550.0,177180,0,0
2018-03-27,9550.0,9640.0,9500.0,9550.0,131540,0,0
2018-03-28,9590.0,9620.0,9500.0,9550.0,167800,0,0
2018-03-29,9690.0,9700.0,9410.0,9450.0,187000,0,0
2018-04-02,9430.0,9600.0,9420.0,9500.0,122440,0,0
2018-04-03,9420.0,9500.0,9370.0,9400.0,298800,0,0
2018-04-04,9500.0,9670.0,9500.0,9610.0,152480,0,0
2018-04-05,9780.0,9830.0,9610.0,9780.0,225100,0,0
2018-04-06,9860.0,10450.0,9860.0,10450.0,1363210,0,0
2018-04-09,10800.0,10800.0,10450.0,10500.0,642100,0,0
2018-04-10,10500.0,10500.0,10100.0,10300.0,662250,0,0
2018-04-11,10300.0,10300.0,9800.0,9810.0,757670,0,0
2018-04-12,9740.0,10100.0,9710.0,10000.0,234970,0,0
2018-04-13,10000.0,10100.0,9600.0,9600.0,281090,0,0
2018-04-16,9600.0,9860.0,9600.0,9850.0,81780,0,0
2018-04-17,9900.0,9900.0,9740.0,9900.0,268810,0,0
2018-04-18,9970.0,10000.0,9810.0,9820.0,106950,0,0
2018-04-19,9800.0,9920.0,9710.0,9830.0,167100,0,0
2018-04-20,9830.0,10250.0,9830.0,10200.0,331160,0,0
2018-04-23,10300.0,10300.0,9860.0,9860.0,366570,0,0
2018-04-24,9940.0,9940.0,9760.0,9880.0,385230,0,0
2018-04-25,9880.0,9880.0,9880.0,9880.0,0,0,0
2018-04-26,9880.0,10000.0,9500.0,9550.0,399880,0,0
2018-04-27,9550.0,9690.0,9510.0,9600.0,259760,0,0
2018-04-30,9600.0,9600.0,9600.0,9600.0,0,0,0
2018-05-01,9600.0,9600.0,9600.0,9600.0,0,0,0
2018-05-02,9600.0,9610.0,9500.0,9500.0,394310,0,0
2018-05-03,9680.0,9680.0,9410.0,9600.0,144180,0,0
2018-05-04,9600.0,9610.0,9550.0,9550.0,99040,0,0
2018-05-07,9530.0,9690.0,9500.0,9610.0,58290,0,0
2018-05-08,9610.0,9680.0,9540.0,9580.0,122040,0,0
2018-05-09,9590.0,9700.0,9540.0,9610.0,92810,0,0
2018-05-10,9610.0,9610.0,9520.0,9530.0,327130,0,0
2018-05-11,9530.0,9600.0,9510.0,9530.0,47220,0,0
