Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.32,12.5,12.21,12.38,380600,0.0,0
2008-01-03,12.45,12.53,12.23,12.31,334700,0.0,0
2008-01-04,12.17,12.37,12.1,12.24,268000,0.0,0
2008-01-07,12.32,12.4,12.15,12.22,347300,0.0,0
2008-01-08,12.25,12.53,12.14,12.16,397000,0.0,0
2008-01-09,12.12,12.33,11.9,12.23,340800,0.0,0
2008-01-10,12.11,12.38,12.11,12.17,286000,0.0,0
2008-01-11,12.21,12.24,11.88,11.88,168700,0.0,0
2008-01-14,11.97,12.01,11.84,11.88,190100,0.0,0
2008-01-15,11.76,11.85,11.58,11.71,187000,0.0,0
2008-01-16,11.7,11.95,11.61,11.75,246100,0.0,0
2008-01-17,11.76,11.79,11.6,11.61,178600,0.0,0
2008-01-18,11.52,11.71,11.14,11.26,436600,0.0,0
2008-01-22,10.88,11.32,10.84,11.19,400700,0.0,0
2008-01-23,10.97,11.94,10.87,11.9,479000,0.0,0
2008-01-24,11.94,12.06,11.41,11.52,295400,0.0,0
2008-01-25,11.7,11.91,11.59,11.73,257800,0.0,0
2008-01-28,11.73,12.08,11.64,12.07,237200,0.0,0
2008-01-29,12.14,12.32,12.09,12.23,230300,0.0,0
2008-01-30,12.16,12.53,12.01,12.04,220900,0.0,0
2008-01-31,11.84,12.45,11.68,12.27,234700,0.0,0
2008-02-01,12.38,12.53,12.24,12.39,183500,0.0,0
2008-02-04,12.35,12.53,12.23,12.37,259300,0.0,0
2008-02-05,12.12,12.76,12.11,12.73,377000,0.0,0
2008-02-06,12.92,12.92,12.11,12.32,291600,0.0,0
2008-02-07,12.3,12.61,12.02,12.27,287300,0.0,0
2008-02-08,12.27,12.32,12.14,12.2,215700,0.0,0
2008-02-11,12.28,12.28,12.02,12.17,200200,0.0,0
2008-02-12,12.26,12.32,12.1,12.26,276000,0.0,0
2008-02-13,12.41,12.42,12.3,12.39,437100,0.0,0
2008-02-14,12.38,12.4,12.23,12.28,298900,0.0,0
2008-02-15,12.22,12.29,12.14,12.18,355700,0.0,0
2008-02-19,12.2,12.2,11.82,11.97,486200,0.0,0
2008-02-20,11.86,12.06,11.83,11.92,306400,0.0,0
2008-02-21,12.02,12.02,11.88,11.96,726400,0.0,0
2008-02-22,11.95,12.14,11.94,12.05,1033300,0.0,0
2008-02-25,12.03,12.2,12.0,12.14,828400,0.0,0
