Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,31.76,31.77,31.48,31.64,1508800,0.0,0
2008-01-03,31.9,31.91,31.75,31.87,1105000,0.0,0
2008-01-04,32.15,32.23,31.68,31.76,2346900,0.0,0
2008-01-07,32.12,32.27,31.82,32.08,2113000,0.0,0
2008-01-08,33.06,33.38,32.98,33.03,3928200,0.0,0
2008-01-09,33.95,34.07,33.58,33.92,3840300,0.0,0
2008-01-10,34.06,34.3,34.0,34.23,3904800,0.0,0
2008-01-11,33.92,33.97,33.49,33.6,2356600,0.0,0
2008-01-14,33.67,33.67,32.93,33.01,2856900,0.0,0
2008-01-15,33.04,33.2,32.71,32.83,2189500,0.0,0
2008-01-16,32.55,32.78,32.05,32.14,2694100,0.0,0
2008-01-17,31.36,31.42,30.73,30.79,7591200,0.0,0
2008-01-18,31.4,31.57,30.58,31.03,4151600,0.0,0
2008-01-22,29.55,30.12,29.36,30.02,4093800,0.0,0
2008-01-23,29.14,30.76,29.1,29.95,3812900,0.0,0
2008-01-24,29.7,29.9,29.51,29.73,2981200,0.0,0
2008-01-25,29.65,29.7,28.91,29.13,2623100,0.0,0
2008-01-28,28.7,29.13,28.51,29.04,2182600,0.0,0
2008-01-29,29.0,29.29,28.92,29.18,2066800,0.0,0
2008-01-30,29.12,29.28,28.81,29.1,2364900,0.0,0
2008-01-31,28.62,29.49,28.57,29.44,1716800,0.0,0
2008-02-01,29.23,29.4,29.04,29.24,1926800,0.0,0
2008-02-04,28.87,29.25,28.71,29.18,3284300,0.0,0
2008-02-05,28.55,28.58,28.08,28.13,2634000,0.0,0
2008-02-06,28.62,28.7,28.35,28.37,1703900,0.0,0
2008-02-07,28.47,28.62,28.26,28.48,2524300,0.0,0
2008-02-08,28.33,28.49,28.18,28.38,1625300,0.0,0
2008-02-11,28.52,28.54,28.17,28.37,1349600,0.0,0
2008-02-12,28.41,28.92,28.38,28.72,1819100,0.0,0
2008-02-13,28.82,29.13,28.81,29.04,1461200,0.0,0
2008-02-14,29.51,29.52,29.13,29.21,1862600,0.0,0
2008-02-15,29.24,29.24,28.88,29.12,1103600,0.0,0
2008-02-19,29.15,29.26,29.02,29.11,1786200,0.0,0
2008-02-20,28.76,28.86,28.52,28.78,3606800,0.0,0
2008-02-21,28.92,28.95,28.67,28.71,2093600,0.0,0
2008-02-22,29.17,29.21,28.86,29.18,1491600,0.0,0
2008-02-25,29.1,29.24,28.97,29.21,1684800,0.0,0
2008-02-26,29.7,30.07,29.55,29.97,1995000,1.319,0
2008-02-27,29.69,30.03,29.58,29.81,3767600,0.0,0
2008-02-28,30.25,30.26,29.97,30.22,2427400,0.0,0
2008-02-29,29.92,29.92,29.11,29.35,2045500,0.0,0
2008-03-03,29.39,29.4,29.04,29.27,1445100,0.0,0
2008-03-04,28.84,28.93,28.52,28.73,1887900,0.0,0
2008-03-05,29.05,29.14,28.77,28.99,2061600,0.0,0
2008-03-06,28.82,28.84,28.43,28.5,1366900,0.0,0
2008-03-07,28.44,28.71,28.42,28.6,1707700,0.0,0
2008-03-10,28.37,28.44,28.15,28.26,1751800,0.0,0
2008-03-11,28.74,28.86,28.26,28.58,1275600,0.0,0
2008-03-12,28.74,28.98,28.62,28.84,1251100,0.0,0
2008-03-13,28.62,29.02,28.56,28.96,1529200,0.0,0
2008-03-14,28.62,28.76,27.98,28.1,4461500,0.0,0
2008-03-17,27.88,28.47,27.85,28.12,2221800,0.0,0
2008-03-18,28.25,28.88,28.25,28.7,2100600,0.0,0
2008-03-19,28.87,29.28,28.86,28.96,2163900,0.0,0
2008-03-20,29.08,29.33,28.78,29.29,2302600,0.0,0
2008-03-24,29.33,29.42,29.19,29.26,1162800,0.0,0
2008-03-25,29.98,30.18,29.68,30.04,1879500,0.0,0
2008-03-26,29.73,29.89,29.45,29.79,1788300,0.0,0
2008-03-27,30.49,30.57,30.17,30.33,1862400,0.0,0
2008-03-28,30.69,30.9,30.33,30.43,2521600,0.0,0
2008-03-31,30.44,30.7,30.38,30.59,3946800,0.0,0
2008-04-01,30.31,30.74,30.3,30.68,2240800,0.0,0
2008-04-02,30.63,31.04,30.61,30.79,2197900,0.0,0
2008-04-03,30.52,30.84,30.43,30.74,1353800,0.0,0
2008-04-04,31.03,31.21,30.88,31.13,866900,0.0,0
2008-04-07,30.04,30.43,29.74,29.86,5132100,0.0,0
2008-04-08,30.13,30.16,29.76,29.87,2624400,0.0,0
2008-04-09,29.68,29.68,29.27,29.36,2904700,0.0,0
2008-04-10,29.12,29.18,28.13,28.26,5942100,0.0,0
2008-04-11,28.5,28.55,28.25,28.35,3115800,0.0,0
2008-04-14,28.15,28.17,27.69,27.74,2806600,0.0,0
2008-04-15,28.14,28.32,27.76,27.87,2582700,0.0,0
2008-04-16,28.17,28.32,27.98,28.31,3195300,0.0,0
2008-04-17,27.73,27.91,27.58,27.63,2935600,0.0,0
2008-04-18,28.28,28.61,28.03,28.54,2735600,0.0,0
2008-04-21,29.63,29.71,29.24,29.51,3932100,0.0,0
2008-04-22,29.15,29.45,29.09,29.33,1976400,0.0,0
2008-04-23,29.55,29.62,29.47,29.58,2111500,0.0,0
2008-04-24,29.89,30.06,29.75,29.92,2077900,0.0,0
2008-04-25,30.45,30.48,30.01,30.22,1919000,0.0,0
2008-04-28,29.97,30.21,29.92,29.98,1350800,0.0,0
2008-04-29,30.21,30.34,29.88,30.0,1743900,0.0,0
2008-04-30,30.13,30.36,30.02,30.06,1238900,0.0,0
2008-05-01,29.9,30.15,29.8,30.11,1019400,0.0,0
2008-05-02,30.43,30.67,30.32,30.57,2333200,0.0,0
2008-05-05,30.42,30.42,30.22,30.26,1103800,0.0,0
2008-05-06,30.61,30.68,30.46,30.63,1352000,0.0,0
2008-05-07,30.18,30.38,30.16,30.17,2051000,0.0,0
2008-05-08,30.68,30.8,30.44,30.58,2506700,0.0,0
2008-05-09,30.44,30.51,30.24,30.4,2636600,0.0,0
2008-05-12,30.4,30.48,29.72,30.37,1738800,0.0,0
2008-05-13,30.35,30.43,30.03,30.1,2549800,0.0,0
2008-05-14,30.13,30.19,29.73,29.94,2790600,0.0,0
2008-05-15,30.44,30.61,30.3,30.57,3173900,0.0,0
2008-05-16,30.52,30.8,30.46,30.67,2282200,0.0,0
2008-05-19,31.84,31.84,31.24,31.38,3396200,0.0,0
2008-05-20,31.37,31.43,31.16,31.28,1969000,0.0,0
2008-05-21,31.9,31.96,31.62,31.68,1908800,0.0,0
