Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.72,6.77,6.55,6.68,403100.0,0.0,0
2008-01-03,6.7,6.78,6.46,6.47,324700.0,0.0,0
2008-01-04,6.47,6.47,6.17,6.31,328200.0,0.0,0
2008-01-07,6.36,6.61,6.28,6.55,444200.0,0.0,0
2008-01-08,6.58,6.75,6.46,6.49,583700.0,0.0,0
2008-01-09,6.41,6.75,6.32,6.75,569400.0,0.0,0
2008-01-10,6.63,6.94,6.61,6.86,592000.0,0.0,0
2008-01-11,6.81,6.87,6.6,6.63,285800.0,0.0,0
2008-01-14,6.71,6.71,6.49,6.6,331400.0,0.0,0
2008-01-15,6.5,6.55,6.36,6.49,596500.0,0.0,0
2008-01-16,6.48,6.9,6.47,6.71,449900.0,0.0,0
2008-01-17,6.71,6.81,6.47,6.59,530300.0,0.0,0
2008-01-18,6.57,6.77,6.45,6.59,613500.0,0.0,0
2008-01-22,6.34,7.0,6.24,6.79,602400.0,0.0,0
2008-01-23,6.63,7.32,6.61,7.3,553700.0,0.0,0
2008-01-24,7.35,7.42,6.96,7.16,456300.0,0.0,0
2008-01-25,7.27,7.31,6.94,7.06,359600.0,0.0,0
2008-01-28,7.03,7.33,6.97,7.29,363200.0,0.0,0
2008-01-29,7.42,7.42,7.09,7.11,455000.0,0.29,0
2008-01-30,7.04,7.31,6.92,6.98,464600.0,0.0,0
2008-01-31,6.78,7.15,6.7,6.97,966500.0,0.0,0
2008-02-01,7.08,7.18,6.74,6.94,494200.0,0.0,0
2008-02-04,6.91,6.99,6.8,6.99,999200.0,0.0,0
2008-02-05,6.86,6.92,6.74,6.82,799400.0,0.0,0
2008-02-06,6.89,6.99,6.75,6.84,510000.0,0.0,0
2008-02-07,6.82,7.19,6.82,7.18,644200.0,0.0,0
2008-02-08,7.17,7.31,7.04,7.1,578900.0,0.0,0
2008-02-11,7.08,7.08,6.89,6.94,415900.0,0.0,0
2008-02-12,7.06,7.15,6.93,7.04,268900.0,0.0,0
2008-02-13,7.1,7.26,7.09,7.26,299400.0,0.0,0
2008-02-14,7.27,7.27,6.97,6.98,426500.0,0.0,0
2008-02-15,6.91,6.96,6.81,6.93,620600.0,0.0,0
2008-02-19,7.02,7.1,6.91,6.97,561600.0,0.0,0
2008-02-20,6.93,7.13,6.88,7.13,345400.0,0.0,0
2008-02-21,7.17,7.22,6.87,6.91,369000.0,0.0,0
2008-02-22,6.94,7.08,6.86,7.05,443200.0,0.0,0
2008-02-25,7.04,7.24,6.96,7.24,389200.0,0.0,0
2008-02-26,7.11,7.38,7.11,7.3,598000.0,0.0,0
2008-02-27,7.22,7.35,7.19,7.28,381700.0,0.0,0
2008-02-28,7.23,7.31,7.18,7.26,346800.0,0.0,0
2008-02-29,7.15,7.29,7.12,7.23,377500.0,0.0,0
2008-03-03,7.22,7.33,7.08,7.29,357100.0,0.0,0
