Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,9.06,9.12,9.0,9.07,2403100,0.0,0.0
2008-01-03,9.07,9.17,9.05,9.12,1737900,0.0,0.0
2008-01-04,9.02,9.09,8.98,8.99,1088900,0.0,0.0
2008-01-07,9.0,9.03,8.87,8.94,1257700,0.0,0.0
2008-01-08,8.95,9.08,8.8,8.91,2146600,0.0,0.0
2008-01-09,9.07,9.83,9.03,9.8,4977900,0.0,0.0
2008-01-10,9.72,9.99,9.72,9.94,2516400,0.0,0.0
2008-01-11,9.84,9.93,9.74,9.76,2290700,0.0,0.0
2008-01-14,9.82,10.02,9.79,9.98,1359200,0.0,0.0
2008-01-15,9.89,10.01,9.84,9.92,1549000,0.0,0.0
2008-01-16,9.93,10.0,9.8,9.92,2033800,0.0,0.0
2008-01-17,9.94,9.98,9.64,9.65,1772600,0.0,0.0
2008-01-18,9.77,9.77,9.5,9.55,1891000,0.0,0.0
2008-01-22,9.19,9.45,9.19,9.37,1872200,0.0,0.0
2008-01-23,9.17,9.34,9.02,9.31,2977400,0.0,0.0
2008-01-24,9.37,9.37,9.11,9.3,1673300,0.0,0.0
2008-01-25,9.38,9.44,9.15,9.17,1462700,0.0,0.0
2008-01-28,9.17,9.22,9.08,9.21,1468100,0.0,0.0
2008-01-29,9.44,9.48,9.35,9.42,1076400,0.38,0.0
2008-01-30,9.36,9.64,9.33,9.41,1071600,0.0,0.0
2008-01-31,9.28,9.77,9.27,9.72,2388300,0.0,0.0
2008-02-01,9.72,9.94,9.67,9.88,1411900,0.0,0.0
2008-02-04,9.88,10.2,9.88,10.1,1359200,0.0,0.0
2008-02-05,9.94,9.95,9.73,9.76,1544000,0.0,0.0
2008-02-06,9.79,9.82,9.53,9.57,1273000,0.0,0.0
2008-02-07,9.5,9.65,9.46,9.64,1695200,0.0,0.0
2008-02-08,9.6,9.73,9.55,9.71,932900,0.0,0.0
2008-02-11,9.73,9.87,9.7,9.78,1554300,0.0,0.0
2008-02-12,9.75,9.82,9.65,9.69,1184900,0.0,0.0
2008-02-13,9.75,9.85,9.67,9.78,1090500,0.0,0.0
2008-02-14,9.79,9.89,9.65,9.73,855900,0.0,0.0
2008-02-15,9.67,9.77,9.64,9.72,706100,0.0,0.0
2008-02-19,9.82,9.94,9.78,9.84,856600,0.0,0.0
2008-02-20,9.87,9.99,9.72,9.96,796100,0.0,0.0
2008-02-21,10.0,10.0,9.72,9.76,1110600,0.0,0.0
2008-02-22,9.8,9.89,9.67,9.85,1451200,0.0,0.0
2008-02-25,9.9,10.14,9.88,10.11,1193300,0.0,0.0
2008-02-26,10.13,10.28,10.0,10.05,1952700,0.0,0.0
2008-02-27,9.99,10.0,9.85,9.94,1811900,0.0,0.0
2008-02-28,9.91,10.05,9.89,9.98,1483900,0.0,0.0
2008-02-29,9.89,9.89,9.56,9.63,2455200,0.0,0.0
2008-03-03,9.63,9.82,9.62,9.79,2156400,0.0,0.0
2008-03-04,9.71,9.86,9.68,9.78,2838100,0.0,0.0
2008-03-05,9.8,9.92,9.72,9.91,1526400,0.0,0.0
2008-03-06,9.84,9.91,9.75,9.8,1378800,0.0,0.0
2008-03-07,9.74,9.82,9.64,9.77,1203100,0.0,0.0
2008-03-10,9.77,9.77,9.53,9.54,1240400,0.0,0.0
2008-03-11,9.75,9.75,9.47,9.63,1932300,0.0,0.0
2008-03-12,9.63,9.93,9.63,9.87,2902700,0.0,0.0
2008-03-13,9.73,10.05,9.72,9.99,2148700,0.0,0.0
2008-03-14,10.06,10.06,9.63,9.74,1679700,0.0,0.0
2008-03-17,9.51,9.59,9.28,9.43,2107300,0.0,0.0
2008-03-18,9.57,9.76,9.48,9.66,1512500,0.0,0.0
2008-03-19,9.66,9.77,9.31,9.31,1471300,0.0,0.0
2008-03-20,9.31,9.31,9.08,9.18,3463300,0.0,0.0
2008-03-24,9.18,9.32,9.18,9.25,1437500,0.0,0.0
2008-03-25,9.25,9.39,9.25,9.32,1379700,0.0,0.0
2008-03-26,9.29,9.37,9.27,9.34,1207500,0.0,0.0
2008-03-27,9.36,9.47,9.27,9.29,1073200,0.0,0.0
2008-03-28,9.31,9.33,9.02,9.1,2473700,0.0,0.0
2008-03-31,9.1,9.23,9.06,9.23,2713600,0.0,0.0
2008-04-01,9.3,9.46,9.24,9.43,1616400,0.0,0.0
2008-04-02,9.42,9.55,9.38,9.47,1173000,0.0,0.0
2008-04-03,9.43,9.56,9.43,9.51,1253400,0.0,0.0
2008-04-04,9.51,9.82,9.47,9.52,2070100,0.0,0.0
2008-04-07,9.58,9.66,9.53,9.57,687600,0.0,0.0
2008-04-08,9.57,9.72,9.53,9.69,879000,0.0,0.0
2008-04-09,9.72,9.89,9.72,9.85,1622100,0.0,0.0
2008-04-10,9.83,9.83,9.6,9.66,1206100,0.0,0.0
2008-04-11,9.69,9.72,9.49,9.52,1311000,0.0,0.0
2008-04-14,9.5,9.79,9.5,9.73,1262300,0.0,0.0
2008-04-15,9.8,9.88,9.73,9.86,1085000,0.0,0.0
2008-04-16,9.92,10.16,9.9,10.13,1780000,0.0,0.0
2008-04-17,10.12,10.15,10.02,10.1,1277200,0.0,0.0
2008-04-18,10.26,10.26,10.08,10.13,1000300,0.0,0.0
2008-04-21,10.14,10.18,10.0,10.07,823000,0.0,0.0
2008-04-22,10.01,10.09,9.98,10.05,1057200,0.0,0.0
2008-04-23,10.09,10.24,10.05,10.21,966300,0.0,0.0
2008-04-24,10.2,10.23,9.96,10.13,1107700,0.0,0.0
2008-04-25,10.16,10.21,10.05,10.15,712000,0.0,0.0
2008-04-28,10.33,10.33,10.21,10.25,1070400,0.38,0.0
