Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,12.58,12.58,12.08,12.19,732300,0.0,0
2008-01-03,12.19,12.28,11.96,11.97,660200,0.0,0
2008-01-04,11.84,11.92,11.6,11.64,766100,0.0,0
2008-01-07,11.72,11.77,11.32,11.47,1140100,0.0,0
2008-01-08,11.57,11.7,11.12,11.15,803700,0.0,0
2008-01-09,11.16,11.33,10.96,11.27,988700,0.0,0
2008-01-10,11.17,11.73,11.17,11.57,922400,0.0,0
2008-01-11,11.46,11.63,11.29,11.37,739500,0.0,0
2008-01-14,11.43,11.9,11.39,11.86,914600,0.0,0
2008-01-15,11.7,11.83,11.33,11.47,920200,0.0,0
2008-01-16,11.4,11.67,11.21,11.28,1149000,0.0,0
2008-01-17,11.35,11.43,10.77,10.77,1162300,0.0,0
2008-01-18,10.84,11.06,10.47,10.7,1463800,0.0,0
2008-01-22,10.25,10.91,10.15,10.69,1104900,0.0,0
2008-01-23,10.41,11.14,10.17,11.09,1444700,0.0,0
2008-01-24,11.15,11.36,10.82,10.97,1166000,0.0,0
2008-01-25,11.09,11.48,11.09,11.3,766800,0.0,0
2008-01-28,11.22,11.67,11.04,11.67,998700,0.0,0
2008-01-29,12.05,13.2,12.05,12.93,2890300,0.0,0
2008-01-30,12.85,13.26,12.7,12.84,1248500,0.0,0
2008-01-31,12.64,13.28,12.51,13.25,1619600,0.0,0
2008-02-01,13.3,13.51,13.1,13.45,1160500,0.0,0
2008-02-04,13.44,13.6,13.25,13.46,967600,0.0,0
2008-02-05,13.24,13.55,13.15,13.24,1392400,0.0,0
2008-02-06,13.35,13.57,13.12,13.19,1169900,0.0,0
2008-02-07,13.19,13.54,12.96,13.14,1538000,0.2,0
2008-02-08,13.13,13.32,13.04,13.2,994600,0.0,0
2008-02-11,13.19,13.45,13.09,13.38,1207300,0.0,0
2008-02-12,13.43,13.87,13.41,13.69,1558100,0.0,0
2008-02-13,13.7,13.97,13.56,13.88,1518300,0.0,0
2008-02-14,13.87,13.95,13.49,13.57,1308700,0.0,0
2008-02-15,13.49,13.58,13.19,13.52,674200,0.0,0
2008-02-19,13.71,14.04,13.68,13.78,896400,0.0,0
2008-02-20,13.73,14.32,13.66,14.14,1238200,0.0,0
2008-02-21,14.3,14.3,13.52,13.54,853300,0.0,0
2008-02-22,13.56,13.56,11.97,12.54,3808000,0.0,0
2008-02-25,12.5,13.43,12.44,13.35,1968700,0.0,0
2008-02-26,13.18,13.82,13.18,13.56,1982300,0.0,0
2008-02-27,13.43,13.75,13.29,13.35,1008100,0.0,0
2008-02-28,13.3,13.44,13.11,13.22,760000,0.0,0
2008-02-29,13.17,13.17,12.5,12.55,1101000,0.0,0
2008-03-03,12.62,13.04,12.35,12.52,1042600,0.0,0
2008-03-04,12.37,12.66,12.28,12.46,1220900,0.0,0
2008-03-05,12.6,12.82,12.46,12.56,911500,0.0,0
2008-03-06,12.47,12.64,12.24,12.26,948300,0.0,0
2008-03-07,12.12,12.45,11.89,11.99,859300,0.0,0
2008-03-10,11.97,11.97,11.32,11.33,1220000,0.0,0
2008-03-11,11.75,12.12,11.58,12.07,1077000,0.0,0
2008-03-12,12.07,12.52,12.06,12.19,842100,0.0,0
2008-03-13,12.06,12.56,11.88,12.37,902300,0.0,0
2008-03-14,12.48,12.49,11.48,11.67,1184000,0.0,0
2008-03-17,11.44,11.65,11.26,11.47,907800,0.0,0
2008-03-18,11.64,11.95,11.43,11.91,901500,0.0,0
2008-03-19,11.84,12.14,11.45,11.45,1020400,0.0,0
2008-03-20,11.43,11.85,11.4,11.74,1580600,0.0,0
2008-03-24,11.79,12.94,11.79,12.74,1576300,0.0,0
2008-03-25,12.77,13.37,12.62,13.27,1423800,0.0,0
2008-03-26,13.24,13.28,12.95,13.13,895500,0.0,0
2008-03-27,13.06,13.13,12.71,12.71,1007000,0.0,0
