Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,35.3,35.3,34.31,34.4,2135700,0.0,0
2008-01-03,34.45,34.79,34.31,34.5,1633900,0.0,0
2008-01-04,34.15,34.31,33.63,33.75,1718900,0.0,0
2008-01-07,33.89,34.01,33.43,33.82,3229700,0.0,0
2008-01-08,33.8,34.35,33.32,33.77,3601100,0.0,0
2008-01-09,33.75,34.25,33.38,34.25,3339500,0.0,0
2008-01-10,34.06,34.25,33.48,34.0,2612800,0.0,0
2008-01-11,33.63,33.94,32.85,33.38,3767800,0.0,0
2008-01-14,33.52,33.63,32.92,33.11,2586200,0.0,0
2008-01-15,32.64,32.78,32.34,32.5,3934500,0.0,0
2008-01-16,32.51,33.02,32.4,32.56,4255200,0.0,0
2008-01-17,32.73,32.79,31.87,31.97,3381200,0.0,0
2008-01-18,32.02,32.64,31.5,31.71,3168700,0.0,0
2008-01-22,31.08,32.23,30.94,31.39,4730500,0.0,0
2008-01-23,30.54,32.79,30.31,32.19,5705900,0.0,0
2008-01-24,32.38,32.85,31.93,32.64,3123300,0.0,0
2008-01-25,33.08,33.63,32.46,32.56,3139800,0.0,0
2008-01-28,32.66,33.05,32.22,33.0,3054800,0.0,0
2008-01-29,33.14,33.34,32.94,33.23,2779300,0.0,0
2008-01-30,33.16,33.74,32.97,33.09,1997000,0.0,0
2008-01-31,32.46,33.94,32.46,33.66,3749200,0.0,0
2008-02-01,33.84,34.55,33.66,34.43,2898000,0.0,0
2008-02-04,34.41,35.08,34.06,34.87,3113200,0.0,0
2008-02-05,34.33,34.33,33.46,33.46,3733200,0.0,0
2008-02-06,33.63,33.86,33.38,33.55,3555000,0.0,0
2008-02-07,33.43,34.05,33.37,33.83,2488100,0.0,0
2008-02-08,33.69,33.95,33.45,33.81,1898000,0.0,0
2008-02-11,33.81,33.85,32.97,33.72,2112300,0.0,0
2008-02-12,34.86,35.3,33.94,34.93,5471200,0.0,0
2008-02-13,34.68,35.28,34.63,35.09,3789600,0.0,0
2008-02-14,35.33,35.58,34.32,34.42,3293300,0.0,0
2008-02-15,34.4,34.64,33.97,34.55,2040000,0.0,0
2008-02-19,34.88,34.88,34.28,34.4,1775400,0.0,0
2008-02-20,34.17,34.42,33.84,34.12,2649500,0.0,0
2008-02-21,34.42,34.42,33.74,33.83,2875700,0.0,0
2008-02-22,33.83,34.4,33.54,34.4,2800200,0.0,0
2008-02-25,34.4,34.81,33.91,34.71,2617200,0.0,0
2008-02-26,34.61,34.98,34.43,34.71,2553900,0.0,0
2008-02-27,34.53,34.57,34.04,34.04,2912600,0.0,0
2008-02-28,33.86,34.06,33.59,33.65,1876400,0.0,0
2008-02-29,33.34,33.71,32.99,33.14,2723300,0.0,0
2008-03-03,33.13,33.65,33.06,33.23,2892600,0.0,0
2008-03-04,32.99,33.57,32.7,33.48,3491900,0.0,0
2008-03-05,33.47,33.76,33.11,33.4,1727800,0.15,0
2008-03-06,33.37,33.45,33.11,33.15,1716000,0.0,0
2008-03-07,33.0,33.23,32.37,32.76,2195400,0.0,0
2008-03-10,32.93,32.95,32.15,32.22,2542100,0.0,0
2008-03-11,32.78,32.84,32.12,32.49,2852400,0.0,0
2008-03-12,32.55,32.96,32.42,32.46,3366500,0.0,0
2008-03-13,31.98,32.84,31.83,32.55,4194800,0.0,0
2008-03-14,32.69,32.7,31.5,32.12,3665000,0.0,0
2008-03-17,31.42,32.0,31.4,31.59,2736800,0.0,0
2008-03-18,32.0,32.35,31.63,32.31,3662400,0.0,0
2008-03-19,32.38,32.76,31.62,31.62,3390000,0.0,0
2008-03-20,31.85,32.25,31.63,32.2,2969500,0.0,0
2008-03-24,32.39,33.05,32.17,32.9,1652100,0.0,0
2008-03-25,32.99,33.81,32.87,33.43,2855800,0.0,0
2008-03-26,33.23,33.56,32.89,33.42,1935300,0.0,0
2008-03-27,33.22,33.51,32.89,32.9,2060400,0.0,0
2008-03-28,33.12,33.57,32.96,33.05,1678900,0.0,0
2008-03-31,32.97,33.23,32.61,32.88,2243400,0.0,0
2008-04-01,33.0,33.66,32.84,33.56,1639700,0.0,0
2008-04-02,33.8,34.52,33.63,33.95,3338900,0.0,0
2008-04-03,33.9,34.01,33.37,33.57,3480400,0.0,0
2008-04-04,33.52,33.79,33.38,33.55,1907100,0.0,0
2008-04-07,33.74,33.75,33.37,33.43,1539100,0.0,0
2008-04-08,33.26,33.31,32.99,33.08,1485700,0.0,0
2008-04-09,32.98,33.28,32.94,32.99,2527600,0.0,0
2008-04-10,33.08,33.24,32.77,33.0,2225900,0.0,0
2008-04-11,32.55,33.02,32.55,32.67,1667000,0.0,0
2008-04-14,32.61,33.11,32.61,33.05,1422600,0.0,0
2008-04-15,33.19,33.34,32.84,33.09,2043200,0.0,0
2008-04-16,33.37,33.72,33.19,33.71,1608200,0.0,0
2008-04-17,33.57,33.82,33.3,33.72,1454500,0.0,0
2008-04-18,34.21,34.76,34.02,34.64,2754300,0.0,0
2008-04-21,34.29,35.0,34.29,34.38,2419100,0.0,0
2008-04-22,35.72,36.17,35.32,35.75,4164000,0.0,0
2008-04-23,35.75,35.87,35.2,35.52,3186400,0.0,0
2008-04-24,35.67,36.14,35.5,35.82,2406300,0.0,0
2008-04-25,36.13,36.19,35.12,35.67,2290500,0.0,0
2008-04-28,35.56,35.78,35.43,35.59,2442500,0.0,0
2008-04-29,35.61,35.95,35.52,35.59,2297900,0.0,0
2008-04-30,35.58,36.1,35.48,35.53,2390300,0.0,0
2008-05-01,35.64,36.69,35.5,36.48,2440600,0.0,0
2008-05-02,36.89,37.09,36.47,36.87,2641500,0.0,0
2008-05-05,36.71,36.84,36.47,36.53,1388200,0.0,0
2008-05-06,36.21,36.66,35.72,36.52,2853700,0.0,0
2008-05-07,36.61,36.62,35.85,35.87,1817200,0.0,0
2008-05-08,35.93,35.96,35.64,35.88,1773200,0.0,0
2008-05-09,35.84,36.01,35.43,35.87,1291400,0.0,0
2008-05-12,36.04,36.6,35.89,36.59,1595100,0.0,0
2008-05-13,36.8,37.33,36.2,36.56,2178200,0.0,0
2008-05-14,36.7,36.98,36.36,36.46,1593900,0.0,0
2008-05-15,36.63,37.24,36.32,37.14,3401900,0.0,0
2008-05-16,37.04,37.11,36.03,36.48,2346400,0.0,0
2008-05-19,36.53,37.26,36.53,37.09,2040400,0.0,0
2008-05-20,36.94,37.16,36.19,36.45,1770900,0.0,0
2008-05-21,36.41,36.98,36.4,36.45,2624400,0.0,0
2008-05-22,36.54,36.6,36.07,36.23,1907800,0.0,0
2008-05-23,35.99,36.1,35.75,35.84,1870400,0.0,0
2008-05-27,35.8,36.25,35.62,36.02,1664100,0.0,0
2008-05-28,36.17,36.39,35.76,35.85,2054700,0.0,0
2008-05-29,35.85,36.47,35.69,36.38,2001700,0.0,0
2008-05-30,36.34,36.74,36.3,36.48,1344200,0.0,0
2008-06-02,36.41,36.41,35.29,35.67,2399300,0.0,0
2008-06-03,35.87,36.43,35.62,35.81,2484500,0.0,0
2008-06-04,35.69,35.78,35.35,35.55,2532700,0.15,0
2008-06-05,35.46,35.48,35.12,35.4,2498800,0.0,0
2008-06-06,35.29,35.35,33.96,34.01,3397000,0.0,0
2008-06-09,34.13,34.22,33.87,34.06,2180000,0.0,0
2008-06-10,33.9,34.55,33.84,34.38,2548800,0.0,0
2008-06-11,34.15,34.58,34.11,34.34,3084600,0.0,0
2008-06-12,34.43,34.61,34.12,34.34,3680800,0.0,0
2008-06-13,34.46,34.9,34.25,34.9,2346400,0.0,0
2008-06-16,34.93,35.3,34.73,35.19,2165800,0.0,0
2008-06-17,35.23,35.45,34.99,35.08,2130500,0.0,0
2008-06-18,34.8,35.06,34.46,34.68,2451400,0.0,0
2008-06-19,34.57,35.03,34.5,34.87,2246200,0.0,0
2008-06-20,34.85,35.52,34.34,34.4,3230600,0.0,0
2008-06-23,34.58,34.71,34.37,34.64,1981000,0.0,0
2008-06-24,34.58,34.7,33.89,34.01,3866200,0.0,0
2008-06-25,33.94,35.0,33.94,34.64,3305200,0.0,0
2008-06-26,34.17,34.39,33.62,33.63,4125500,0.0,0
2008-06-27,33.6,33.73,33.22,33.38,2375300,0.0,0
2008-06-30,33.53,33.64,33.01,33.51,3790100,0.0,0
2008-07-01,32.95,32.95,32.31,32.84,4841500,0.0,0
2008-07-02,32.85,33.0,32.25,32.25,4267900,0.0,0
2008-07-03,32.57,32.59,31.86,31.98,3777300,0.0,0
2008-07-07,31.48,31.84,30.71,31.33,6742500,0.0,0
2008-07-08,31.02,31.21,30.5,30.95,5887300,0.0,0
2008-07-09,30.98,31.36,30.37,30.37,4253900,0.0,0
2008-07-10,30.37,30.84,30.34,30.76,3545000,0.0,0
2008-07-11,30.37,30.77,30.1,30.35,3172800,0.0,0
2008-07-14,30.42,31.16,30.33,30.46,4139300,0.0,0
2008-07-15,30.16,31.18,29.69,30.6,5802800,0.0,0
2008-07-16,30.57,31.97,30.37,31.91,5120100,0.0,0
2008-07-17,30.88,31.79,30.74,31.67,6049500,0.0,0
2008-07-18,31.71,31.81,31.33,31.67,3684200,0.0,0
2008-07-21,32.16,32.16,31.24,31.6,3228100,0.0,0
2008-07-22,30.31,30.82,30.05,30.81,4154200,0.0,0
2008-07-23,31.04,31.46,30.64,31.42,4161700,0.0,0
2008-07-24,31.4,31.91,31.2,31.68,4156600,0.0,0
2008-07-25,31.75,32.22,31.66,32.05,3184300,0.0,0
2008-07-28,32.02,32.66,31.43,31.48,5415600,0.0,0
2008-07-29,31.61,32.11,31.36,31.98,3508100,0.0,0
2008-07-30,32.04,32.76,32.04,32.65,3746200,0.0,0
2008-07-31,32.34,32.34,31.33,31.87,5868800,0.0,0
2008-08-01,32.04,32.48,31.59,32.29,5658400,0.0,0
2008-08-04,32.32,32.42,32.03,32.22,2186300,0.0,0
2008-08-05,32.54,33.15,32.38,33.1,3751500,0.0,0
2008-08-06,33.05,33.34,32.36,33.25,3098900,0.0,0
2008-08-07,32.73,32.85,31.86,31.99,3192900,0.0,0
2008-08-08,32.1,32.39,31.78,32.3,3425000,0.0,0
2008-08-11,32.38,33.6,32.37,33.36,3201000,0.0,0
2008-08-12,33.15,33.48,32.83,32.95,2968800,0.0,0
2008-08-13,32.81,33.01,32.08,32.35,2877800,0.0,0
2008-08-14,32.09,32.66,31.95,32.49,2569000,0.0,0
2008-08-15,32.57,32.94,32.49,32.88,1759700,0.0,0
2008-08-18,32.77,32.99,32.44,32.57,1822200,0.0,0
2008-08-19,32.31,32.63,31.57,32.03,2640400,0.0,0
2008-08-20,31.95,31.95,31.06,31.27,3632000,0.0,0
2008-08-21,30.8,31.85,30.8,31.83,2692200,0.0,0
2008-08-22,31.93,32.28,31.73,32.09,2049900,0.0,0
2008-08-25,31.86,32.13,31.51,31.61,1893800,0.0,0
2008-08-26,31.56,31.8,31.44,31.63,2295900,0.0,0
2008-08-27,31.6,31.83,31.44,31.67,1403900,0.0,0
2008-08-28,31.69,32.26,31.66,32.18,1545600,0.0,0
2008-08-29,32.0,32.17,31.56,31.65,1882200,0.0,0
2008-09-02,32.03,32.34,31.78,31.92,2108700,0.0,0
2008-09-03,31.83,32.04,31.46,31.67,1280700,0.0,0
2008-09-04,31.48,31.51,30.83,30.92,2119400,0.0,0
2008-09-05,30.65,31.39,30.65,31.26,2001600,0.0,0
2008-09-08,31.81,32.39,31.51,32.24,3056400,0.0,0
2008-09-09,32.11,32.34,31.4,31.4,2579900,0.0,0
2008-09-10,31.46,31.58,30.92,31.1,2197000,0.0,0
2008-09-11,31.01,31.23,30.42,30.85,2839400,0.0,0
2008-09-12,30.53,30.58,29.87,30.32,4072700,0.0,0
2008-09-15,29.48,30.18,29.07,29.29,3823100,0.0,0
2008-09-16,28.86,29.73,28.77,29.54,3361300,0.0,0
2008-09-17,29.56,29.74,28.82,28.82,3373200,0.15,0
2008-09-18,29.09,30.67,28.53,30.5,4186600,0.0,0
2008-09-19,31.06,33.31,30.32,31.4,3681500,0.0,0
2008-09-22,31.48,31.72,30.04,30.09,2254800,0.0,0
2008-09-23,30.2,30.3,29.4,29.46,1839600,0.0,0
2008-09-24,29.36,29.95,29.14,29.6,2266300,0.0,0
2008-09-25,29.9,30.38,29.73,30.02,2850900,0.0,0
2008-09-26,29.78,30.35,29.56,30.15,1996500,0.0,0
2008-09-29,29.63,29.78,27.9,28.07,3485400,0.0,0
2008-09-30,28.5,29.09,28.43,28.9,3276900,0.0,0
2008-10-01,28.67,28.79,27.89,28.19,3534800,0.0,0
2008-10-02,28.06,28.4,27.44,27.49,2627200,0.0,0
