Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,4.4,4.58,4.38,4.55,44800,0,0
2008-01-03,4.53,4.54,4.44,4.47,24700,0,0
2008-01-04,4.4,4.41,4.02,4.06,27100,0,0
2008-01-07,4.07,4.1,3.81,3.87,70800,0,0
2008-01-08,3.9,3.99,3.82,3.89,54900,0,0
2008-01-09,4.02,4.24,4.01,4.1,104800,0,0
2008-01-10,4.1,4.16,3.98,3.98,45300,0,0
2008-01-11,4.0,4.1,3.99,4.02,37200,0,0
2008-01-14,4.03,4.37,3.99,4.23,163400,0,0
2008-01-15,4.41,4.73,4.04,4.27,191200,0,0
2008-01-16,4.26,4.28,3.86,4.0,172500,0,0
2008-01-17,3.97,4.0,3.71,3.71,88200,0,0
2008-01-18,3.71,3.99,3.62,3.83,28000,0,0
2008-01-22,3.37,3.6,3.04,3.3,140300,0,0
2008-01-23,3.15,3.77,3.13,3.64,94100,0,0
2008-01-24,3.58,3.82,3.51,3.6,89900,0,0
2008-01-25,3.61,4.72,3.6,4.29,183900,0,0
2008-01-28,4.34,4.34,3.74,3.96,112300,0,0
2008-01-29,3.96,4.75,3.91,4.75,120500,0,0
2008-01-30,4.68,4.74,4.29,4.4,153800,0,0
2008-01-31,4.3,4.74,4.26,4.54,48700,0,0
2008-02-01,4.1,4.63,4.1,4.59,56900,0,0
2008-02-04,4.58,4.61,4.38,4.45,94800,0,0
2008-02-05,4.42,4.5,4.29,4.31,34700,0,0
2008-02-06,4.31,4.36,4.01,4.09,67200,0,0
2008-02-07,4.04,4.19,3.91,4.14,152900,0,0
2008-02-08,4.12,4.24,4.0,4.16,95800,0,0
2008-02-11,4.13,4.17,4.09,4.14,30400,0,0
2008-02-12,4.15,4.2,4.04,4.15,43000,0,0
2008-02-13,4.17,4.17,4.01,4.08,36800,0,0
2008-02-14,4.08,4.18,4.05,4.08,134200,0,0
2008-02-15,4.09,4.27,4.0,4.03,104000,0,0
2008-02-19,3.87,4.35,3.87,4.26,58900,0,0
2008-02-20,4.24,4.25,4.07,4.11,28900,0,0
2008-02-21,4.12,4.41,4.06,4.41,57400,0,0
2008-02-22,4.37,4.4,4.09,4.17,54000,0,0
2008-02-25,4.15,4.19,3.82,3.82,65400,0,0
2008-02-26,3.89,3.98,3.8,3.91,62200,0,0
2008-02-27,3.84,4.0,3.84,3.87,57800,0,0
2008-02-28,3.83,4.18,3.83,4.06,65700,0,0
2008-02-29,4.01,4.05,3.71,3.9,121200,0,0
2008-03-03,4.01,4.18,4.01,4.12,305700,0,0
2008-03-04,4.08,4.13,3.83,3.93,39400,0,0
2008-03-05,3.96,4.07,3.94,3.98,50800,0,0
2008-03-06,4.0,4.06,3.86,4.06,97600,0,0
2008-03-07,4.0,4.04,3.83,3.94,79900,0,0
2008-03-10,3.9,4.04,3.9,3.98,84100,0,0
2008-03-11,3.98,4.01,3.94,3.95,86400,0,0
2008-03-12,3.97,4.08,3.79,3.79,99400,0,0
2008-03-13,3.83,4.0,3.81,3.95,124900,0,0
2008-03-14,3.97,3.99,3.69,3.87,77500,0,0
2008-03-17,3.88,3.88,3.45,3.45,37000,0,0
2008-03-18,3.41,3.66,3.41,3.45,49400,0,0
2008-03-19,3.39,3.58,3.23,3.24,51100,0,0
2008-03-20,3.25,3.39,3.11,3.3,42000,0,0
2008-03-24,3.26,3.5,3.24,3.32,49100,0,0
2008-03-25,3.29,3.9,3.24,3.9,64300,0,0
2008-03-26,3.85,3.85,3.7,3.84,181800,0,0
2008-03-27,3.84,3.94,3.71,3.8,97500,0,0
2008-03-28,3.78,4.03,3.78,4.0,56100,0,0
2008-03-31,3.98,4.03,3.81,3.99,76300,0,0
2008-04-01,4.0,4.16,3.75,3.75,46400,0,0
2008-04-02,3.77,3.99,3.15,3.8,196600,0,0
2008-04-03,3.77,3.79,3.6,3.7,69500,0,0
2008-04-04,3.67,3.67,3.41,3.44,53000,0,0
2008-04-07,3.44,3.46,3.18,3.26,172300,0,0
2008-04-08,3.23,3.29,3.11,3.29,92500,0,0
2008-04-09,3.33,3.37,2.84,3.0,179100,0,0
2008-04-10,3.0,3.09,3.0,3.02,213300,0,0
2008-04-11,2.99,3.24,2.96,2.98,102300,0,0
2008-04-14,3.06,3.1,3.0,3.04,218100,0,0
2008-04-15,3.08,3.21,2.97,3.1,59200,0,0
2008-04-16,3.09,3.12,3.0,3.03,46000,0,0
2008-04-17,3.03,3.16,3.02,3.12,19700,0,0
2008-04-18,3.11,3.13,2.93,3.0,52000,0,0
2008-04-21,3.0,3.13,3.0,3.02,71700,0,0
2008-04-22,3.01,3.09,3.01,3.01,20000,0,0
2008-04-23,3.0,3.1,3.0,3.0,77900,0,0
2008-04-24,3.0,3.25,3.0,3.25,76400,0,0
2008-04-25,3.25,3.27,3.11,3.26,104300,0,0
2008-04-28,3.25,3.34,3.23,3.34,40900,0,0
2008-04-29,3.3,3.41,3.25,3.27,47300,0,0
2008-04-30,3.27,3.43,3.15,3.41,75500,0,0
2008-05-01,3.44,3.5,3.3,3.4,172900,0,0
2008-05-02,3.35,3.42,3.24,3.42,84500,0,0
2008-05-05,3.39,3.45,3.29,3.45,62500,0,0
2008-05-06,3.4,3.51,3.28,3.51,214400,0,0
2008-05-07,3.45,3.5,3.29,3.43,101300,0,0
2008-05-08,3.42,3.45,3.25,3.41,56800,0,0
2008-05-09,3.42,3.42,3.32,3.32,30400,0,0
2008-05-12,3.32,3.43,3.23,3.3,80300,0,0
2008-05-13,3.34,3.51,3.32,3.51,83200,0,0
2008-05-14,3.5,3.62,3.45,3.5,64900,0,0
2008-05-15,3.42,3.69,3.4,3.65,59500,0,0
2008-05-16,3.65,3.67,3.54,3.65,33800,0,0
2008-05-19,3.59,3.67,3.38,3.41,65700,0,0
2008-05-20,3.36,3.62,3.36,3.61,37400,0,0
2008-05-21,3.64,3.64,3.34,3.47,53600,0,0
2008-05-22,3.44,3.55,3.3,3.3,94100,0,0
2008-05-23,3.32,3.47,3.32,3.44,52900,0,0
2008-05-27,3.37,3.42,3.35,3.42,43300,0,0
2008-05-28,3.41,3.56,3.34,3.49,98600,0,0
2008-05-29,3.45,3.53,3.32,3.51,46600,0,0
2008-05-30,3.47,3.64,3.43,3.61,49200,0,0
2008-06-02,3.39,3.75,3.39,3.66,110600,0,0
2008-06-03,3.65,3.74,3.48,3.6,48700,0,0
2008-06-04,3.61,3.83,3.58,3.67,140800,0,0
2008-06-05,3.66,3.74,3.55,3.73,67400,0,0
2008-06-06,3.7,3.79,3.53,3.68,73600,0,0
2008-06-09,3.68,3.79,3.51,3.71,90700,0,0
2008-06-10,3.67,3.67,3.51,3.62,32500,0,0
