Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,50.57,51.98,49.8,50.05,225000,0.0,0
2008-01-03,49.98,51.89,49.93,51.57,168500,0.0,0
2008-01-04,51.57,51.75,49.82,50.0,158200,0.0,0
2008-01-07,50.35,51.46,49.71,51.03,165400,0.0,0
2008-01-08,51.42,52.53,49.93,50.05,132400,0.0,0
2008-01-09,50.48,50.48,47.44,49.49,289600,0.0,0
2008-01-10,48.65,48.69,46.58,47.78,193900,0.0,0
2008-01-11,47.06,48.26,47.06,47.76,184400,0.0,0
2008-01-14,47.79,48.54,47.78,48.06,195300,0.0,0
2008-01-15,47.85,47.85,45.5,45.61,197200,0.0,0
2008-01-16,45.22,45.76,41.39,42.73,550900,0.0,0
2008-01-17,42.97,43.14,40.26,40.89,365100,0.0,0
2008-01-18,40.89,41.08,38.73,39.32,309600,0.0,0
2008-01-22,38.6,39.04,36.6,38.69,538700,0.0,0
2008-01-23,37.68,37.96,35.05,37.51,614300,0.0,0
2008-01-24,37.7,39.03,36.57,38.49,350300,0.0,0
2008-01-25,39.43,41.53,37.95,38.32,356100,0.0,0
2008-01-28,38.28,38.51,37.68,38.44,187400,0.0,0
2008-01-29,38.11,39.21,38.11,39.11,247000,0.0,0
2008-01-30,39.5,40.25,38.36,39.2,290000,0.0,0
2008-01-31,38.15,40.1,37.71,39.95,306900,0.0,0
2008-02-01,39.58,40.54,38.92,39.14,220200,0.0,0
2008-02-04,39.28,40.0,38.47,39.36,226300,0.0,0
2008-02-05,39.11,39.11,37.69,37.81,317400,0.0,0
2008-02-06,38.19,38.19,36.35,36.56,175400,0.0,0
2008-02-07,36.12,37.14,35.6,36.71,189700,0.0,0
2008-02-08,36.88,37.14,36.35,36.76,142300,0.0,0
2008-02-11,36.48,38.0,36.33,37.87,182900,0.0,0
2008-02-12,38.28,38.49,37.23,37.49,197900,0.0,0
2008-02-13,38.1,39.5,38.03,39.03,185000,0.0,0
2008-02-14,39.23,39.42,38.13,38.69,176900,0.0,0
2008-02-15,38.7,39.35,38.1,39.0,185300,0.0,0
2008-02-19,39.85,41.69,39.26,41.4,400200,0.0,0
2008-02-20,40.44,40.65,38.79,39.0,316600,0.0,0
2008-02-21,39.46,39.78,39.15,39.16,231900,0.0,0
2008-02-22,39.61,40.4,38.89,40.37,361500,0.0,0
2008-02-25,40.27,40.55,39.75,40.25,225800,0.0,0
2008-02-26,40.23,41.59,39.68,40.27,295600,0.0,0
2008-02-27,39.05,41.4,37.91,41.15,484000,0.0,0
2008-02-28,40.88,41.97,40.88,41.64,321000,0.0,0
2008-02-29,41.63,41.75,39.85,40.12,252300,0.0,0
2008-03-03,39.73,41.11,39.65,40.65,164300,0.0,0
2008-03-04,40.73,41.21,39.88,40.3,279500,0.0,0
2008-03-05,40.43,41.24,39.88,40.84,293400,0.0,0
2008-03-06,40.28,40.48,39.14,40.01,250800,0.0,0
2008-03-07,39.98,39.98,38.45,38.69,173200,0.0,0
2008-03-10,38.19,38.86,37.38,37.64,214800,0.0,0
2008-03-11,38.58,39.09,37.68,39.07,182500,0.0,0
2008-03-12,39.29,39.92,39.16,39.41,158600,0.05,0
2008-03-13,39.17,40.01,37.4,39.89,190500,0.0,0
2008-03-14,40.17,40.38,38.13,38.7,202600,0.0,0
2008-03-17,37.84,38.09,36.04,36.86,274600,0.0,0
2008-03-18,37.65,39.32,36.38,39.18,319200,0.0,0
2008-03-19,39.28,40.55,38.2,38.29,236700,0.0,0
2008-03-20,37.53,39.43,37.53,38.85,393600,0.0,0
2008-03-24,38.87,40.17,38.55,39.67,215000,0.0,0
2008-03-25,39.65,40.59,39.4,39.66,177700,0.0,0
2008-03-26,39.17,39.27,37.73,37.95,318900,0.0,0
2008-03-27,37.67,38.64,36.17,38.18,438200,0.0,0
2008-03-28,38.45,38.73,37.97,38.4,487200,0.0,0
2008-03-31,38.13,39.88,37.71,39.57,230000,0.0,0
2008-04-01,40.02,41.54,39.97,41.54,233200,0.0,0
2008-04-02,42.14,43.03,41.02,42.11,346100,0.0,0
2008-04-03,41.94,42.41,41.13,42.35,207000,0.0,0
2008-04-04,42.55,43.2,42.02,42.72,281400,0.0,0
2008-04-07,43.11,43.27,42.03,42.28,160400,0.0,0
