Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-18,22.0,22.0,22.0,22.0,100.0,0,0.0
2008-02-27,20.1,20.1,20.1,20.1,50.0,0,0.0
2008-04-11,19.22,19.22,19.22,19.22,400.0,0,0.0
2008-05-15,19.49,19.49,19.49,19.49,250.0,0,0.0
2008-06-03,17.7,17.7,17.7,17.7,110.0,0,0.0
2008-06-17,15.82,15.82,15.82,15.82,135.0,0,0.0
2008-06-19,16.02,16.02,16.02,16.02,1.0,0,0.0
2008-09-23,12.92,12.92,12.92,12.92,100.0,0,0.0
2008-10-08,11.33,11.33,11.33,11.33,500.0,0,0.0
2008-10-29,11.59,11.59,11.59,11.59,14.0,0,0.0
2008-12-02,11.3,11.3,11.3,11.3,50.0,0,0.0
2010-01-29,9.66,9.66,9.66,9.66,1000.0,0,0.0
2010-04-14,8.0,8.0,8.0,8.0,10.0,0,0.0
2010-04-23,8.55,8.55,8.55,8.55,1000.0,0,0.0
2010-04-26,8.0,8.0,8.0,8.0,55.0,0,0.0
2010-04-27,8.0,8.0,8.0,8.0,65.0,0,0.0
2010-05-07,7.85,7.85,7.85,7.85,0.0,0,0.0
2010-05-20,6.9,6.9,6.9,6.9,14.0,0,0.0
2010-06-18,6.06,6.06,6.06,6.06,6.0,0,0.0
2010-06-21,6.06,6.06,6.06,6.06,198.0,0,0.0
2010-06-22,6.29,6.29,6.29,6.29,146.0,0,0.0
2010-08-10,6.0,6.0,6.0,6.0,65.0,0,0.0
2010-08-13,6.1,6.1,6.1,6.1,450.0,0,0.0
2010-08-16,6.1,6.1,6.1,6.1,144.0,0,0.0
2010-09-01,5.62,5.62,5.62,5.62,485.0,0,0.0
2010-09-20,5.55,5.55,5.55,5.55,0.0,0,0.0
2010-09-30,5.05,5.05,5.05,5.05,500.0,0,0.0
2010-10-01,5.42,5.42,5.42,5.42,200.0,0,0.0
2010-10-19,6.5,6.5,6.5,6.5,15.0,0,0.0
2010-10-20,5.74,5.74,5.74,5.74,850.0,0,0.0
2010-11-01,5.8,5.8,5.8,5.8,100.0,0,0.0
2010-11-03,5.8,5.8,5.8,5.8,30.0,0,0.0
2010-11-17,5.9,5.9,5.9,5.9,0.0,0,0.0
2010-11-19,6.55,6.55,6.55,6.55,493.0,0,0.0
2010-12-09,7.55,7.55,7.55,7.55,300.0,0,0.0
2010-12-16,7.1,7.1,7.1,7.1,300.0,0,0.0
2010-12-21,6.75,6.75,6.75,6.75,800.0,0,0.0
2011-01-20,7.48,7.48,7.48,7.48,120.0,0,0.0
2011-01-26,7.21,7.21,7.21,7.21,1000.0,0,0.0
2011-02-02,7.21,7.21,7.21,7.21,222.0,0,0.0
2011-02-10,8.25,8.25,8.25,8.25,150.0,0,0.0
2011-02-15,7.55,7.55,7.55,7.55,250.0,0,0.0
2011-03-22,8.4,8.4,8.4,8.4,250.0,0,0.0
2011-03-29,8.79,8.79,8.79,8.79,380.0,0,0.0
2011-05-04,7.6,7.6,7.6,7.6,30.0,0,0.0
2011-05-24,,,,,,0,10.0
2011-11-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-25,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-28,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-11-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-01,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-08,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-15,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-28,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2011-12-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-03,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-04,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-11,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-25,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-26,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-01-31,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-01,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-03,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-08,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-15,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-28,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-02-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-01,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-08,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-15,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-26,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-28,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-03-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-03,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-04,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-11,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-25,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-26,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-04-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-01,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-03,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-04,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-08,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-11,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-15,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-25,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-05-31,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-01,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-04,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-08,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-11,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-15,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-25,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-26,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-28,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-06-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-03,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-11,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-25,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-26,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-07-31,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-01,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-02,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-03,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-08,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-09,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-15,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-16,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-22,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-23,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-27,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-28,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-29,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-30,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-08-31,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-04,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-05,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-06,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-07,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-10,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-11,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-12,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-13,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-14,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-17,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-18,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-19,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-20,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-21,7.6,7.6,7.6,7.6,0.0,0,0.0
2012-09-24,7.6,7.6,7.6,7.6,0.0,0,0.0
2013-12-16,9.45,9.45,9.45,9.45,0.0,0,0.0
2014-07-14,10.38,10.38,10.38,10.38,0.0,0,0.0
2014-07-15,10.44,10.44,10.44,10.44,0.0,0,0.0
2014-07-16,10.39,10.39,10.39,10.39,0.0,0,0.0
2014-07-17,10.53,10.53,10.53,10.53,0.0,0,0.0
2014-07-18,10.55,10.55,10.55,10.55,0.0,0,0.0
2014-07-21,10.31,10.31,10.31,10.31,0.0,0,0.0
2014-07-22,10.3,10.3,10.3,10.3,0.0,0,0.0
2014-07-23,10.23,10.23,10.23,10.23,0.0,0,0.0
2014-07-24,10.26,10.26,10.26,10.26,0.0,0,0.0
2014-07-25,10.24,10.24,10.24,10.24,0.0,0,0.0
2014-07-28,10.72,10.72,10.72,10.72,0.0,0,0.0
2014-07-29,10.64,10.64,10.64,10.64,0.0,0,0.0
2014-07-30,10.49,10.49,10.49,10.49,0.0,0,0.0
2014-07-31,10.49,10.49,10.49,10.49,0.0,0,0.0
2014-08-01,10.14,10.14,10.14,10.14,0.0,0,0.0
2014-08-04,10.23,10.23,10.23,10.23,0.0,0,0.0
2014-08-05,10.01,10.01,10.01,10.01,0.0,0,0.0
2014-08-06,9.59,9.59,9.59,9.59,0.0,0,0.0
2014-08-07,9.39,9.39,9.39,9.39,0.0,0,0.0
2014-08-08,9.21,9.21,9.21,9.21,0.0,0,0.0
2014-08-11,9.23,9.23,9.23,9.23,0.0,0,0.0
2014-08-12,9.69,9.69,9.69,9.69,0.0,0,0.0
2014-08-13,10.03,10.03,10.03,10.03,0.0,0,0.0
2014-08-14,10.05,10.05,10.05,10.05,0.0,0,0.0
2014-08-15,10.03,10.03,10.03,10.03,0.0,0,0.0
2014-08-18,10.23,10.23,10.23,10.23,0.0,0,0.0
2014-08-19,9.91,9.91,9.91,9.91,0.0,0,0.0
2014-08-20,9.84,9.84,9.84,9.84,0.0,0,0.0
2014-08-21,10.15,10.33,10.15,10.33,0.0,0,0.0
2014-08-22,10.6,10.6,10.6,10.6,0.0,0,0.0
2014-08-25,10.52,10.52,10.52,10.52,0.0,0,0.0
2014-08-26,10.78,10.78,10.78,10.78,0.0,0,0.0
2014-08-27,10.84,10.84,10.84,10.84,0.0,0,0.0
2014-08-28,10.47,10.47,10.47,10.47,500.0,0,0.0
2014-08-29,10.81,10.81,10.81,10.81,0.0,0,0.0
2014-09-02,10.78,10.78,10.78,10.78,0.0,0,0.0
2014-09-03,10.56,10.56,10.56,10.56,0.0,0,0.0
2014-09-04,10.47,10.47,10.47,10.47,2800.0,0,0.0
2014-09-05,10.84,10.84,10.84,10.84,0.0,0,0.0
2014-09-08,11.12,11.12,11.12,11.12,0.0,0,0.0
2014-09-09,11.01,11.01,11.01,11.01,0.0,0,0.0
2014-09-10,10.85,10.85,10.85,10.85,0.0,0,0.0
2014-09-11,10.91,10.91,10.91,10.91,0.0,0,0.0
2014-09-12,11.18,11.18,11.18,11.18,0.0,0,0.0
2014-09-15,10.9,10.9,10.9,10.9,1400.0,0,0.0
2014-09-16,11.2,11.2,11.2,11.2,0.0,0,0.0
2014-09-17,10.97,10.97,10.97,10.97,0.0,0,0.0
2014-09-18,11.24,11.24,11.24,11.24,0.0,0,0.0
2014-09-19,10.96,10.96,10.96,10.96,0.0,0,0.0
2014-09-22,11.43,11.43,11.43,11.43,0.0,0,0.0
2014-09-23,10.96,10.96,10.96,10.96,400.0,0,0.0
2014-09-24,10.79,10.79,10.79,10.79,400.0,0,0.0
2014-09-25,10.86,10.86,10.86,10.86,0.0,0,0.0
2014-09-26,10.55,10.55,10.55,10.55,0.0,0,0.0
2014-09-29,10.48,10.48,10.48,10.48,0.0,0,0.0
2014-09-30,10.2,10.2,10.2,10.2,0.0,0,0.0
2014-10-01,10.23,10.23,10.23,10.23,0.0,0,0.0
2014-10-02,10.08,10.44,10.08,10.18,0.0,0,0.0
2014-10-03,10.18,10.18,10.18,10.18,0.0,0,0.0
2014-10-06,10.07,10.47,10.07,10.47,0.0,0,0.0
2014-10-07,10.38,10.38,10.38,10.38,0.0,0,0.0
2014-10-08,10.32,10.32,10.32,10.32,0.0,0,0.0
2014-10-09,10.14,10.62,10.14,10.62,0.0,0,0.0
2014-10-10,10.32,10.32,10.32,10.32,0.0,0,0.0
2014-10-13,9.85,9.85,9.85,9.85,0.0,0,0.0
2014-10-14,9.96,9.96,9.96,9.96,0.0,0,0.0
2014-10-15,9.46,9.51,8.8,8.8,61918.0,0,0.0
2014-10-16,8.88,9.09,8.5,8.64,141292.0,0,0.0
2014-10-17,8.71,8.71,8.71,8.71,0.0,0,0.0
2014-10-20,9.5,9.55,9.45,9.45,28220.0,0,0.0
2014-10-21,9.59,9.59,9.59,9.59,0.0,0,0.0
2014-10-22,9.75,9.75,9.75,9.75,0.0,0,0.0
2014-10-23,9.69,9.69,9.69,9.69,0.0,0,0.0
2014-10-24,9.73,9.73,9.73,9.73,0.0,0,0.0
2014-10-27,9.54,9.54,9.54,9.54,0.0,0,0.0
2014-10-28,9.2,9.2,9.16,9.16,0.0,0,0.0
2014-10-29,8.79,9.13,8.79,9.13,0.0,0,0.0
2014-10-30,9.22,9.22,9.22,9.22,0.0,0,0.0
2014-10-31,9.11,9.11,9.11,9.11,0.0,0,0.0
2014-11-03,8.86,8.86,8.86,8.86,0.0,0,0.0
2014-11-04,9.35,9.35,9.35,9.35,0.0,0,0.0
2014-11-05,9.24,9.35,9.24,9.35,0.0,0,0.0
2014-11-06,9.4,9.4,9.4,9.4,0.0,0,0.0
2014-11-07,9.33,9.33,9.33,9.33,0.0,0,0.0
2014-11-10,8.91,8.91,8.91,8.91,0.0,0,0.0
2014-11-11,8.74,8.74,8.74,8.74,0.0,0,0.0
2014-11-12,8.8,8.8,8.8,8.8,0.0,0,0.0
2014-11-13,8.71,8.71,8.71,8.71,0.0,0,0.0
2014-11-14,8.42,8.42,8.42,8.42,0.0,0,0.0
2014-11-17,8.65,8.65,8.65,8.65,0.0,0,0.0
2014-11-18,8.33,8.33,8.33,8.33,0.0,0,0.0
2014-11-19,8.74,8.74,8.74,8.74,0.0,0,0.0
2014-11-20,9.03,9.03,9.03,9.03,0.0,0,0.0
2014-11-21,9.13,9.13,9.13,9.13,0.0,0,0.0
2014-11-24,9.34,9.81,9.34,9.81,450.0,0,0.0
2014-11-25,9.57,9.57,9.57,9.57,0.0,0,0.0
2014-11-26,9.77,9.77,9.77,9.77,0.0,0,0.0
2014-11-28,9.73,9.73,9.73,9.73,0.0,0,0.0
2014-12-01,9.56,9.94,9.56,9.84,0.0,0,0.0
2014-12-02,9.75,9.75,9.75,9.75,0.0,0,0.0
2014-12-03,9.8,9.8,9.8,9.8,0.0,0,0.0
2014-12-04,9.63,9.89,9.63,9.89,0.0,0,0.0
2014-12-05,9.55,10.32,9.55,10.32,0.0,0,0.0
2014-12-08,10.02,10.19,10.02,10.19,0.0,0,0.0
2014-12-09,10.08,10.08,10.08,10.08,0.0,0,0.0
2014-12-10,9.08,9.08,9.08,9.08,0.0,0,0.0
2014-12-11,9.0,9.05,8.5,8.5,200.0,0,0.0
2014-12-12,8.28,8.64,8.28,8.64,0.0,0,0.0
2014-12-15,8.46,8.46,8.46,8.46,0.0,0,0.0
2014-12-16,8.97,8.97,8.97,8.97,0.0,0,0.0
2014-12-17,8.83,8.83,8.83,8.83,0.0,0,0.0
2014-12-18,9.16,9.16,9.16,9.16,0.0,0,0.0
2014-12-19,9.03,9.03,9.03,9.03,0.0,0,0.0
2014-12-22,8.92,8.92,8.8,8.8,0.0,0,0.0
2014-12-23,8.86,9.39,8.86,9.39,230.0,0,0.0
2014-12-24,9.35,9.35,9.35,9.35,0.0,0,10.0
2014-12-26,9.35,9.35,9.35,9.35,0.0,0,0.0
2014-12-29,9.35,9.35,9.35,9.35,0.0,0,0.0
2014-12-30,8.73,9.22,8.73,9.22,100.0,0,0.0
2014-12-31,9.1,9.1,9.1,9.1,0.0,0,0.0
2015-01-02,9.07,9.07,9.07,9.07,0.0,0,0.0
2015-01-05,9.2,9.2,9.2,9.2,0.0,0,0.0
2015-01-06,9.2,9.2,9.2,9.2,0.0,0,0.0
2015-01-07,8.95,8.95,8.95,8.95,0.0,0,0.0
2015-01-08,8.66,8.66,8.66,8.66,0.0,0,0.0
2015-01-09,8.09,8.6,8.09,8.38,100.0,0,0.0
2015-01-12,8.11,8.52,8.11,8.47,0.0,0,0.0
2015-01-13,8.37,8.37,8.37,8.37,0.0,0,0.0
2015-01-14,8.64,8.96,8.64,8.96,0.0,0,0.0
2015-01-15,8.88,8.88,8.88,8.88,0.0,0,0.0
2015-01-16,8.63,8.65,8.63,8.65,0.0,0,0.0
2015-01-20,8.68,8.68,8.4,8.4,0.0,0,0.0
2015-01-21,8.69,8.69,8.69,8.69,0.0,0,0.0
2015-01-22,8.69,8.69,8.69,8.69,0.0,0,0.0
2015-01-23,8.46,8.46,8.46,8.46,0.0,0,0.0
2015-01-26,8.87,8.87,8.87,8.87,0.0,0,0.0
2015-01-27,8.91,8.91,8.9,8.9,0.0,0,0.0
2015-01-28,8.78,8.78,8.78,8.78,0.0,0,0.0
2015-01-29,7.84,7.84,7.71,7.71,150.0,0,0.0
2015-01-30,7.36,7.36,7.01,7.01,218.0,0,0.0
2015-02-02,7.35,7.89,7.35,7.89,300.0,0,0.0
2015-02-03,7.69,7.69,7.69,7.69,0.0,0,0.0
2015-02-04,8.93,9.0,8.93,9.0,500.0,0,0.0
2015-02-05,8.22,8.22,8.22,8.22,0.0,0,0.0
2015-02-06,8.01,8.01,8.01,8.01,0.0,0,0.0
2015-02-09,8.01,8.01,8.01,8.01,0.0,0,0.0
2015-02-10,7.4,7.88,7.4,7.88,100.0,0,0.0
2015-02-11,7.81,7.81,7.81,7.81,0.0,0,0.0
2015-02-12,7.43,7.43,7.43,7.43,0.0,0,0.0
2015-02-13,8.0,8.0,8.0,8.0,0.0,0,0.0
2015-02-17,7.92,7.92,7.92,7.92,0.0,0,0.0
2015-02-18,8.09,8.09,8.09,8.09,0.0,0,0.0
2015-02-19,7.5,7.67,7.32,7.32,3700.0,0,0.0
2015-02-20,7.4,7.4,7.4,7.4,0.0,0,0.0
2015-02-23,8.64,8.64,8.11,8.11,1650.0,0,0.0
2015-02-24,8.2,8.9,8.2,8.58,40200.0,0,0.0
2015-02-25,8.89,8.89,8.89,8.89,0.0,0,0.0
2015-02-26,8.99,9.17,8.99,9.17,150.0,0,0.0
