Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.49,8.54,8.38,8.39,246800,0.0,0.0
2008-01-03,8.34,8.46,8.34,8.43,264000,0.0,0.0
2008-01-04,8.45,8.45,8.19,8.25,532200,0.0,0.0
2008-01-07,8.2,8.29,8.17,8.26,404200,0.0,0.0
2008-01-08,8.3,8.44,8.29,8.3,396400,0.0,0.0
2008-01-09,8.33,8.33,8.14,8.22,314200,0.0,0.0
2008-01-10,8.27,8.29,8.16,8.21,303000,0.0,0.0
2008-01-11,8.18,8.23,8.15,8.2,300400,0.0,0.0
2008-01-14,8.22,8.24,8.16,8.18,365800,0.0,0.0
2008-01-15,8.14,8.17,8.09,8.13,471600,0.0,0.0
2008-01-16,8.12,8.13,7.97,8.09,541400,0.0,0.0
2008-01-17,8.16,8.18,8.03,8.07,421800,0.0,0.0
2008-01-18,8.09,8.19,7.96,8.01,523600,0.0,0.0
2008-01-22,7.85,7.94,7.68,7.9,849600,0.0,0.0
2008-01-23,7.77,7.88,7.71,7.86,791000,0.0,0.0
2008-01-24,7.85,7.96,7.83,7.93,558800,0.0,0.0
2008-01-25,7.97,8.02,7.9,7.95,498200,0.0,0.0
2008-01-28,8.01,8.03,7.92,7.98,380400,0.0,0.0
2008-01-29,7.97,8.14,7.95,8.07,420600,0.0,0.0
2008-01-30,8.09,8.22,8.04,8.22,545800,0.0,0.0
2008-01-31,8.39,8.43,8.26,8.39,509600,0.85,0.0
2008-02-01,8.45,8.45,8.31,8.39,631600,0.0,0.0
2008-02-04,8.42,8.58,8.39,8.58,438000,0.0,0.0
2008-02-05,8.57,8.62,8.48,8.55,414800,0.0,0.0
2008-02-06,8.55,8.58,8.34,8.37,378800,0.0,0.0
2008-02-07,8.31,8.44,8.26,8.39,346800,0.0,0.0
2008-02-08,8.4,8.55,8.38,8.52,296800,0.0,0.0
2008-02-11,8.6,8.62,8.55,8.59,624400,0.0,0.0
2008-02-12,8.59,8.64,8.46,8.53,475200,0.0,0.0
2008-02-13,8.62,8.67,8.46,8.47,390000,0.0,0.0
2008-02-14,8.65,8.66,8.21,8.26,625200,0.0,0.0
2008-02-15,8.34,8.34,8.06,8.06,1345200,0.0,0.0
2008-02-19,8.06,8.3,7.91,7.93,1096800,0.0,0.0
2008-02-20,7.92,7.98,7.77,7.96,1526200,0.0,0.0
2008-02-21,8.02,8.04,7.87,7.93,757600,0.0,0.0
2008-02-22,7.93,7.96,7.85,7.93,603800,0.0,0.0
2008-02-25,7.99,8.04,7.88,8.0,1515800,0.0,0.0
2008-02-26,8.01,8.12,7.99,8.08,928000,0.0,0.0
2008-02-27,8.08,8.09,7.97,8.0,358600,0.0,0.0
2008-02-28,7.98,8.16,7.98,8.13,570400,0.0,0.0
2008-02-29,8.21,8.21,8.01,8.04,466000,0.0,0.0
2008-03-03,8.06,8.06,7.92,7.92,439800,0.0,0.0
2008-03-04,7.92,8.01,7.83,7.88,467400,0.0,0.0
2008-03-05,7.91,7.97,7.86,7.9,920200,0.0,0.0
2008-03-06,7.87,7.94,7.82,7.87,471800,0.0,0.0
2008-03-07,7.83,7.88,7.81,7.85,627000,0.0,0.0
2008-03-10,7.75,7.89,7.72,7.74,493200,0.0,0.0
2008-03-11,7.8,7.8,7.69,7.74,578800,0.0,0.0
2008-03-12,7.73,7.84,7.7,7.79,518200,0.0,0.0
2008-03-13,7.73,7.84,7.73,7.8,635400,0.0,0.0
2008-03-14,7.78,7.83,7.48,7.59,1556400,0.0,0.0
2008-03-17,7.54,7.65,7.41,7.45,591600,0.0,0.0
2008-03-18,7.75,7.78,7.46,7.75,834200,0.0,0.0
2008-03-19,7.75,7.84,7.49,7.52,2446200,0.0,0.0
2008-03-20,7.52,7.56,7.41,7.43,501800,0.0,0.0
2008-03-24,7.4,7.67,7.4,7.47,9737800,0.0,0.0
2008-03-25,7.43,7.84,7.43,7.84,1711600,0.0,0.0
2008-03-26,7.86,8.13,7.86,8.09,947600,0.0,0.0
