Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.92,14.02,13.6,13.83,534700,0.0,0
2008-01-03,13.99,13.99,12.98,13.02,554800,0.0,0
2008-01-04,12.81,12.85,12.53,12.53,668500,0.0,0
2008-01-07,12.73,12.82,12.58,12.69,1115800,0.0,0
2008-01-08,12.73,12.78,12.45,12.66,1685000,0.0,0
2008-01-09,12.64,12.64,12.17,12.51,1223500,0.0,0
2008-01-10,12.45,12.67,12.22,12.51,541800,0.0,0
2008-01-11,12.43,12.49,11.98,12.1,1043800,0.0,0
2008-01-14,12.12,12.13,11.89,11.92,1214000,0.0,0
2008-01-15,11.88,11.92,11.26,11.34,1454900,0.0,0
2008-01-16,11.2,11.77,11.2,11.57,522800,0.0,0
2008-01-17,11.66,11.66,11.37,11.55,598700,0.0,0
2008-01-18,11.81,11.83,11.14,11.25,625700,0.0,0
2008-01-22,10.91,12.16,10.79,12.05,574300,0.0,0
2008-01-23,11.68,13.32,11.68,13.19,870900,0.0,0
2008-01-24,13.35,13.47,12.91,13.13,886400,0.0,0
2008-01-25,13.34,13.6,13.01,13.17,614700,0.0,0
2008-01-28,13.28,13.44,12.94,13.4,579000,0.0,0
2008-01-29,13.73,13.84,13.48,13.67,496600,0.0,0
2008-01-30,13.87,13.87,13.52,13.57,692700,0.0,0
2008-01-31,13.2,14.58,13.2,14.47,842600,0.0,0
2008-02-01,14.31,14.85,14.31,14.75,734800,0.0,0
2008-02-04,14.88,14.88,13.67,13.95,914700,0.0,0
2008-02-05,13.96,14.23,13.68,13.78,810300,0.0,0
2008-02-06,13.94,13.94,13.42,13.48,1014100,0.0,0
2008-02-07,13.48,14.12,13.41,13.99,703900,0.09,0
2008-02-08,13.91,14.26,13.68,14.0,587800,0.0,0
2008-02-11,14.0,14.48,13.76,14.47,460200,0.0,0
2008-02-12,14.48,14.56,14.2,14.37,535700,0.0,0
2008-02-13,14.54,15.04,14.36,15.0,798400,0.0,0
2008-02-14,15.0,15.0,14.08,14.4,1985800,0.0,0
2008-02-15,14.31,14.48,14.08,14.39,771400,0.0,0
2008-02-19,15.71,15.71,14.3,14.8,1092400,0.0,0
2008-02-20,14.84,15.41,14.71,15.36,1016100,0.0,0
2008-02-21,15.46,15.46,14.75,15.32,2450400,0.0,0
2008-02-22,15.32,15.43,14.76,15.02,925700,0.0,0
2008-02-25,14.98,15.59,14.76,15.5,703300,0.0,0
2008-02-26,15.55,15.99,15.33,15.75,715000,0.0,0
2008-02-27,15.59,15.64,15.07,15.34,596500,0.0,0
2008-02-28,15.23,15.34,14.85,15.05,670700,0.0,0
2008-02-29,15.03,15.03,14.33,14.43,720500,0.0,0
2008-03-03,14.56,14.7,14.2,14.49,735600,0.0,0
2008-03-04,14.26,14.49,14.12,14.32,570000,0.0,0
2008-03-05,14.29,14.66,14.23,14.57,981800,0.0,0
2008-03-06,14.4,14.57,14.24,14.42,692300,0.0,0
2008-03-07,14.31,14.69,14.31,14.44,684100,0.0,0
2008-03-10,14.53,14.7,14.0,14.16,1108500,0.0,0
2008-03-11,14.16,14.78,14.16,14.73,785000,0.0,0
2008-03-12,14.71,15.14,14.44,14.65,479000,0.0,0
2008-03-13,14.64,15.07,14.32,15.04,689200,0.0,0
2008-03-14,15.04,15.12,14.5,14.69,457200,0.0,0
2008-03-17,14.3,14.68,14.19,14.44,933300,0.0,0
2008-03-18,14.55,14.96,14.54,14.87,699500,0.0,0
2008-03-19,14.8,15.24,14.77,14.92,883100,0.0,0
2008-03-20,14.91,15.63,14.74,15.54,675000,0.0,0
2008-03-24,15.55,16.31,15.55,16.19,578100,0.0,0
2008-03-25,16.27,16.27,15.67,15.72,349200,0.0,0
2008-03-26,15.59,16.2,15.29,16.2,949200,0.0,0
2008-03-27,16.42,16.44,15.43,15.72,860100,0.0,0
2008-03-28,15.83,15.83,15.24,15.29,582800,0.0,0
2008-03-31,15.29,15.72,15.24,15.56,816200,0.0,0
2008-04-01,15.47,15.83,15.04,15.79,1393300,0.0,0
2008-04-02,15.95,16.24,15.68,16.23,779800,0.0,0
2008-04-03,16.13,16.75,15.91,16.58,762800,0.0,0
2008-04-04,16.68,16.88,16.35,16.55,574700,0.0,0
2008-04-07,16.59,16.67,16.26,16.37,825800,0.0,0
2008-04-08,16.23,16.43,16.07,16.1,558100,0.0,0
2008-04-09,16.17,16.31,15.52,15.59,822900,0.0,0
2008-04-10,15.69,16.11,15.47,15.99,575600,0.0,0
2008-04-11,15.79,15.99,15.32,15.4,784600,0.0,0
2008-04-14,15.52,15.52,15.02,15.06,606900,0.0,0
2008-04-15,15.05,15.31,15.05,15.31,536300,0.0,0
2008-04-16,15.42,16.43,15.2,16.42,1125300,0.0,0
2008-04-17,16.13,16.5,16.13,16.29,604900,0.0,0
2008-04-18,16.58,16.73,16.44,16.59,264100,0.0,0
2008-04-21,16.43,16.55,16.23,16.38,272900,0.0,0
2008-04-22,16.35,16.39,15.93,16.16,557000,0.0,0
2008-04-23,16.03,16.19,15.8,16.03,588100,0.0,0
2008-04-24,16.01,16.88,15.98,16.58,678700,0.0,0
2008-04-25,16.75,17.03,16.33,16.95,324000,0.0,0
2008-04-28,16.93,17.43,16.8,17.02,637100,0.0,0
2008-04-29,17.24,18.0,17.09,17.55,1515600,0.0,0
2008-04-30,17.59,17.61,16.7,16.74,806700,0.0,0
2008-05-01,16.59,17.02,16.59,16.91,1275200,0.0,0
2008-05-02,17.08,17.19,16.79,17.14,1265200,0.0,0
2008-05-05,17.25,17.25,16.64,16.71,842100,0.0,0
2008-05-06,16.51,16.83,16.44,16.72,552300,0.0,0
2008-05-07,16.79,16.82,16.34,16.38,473200,0.0,0
2008-05-08,16.51,16.51,16.12,16.16,805800,0.09,0
2008-05-09,16.11,16.25,15.99,16.13,346300,0.0,0
2008-05-12,16.25,16.51,16.07,16.5,540100,0.0,0
2008-05-13,16.46,16.46,16.13,16.42,251300,0.0,0
2008-05-14,16.54,16.79,16.51,16.71,401200,0.0,0
2008-05-15,16.57,17.07,16.57,17.06,401600,0.0,0
2008-05-16,17.18,17.18,16.56,16.9,391700,0.0,0
2008-05-19,16.79,17.29,16.43,17.03,922000,0.0,0
2008-05-20,16.83,16.9,16.68,16.88,943600,0.0,0
2008-05-21,16.76,16.98,16.31,16.41,1228400,0.0,0
2008-05-22,16.35,16.5,16.2,16.43,745300,0.0,0
2008-05-23,16.47,16.58,16.1,16.53,747700,0.0,0
2008-05-27,16.53,16.89,16.39,16.77,640200,0.0,0
2008-05-28,16.8,16.99,16.6,16.94,744200,0.0,0
2008-05-29,16.88,16.97,16.59,16.79,463100,0.0,0
2008-05-30,16.72,16.84,16.49,16.78,517300,0.0,0
2008-06-02,16.84,16.84,15.98,15.99,848000,0.0,0
2008-06-03,16.02,16.02,15.66,15.82,792400,0.0,0
2008-06-04,15.85,15.85,15.39,15.58,1007000,0.0,0
2008-06-05,15.75,15.84,15.46,15.71,1017500,0.0,0
2008-06-06,15.45,15.66,14.73,14.8,1102500,0.0,0
2008-06-09,14.93,15.01,14.44,14.47,1323400,0.0,0
2008-06-10,14.3,14.48,13.95,14.3,1702300,0.0,0
2008-06-11,14.31,14.31,13.74,13.8,2254600,0.0,0
2008-06-12,13.78,14.27,13.78,14.07,1556300,0.0,0
2008-06-13,14.07,14.22,13.75,13.89,1354000,0.0,0
2008-06-16,13.79,14.11,13.62,14.01,891100,0.0,0
2008-06-17,14.07,14.07,13.41,13.41,1301000,0.0,0
2008-06-18,13.2,13.22,12.33,12.68,3066300,0.0,0
2008-06-19,12.51,13.07,12.51,12.96,1765500,0.0,0
2008-06-20,12.8,12.91,12.68,12.81,2110100,0.0,0
2008-06-23,12.79,12.97,12.42,12.49,1960400,0.0,0
2008-06-24,12.47,12.51,12.05,12.15,1555300,0.0,0
2008-06-25,12.11,13.06,12.1,12.67,1128300,0.0,0
2008-06-26,12.61,12.63,12.21,12.21,735200,0.0,0
2008-06-27,12.15,12.32,11.99,12.05,1790700,0.0,0
2008-06-30,12.03,12.04,11.78,11.84,1331200,0.0,0
2008-07-01,11.73,12.05,11.41,11.85,1472200,0.0,0
2008-07-02,11.77,12.09,11.38,11.39,1706600,0.0,0
2008-07-03,11.58,11.61,11.36,11.4,746700,0.0,0
2008-07-07,11.53,11.59,10.92,11.12,1107400,0.0,0
2008-07-08,11.12,11.37,10.79,11.33,1686200,0.0,0
2008-07-09,11.48,11.63,11.26,11.29,1617600,0.0,0
2008-07-10,11.33,11.4,10.77,10.89,1788100,0.0,0
2008-07-11,10.67,10.79,10.3,10.51,1282500,0.0,0
2008-07-14,10.76,10.8,10.12,10.12,1662900,0.0,0
2008-07-15,10.03,10.03,9.17,9.49,2713400,0.0,0
2008-07-16,9.57,10.15,9.43,10.04,1249700,0.0,0
2008-07-17,10.18,10.63,10.07,10.58,1596500,0.0,0
2008-07-18,18.94,18.94,10.0,10.34,997000,0.0,0
2008-07-21,10.47,10.62,10.02,10.08,1028500,0.0,0
2008-07-22,10.08,10.82,10.06,10.76,1156400,0.0,0
2008-07-23,10.76,11.47,10.73,10.96,1244100,0.0,0
2008-07-24,11.05,11.95,10.86,11.24,2272000,0.0,0
2008-07-25,11.13,11.53,10.88,10.99,1072400,0.0,0
2008-07-28,10.93,11.3,10.58,10.61,941900,0.0,0
2008-07-29,10.76,11.41,10.76,11.09,1675800,0.0,0
2008-07-30,11.55,12.02,10.24,10.55,3155500,0.0,0
2008-07-31,10.44,10.96,10.31,10.68,1492000,0.0,0
2008-08-01,10.76,10.95,10.43,10.87,930700,0.0,0
2008-08-04,10.95,11.13,10.71,10.82,1326700,0.0,0
2008-08-05,10.76,11.56,10.76,11.45,976600,0.0,0
2008-08-06,11.41,11.41,10.84,11.25,830500,0.0,0
2008-08-07,11.32,11.32,11.04,11.12,809400,0.09,0
2008-08-08,11.25,12.16,11.12,11.92,1368200,0.0,0
2008-08-11,11.84,12.68,11.76,12.39,1400000,0.0,0
2008-08-12,12.26,12.33,11.93,11.98,752100,0.0,0
2008-08-13,11.93,11.96,11.32,11.6,831100,0.0,0
2008-08-14,11.42,12.2,11.42,11.97,567100,0.0,0
2008-08-15,12.07,12.43,12.03,12.17,609700,0.0,0
2008-08-18,12.14,12.38,11.79,11.84,682000,0.0,0
2008-08-19,11.68,11.8,11.25,11.33,802500,0.0,0
2008-08-20,11.32,11.52,11.14,11.21,1066400,0.0,0
2008-08-21,11.01,11.13,10.91,11.03,514600,0.0,0
2008-08-22,11.29,11.29,10.94,11.12,821600,0.0,0
2008-08-25,11.18,11.21,10.7,10.73,639500,0.0,0
2008-08-26,10.79,10.89,10.53,10.71,739900,0.0,0
2008-08-27,10.58,10.87,10.57,10.7,556000,0.0,0
2008-08-28,10.75,10.78,10.53,10.62,1248300,0.0,0
2008-08-29,10.67,10.83,10.59,10.71,570100,0.0,0
2008-09-02,11.01,11.21,10.7,10.91,646000,0.0,0
2008-09-03,10.89,10.99,10.74,10.82,760900,0.0,0
2008-09-04,10.74,10.74,10.31,10.36,574300,0.0,0
2008-09-05,10.28,10.36,9.98,10.28,937900,0.0,0
2008-09-08,10.52,11.03,10.27,10.58,1401300,0.0,0
2008-09-09,10.57,10.8,10.45,10.57,1048500,0.0,0
2008-09-10,10.63,10.66,10.28,10.54,833400,0.0,0
2008-09-11,10.45,10.7,10.36,10.53,964300,0.0,0
2008-09-12,10.37,10.57,10.3,10.42,800800,0.0,0
2008-09-15,9.91,10.51,9.84,10.08,750300,0.0,0
2008-09-16,9.92,9.92,9.54,9.81,1072200,0.0,0
2008-09-17,9.48,9.48,8.5,8.9,1891500,0.0,0
2008-09-18,8.87,9.25,8.84,9.1,1235800,0.0,0
2008-09-19,9.68,10.24,9.2,9.52,1089300,0.0,0
2008-09-22,9.57,9.75,9.47,9.52,881700,0.0,0
2008-09-23,9.5,9.81,9.49,9.51,636800,0.0,0
2008-09-24,9.52,9.67,9.49,9.5,842300,0.0,0
2008-09-25,9.58,9.69,9.49,9.52,745300,0.0,0
2008-09-26,9.71,9.97,9.57,9.77,1029300,0.0,0
2008-09-29,9.8,10.07,9.2,9.43,1602200,0.0,0
2008-09-30,9.44,9.49,9.18,9.27,1039400,0.0,0
2008-10-01,9.27,9.33,8.87,8.92,1417200,0.0,0
2008-10-02,8.88,8.94,8.03,8.13,892300,0.0,0
2008-10-03,8.27,8.3,7.88,7.95,1178500,0.0,0
2008-10-06,7.94,8.16,7.52,8.06,1391800,0.0,0
2008-10-07,8.13,8.21,7.55,7.65,876900,0.0,0
2008-10-08,7.32,7.77,6.97,6.97,1351100,0.0,0
2008-10-09,7.26,7.26,5.58,6.21,1532200,0.0,0
2008-10-10,5.74,6.37,5.07,6.17,2048700,0.0,0
2008-10-13,6.41,6.67,6.35,6.66,1066100,0.0,0
2008-10-14,6.99,7.05,6.17,6.34,823800,0.0,0
2008-10-15,6.51,6.51,5.72,5.72,1086200,0.0,0
2008-10-16,5.82,5.87,5.35,5.71,1375100,0.0,0
2008-10-17,5.68,5.68,5.27,5.34,1407800,0.0,0
2008-10-20,5.55,5.69,5.34,5.53,1770200,0.0,0
2008-10-21,5.53,5.75,5.44,5.7,941100,0.0,0
2008-10-22,5.64,5.65,5.0,5.02,767400,0.0,0
2008-10-23,5.04,5.29,4.71,4.9,1695800,0.0,0
2008-10-24,4.63,4.69,4.31,4.52,1061800,0.0,0
2008-10-27,4.58,4.58,4.13,4.14,363900,0.0,0
2008-10-28,4.22,4.73,4.07,4.68,686600,0.0,0
2008-10-29,4.73,5.34,4.54,5.13,1174300,0.0,0
2008-10-30,5.17,6.37,5.17,6.23,1924700,0.0,0
2008-10-31,6.27,7.15,6.1,6.62,1853200,0.0,0
2008-11-03,6.46,7.14,6.46,7.06,1178800,0.0,0
2008-11-04,7.26,7.26,6.82,7.11,973800,0.0,0
2008-11-05,7.16,7.16,6.46,6.47,1416400,0.0,0
2008-11-06,6.46,6.61,5.78,5.94,824200,0.09,0
2008-11-07,5.9,6.17,5.68,5.84,1223200,0.0,0
2008-11-10,5.96,6.03,5.47,5.49,645700,0.0,0
2008-11-11,5.47,5.54,5.13,5.27,549100,0.0,0
2008-11-12,5.69,5.93,5.4,5.48,1236400,0.0,0
2008-11-13,5.51,6.35,5.32,6.27,1374000,0.0,0
2008-11-14,6.15,6.36,5.63,6.06,1875200,0.0,0
2008-11-17,6.06,6.16,5.55,5.58,1413600,0.0,0
2008-11-18,5.62,5.67,5.4,5.46,1225900,0.0,0
2008-11-19,5.46,5.58,5.27,5.28,1139300,0.0,0
2008-11-20,5.32,5.4,4.7,4.7,2240400,0.0,0
2008-11-21,4.88,4.93,4.25,4.39,2217800,0.0,0
2008-11-24,4.56,4.73,4.4,4.46,1509800,0.0,0
2008-11-25,4.63,5.44,4.63,5.37,1435600,0.0,0
2008-11-26,5.32,6.58,5.11,6.5,1145000,0.0,0
2008-11-28,6.27,6.67,5.99,6.2,565500,0.0,0
2008-12-01,5.93,6.25,5.4,5.42,1152300,0.0,0
2008-12-02,5.54,5.6,5.21,5.32,1018000,0.0,0
2008-12-03,5.28,5.66,5.13,5.55,737100,0.0,0
2008-12-04,5.49,5.72,5.31,5.55,655200,0.0,0
2008-12-05,5.35,5.63,4.82,5.6,1080600,0.0,0
2008-12-08,5.91,6.54,5.64,6.38,968900,0.0,0
2008-12-09,6.21,6.58,5.68,5.89,1080300,0.0,0
2008-12-10,6.11,6.39,6.0,6.23,547600,0.0,0
2008-12-11,6.14,6.21,5.76,5.76,698800,0.0,0
2008-12-12,5.65,5.7,5.37,5.63,386000,0.0,0
2008-12-15,5.68,5.73,5.32,5.45,536900,0.0,0
2008-12-16,5.58,5.97,5.4,5.91,644000,0.0,0
2008-12-17,5.89,6.52,5.89,6.13,950000,0.0,0
2008-12-18,6.24,6.3,5.83,5.95,727200,0.0,0
2008-12-19,6.02,6.22,5.89,6.12,850700,0.0,0
2008-12-22,5.99,6.19,5.72,5.88,817500,0.0,0
2008-12-23,5.96,5.99,5.6,5.65,426600,0.0,0
2008-12-24,5.72,5.76,5.49,5.53,247400,0.0,0
2008-12-26,5.57,5.76,5.55,5.72,245800,0.0,0
2008-12-29,5.68,5.86,5.53,5.57,376700,0.0,0
2008-12-30,5.6,5.76,5.6,5.76,389100,0.0,0
2008-12-31,5.85,6.33,5.75,6.28,520500,0.0,0
2009-01-02,6.41,7.02,6.3,6.97,683500,0.0,0
2009-01-05,6.97,7.33,6.7,7.18,629100,0.0,0
2009-01-06,7.39,7.72,7.31,7.51,882700,0.0,0
2009-01-07,7.36,8.18,7.08,7.49,1024500,0.0,0
2009-01-08,7.69,7.69,7.22,7.51,681200,0.0,0
2009-01-09,7.6,7.6,7.12,7.31,631500,0.0,0
2009-01-12,7.2,7.36,6.53,6.61,971400,0.0,0
2009-01-13,6.47,6.84,6.44,6.71,645200,0.0,0
2009-01-14,6.72,6.72,5.89,6.06,1022700,0.0,0
2009-01-15,6.05,6.2,5.72,6.01,583300,0.0,0
2009-01-16,6.19,6.3,5.85,6.08,676500,0.0,0
2009-01-20,6.15,6.15,5.58,5.6,404500,0.0,0
2009-01-21,5.78,6.17,5.58,6.12,562300,0.0,0
2009-01-22,6.12,6.35,5.85,6.17,518700,0.0,0
2009-01-23,6.02,6.08,5.84,6.0,781400,0.0,0
2009-01-26,6.12,6.51,6.06,6.31,701100,0.0,0
2009-01-27,6.18,6.56,6.17,6.19,248500,0.0,0
2009-01-28,6.35,6.72,6.35,6.65,369100,0.0,0
2009-01-29,6.44,6.61,6.19,6.23,331900,0.0,0
2009-01-30,6.3,6.34,5.98,6.07,544400,0.0,0
2009-02-02,5.87,6.2,5.75,5.94,569800,0.0,0
2009-02-03,5.84,5.94,5.55,5.72,761100,0.0,0
2009-02-04,5.67,5.87,5.67,5.76,827500,0.0,0
2009-02-05,5.83,6.26,5.71,6.22,458100,0.0,0
2009-02-06,6.3,7.25,6.25,6.93,969000,0.0,0
2009-02-09,6.84,7.04,6.84,7.02,845700,0.0,0
2009-02-10,6.87,7.16,6.8,6.97,1329400,0.0,0
2009-02-11,7.05,7.15,6.48,6.57,954100,0.0,0
2009-02-12,6.5,6.52,5.91,6.12,1056300,0.0,0
2009-02-13,6.17,6.21,5.77,5.94,976000,0.0,0
2009-02-17,5.52,5.66,4.82,4.88,1997900,0.0,0
2009-02-18,5.0,5.02,4.42,4.45,1371900,0.0,0
2009-02-19,4.57,4.73,4.14,4.14,1436500,0.0,0
2009-02-20,4.28,4.36,4.02,4.19,1591600,0.0,0
