Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,19.1203,19.211,18.954,19.0044,1619300,0.0,0
2008-01-03,19.0548,19.1052,18.9087,18.9943,1484000,0.0,0
2008-01-04,18.8533,18.9288,18.42,18.425,2102200,0.0,0
2008-01-07,18.5006,18.813,18.3746,18.6114,1902000,0.0,0
2008-01-08,18.6266,18.9893,18.5963,18.6971,2471300,0.0,0
2008-01-09,18.6568,18.7072,18.4049,18.687,1630500,0.0,0
2008-01-10,18.5258,18.7878,18.3847,18.682,1591000,0.0,0
2008-01-11,18.4804,18.5006,18.0623,18.1076,2736600,0.0,0
2008-01-14,18.163,18.4653,18.1026,18.3494,1465300,0.0,0
2008-01-15,18.1227,18.2336,17.8456,17.8507,2036000,0.0,0
2008-01-16,17.8355,18.1026,17.639,17.8809,1630200,0.0,0
2008-01-17,17.901,17.9514,17.3519,17.372,1817600,0.0,0
2008-01-18,17.4577,17.4728,17.0798,17.1856,1823200,0.0,0
2008-01-22,16.4601,17.372,16.4601,17.1604,1769000,0.0,0
2008-01-23,16.6919,17.3015,16.445,17.2763,2019000,0.0,0
2008-01-24,17.2662,17.7852,17.2662,17.7348,1772800,0.0,0
2008-01-25,17.9363,17.9363,17.508,17.5685,1892400,0.0,0
2008-01-28,17.5584,17.8456,17.4677,17.7751,1670600,0.0,0
2008-01-29,17.9162,18.4301,17.8557,18.4049,1330500,0.0,0
2008-01-30,18.425,18.7676,18.3192,18.4855,1055700,0.0,0
2008-01-31,18.2386,18.6366,18.0371,18.4855,1558700,0.0,0
2008-02-01,18.4804,19.2563,18.4401,19.2563,1075700,0.0,0
2008-02-04,19.2714,19.3218,18.8432,18.9339,863100,0.0,0
2008-02-05,18.6114,18.7273,18.2688,18.3142,1563500,0.0,0
2008-02-06,18.4049,18.687,18.3091,18.3746,961900,0.0,0
2008-02-07,18.3797,18.6417,18.294,18.4452,1177100,0.0,0
2008-02-08,17.634,18.7727,17.634,18.5812,1461900,0.0,0
2008-02-11,18.5862,18.7727,18.5157,18.6215,1199900,0.0,0
2008-02-12,18.7676,19.0598,18.5913,18.7273,2162000,0.0,0
2008-02-13,18.9765,19.4089,18.9765,19.358,1359600,0.35,0
2008-02-14,19.3427,19.358,18.9867,18.9918,730600,0.0,0
2008-02-15,18.8596,19.0071,18.8443,18.9664,1042200,0.0,0
2008-02-19,19.1444,19.4902,19.002,19.0783,1453000,0.0,0
2008-02-20,18.8646,19.1851,18.6561,19.0223,978100,0.0,0
