Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-10,22.78,22.78,22.78,22.78,10,0,0
2008-01-14,22.5,22.5,22.5,22.5,10,0,0
2008-01-15,22.5,22.5,22.5,22.5,95,0,0
2008-01-16,23.0,23.0,23.0,23.0,315,0,0
2008-01-18,22.44,22.44,22.44,22.44,15,0,0
2008-01-22,20.1,20.1,20.1,20.1,50,0,0
2008-01-23,22.0,22.0,22.0,22.0,120,0,0
2008-01-24,22.0,22.0,22.0,22.0,149,0,0
2008-02-12,21.44,21.44,21.44,21.44,26,0,0
2008-02-20,24.0,24.0,24.0,24.0,70,0,0
2008-03-03,20.76,20.76,20.76,20.76,100,0,0
2008-03-20,18.5,18.5,18.5,18.5,36,0,0
2008-03-25,18.1,18.1,18.1,18.1,100,0,0
2008-04-03,22.0,22.0,22.0,22.0,60,0,0
2008-04-07,23.08,23.08,23.08,23.08,87,0,0
2008-04-21,23.22,23.22,23.22,23.22,65,0,0
2008-05-06,23.9,23.9,23.9,23.9,99,0,0
2008-07-03,19.85,19.85,19.85,19.85,45,0,0
2008-08-06,20.5,20.5,20.5,20.5,75,0,0
2008-08-25,23.61,23.61,23.61,23.61,300,0,0
2008-09-08,23.86,23.86,23.86,23.86,30,0,0
2008-10-06,22.2,22.2,22.2,22.2,500,0,0
2008-10-15,19.0,19.0,19.0,19.0,20,0,0
2008-11-11,20.97,20.97,20.97,20.97,300,0,0
2008-11-21,20.0,20.0,20.0,20.0,30,0,0
2008-11-24,19.67,19.67,19.67,19.67,50,0,0
2008-11-26,21.2,21.2,21.2,21.2,16,0,0
2008-12-02,20.7,20.7,20.7,20.7,80,0,0
2008-12-10,20.56,20.56,20.56,20.56,500,0,0
2008-12-18,18.27,18.27,18.27,18.27,200,0,0
2008-12-22,18.5,18.5,18.5,18.5,25,0,0
2009-11-17,21.05,21.05,21.05,21.05,0,0,0
2009-11-18,20.75,20.75,20.75,20.75,0,0,0
2009-11-19,21.08,21.08,21.08,21.08,0,0,0
2009-11-24,20.69,20.69,20.69,20.69,0,0,0
2009-11-25,20.66,20.66,20.66,20.66,0,0,0
